player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Dante,br BRA,DF,34.0,35.8,1.0,21.0,3.0,14.3,0.59,0.08,0.05,0.33,11.1,0.0,0.0,0.0,1.8,1.8,0.08,-0.8,-0.8,2198.0,2410.0,91.2,42969.0,17860.0,737.0,765.0,96.3,1221.0,1281.0,95.3,224.0,325.0,68.9,1.0,0.3,0.3,0.7,6.0,75.0,4.0,0.0,81.0,2410.0,2333.0,73.0,68.0,1.0,18.0,4.0,5.0,0.0,0.0,0.0,0.0,2198.0,4.0,9.0,21.0,0.59,17.0,0.0,0.0,3.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,54.0,40.0,36.0,16.0,2.0,24.0,41.0,58.5,17.0,56.0,30.0,26.0,38.0,92.0,156.0,2.0,2780.0,301.0,1581.0,1163.0,43.0,25.0,2780.0,5.0,4.0,80.0,1.0,20.0,1485.0,6386.0,3588.0,10.0,5.0,1.0,9.0,5.0,2015.0,2.0,36,3226.0,90.0,94.3,35.8,36,90.0,35,0,,0,1.56,30.0,31.0,-1.0,-0.03,1.83,44.2,46.4,-2.2,-0.06,0.66,11.0,0.0,0.0,44.0,16.0,1.0,4.0,38.0,40.0,0.0,1.0,0.0,217.0,75.0,41.0,64.7
Walter Benítez,ar ARG,GK,25.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,910.0,1149.0,79.2,23833.0,17524.0,129.0,130.0,99.2,537.0,540.0,99.4,243.0,472.0,51.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1149.0,756.0,390.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,2.0,1213.0,1142.0,1213.0,0.0,0.0,0.0,1213.0,0.0,0.0,,0.0,,520.0,2423.0,1732.0,0.0,0.0,0.0,1.0,0.0,489.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,3,1.57,29.0,29.0,0.0,0.0,1.67,42.4,46.7,-4.3,-0.12,-0.33,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,12.0,0.0,100.0
Malang Sarr,fr FRA,DF,19.0,33.3,1.0,9.0,1.0,11.1,0.27,0.03,0.11,1.0,21.1,3.0,0.0,0.0,1.0,1.0,0.11,0.0,0.0,1955.0,2189.0,89.3,36355.0,13975.0,780.0,832.0,93.8,963.0,1033.0,93.2,203.0,275.0,73.8,1.0,0.5,0.4,0.5,6.0,98.0,5.0,2.0,140.0,2189.0,2032.0,153.0,62.0,0.0,23.0,10.0,91.0,0.0,0.0,0.0,0.0,1955.0,4.0,25.0,18.0,0.54,17.0,0.0,0.0,1.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,38.0,17.0,4.0,31.0,57.0,54.4,26.0,29.0,12.0,17.0,68.0,127.0,107.0,2.0,2508.0,180.0,1105.0,1310.0,106.0,6.0,2508.0,16.0,9.0,56.3,7.0,43.8,1228.0,5855.0,3459.0,21.0,11.0,1.0,23.0,11.0,1736.0,25.0,35,2994.0,86.0,87.5,33.3,34,88.0,32,1,2.0,2,1.51,27.0,29.0,-2.0,-0.06,0.57,40.2,45.2,-5.0,-0.15,-0.41,1.0,0.0,0.0,31.0,30.0,0.0,10.0,68.0,36.0,0.0,1.0,1.0,194.0,53.0,33.0,61.6
Adrien Tameze,cm CMR,MF,24.0,32.7,0.0,19.0,4.0,21.1,0.58,0.12,0.0,0.0,19.8,0.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,1676.0,1888.0,88.8,27735.0,6862.0,853.0,921.0,92.6,659.0,709.0,92.9,130.0,178.0,73.0,3.0,1.4,1.3,1.6,25.0,126.0,13.0,0.0,163.0,1888.0,1815.0,68.0,52.0,2.0,10.0,5.0,16.0,0.0,0.0,0.0,0.0,1676.0,5.0,25.0,60.0,1.84,51.0,1.0,3.0,1.0,2.0,2.0,3.0,0.09,2.0,0.0,0.0,0.0,1.0,0.0,74.0,44.0,32.0,31.0,11.0,39.0,92.0,42.4,53.0,53.0,12.0,41.0,56.0,130.0,59.0,1.0,2288.0,116.0,572.0,1455.0,279.0,21.0,2288.0,67.0,40.0,59.7,27.0,40.3,1060.0,4859.0,2622.0,31.0,35.0,3.0,43.0,33.0,1664.0,60.0,37,2942.0,80.0,86.0,32.7,34,85.0,23,3,23.0,0,1.43,25.0,33.0,-8.0,-0.24,-0.81,37.9,45.8,-7.9,-0.24,-1.03,7.0,0.0,0.0,45.0,36.0,0.0,5.0,56.0,44.0,0.0,1.0,0.0,182.0,32.0,39.0,45.1
Allan Saint-Maximin,fr FRA,FW,21.0,32.2,6.0,73.0,16.0,21.9,2.27,0.5,0.07,0.31,20.5,1.0,1.0,2.0,7.8,6.3,0.09,-1.8,-1.3,694.0,962.0,72.1,11134.0,2227.0,389.0,480.0,81.0,216.0,295.0,73.2,62.0,100.0,62.0,3.0,6.6,6.5,-3.6,57.0,54.0,28.0,12.0,93.0,962.0,908.0,52.0,7.0,6.0,21.0,82.0,14.0,11.0,3.0,7.0,0.0,694.0,2.0,40.0,139.0,4.31,72.0,7.0,40.0,8.0,12.0,0.0,11.0,0.34,5.0,0.0,4.0,0.0,2.0,0.0,12.0,6.0,1.0,7.0,4.0,2.0,14.0,14.3,12.0,11.0,0.0,11.0,4.0,16.0,3.0,0.0,1409.0,8.0,77.0,642.0,733.0,166.0,1407.0,252.0,143.0,56.7,109.0,43.3,1066.0,9343.0,5211.0,202.0,103.0,95.0,123.0,80.0,1155.0,309.0,34,2900.0,85.0,84.8,32.2,34,85.0,21,0,,0,1.47,28.0,29.0,-1.0,-0.03,0.66,41.2,41.1,0.2,0.01,0.68,2.0,0.0,0.0,12.0,68.0,8.0,82.0,4.0,6.0,2.0,0.0,0.0,105.0,30.0,31.0,49.2
Christophe Hérelle,mq MTQ,DF,25.0,32.6,0.0,17.0,2.0,11.8,0.52,0.06,0.0,0.0,9.9,0.0,0.0,0.0,2.2,2.2,0.13,-2.2,-2.2,1937.0,2186.0,88.6,38223.0,12653.0,561.0,604.0,92.9,1166.0,1231.0,94.7,191.0,302.0,63.2,0.0,0.3,0.3,-0.3,5.0,92.0,5.0,2.0,140.0,2186.0,2108.0,77.0,67.0,0.0,16.0,3.0,10.0,0.0,0.0,0.0,0.0,1937.0,1.0,18.0,17.0,0.52,12.0,0.0,1.0,2.0,0.0,2.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,72.0,52.0,51.0,19.0,2.0,40.0,50.0,80.0,10.0,39.0,16.0,23.0,61.0,133.0,158.0,2.0,2575.0,238.0,1246.0,1297.0,47.0,22.0,2575.0,14.0,8.0,57.1,6.0,42.9,1313.0,6020.0,3736.0,16.0,8.0,2.0,17.0,7.0,1804.0,4.0,33,2937.0,89.0,85.9,32.6,33,89.0,32,0,,1,1.58,27.0,26.0,1.0,0.03,1.15,38.4,40.8,-2.4,-0.07,0.18,9.0,1.0,0.0,34.0,46.0,0.0,3.0,61.0,52.0,0.0,1.0,0.0,186.0,99.0,56.0,63.9
Wylan Cyprien,fr FRA,MF,23.0,26.2,4.0,51.0,19.0,37.3,1.94,0.72,0.06,0.16,27.7,17.0,1.0,2.0,5.2,3.6,0.07,-1.2,-0.6,1683.0,2018.0,83.4,30340.0,9292.0,790.0,855.0,92.4,649.0,739.0,87.8,213.0,342.0,62.3,1.0,5.2,3.8,-4.2,62.0,145.0,12.0,0.0,197.0,2018.0,1810.0,205.0,93.0,7.0,23.0,131.0,6.0,106.0,35.0,50.0,1.0,1683.0,3.0,30.0,109.0,4.16,56.0,42.0,0.0,4.0,6.0,1.0,6.0,0.23,4.0,2.0,0.0,0.0,0.0,0.0,40.0,20.0,16.0,21.0,3.0,15.0,43.0,34.9,28.0,20.0,5.0,15.0,11.0,51.0,15.0,0.0,2225.0,45.0,381.0,1411.0,447.0,16.0,2223.0,30.0,19.0,63.3,11.0,36.7,1092.0,4539.0,2425.0,29.0,18.0,3.0,31.0,24.0,1662.0,44.0,29,2360.0,81.0,69.0,26.2,27,85.0,22,2,28.0,1,1.48,20.0,22.0,-2.0,-0.08,0.18,30.1,32.4,-2.3,-0.09,0.03,2.0,1.0,1.0,22.0,48.0,1.0,131.0,11.0,20.0,0.0,0.0,0.0,157.0,10.0,10.0,50.0
Pierre Lees-Melou,fr FRA,MF,25.0,26.6,2.0,39.0,11.0,28.2,1.47,0.41,0.05,0.18,19.8,0.0,0.0,0.0,3.3,3.3,0.08,-1.3,-1.3,1227.0,1456.0,84.3,21223.0,5698.0,589.0,650.0,90.6,480.0,535.0,89.7,126.0,203.0,62.1,1.0,2.3,1.8,-1.3,30.0,112.0,11.0,0.0,143.0,1456.0,1391.0,62.0,32.0,2.0,22.0,39.0,6.0,24.0,9.0,14.0,0.0,1227.0,3.0,22.0,74.0,2.78,50.0,11.0,1.0,6.0,5.0,1.0,3.0,0.11,2.0,1.0,0.0,0.0,0.0,0.0,74.0,46.0,31.0,36.0,7.0,25.0,62.0,40.3,37.0,44.0,8.0,36.0,36.0,110.0,37.0,0.0,1760.0,67.0,363.0,1057.0,356.0,39.0,1760.0,30.0,15.0,50.0,15.0,50.0,868.0,4150.0,2023.0,35.0,39.0,10.0,32.0,25.0,1279.0,81.0,30,2394.0,80.0,70.0,26.6,26,89.0,24,4,21.0,0,1.3,20.0,24.0,-4.0,-0.15,-0.06,33.2,32.9,0.3,0.01,0.36,5.0,1.0,0.0,43.0,32.0,1.0,39.0,36.0,46.0,0.0,0.0,0.0,147.0,15.0,22.0,40.5
Youcef Atal,dz ALG,"DF,FW",22.0,25.1,6.0,35.0,14.0,40.0,1.39,0.56,0.17,0.43,17.1,0.0,0.0,1.0,4.6,3.9,0.11,1.4,2.1,1024.0,1261.0,81.2,14856.0,4125.0,598.0,671.0,89.1,355.0,434.0,81.8,45.0,91.0,49.5,0.0,2.6,3.5,-2.6,23.0,58.0,22.0,8.0,86.0,1261.0,1056.0,204.0,27.0,3.0,7.0,72.0,175.0,2.0,0.0,1.0,0.0,1024.0,1.0,28.0,76.0,3.02,43.0,3.0,14.0,3.0,12.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,68.0,44.0,34.0,25.0,9.0,34.0,67.0,50.7,33.0,38.0,8.0,30.0,56.0,124.0,42.0,0.0,1772.0,61.0,364.0,790.0,657.0,87.0,1771.0,203.0,101.0,49.8,102.0,50.2,1013.0,7446.0,4352.0,137.0,96.0,53.0,82.0,33.0,1123.0,275.0,29,2263.0,78.0,66.2,25.1,25,87.0,23,4,21.0,0,1.38,21.0,21.0,0.0,0.0,0.39,33.1,31.2,1.9,0.08,0.52,8.0,0.0,0.0,42.0,58.0,9.0,72.0,56.0,44.0,3.0,0.0,0.0,145.0,44.0,41.0,51.8
Danilo Barbosa,br BRA,MF,22.0,17.2,0.0,22.0,6.0,27.3,1.28,0.35,0.0,0.0,22.3,5.0,0.0,0.0,1.9,1.9,0.08,-1.9,-1.9,560.0,656.0,85.4,8040.0,2021.0,329.0,368.0,89.4,186.0,202.0,92.1,25.0,42.0,59.5,0.0,0.9,0.7,-0.9,12.0,43.0,5.0,0.0,62.0,656.0,649.0,6.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,560.0,1.0,15.0,41.0,2.38,23.0,0.0,5.0,4.0,7.0,2.0,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,29.0,20.0,13.0,13.0,3.0,6.0,17.0,35.3,11.0,17.0,2.0,15.0,15.0,44.0,25.0,1.0,890.0,29.0,181.0,532.0,186.0,31.0,890.0,53.0,33.0,62.3,20.0,37.7,457.0,2297.0,1250.0,27.0,19.0,7.0,42.0,39.0,670.0,63.0,22,1548.0,70.0,45.3,17.2,18,81.0,10,4,21.0,5,1.55,15.0,17.0,-2.0,-0.12,0.03,20.9,22.9,-2.0,-0.12,-0.03,1.0,1.0,0.0,18.0,34.0,0.0,2.0,15.0,20.0,0.0,0.0,0.0,72.0,18.0,18.0,50.0
Patrick Burner,mq MTQ,DF,22.0,15.0,0.0,8.0,0.0,0.0,0.53,0.0,0.0,,24.6,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,634.0,760.0,83.4,9744.0,3480.0,343.0,369.0,93.0,250.0,294.0,85.0,31.0,59.0,52.5,0.0,1.5,0.5,-1.5,5.0,36.0,6.0,4.0,45.0,760.0,625.0,134.0,18.0,0.0,0.0,24.0,115.0,1.0,1.0,0.0,0.0,634.0,1.0,17.0,14.0,0.93,8.0,3.0,1.0,0.0,2.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,36.0,23.0,22.0,10.0,4.0,16.0,34.0,47.1,18.0,15.0,5.0,10.0,31.0,67.0,40.0,0.0,941.0,54.0,343.0,468.0,141.0,4.0,941.0,33.0,13.0,39.4,20.0,60.6,440.0,1798.0,972.0,20.0,18.0,2.0,20.0,11.0,545.0,49.0,17,1352.0,80.0,39.5,15.0,15,84.0,11,2,45.0,12,1.35,10.0,16.0,-6.0,-0.4,-0.44,16.7,21.9,-5.2,-0.35,-0.41,3.0,0.0,0.0,15.0,12.0,0.0,24.0,31.0,23.0,0.0,1.0,0.0,84.0,11.0,16.0,40.7
Jean-Victor Makengo,fr FRA,"MF,FW",20.0,11.4,1.0,13.0,5.0,38.5,1.14,0.44,0.08,0.2,17.4,0.0,0.0,0.0,1.4,1.4,0.11,-0.4,-0.4,358.0,421.0,85.0,5124.0,926.0,212.0,238.0,89.1,118.0,133.0,88.7,14.0,19.0,73.7,0.0,1.0,0.6,-1.0,13.0,29.0,4.0,1.0,43.0,421.0,416.0,3.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,358.0,2.0,11.0,30.0,2.62,23.0,0.0,2.0,3.0,1.0,1.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,3.0,6.0,1.0,1.0,5.0,20.0,4.0,5.0,1.0,4.0,9.0,19.0,5.0,0.0,532.0,6.0,62.0,300.0,179.0,20.0,532.0,33.0,26.0,78.8,7.0,21.2,345.0,2261.0,1146.0,34.0,32.0,4.0,27.0,33.0,431.0,55.0,25,1029.0,41.0,30.1,11.4,11,70.0,2,14,19.0,7,1.28,9.0,11.0,-2.0,-0.17,-0.06,12.9,13.5,-0.5,-0.05,0.07,3.0,0.0,0.0,12.0,13.0,0.0,5.0,9.0,8.0,0.0,0.0,0.0,51.0,5.0,24.0,17.2
Christophe Jallet,fr FRA,DF,34.0,9.8,1.0,4.0,3.0,75.0,0.41,0.31,0.25,0.33,13.6,0.0,0.0,0.0,0.5,0.5,0.11,0.5,0.5,528.0,631.0,83.7,8726.0,3374.0,271.0,293.0,92.5,221.0,260.0,85.0,30.0,52.0,57.7,0.0,0.2,0.7,-0.2,3.0,43.0,8.0,3.0,83.0,631.0,552.0,76.0,10.0,0.0,4.0,16.0,66.0,0.0,0.0,0.0,0.0,528.0,3.0,10.0,11.0,1.12,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,12.0,13.0,4.0,16.0,27.0,59.3,11.0,21.0,5.0,16.0,14.0,43.0,32.0,0.0,759.0,41.0,228.0,387.0,146.0,6.0,759.0,2.0,1.0,50.0,1.0,50.0,299.0,1171.0,792.0,10.0,10.0,1.0,13.0,3.0,481.0,46.0,14,885.0,63.0,25.9,9.8,11,78.0,7,3,10.0,9,2.21,9.0,7.0,2.0,0.2,0.45,10.5,13.8,-3.2,-0.33,-0.31,3.0,0.0,0.0,8.0,3.0,0.0,16.0,14.0,21.0,0.0,1.0,0.0,33.0,9.0,13.0,40.9
Myziane Maolida,fr FRA,FW,19.0,10.6,0.0,18.0,7.0,38.9,1.7,0.66,0.0,0.0,15.1,0.0,0.0,0.0,2.5,2.5,0.14,-2.5,-2.5,286.0,355.0,80.6,3842.0,966.0,173.0,205.0,84.4,93.0,108.0,86.1,8.0,17.0,47.1,3.0,1.8,1.5,1.2,19.0,19.0,13.0,1.0,46.0,355.0,343.0,12.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,286.0,0.0,8.0,31.0,2.93,24.0,0.0,4.0,2.0,1.0,0.0,3.0,0.28,3.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,5.0,2.0,2.0,4.0,50.0,2.0,5.0,0.0,5.0,1.0,13.0,5.0,0.0,480.0,9.0,45.0,217.0,225.0,45.0,480.0,45.0,19.0,42.2,26.0,57.8,311.0,2083.0,1139.0,35.0,32.0,19.0,37.0,27.0,368.0,113.0,14,952.0,68.0,27.8,10.6,10,83.0,2,4,31.0,1,1.64,8.0,11.0,-3.0,-0.28,-0.21,11.8,12.5,-0.8,-0.07,0.03,2.0,0.0,0.0,5.0,7.0,3.0,7.0,1.0,8.0,0.0,0.0,0.0,41.0,9.0,19.0,32.1
Olivier Boscagli,fr FRA,DF,20.0,9.6,0.0,4.0,0.0,0.0,0.42,0.0,0.0,,25.0,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,520.0,667.0,78.0,9636.0,3175.0,218.0,251.0,86.9,238.0,288.0,82.6,58.0,108.0,53.7,1.0,0.9,0.9,0.1,11.0,35.0,4.0,2.0,55.0,667.0,551.0,113.0,22.0,1.0,9.0,32.0,82.0,9.0,5.0,4.0,0.0,520.0,3.0,8.0,22.0,2.29,18.0,3.0,0.0,0.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,14.0,4.0,2.0,9.0,20.0,45.0,11.0,12.0,1.0,11.0,17.0,37.0,37.0,0.0,782.0,37.0,237.0,429.0,124.0,3.0,782.0,10.0,6.0,60.0,4.0,40.0,377.0,1829.0,1220.0,15.0,14.0,0.0,10.0,4.0,481.0,35.0,14,863.0,62.0,25.2,9.6,10,82.0,7,4,10.0,14,1.36,4.0,12.0,-8.0,-0.83,-0.94,9.2,12.5,-3.3,-0.35,-0.33,1.0,0.0,0.0,6.0,22.0,0.0,32.0,17.0,12.0,0.0,0.0,0.0,63.0,19.0,18.0,51.4
