player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Benjamin Lecomte,fr FRA,GK,27.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,879.0,1282.0,68.6,30606.0,24582.0,70.0,70.0,100.0,333.0,338.0,98.5,475.0,870.0,54.6,0.0,0.0,0.1,0.0,1.0,12.0,0.0,0.0,0.0,1282.0,860.0,420.0,143.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,2.0,0.0,10.0,0.27,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,5.0,6.0,24.0,3.0,1381.0,1132.0,1365.0,16.0,0.0,0.0,1381.0,1.0,1.0,100.0,0.0,0.0,692.0,4871.0,2678.0,0.0,1.0,0.0,0.0,1.0,531.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.57,53.0,42.0,11.0,0.3,0.3,49.6,41.0,8.5,0.23,0.52,1.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,43.0,18.0,2.0,90.0
Daniel Congré,fr FRA,DF,33.0,36.6,2.0,15.0,5.0,33.3,0.41,0.14,0.13,0.4,11.3,0.0,0.0,0.0,2.3,2.3,0.16,-0.3,-0.3,1264.0,1547.0,81.7,23956.0,10536.0,519.0,584.0,88.9,571.0,670.0,85.2,163.0,258.0,63.2,2.0,0.8,0.9,1.2,9.0,138.0,6.0,1.0,169.0,1547.0,1492.0,54.0,43.0,2.0,16.0,6.0,11.0,0.0,0.0,0.0,0.0,1264.0,1.0,13.0,26.0,0.71,24.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,75.0,45.0,46.0,26.0,3.0,38.0,65.0,58.5,27.0,35.0,15.0,20.0,67.0,142.0,106.0,1.0,1878.0,110.0,803.0,987.0,99.0,18.0,1878.0,7.0,3.0,42.9,4.0,57.1,849.0,4497.0,2980.0,22.0,8.0,0.0,17.0,9.0,1118.0,20.0,37,3292.0,89.0,96.3,36.6,37,89.0,36,0,,0,1.57,51.0,41.0,10.0,0.27,-0.43,48.8,39.9,8.9,0.24,0.68,5.0,1.0,0.0,38.0,29.0,1.0,6.0,67.0,45.0,0.0,0.0,0.0,159.0,76.0,57.0,57.1
Vitorino Hilton,br BRA,DF,40.0,35.9,0.0,16.0,3.0,18.8,0.45,0.08,0.0,0.0,10.2,0.0,0.0,0.0,2.2,2.2,0.14,-2.2,-2.2,1247.0,1527.0,81.7,30648.0,13690.0,245.0,283.0,86.6,660.0,739.0,89.3,333.0,477.0,69.8,2.0,0.8,1.0,1.2,8.0,112.0,7.0,2.0,114.0,1527.0,1433.0,89.0,71.0,2.0,22.0,4.0,18.0,0.0,0.0,0.0,0.0,1247.0,5.0,7.0,29.0,0.81,27.0,0.0,0.0,2.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,33.0,13.0,28.0,5.0,0.0,12.0,30.0,40.0,18.0,31.0,15.0,16.0,66.0,99.0,198.0,2.0,1918.0,241.0,1088.0,799.0,52.0,28.0,1918.0,4.0,3.0,75.0,1.0,25.0,895.0,4674.0,2373.0,12.0,2.0,0.0,18.0,5.0,1005.0,5.0,36,3232.0,90.0,94.5,35.9,36,90.0,35,0,,0,1.53,49.0,41.0,8.0,0.22,-1.21,46.3,40.0,6.3,0.18,-0.73,5.0,1.0,0.0,23.0,45.0,0.0,4.0,66.0,13.0,0.0,1.0,1.0,246.0,77.0,48.0,61.6
Andy Delort,dz ALG,FW,26.0,34.6,14.0,116.0,33.0,28.4,3.35,0.95,0.09,0.33,20.2,5.0,3.0,3.0,15.2,12.8,0.11,-1.2,-1.8,716.0,1216.0,58.9,11481.0,3135.0,392.0,537.0,73.0,199.0,357.0,55.7,83.0,167.0,49.7,7.0,8.3,7.8,-1.3,57.0,67.0,45.0,18.0,102.0,1216.0,1118.0,91.0,9.0,7.0,22.0,138.0,18.0,12.0,7.0,3.0,0.0,716.0,7.0,55.0,114.0,3.29,76.0,9.0,17.0,6.0,5.0,1.0,9.0,0.26,9.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,7.0,20.0,7.0,8.0,34.0,23.5,26.0,28.0,7.0,21.0,4.0,38.0,7.0,0.0,1658.0,11.0,71.0,692.0,912.0,158.0,1655.0,94.0,54.0,57.4,40.0,42.6,835.0,4442.0,1918.0,79.0,34.0,33.0,126.0,64.0,1281.0,345.0,36,3115.0,87.0,91.1,34.6,36,87.0,19,0,,0,1.61,49.0,35.0,14.0,0.4,1.29,46.2,35.0,11.2,0.32,1.2,4.0,0.0,0.0,93.0,53.0,25.0,138.0,4.0,20.0,0.0,0.0,0.0,94.0,127.0,159.0,44.4
Ellyes Skhiri,tn TUN,MF,23.0,34.3,3.0,25.0,5.0,20.0,0.73,0.15,0.12,0.6,24.5,0.0,0.0,0.0,1.2,1.2,0.05,1.8,1.8,1428.0,1673.0,85.4,23916.0,6291.0,665.0,744.0,89.4,566.0,643.0,88.0,138.0,178.0,77.5,2.0,1.2,1.7,0.8,23.0,118.0,17.0,2.0,175.0,1673.0,1621.0,49.0,34.0,3.0,22.0,6.0,14.0,0.0,0.0,0.0,0.0,1428.0,3.0,25.0,83.0,2.42,67.0,0.0,4.0,2.0,6.0,4.0,11.0,0.32,7.0,0.0,1.0,1.0,1.0,1.0,105.0,58.0,31.0,64.0,10.0,43.0,91.0,47.3,48.0,60.0,7.0,53.0,60.0,165.0,41.0,0.0,2051.0,73.0,416.0,1298.0,354.0,26.0,2051.0,43.0,32.0,74.4,11.0,25.6,986.0,4869.0,2011.0,38.0,35.0,6.0,37.0,35.0,1251.0,52.0,37,3090.0,84.0,90.4,34.3,35,88.0,31,2,9.0,0,1.59,48.0,36.0,12.0,0.35,0.62,45.2,36.1,9.2,0.27,0.52,5.0,0.0,0.0,40.0,34.0,0.0,6.0,60.0,58.0,0.0,0.0,0.0,235.0,40.0,30.0,57.1
Gaëtan Laborde,fr FRA,"FW,MF",24.0,32.2,11.0,86.0,27.0,31.4,2.67,0.84,0.13,0.41,16.0,0.0,0.0,0.0,9.8,9.8,0.11,1.2,1.2,591.0,928.0,63.7,8429.0,1989.0,351.0,469.0,74.8,189.0,280.0,67.5,29.0,61.0,47.5,4.0,5.8,3.7,-1.8,37.0,50.0,24.0,2.0,95.0,928.0,912.0,8.0,0.0,4.0,3.0,51.0,2.0,0.0,0.0,0.0,0.0,591.0,8.0,49.0,81.0,2.51,59.0,0.0,6.0,6.0,9.0,1.0,9.0,0.28,5.0,0.0,2.0,1.0,0.0,1.0,36.0,15.0,6.0,15.0,15.0,11.0,27.0,40.7,16.0,18.0,2.0,16.0,6.0,42.0,27.0,0.0,1336.0,24.0,103.0,605.0,647.0,134.0,1336.0,97.0,42.0,43.3,55.0,56.7,770.0,4842.0,2715.0,100.0,62.0,27.0,89.0,60.0,1016.0,246.0,36,2895.0,80.0,84.6,32.2,35,82.0,15,1,25.0,0,1.61,45.0,30.0,15.0,0.47,1.15,41.1,31.9,9.2,0.29,0.45,1.0,1.0,0.0,34.0,36.0,7.0,51.0,6.0,15.0,0.0,0.0,0.0,136.0,97.0,108.0,47.3
Damien Le Tallec,fr FRA,MF,28.0,31.2,3.0,34.0,13.0,38.2,1.09,0.42,0.09,0.23,17.3,0.0,0.0,0.0,4.1,4.1,0.12,-1.1,-1.1,986.0,1253.0,78.7,17146.0,5397.0,459.0,565.0,81.2,381.0,463.0,82.3,113.0,147.0,76.9,0.0,1.1,1.0,-1.1,23.0,101.0,11.0,1.0,125.0,1253.0,1209.0,40.0,34.0,0.0,13.0,5.0,6.0,0.0,0.0,0.0,0.0,986.0,4.0,21.0,54.0,1.73,48.0,0.0,0.0,4.0,1.0,1.0,3.0,0.1,1.0,0.0,0.0,2.0,0.0,0.0,95.0,58.0,42.0,43.0,10.0,33.0,89.0,37.1,56.0,35.0,8.0,27.0,59.0,154.0,50.0,0.0,1577.0,65.0,361.0,1005.0,221.0,45.0,1577.0,8.0,2.0,25.0,6.0,75.0,605.0,2562.0,950.0,9.0,10.0,2.0,20.0,14.0,844.0,28.0,36,2805.0,78.0,82.0,31.2,31,84.0,19,5,38.0,0,1.61,43.0,33.0,10.0,0.32,0.17,43.0,31.7,11.2,0.36,0.8,3.0,0.0,0.0,54.0,26.0,1.0,5.0,59.0,58.0,0.0,0.0,0.0,191.0,79.0,70.0,53.0
Pedro Mendes,pt POR,DF,27.0,29.6,1.0,8.0,2.0,25.0,0.27,0.07,0.13,0.5,20.1,0.0,0.0,0.0,0.9,0.9,0.11,0.1,0.1,1064.0,1307.0,81.4,22940.0,8956.0,317.0,351.0,90.3,555.0,615.0,90.2,184.0,309.0,59.5,0.0,0.4,0.7,-0.4,8.0,87.0,9.0,2.0,93.0,1307.0,1250.0,51.0,31.0,0.0,33.0,10.0,20.0,0.0,0.0,0.0,0.0,1064.0,6.0,11.0,31.0,1.05,22.0,5.0,1.0,0.0,2.0,1.0,6.0,0.2,4.0,1.0,0.0,0.0,1.0,0.0,71.0,42.0,56.0,13.0,2.0,31.0,47.0,66.0,16.0,42.0,22.0,20.0,48.0,119.0,73.0,1.0,1601.0,133.0,842.0,693.0,80.0,8.0,1601.0,12.0,11.0,91.7,1.0,8.3,826.0,4255.0,2584.0,23.0,15.0,2.0,17.0,10.0,1007.0,5.0,31,2667.0,86.0,78.0,29.6,31,86.0,29,0,,0,1.68,41.0,24.0,17.0,0.57,1.29,40.0,25.9,14.2,0.48,1.19,7.0,0.0,0.0,45.0,48.0,0.0,10.0,48.0,42.0,1.0,0.0,0.0,156.0,34.0,52.0,39.5
Florent Mollet,fr FRA,MF,26.0,28.5,6.0,84.0,33.0,39.3,2.95,1.16,0.07,0.18,25.0,18.0,0.0,0.0,3.9,3.9,0.05,2.1,2.1,1179.0,1481.0,79.6,20536.0,5594.0,568.0,632.0,89.9,420.0,499.0,84.2,145.0,256.0,56.6,4.0,7.1,5.7,-3.1,68.0,128.0,24.0,8.0,168.0,1481.0,1273.0,207.0,76.0,2.0,32.0,201.0,6.0,117.0,45.0,62.0,0.0,1179.0,1.0,35.0,137.0,4.81,82.0,37.0,6.0,9.0,2.0,1.0,13.0,0.46,8.0,3.0,0.0,2.0,0.0,0.0,36.0,20.0,8.0,20.0,8.0,13.0,51.0,25.5,38.0,32.0,1.0,31.0,23.0,59.0,7.0,0.0,1814.0,9.0,138.0,970.0,724.0,58.0,1814.0,51.0,20.0,39.2,31.0,60.8,1021.0,5431.0,2177.0,67.0,56.0,21.0,48.0,48.0,1282.0,228.0,32,2564.0,80.0,75.0,28.5,31,82.0,12,1,21.0,0,1.59,41.0,32.0,9.0,0.32,0.11,35.8,30.6,5.2,0.18,-0.14,6.0,1.0,1.0,45.0,33.0,7.0,201.0,23.0,20.0,0.0,0.0,0.0,168.0,15.0,33.0,31.3
Ruben Aguilar,fr FRA,DF,25.0,28.1,1.0,13.0,4.0,30.8,0.46,0.14,0.08,0.25,20.1,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,1315.0,1640.0,80.2,20563.0,7554.0,730.0,806.0,90.6,468.0,573.0,81.7,86.0,159.0,54.1,4.0,2.5,2.7,1.5,44.0,82.0,46.0,25.0,128.0,1640.0,1334.0,297.0,15.0,0.0,7.0,115.0,281.0,1.0,0.0,0.0,0.0,1315.0,9.0,51.0,103.0,3.67,80.0,8.0,6.0,2.0,7.0,0.0,7.0,0.25,6.0,0.0,0.0,1.0,0.0,0.0,88.0,51.0,40.0,33.0,15.0,39.0,69.0,56.5,30.0,23.0,3.0,20.0,37.0,125.0,50.0,1.0,1970.0,63.0,417.0,953.0,614.0,35.0,1970.0,71.0,36.0,50.7,35.0,49.3,921.0,5482.0,3172.0,85.0,60.0,9.0,47.0,26.0,1172.0,155.0,29,2528.0,87.0,73.9,28.1,29,87.0,26,0,,0,1.52,39.0,30.0,9.0,0.32,0.12,37.7,31.8,5.8,0.21,-0.04,8.0,0.0,0.0,37.0,40.0,1.0,115.0,37.0,51.0,0.0,1.0,0.0,185.0,28.0,32.0,46.7
Ambroise Oyongo,cm CMR,DF,27.0,23.7,2.0,12.0,3.0,25.0,0.51,0.13,0.17,0.67,19.7,0.0,0.0,0.0,1.1,1.1,0.09,0.9,0.9,766.0,1097.0,69.8,12447.0,5768.0,403.0,468.0,86.1,290.0,410.0,70.7,55.0,142.0,38.7,0.0,1.2,1.2,-1.2,24.0,47.0,32.0,16.0,87.0,1097.0,808.0,286.0,14.0,0.0,4.0,65.0,272.0,0.0,0.0,0.0,0.0,766.0,3.0,36.0,46.0,1.94,35.0,4.0,5.0,2.0,0.0,0.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,44.0,21.0,23.0,16.0,5.0,20.0,38.0,52.6,18.0,26.0,6.0,20.0,38.0,82.0,60.0,0.0,1388.0,48.0,356.0,641.0,407.0,20.0,1388.0,54.0,29.0,53.7,25.0,46.3,653.0,3627.0,1905.0,52.0,44.0,6.0,38.0,26.0,744.0,109.0,26,2136.0,82.0,62.5,23.7,25,85.0,19,1,6.0,7,1.77,33.0,27.0,6.0,0.25,-0.1,30.4,26.2,4.1,0.17,-0.11,5.0,0.0,0.0,23.0,24.0,0.0,65.0,38.0,21.0,0.0,0.0,1.0,108.0,13.0,34.0,27.7
