player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Tomáš Vaclík,cz CZE,GK,29.0,33.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,606.0,1003.0,60.4,19457.0,15474.0,74.0,76.0,97.4,256.0,259.0,98.8,271.0,654.0,41.4,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1003.0,638.0,361.0,105.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,4.0,3.0,3.0,0.09,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,1066.0,945.0,1059.0,7.0,0.0,0.0,1066.0,1.0,1.0,100.0,0.0,0.0,479.0,2782.0,1942.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,0,1.42,52.0,44.0,8.0,0.24,-1.16,57.9,40.6,17.4,0.53,-0.26,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,13.0,0.0,100.0
Éver Banega,ar ARG,MF,30.0,29.6,3.0,30.0,8.0,26.7,1.01,0.27,0.03,0.13,26.3,7.0,2.0,2.0,2.8,1.2,0.04,0.2,-0.2,1823.0,2241.0,81.3,37173.0,13708.0,689.0,764.0,90.2,781.0,903.0,86.5,321.0,486.0,66.0,5.0,4.0,3.6,1.0,53.0,253.0,32.0,6.0,318.0,2241.0,1981.0,248.0,145.0,6.0,50.0,131.0,7.0,96.0,25.0,41.0,11.0,1823.0,12.0,32.0,136.0,4.59,99.0,24.0,5.0,3.0,3.0,2.0,11.0,0.37,9.0,2.0,0.0,0.0,0.0,0.0,71.0,50.0,32.0,35.0,4.0,20.0,70.0,28.6,50.0,26.0,5.0,21.0,28.0,99.0,28.0,0.0,2527.0,55.0,574.0,1507.0,484.0,17.0,2525.0,81.0,59.0,72.8,22.0,27.2,1546.0,7883.0,4241.0,50.0,33.0,7.0,43.0,58.0,1759.0,58.0,32,2667.0,83.0,78.0,29.6,32,83.0,18.0,0,,0,1.59,51.0,33.0,18.0,0.61,0.97,53.3,34.1,19.2,0.65,0.41,17.0,2.0,1.0,57.0,67.0,2.0,131.0,28.0,50.0,0.0,1.0,0.0,290.0,11.0,25.0,30.6
Wissam Ben Yedder,fr FRA,FW,27.0,31.2,18.0,74.0,34.0,45.9,2.37,1.09,0.22,0.47,12.0,0.0,2.0,2.0,18.0,16.4,0.22,0.0,-0.4,570.0,795.0,71.7,7544.0,1660.0,372.0,466.0,79.8,134.0,185.0,72.4,26.0,56.0,46.4,9.0,7.4,5.5,1.6,44.0,48.0,31.0,3.0,100.0,795.0,755.0,35.0,2.0,9.0,6.0,27.0,8.0,0.0,0.0,0.0,0.0,570.0,5.0,24.0,94.0,3.01,75.0,0.0,7.0,9.0,3.0,0.0,21.0,0.67,14.0,0.0,3.0,3.0,1.0,0.0,18.0,16.0,3.0,11.0,4.0,2.0,12.0,16.7,10.0,18.0,0.0,18.0,11.0,29.0,2.0,0.0,1082.0,4.0,63.0,397.0,643.0,210.0,1080.0,81.0,46.0,56.8,35.0,43.2,661.0,3729.0,1994.0,72.0,57.0,33.0,65.0,37.0,788.0,249.0,35,2812.0,80.0,82.2,31.2,31,86.0,21.0,4,36.0,2,1.57,56.0,33.0,23.0,0.74,1.92,57.7,34.7,22.9,0.73,0.98,3.0,0.0,0.0,26.0,24.0,30.0,27.0,11.0,16.0,0.0,0.0,0.0,93.0,39.0,94.0,29.3
Sergi Gómez,es ESP,DF,26.0,30.7,0.0,9.0,3.0,33.3,0.29,0.1,0.0,0.0,11.9,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,1240.0,1467.0,84.5,25728.0,9063.0,394.0,432.0,91.2,637.0,716.0,89.0,195.0,271.0,72.0,0.0,0.4,0.5,-0.4,5.0,69.0,4.0,2.0,94.0,1467.0,1426.0,38.0,33.0,0.0,37.0,2.0,5.0,0.0,0.0,0.0,0.0,1240.0,3.0,19.0,20.0,0.65,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,38.0,33.0,12.0,4.0,18.0,28.0,64.3,10.0,30.0,20.0,10.0,40.0,89.0,135.0,1.0,1746.0,181.0,846.0,834.0,71.0,22.0,1746.0,0.0,0.0,,0.0,,947.0,4591.0,2636.0,12.0,19.0,0.0,2.0,3.0,1109.0,3.0,32,2765.0,86.0,80.8,30.7,31,87.0,29.0,1,64.0,6,1.34,40.0,43.0,-3.0,-0.1,-2.57,49.4,39.1,10.3,0.34,-1.16,1.0,0.0,0.0,28.0,7.0,2.0,2.0,40.0,38.0,0.0,0.0,0.0,124.0,82.0,69.0,54.3
Jesús Navas,es ESP,"DF,FW",32.0,30.1,1.0,32.0,11.0,34.4,1.06,0.37,0.03,0.09,20.8,0.0,0.0,0.0,1.5,1.5,0.05,-0.5,-0.5,1366.0,1868.0,73.1,23681.0,7928.0,685.0,786.0,87.2,513.0,682.0,75.2,143.0,271.0,52.8,5.0,6.2,8.1,-1.2,41.0,109.0,78.0,32.0,184.0,1868.0,1587.0,267.0,24.0,3.0,15.0,194.0,242.0,1.0,0.0,0.0,0.0,1366.0,14.0,68.0,87.0,2.89,78.0,2.0,5.0,2.0,0.0,0.0,12.0,0.4,11.0,0.0,0.0,1.0,0.0,0.0,28.0,21.0,15.0,11.0,2.0,16.0,24.0,66.7,8.0,23.0,5.0,18.0,29.0,57.0,62.0,0.0,2099.0,83.0,511.0,792.0,824.0,82.0,2099.0,45.0,35.0,77.8,10.0,22.2,1204.0,8306.0,5232.0,170.0,96.0,38.0,17.0,12.0,1371.0,288.0,32,2712.0,85.0,79.3,30.1,31,87.0,28.0,1,29.0,0,1.5,50.0,42.0,8.0,0.27,-0.62,50.9,37.0,14.0,0.46,-0.46,8.0,0.0,0.0,12.0,31.0,8.0,194.0,29.0,21.0,0.0,0.0,0.0,172.0,15.0,42.0,26.3
Pablo Sarabia,es ESP,"MF,FW",26.0,30.3,12.0,74.0,30.0,40.5,2.44,0.99,0.15,0.37,17.1,2.0,1.0,1.0,12.0,11.3,0.15,0.0,-0.3,1045.0,1442.0,72.5,16471.0,5252.0,579.0,683.0,84.8,352.0,456.0,77.2,78.0,187.0,41.7,13.0,11.1,9.0,1.9,68.0,94.0,66.0,14.0,191.0,1442.0,1256.0,175.0,37.0,4.0,15.0,183.0,40.0,97.0,34.0,27.0,4.0,1045.0,11.0,53.0,152.0,5.02,120.0,18.0,4.0,5.0,5.0,0.0,21.0,0.69,20.0,1.0,0.0,0.0,0.0,0.0,30.0,15.0,6.0,15.0,9.0,6.0,47.0,12.8,41.0,30.0,3.0,27.0,22.0,52.0,20.0,0.0,1777.0,17.0,184.0,645.0,961.0,150.0,1776.0,64.0,28.0,43.8,36.0,56.3,1093.0,5474.0,2942.0,100.0,75.0,31.0,62.0,36.0,1276.0,327.0,33,2724.0,83.0,79.6,30.3,30,87.0,23.0,3,34.0,0,1.58,55.0,36.0,19.0,0.63,1.14,56.9,34.0,22.9,0.76,0.96,9.0,0.0,0.0,45.0,48.0,18.0,183.0,22.0,15.0,0.0,0.0,0.0,141.0,10.0,32.0,23.8
Franco Vázquez,ar ARG,MF,29.0,25.3,3.0,45.0,8.0,17.8,1.78,0.32,0.07,0.38,18.1,0.0,0.0,0.0,4.1,4.1,0.09,-1.1,-1.1,870.0,1120.0,77.7,14100.0,4018.0,450.0,524.0,85.9,310.0,378.0,82.0,78.0,120.0,65.0,4.0,3.9,3.6,0.1,29.0,90.0,26.0,6.0,171.0,1120.0,1072.0,37.0,18.0,9.0,10.0,25.0,16.0,1.0,0.0,0.0,0.0,870.0,11.0,37.0,72.0,2.84,57.0,1.0,3.0,2.0,7.0,2.0,9.0,0.36,9.0,0.0,0.0,0.0,0.0,0.0,51.0,37.0,21.0,21.0,9.0,23.0,66.0,34.8,43.0,25.0,2.0,23.0,23.0,74.0,27.0,1.0,1443.0,31.0,230.0,773.0,465.0,56.0,1443.0,75.0,44.0,58.7,31.0,41.3,861.0,5303.0,2596.0,79.0,60.0,13.0,55.0,62.0,1025.0,99.0,34,2280.0,67.0,66.7,25.3,26,78.0,13.0,8,31.0,1,1.53,42.0,28.0,14.0,0.55,0.47,45.3,30.5,14.9,0.59,0.08,8.0,1.0,0.0,52.0,71.0,4.0,25.0,23.0,37.0,0.0,1.0,0.0,153.0,60.0,54.0,52.6
André Silva,pt POR,FW,22.0,24.0,9.0,63.0,26.0,41.3,2.63,1.08,0.14,0.35,13.2,0.0,0.0,0.0,10.3,10.3,0.16,-1.3,-1.3,400.0,560.0,71.4,5163.0,1309.0,260.0,325.0,80.0,106.0,144.0,73.6,11.0,22.0,50.0,0.0,4.3,2.2,-4.3,29.0,23.0,23.0,2.0,74.0,560.0,508.0,46.0,1.0,5.0,2.0,11.0,5.0,0.0,0.0,0.0,0.0,400.0,6.0,21.0,67.0,2.79,53.0,0.0,5.0,3.0,6.0,0.0,6.0,0.25,3.0,0.0,0.0,1.0,2.0,0.0,8.0,5.0,1.0,4.0,3.0,1.0,11.0,9.1,10.0,17.0,1.0,16.0,3.0,11.0,32.0,0.0,824.0,34.0,64.0,348.0,425.0,126.0,824.0,43.0,14.0,32.6,29.0,67.4,486.0,2795.0,1371.0,50.0,41.0,29.0,56.0,56.0,615.0,191.0,27,2159.0,80.0,63.1,24.0,25,85.0,18.0,2,14.0,1,1.67,34.0,26.0,8.0,0.33,-0.17,45.0,29.2,15.8,0.66,0.27,4.0,0.0,0.0,42.0,28.0,17.0,11.0,3.0,5.0,2.0,0.0,0.0,57.0,66.0,93.0,41.5
Simon Kjær,dk DEN,DF,29.0,22.3,0.0,13.0,3.0,23.1,0.58,0.13,0.0,0.0,14.0,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9,777.0,910.0,85.4,15448.0,6439.0,261.0,276.0,94.6,403.0,435.0,92.6,100.0,172.0,58.1,0.0,0.5,0.7,-0.5,6.0,40.0,6.0,0.0,51.0,910.0,882.0,25.0,25.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,3.0,5.0,14.0,0.63,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,25.0,3.0,1.0,9.0,16.0,56.3,7.0,41.0,34.0,7.0,27.0,56.0,136.0,0.0,1171.0,186.0,722.0,425.0,28.0,20.0,1171.0,0.0,0.0,,0.0,,572.0,2394.0,1186.0,2.0,1.0,0.0,4.0,1.0,642.0,2.0,26,2008.0,77.0,58.7,22.3,25,80.0,16.0,1,4.0,4,1.46,31.0,30.0,1.0,0.04,-0.85,35.5,29.8,5.7,0.25,-0.74,5.0,0.0,0.0,21.0,14.0,0.0,0.0,27.0,19.0,0.0,0.0,0.0,108.0,74.0,36.0,67.3
Daniel Carriço,pt POR,DF,29.0,23.7,1.0,9.0,3.0,33.3,0.38,0.13,0.11,0.33,18.5,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,802.0,1009.0,79.5,15263.0,6512.0,312.0,349.0,89.4,372.0,435.0,85.5,103.0,189.0,54.5,1.0,0.3,1.4,0.7,5.0,57.0,8.0,1.0,65.0,1009.0,967.0,39.0,36.0,1.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,802.0,3.0,11.0,21.0,0.89,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,23.0,11.0,1.0,12.0,20.0,60.0,8.0,19.0,12.0,7.0,31.0,66.0,104.0,1.0,1239.0,130.0,620.0,576.0,55.0,19.0,1239.0,9.0,8.0,88.9,1.0,11.1,602.0,3147.0,1846.0,14.0,9.0,0.0,6.0,6.0,679.0,2.0,24,2130.0,89.0,62.3,23.7,24,89.0,22.0,0,,2,2.08,49.0,23.0,26.0,1.1,1.87,45.9,26.1,19.8,0.84,0.74,10.0,0.0,0.0,30.0,6.0,1.0,2.0,31.0,18.0,0.0,0.0,0.0,118.0,58.0,47.0,55.2
Roque Mesa,es ESP,MF,29.0,19.4,2.0,28.0,7.0,25.0,1.44,0.36,0.07,0.29,21.0,1.0,0.0,0.0,1.2,1.2,0.04,0.8,0.8,817.0,961.0,85.0,13287.0,3520.0,434.0,468.0,92.7,274.0,307.0,89.3,76.0,112.0,67.9,2.0,1.7,2.1,0.3,19.0,76.0,25.0,11.0,98.0,961.0,917.0,38.0,28.0,2.0,12.0,39.0,2.0,8.0,2.0,4.0,1.0,817.0,6.0,23.0,57.0,2.94,40.0,4.0,2.0,4.0,3.0,4.0,5.0,0.26,4.0,0.0,1.0,0.0,0.0,0.0,46.0,27.0,16.0,22.0,8.0,15.0,38.0,39.5,23.0,16.0,0.0,16.0,14.0,60.0,12.0,4.0,1146.0,21.0,226.0,636.0,308.0,28.0,1146.0,33.0,23.0,69.7,10.0,30.3,751.0,4347.0,2116.0,45.0,34.0,4.0,36.0,34.0,803.0,56.0,31,1746.0,56.0,51.1,19.4,20,77.0,11.0,11,18.0,4,1.58,34.0,27.0,7.0,0.36,-0.07,34.0,23.4,10.5,0.54,-0.03,11.0,1.0,1.0,45.0,26.0,2.0,39.0,14.0,27.0,1.0,1.0,0.0,153.0,12.0,20.0,37.5
