player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Branimir Hrgota,se SWE,FW,28.0,30.9,9.0,60.0,20.0,33.3,1.94,0.65,0.07,0.2,20.3,6.0,5.0,5.0,9.1,5.1,0.09,-0.1,-1.1,524.0,748.0,70.1,8121.0,2185.0,277.0,342.0,81.0,179.0,234.0,76.5,41.0,73.0,56.2,5.0,4.1,2.7,0.9,35.0,52.0,24.0,3.0,87.0,748.0,671.0,71.0,12.0,5.0,2.0,65.0,10.0,15.0,8.0,6.0,0.0,524.0,6.0,30.0,80.0,2.59,50.0,6.0,7.0,9.0,5.0,3.0,11.0,0.36,8.0,0.0,0.0,1.0,2.0,0.0,46.0,29.0,10.0,31.0,5.0,21.0,72.0,29.2,51.0,27.0,1.0,26.0,11.0,57.0,3.0,1.0,1127.0,9.0,82.0,512.0,550.0,93.0,1122.0,82.0,33.0,40.2,49.0,59.8,692.0,4222.0,1508.0,51.0,43.0,15.0,93.0,54.0,751.0,200.0,34,2777.0,82.0,90.8,30.9,33,83.0,18,1,27.0,0,0.53,26.0,74.0,-48.0,-1.56,0.35,27.9,53.4,-25.5,-0.83,0.67,4.0,0.0,0.0,56.0,64.0,12.0,65.0,11.0,29.0,0.0,0.0,0.0,137.0,16.0,66.0,19.5
Sebastian Griesbeck,de GER,"DF,MF",30.0,27.1,1.0,7.0,2.0,28.6,0.26,0.07,0.14,0.5,12.0,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4,689.0,878.0,78.5,13294.0,4206.0,240.0,269.0,89.2,346.0,393.0,88.0,86.0,168.0,51.2,0.0,0.1,0.3,-0.1,2.0,42.0,1.0,0.0,50.0,878.0,845.0,31.0,31.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,689.0,2.0,19.0,7.0,0.26,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,31.0,38.0,19.0,3.0,39.0,62.0,62.9,23.0,38.0,13.0,25.0,43.0,103.0,100.0,1.0,1171.0,134.0,625.0,512.0,44.0,18.0,1171.0,7.0,4.0,57.1,3.0,42.9,547.0,2471.0,953.0,3.0,4.0,0.0,24.0,8.0,572.0,3.0,29,2439.0,84.0,79.7,27.1,28,87.0,25,1,4.0,0,0.55,20.0,59.0,-39.0,-1.44,0.73,23.0,45.5,-22.5,-0.83,0.29,7.0,0.0,0.0,32.0,16.0,0.0,1.0,43.0,31.0,0.0,1.0,2.0,148.0,56.0,43.0,56.6
Marco Meyerhöfer,de GER,DF,25.0,25.3,1.0,10.0,2.0,20.0,0.39,0.08,0.1,0.5,17.2,0.0,0.0,0.0,1.2,1.2,0.12,-0.2,-0.2,878.0,1200.0,73.2,13765.0,6400.0,477.0,534.0,89.3,315.0,438.0,71.9,65.0,143.0,45.5,0.0,0.8,0.9,-0.8,18.0,72.0,7.0,3.0,87.0,1200.0,898.0,297.0,18.0,0.0,0.0,43.0,279.0,0.0,0.0,0.0,0.0,878.0,5.0,41.0,44.0,1.74,32.0,3.0,3.0,1.0,2.0,3.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,53.0,35.0,22.0,22.0,9.0,24.0,37.0,64.9,13.0,38.0,19.0,19.0,47.0,100.0,64.0,1.0,1492.0,101.0,484.0,684.0,337.0,23.0,1492.0,35.0,19.0,54.3,16.0,45.7,640.0,3165.0,1555.0,33.0,19.0,5.0,27.0,10.0,656.0,49.0,26,2280.0,88.0,74.5,25.3,25,90.0,25,1,30.0,0,0.62,21.0,59.0,-38.0,-1.5,0.35,24.1,45.1,-21.0,-0.83,0.24,0.0,0.0,0.0,16.0,25.0,1.0,43.0,47.0,35.0,0.0,1.0,1.0,141.0,23.0,24.0,48.9
Nick Viergever,nl NED,DF,31.0,23.7,0.0,2.0,1.0,50.0,0.08,0.04,0.0,0.0,5.7,0.0,0.0,0.0,0.4,0.4,0.19,-0.4,-0.4,875.0,1091.0,80.2,17442.0,7384.0,255.0,290.0,87.9,528.0,607.0,87.0,89.0,174.0,51.1,0.0,0.5,0.4,-0.5,1.0,43.0,0.0,0.0,50.0,1091.0,990.0,96.0,75.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,875.0,5.0,8.0,9.0,0.38,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,25.0,7.0,0.0,24.0,34.0,70.6,10.0,31.0,22.0,9.0,37.0,69.0,119.0,1.0,1346.0,225.0,815.0,528.0,17.0,4.0,1346.0,1.0,1.0,100.0,0.0,0.0,655.0,3253.0,1824.0,5.0,3.0,0.0,11.0,7.0,720.0,2.0,24,2133.0,89.0,69.7,23.7,24,89.0,23,0,,0,0.54,19.0,50.0,-31.0,-1.31,0.92,20.5,37.3,-16.8,-0.71,0.59,2.0,0.0,0.0,14.0,6.0,0.0,1.0,37.0,23.0,0.0,0.0,0.0,133.0,24.0,36.0,40.0
Paul Seguin,de GER,MF,26.0,23.4,0.0,11.0,2.0,18.2,0.47,0.09,0.0,0.0,23.8,2.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,857.0,1124.0,76.2,13787.0,4613.0,426.0,497.0,85.7,319.0,388.0,82.2,71.0,139.0,51.1,3.0,2.0,2.7,1.0,21.0,105.0,19.0,5.0,118.0,1124.0,1060.0,60.0,45.0,4.0,8.0,41.0,0.0,9.0,1.0,8.0,0.0,857.0,4.0,28.0,55.0,2.35,43.0,6.0,1.0,2.0,3.0,0.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,50.0,31.0,15.0,32.0,3.0,26.0,56.0,46.4,30.0,27.0,3.0,24.0,19.0,69.0,30.0,1.0,1354.0,43.0,233.0,849.0,285.0,24.0,1354.0,30.0,14.0,46.7,16.0,53.3,733.0,3435.0,1441.0,28.0,25.0,4.0,36.0,19.0,847.0,48.0,27,2108.0,78.0,68.9,23.4,23,87.0,18,4,28.0,0,0.56,18.0,54.0,-36.0,-1.54,0.16,21.6,39.6,-18.1,-0.77,0.38,9.0,0.0,0.0,42.0,26.0,0.0,41.0,19.0,31.0,0.0,0.0,0.0,170.0,30.0,27.0,52.6
Timothy Tillman,de GER,MF,22.0,22.3,1.0,24.0,8.0,33.3,1.08,0.36,0.04,0.13,19.1,2.0,0.0,0.0,1.6,1.6,0.07,-0.6,-0.6,506.0,713.0,71.0,8219.0,2674.0,242.0,284.0,85.2,206.0,256.0,80.5,39.0,104.0,37.5,2.0,2.7,2.8,-0.7,29.0,43.0,21.0,3.0,85.0,713.0,621.0,87.0,27.0,3.0,4.0,67.0,2.0,42.0,30.0,7.0,4.0,506.0,5.0,34.0,50.0,2.25,31.0,9.0,4.0,3.0,1.0,2.0,4.0,0.18,3.0,0.0,1.0,0.0,0.0,0.0,43.0,26.0,17.0,18.0,8.0,19.0,42.0,45.2,23.0,33.0,4.0,29.0,12.0,55.0,26.0,0.0,994.0,42.0,214.0,517.0,284.0,23.0,994.0,68.0,38.0,55.9,30.0,44.1,540.0,3064.0,1226.0,33.0,18.0,11.0,69.0,28.0,592.0,83.0,29,2004.0,69.0,65.5,22.3,23,80.0,4,6,26.0,5,0.59,21.0,47.0,-26.0,-1.17,1.22,18.8,41.0,-22.2,-1.0,-0.32,3.0,0.0,0.0,37.0,42.0,1.0,67.0,12.0,26.0,0.0,1.0,0.0,136.0,10.0,28.0,26.3
Max Christiansen,de GER,MF,24.0,22.8,0.0,10.0,1.0,10.0,0.44,0.04,0.0,0.0,24.6,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,739.0,935.0,79.0,12869.0,3469.0,333.0,406.0,82.0,324.0,381.0,85.0,66.0,102.0,64.7,0.0,0.5,0.4,-0.5,12.0,57.0,5.0,2.0,79.0,935.0,917.0,16.0,14.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,739.0,2.0,17.0,28.0,1.23,25.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,46.0,25.0,19.0,22.0,5.0,18.0,43.0,41.9,25.0,52.0,16.0,36.0,68.0,114.0,56.0,0.0,1234.0,102.0,384.0,758.0,103.0,7.0,1234.0,12.0,5.0,41.7,7.0,58.3,561.0,2483.0,990.0,8.0,12.0,0.0,16.0,8.0,634.0,9.0,27,2054.0,76.0,67.1,22.8,22,86.0,17,5,33.0,3,0.59,21.0,56.0,-35.0,-1.53,0.17,20.6,43.1,-22.5,-0.99,-0.3,5.0,0.0,0.0,20.0,19.0,1.0,3.0,68.0,25.0,0.0,0.0,0.0,179.0,41.0,39.0,51.3
Jamie Leweling,de GER,"FW,MF",20.0,21.8,5.0,44.0,17.0,38.6,2.02,0.78,0.11,0.29,17.6,0.0,0.0,0.0,4.0,4.0,0.09,1.0,1.0,255.0,415.0,61.4,3917.0,807.0,128.0,181.0,70.7,90.0,134.0,67.2,18.0,47.0,38.3,1.0,1.7,1.7,-0.7,16.0,17.0,13.0,4.0,34.0,415.0,379.0,34.0,2.0,0.0,4.0,40.0,15.0,0.0,0.0,0.0,0.0,255.0,2.0,20.0,45.0,2.07,22.0,0.0,10.0,3.0,8.0,2.0,5.0,0.23,2.0,0.0,2.0,0.0,1.0,0.0,13.0,8.0,3.0,7.0,3.0,3.0,16.0,18.8,13.0,9.0,0.0,9.0,13.0,26.0,5.0,0.0,713.0,8.0,70.0,310.0,346.0,74.0,713.0,90.0,46.0,51.1,44.0,48.9,491.0,3806.0,1706.0,76.0,27.0,34.0,87.0,56.0,525.0,153.0,33,1959.0,59.0,64.0,21.8,22,80.0,11,11,19.0,0,0.55,21.0,50.0,-29.0,-1.33,0.71,18.9,38.3,-19.4,-0.89,0.0,3.0,0.0,0.0,17.0,49.0,17.0,40.0,13.0,8.0,1.0,0.0,0.0,77.0,14.0,50.0,21.9
Jetro Willems,nl NED,DF,27.0,17.8,1.0,11.0,3.0,27.3,0.62,0.17,0.09,0.33,19.5,1.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,626.0,887.0,70.6,11117.0,4974.0,284.0,343.0,82.8,270.0,369.0,73.2,66.0,127.0,52.0,0.0,1.4,1.8,-1.4,12.0,46.0,13.0,6.0,72.0,887.0,673.0,213.0,21.0,1.0,5.0,40.0,182.0,10.0,9.0,1.0,0.0,626.0,1.0,23.0,23.0,1.3,21.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,18.0,10.0,2.0,15.0,26.0,57.7,11.0,15.0,3.0,12.0,14.0,44.0,42.0,0.0,1069.0,59.0,310.0,541.0,229.0,13.0,1069.0,28.0,15.0,53.6,13.0,46.4,507.0,2029.0,1103.0,17.0,16.0,1.0,26.0,11.0,525.0,31.0,24,1598.0,67.0,52.2,17.8,20,73.0,3,4,32.0,7,0.5,15.0,39.0,-24.0,-1.35,0.5,13.2,29.5,-16.2,-0.91,-0.05,5.0,0.0,0.0,14.0,11.0,0.0,40.0,14.0,15.0,0.0,0.0,0.0,119.0,19.0,16.0,54.3
Maximilian Bauer,de GER,DF,21.0,18.8,0.0,5.0,1.0,20.0,0.27,0.05,0.0,0.0,12.6,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,723.0,897.0,80.6,14772.0,5431.0,228.0,263.0,86.7,390.0,441.0,88.4,103.0,172.0,59.9,0.0,0.0,0.1,0.0,1.0,20.0,0.0,0.0,27.0,897.0,849.0,45.0,42.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,723.0,3.0,8.0,8.0,0.43,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,15.0,17.0,10.0,1.0,11.0,28.0,39.3,17.0,24.0,14.0,10.0,29.0,57.0,99.0,0.0,1102.0,164.0,685.0,401.0,20.0,12.0,1102.0,2.0,1.0,50.0,1.0,50.0,601.0,2610.0,1135.0,4.0,3.0,0.0,5.0,2.0,634.0,0.0,26,1690.0,65.0,55.2,18.8,18,87.0,16,8,16.0,4,0.65,12.0,54.0,-42.0,-2.24,-1.45,15.3,36.2,-20.9,-1.11,-0.5,5.0,0.0,0.0,26.0,10.0,1.0,1.0,29.0,15.0,0.0,1.0,1.0,90.0,49.0,36.0,57.6
Gian-Luca Itter,de GER,DF,22.0,16.2,0.0,5.0,1.0,20.0,0.31,0.06,0.0,0.0,18.9,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,588.0,814.0,72.2,10340.0,4127.0,246.0,288.0,85.4,286.0,376.0,76.1,46.0,121.0,38.0,1.0,0.8,1.6,0.2,10.0,49.0,10.0,6.0,57.0,814.0,651.0,157.0,18.0,0.0,2.0,49.0,123.0,16.0,14.0,2.0,0.0,588.0,6.0,9.0,29.0,1.79,16.0,8.0,3.0,1.0,0.0,1.0,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,44.0,26.0,30.0,11.0,3.0,21.0,38.0,55.3,17.0,24.0,9.0,15.0,13.0,57.0,51.0,0.0,990.0,70.0,365.0,439.0,196.0,7.0,990.0,20.0,14.0,70.0,6.0,30.0,414.0,2122.0,1241.0,28.0,17.0,1.0,12.0,6.0,525.0,40.0,24,1455.0,61.0,47.5,16.2,16,82.0,11,8,19.0,2,0.54,12.0,36.0,-24.0,-1.48,0.2,15.6,27.8,-12.2,-0.75,0.26,3.0,0.0,0.0,18.0,5.0,0.0,49.0,13.0,26.0,0.0,0.0,0.0,92.0,17.0,21.0,44.7
Jeremy Dudziak,tn TUN,"MF,FW",25.0,12.6,2.0,16.0,4.0,25.0,1.27,0.32,0.13,0.5,14.3,0.0,0.0,0.0,2.4,2.4,0.16,-0.4,-0.4,222.0,341.0,65.1,3339.0,1028.0,118.0,159.0,74.2,74.0,99.0,74.7,15.0,39.0,38.5,0.0,1.1,1.4,-1.1,13.0,19.0,8.0,3.0,33.0,341.0,291.0,47.0,13.0,5.0,0.0,34.0,1.0,17.0,13.0,2.0,0.0,222.0,3.0,13.0,31.0,2.46,21.0,2.0,1.0,2.0,5.0,0.0,4.0,0.32,1.0,0.0,1.0,0.0,2.0,0.0,17.0,6.0,5.0,8.0,4.0,3.0,14.0,21.4,11.0,8.0,0.0,8.0,10.0,27.0,4.0,0.0,465.0,4.0,57.0,226.0,190.0,31.0,465.0,33.0,14.0,42.4,19.0,57.6,242.0,1442.0,593.0,18.0,17.0,8.0,29.0,23.0,273.0,62.0,22,1134.0,52.0,37.1,12.6,15,70.0,3,7,12.0,3,0.64,12.0,26.0,-14.0,-1.11,0.76,14.2,19.3,-5.1,-0.41,0.77,1.0,0.0,0.0,11.0,24.0,3.0,34.0,10.0,6.0,2.0,0.0,0.0,55.0,9.0,19.0,32.1
Håvard Nielsen,no NOR,"MF,FW",28.0,15.2,2.0,28.0,10.0,35.7,1.84,0.66,0.07,0.2,13.5,0.0,0.0,0.0,2.0,2.0,0.07,0.0,0.0,224.0,342.0,65.5,2874.0,902.0,141.0,202.0,69.8,63.0,90.0,70.0,5.0,8.0,62.5,0.0,0.1,0.5,-0.1,4.0,26.0,4.0,1.0,43.0,342.0,335.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,224.0,3.0,14.0,22.0,1.45,14.0,0.0,3.0,1.0,3.0,1.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,5.0,11.0,1.0,8.0,21.0,38.1,13.0,18.0,1.0,17.0,7.0,24.0,22.0,0.0,550.0,24.0,71.0,283.0,201.0,58.0,550.0,33.0,16.0,48.5,17.0,51.5,293.0,1341.0,570.0,21.0,14.0,9.0,50.0,19.0,381.0,76.0,26,1367.0,53.0,44.7,15.2,14,70.0,2,12,32.0,0,0.65,13.0,43.0,-30.0,-1.98,-0.7,11.7,27.9,-16.2,-1.07,-0.32,2.0,0.0,0.0,27.0,24.0,10.0,3.0,7.0,12.0,0.0,0.0,0.0,50.0,58.0,57.0,50.4
Sascha Burchert,de GER,GK,31.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,334.0,560.0,59.6,11556.0,9168.0,31.0,31.0,100.0,129.0,133.0,97.0,174.0,392.0,44.4,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,2.0,560.0,399.0,157.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,4.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,598.0,501.0,590.0,8.0,0.0,0.0,598.0,0.0,0.0,,0.0,,326.0,1688.0,1162.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,14,1260.0,90.0,41.2,14.0,14,90.0,14,0,,17,0.71,11.0,28.0,-17.0,-1.21,0.64,11.9,21.5,-9.6,-0.68,0.35,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,100.0
Andreas Linde,se SWE,GK,28.0,12.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,324.0,501.0,64.7,8748.0,6370.0,59.0,61.0,96.7,162.0,168.0,96.4,100.0,263.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,501.0,383.0,112.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,6.0,1.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,527.0,445.0,520.0,7.0,0.0,0.0,527.0,1.0,1.0,100.0,0.0,0.0,324.0,1630.0,881.0,0.0,0.0,0.0,1.0,0.0,261.0,0.0,12,1080.0,90.0,35.3,12.0,12,90.0,12,0,,4,0.67,9.0,24.0,-15.0,-1.25,0.52,9.8,19.2,-9.4,-0.78,0.16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,100.0
Julian Green,us USA,MF,26.0,11.7,0.0,19.0,5.0,26.3,1.62,0.43,0.0,0.0,25.6,2.0,0.0,0.0,0.6,0.6,0.03,-0.6,-0.6,322.0,433.0,74.4,5029.0,1365.0,177.0,197.0,89.8,110.0,133.0,82.7,23.0,72.0,31.9,0.0,0.6,1.0,-0.6,10.0,31.0,9.0,3.0,44.0,433.0,360.0,72.0,39.0,0.0,8.0,57.0,2.0,29.0,17.0,11.0,0.0,322.0,1.0,11.0,31.0,2.65,18.0,7.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,8.0,1.0,2.0,8.0,25.0,6.0,10.0,2.0,8.0,7.0,16.0,10.0,0.0,538.0,9.0,67.0,286.0,193.0,10.0,538.0,17.0,8.0,47.1,9.0,52.9,290.0,1690.0,849.0,29.0,27.0,1.0,19.0,5.0,342.0,46.0,24,1054.0,44.0,34.4,11.7,12,71.0,2,12,17.0,9,0.38,4.0,34.0,-30.0,-2.56,-1.48,8.3,20.7,-12.3,-1.05,-0.25,2.0,0.0,0.0,13.0,38.0,0.0,57.0,7.0,5.0,0.0,0.0,0.0,64.0,5.0,18.0,21.7
