player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Wataru Endo,jp JPN,MF,28.0,32.2,4.0,45.0,16.0,35.6,1.4,0.5,0.09,0.25,16.3,0.0,0.0,0.0,5.0,4.8,0.11,-1.0,-0.8,1264.0,1579.0,80.1,20790.0,6227.0,624.0,737.0,84.7,511.0,586.0,87.2,96.0,149.0,64.4,2.0,1.3,2.6,0.7,22.0,126.0,14.0,2.0,165.0,1579.0,1548.0,22.0,17.0,8.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,1264.0,9.0,35.0,63.0,1.96,52.0,0.0,2.0,4.0,3.0,2.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,73.0,41.0,34.0,34.0,5.0,31.0,72.0,43.1,41.0,43.0,12.0,31.0,30.0,103.0,64.0,0.0,1981.0,96.0,494.0,1151.0,359.0,54.0,1981.0,54.0,34.0,63.0,20.0,37.0,1051.0,4554.0,2186.0,34.0,29.0,6.0,51.0,42.0,1290.0,63.0,33,2899.0,88.0,94.7,32.2,33,88.0,29,0,,0,0.97,37.0,57.0,-20.0,-0.62,-1.74,40.9,52.0,-11.1,-0.34,-0.83,4.0,0.0,0.0,30.0,61.0,1.0,7.0,30.0,41.0,0.0,0.0,0.0,226.0,75.0,38.0,66.4
Konstantinos Mavropanos,gr GRE,DF,23.0,30.1,4.0,33.0,11.0,33.3,1.1,0.37,0.12,0.36,13.9,0.0,0.0,0.0,2.7,2.7,0.08,1.3,1.3,1493.0,1859.0,80.3,30155.0,12003.0,568.0,645.0,88.1,670.0,777.0,86.2,235.0,373.0,63.0,0.0,0.4,0.8,-0.4,10.0,109.0,7.0,1.0,124.0,1859.0,1627.0,224.0,69.0,1.0,69.0,7.0,155.0,0.0,0.0,0.0,0.0,1493.0,8.0,23.0,31.0,1.03,19.0,1.0,1.0,7.0,1.0,2.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,57.0,39.0,35.0,21.0,1.0,30.0,51.0,58.8,21.0,46.0,23.0,23.0,69.0,126.0,174.0,2.0,2308.0,274.0,1069.0,1108.0,157.0,44.0,2308.0,33.0,18.0,54.5,15.0,45.5,1184.0,5967.0,3246.0,33.0,21.0,3.0,24.0,10.0,1302.0,18.0,31,2705.0,87.0,88.4,30.1,31,87.0,26,0,,0,1.03,39.0,54.0,-15.0,-0.5,0.26,38.6,48.4,-9.8,-0.33,-0.22,3.0,0.0,0.0,22.0,20.0,2.0,7.0,69.0,39.0,0.0,3.0,0.0,214.0,91.0,27.0,77.1
Florian Müller,de GER,GK,23.0,30.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,853.0,1014.0,84.1,19929.0,12915.0,243.0,243.0,100.0,390.0,394.0,99.0,205.0,361.0,56.8,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1014.0,725.0,288.0,48.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,2.0,1093.0,917.0,1084.0,9.0,0.0,0.0,1093.0,0.0,0.0,,0.0,,566.0,2738.0,1684.0,0.0,0.0,0.0,2.0,0.0,508.0,0.0,30,2700.0,90.0,88.2,30.0,30,90.0,30,0,,1,1.03,38.0,52.0,-14.0,-0.47,0.53,41.2,46.6,-5.4,-0.18,1.02,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,0.0,100.0
Waldemar Anton,de GER,DF,25.0,28.8,2.0,24.0,6.0,25.0,0.83,0.21,0.08,0.33,14.1,0.0,0.0,0.0,2.1,2.1,0.09,-0.1,-0.1,1541.0,1826.0,84.4,30310.0,12113.0,509.0,559.0,91.1,853.0,941.0,90.6,165.0,283.0,58.3,1.0,1.4,1.7,-0.4,7.0,90.0,7.0,1.0,108.0,1826.0,1744.0,80.0,45.0,1.0,20.0,11.0,32.0,0.0,0.0,0.0,0.0,1541.0,2.0,14.0,37.0,1.28,31.0,0.0,1.0,2.0,2.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,22.0,15.0,3.0,19.0,32.0,59.4,13.0,27.0,16.0,11.0,32.0,72.0,116.0,1.0,2152.0,295.0,1116.0,969.0,95.0,34.0,2152.0,22.0,17.0,77.3,5.0,22.7,1356.0,7662.0,3975.0,26.0,14.0,0.0,25.0,13.0,1405.0,12.0,29,2595.0,89.0,84.8,28.8,29,89.0,27,0,,0,1.07,35.0,48.0,-13.0,-0.45,0.52,38.2,44.8,-6.6,-0.23,0.46,6.0,1.0,0.0,29.0,16.0,1.0,11.0,32.0,26.0,0.0,0.0,0.0,208.0,62.0,52.0,54.4
Borna Sosa,hr CRO,"DF,FW",23.0,27.8,1.0,25.0,6.0,24.0,0.9,0.22,0.04,0.17,22.6,2.0,0.0,0.0,0.9,0.9,0.04,0.1,0.1,1294.0,1779.0,72.7,20983.0,8383.0,694.0,810.0,85.7,414.0,571.0,72.5,129.0,277.0,46.6,8.0,6.8,9.2,1.2,61.0,96.0,61.0,31.0,139.0,1779.0,1385.0,388.0,77.0,3.0,11.0,239.0,244.0,67.0,14.0,50.0,0.0,1294.0,6.0,35.0,117.0,4.22,74.0,28.0,5.0,4.0,5.0,1.0,15.0,0.54,11.0,2.0,1.0,0.0,1.0,0.0,22.0,12.0,14.0,5.0,3.0,12.0,26.0,46.2,14.0,30.0,3.0,27.0,26.0,48.0,61.0,0.0,2024.0,74.0,461.0,874.0,727.0,28.0,2024.0,50.0,35.0,70.0,15.0,30.0,1150.0,6323.0,3822.0,104.0,75.0,8.0,40.0,15.0,1246.0,200.0,28,2498.0,89.0,81.6,27.8,28,89.0,26,0,,0,1.04,36.0,47.0,-11.0,-0.4,0.72,35.5,41.5,-6.0,-0.22,0.46,4.0,0.0,0.0,13.0,26.0,0.0,239.0,26.0,12.0,0.0,0.0,0.0,149.0,20.0,19.0,51.3
Hiroki Ito,jp JPN,DF,22.0,26.1,1.0,11.0,2.0,18.2,0.42,0.08,0.09,0.5,22.5,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,1486.0,1834.0,81.0,29708.0,12106.0,521.0,570.0,91.4,747.0,822.0,90.9,202.0,392.0,51.5,1.0,1.1,1.7,-0.1,15.0,111.0,12.0,1.0,120.0,1834.0,1737.0,90.0,34.0,2.0,22.0,21.0,54.0,1.0,1.0,0.0,0.0,1486.0,7.0,8.0,26.0,1.0,20.0,3.0,0.0,2.0,0.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,43.0,31.0,21.0,19.0,3.0,25.0,43.0,58.1,18.0,40.0,19.0,21.0,53.0,96.0,95.0,0.0,2108.0,229.0,991.0,1021.0,108.0,13.0,2108.0,9.0,5.0,55.6,4.0,44.4,1289.0,5802.0,2991.0,21.0,16.0,1.0,17.0,2.0,1409.0,22.0,29,2348.0,81.0,76.7,26.1,26,88.0,23,3,23.0,3,0.79,27.0,45.0,-18.0,-0.69,-0.69,33.5,42.7,-9.2,-0.35,-0.22,2.0,0.0,0.0,21.0,9.0,0.0,21.0,53.0,31.0,0.0,0.0,1.0,170.0,40.0,37.0,51.9
Atakan Karazor,de GER,MF,24.0,21.1,0.0,9.0,2.0,22.2,0.43,0.09,0.0,0.0,26.6,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,830.0,1016.0,81.7,13376.0,4140.0,400.0,465.0,86.0,344.0,393.0,87.5,51.0,88.0,58.0,1.0,1.2,0.9,-0.2,17.0,72.0,8.0,1.0,82.0,1016.0,971.0,42.0,41.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,830.0,3.0,15.0,38.0,1.8,32.0,1.0,1.0,0.0,1.0,3.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,48.0,24.0,18.0,27.0,3.0,18.0,36.0,50.0,18.0,37.0,14.0,23.0,34.0,82.0,47.0,0.0,1285.0,97.0,375.0,785.0,134.0,11.0,1285.0,27.0,13.0,48.1,14.0,51.9,604.0,2290.0,1064.0,11.0,13.0,0.0,24.0,14.0,730.0,24.0,24,1898.0,79.0,62.0,21.1,23,82.0,15,1,16.0,4,1.29,24.0,35.0,-11.0,-0.52,0.02,26.3,34.0,-7.6,-0.36,-0.16,9.0,1.0,1.0,38.0,39.0,0.0,3.0,34.0,24.0,0.0,0.0,0.0,142.0,57.0,32.0,64.0
Orel Mangala,be BEL,MF,23.0,20.6,1.0,17.0,8.0,47.1,0.83,0.39,0.06,0.13,16.9,0.0,0.0,0.0,2.1,2.1,0.12,-1.1,-1.1,655.0,793.0,82.6,9824.0,2143.0,339.0,388.0,87.4,249.0,281.0,88.6,32.0,50.0,64.0,3.0,2.4,1.2,0.6,29.0,45.0,9.0,0.0,71.0,793.0,779.0,12.0,8.0,3.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,655.0,2.0,22.0,58.0,2.82,45.0,0.0,7.0,3.0,1.0,2.0,7.0,0.34,6.0,0.0,1.0,0.0,0.0,0.0,17.0,10.0,5.0,7.0,5.0,11.0,22.0,50.0,11.0,11.0,4.0,7.0,12.0,29.0,19.0,1.0,1002.0,30.0,183.0,543.0,290.0,44.0,1002.0,73.0,43.0,58.9,30.0,41.1,629.0,3218.0,1269.0,34.0,20.0,8.0,49.0,35.0,715.0,56.0,28,1853.0,66.0,60.6,20.6,22,76.0,8,6,30.0,2,0.89,23.0,31.0,-8.0,-0.39,0.36,26.4,31.3,-5.0,-0.24,0.15,4.0,0.0,0.0,26.0,27.0,0.0,9.0,12.0,10.0,0.0,0.0,0.0,110.0,10.0,19.0,34.5
Chris Führich,de GER,"FW,MF",23.0,19.0,3.0,30.0,12.0,40.0,1.58,0.63,0.1,0.25,19.6,0.0,0.0,0.0,3.2,3.2,0.11,-0.2,-0.2,553.0,698.0,79.2,8245.0,2406.0,292.0,331.0,88.2,173.0,212.0,81.6,42.0,77.0,54.5,2.0,4.2,4.9,-2.2,32.0,39.0,28.0,5.0,69.0,698.0,610.0,84.0,28.0,4.0,4.0,61.0,26.0,23.0,4.0,17.0,0.0,553.0,4.0,15.0,64.0,3.36,40.0,13.0,5.0,2.0,4.0,0.0,4.0,0.21,1.0,2.0,0.0,1.0,0.0,0.0,28.0,16.0,10.0,10.0,8.0,18.0,39.0,46.2,21.0,31.0,2.0,29.0,8.0,36.0,9.0,0.0,900.0,16.0,109.0,412.0,402.0,41.0,900.0,65.0,40.0,61.5,25.0,38.5,521.0,3376.0,1684.0,61.0,41.0,11.0,42.0,23.0,581.0,102.0,25,1714.0,69.0,56.0,19.0,21,76.0,5,4,30.0,0,1.0,21.0,27.0,-6.0,-0.32,0.49,24.3,30.2,-5.9,-0.31,-0.02,3.0,0.0,0.0,9.0,19.0,2.0,61.0,8.0,16.0,0.0,0.0,0.0,107.0,3.0,12.0,20.0
Omar Marmoush,eg EGY,FW,22.0,17.5,3.0,48.0,13.0,27.1,2.75,0.74,0.06,0.23,19.4,3.0,0.0,1.0,5.1,4.3,0.09,-2.1,-1.3,309.0,451.0,68.5,4764.0,1246.0,162.0,211.0,76.8,97.0,133.0,72.9,25.0,46.0,54.3,5.0,2.0,2.0,3.0,32.0,24.0,8.0,2.0,33.0,451.0,384.0,64.0,13.0,3.0,2.0,44.0,12.0,27.0,2.0,19.0,1.0,309.0,3.0,19.0,70.0,4.01,34.0,17.0,9.0,8.0,2.0,0.0,10.0,0.57,3.0,3.0,1.0,2.0,1.0,0.0,26.0,17.0,6.0,14.0,6.0,4.0,20.0,20.0,16.0,9.0,1.0,8.0,7.0,33.0,6.0,0.0,773.0,6.0,62.0,361.0,367.0,74.0,772.0,103.0,44.0,42.7,59.0,57.3,476.0,2993.0,1086.0,38.0,31.0,23.0,87.0,41.0,546.0,119.0,21,1571.0,75.0,51.3,17.5,19,78.0,5,2,43.0,0,1.33,23.0,26.0,-3.0,-0.17,0.73,20.2,25.3,-5.1,-0.29,0.02,3.0,0.0,0.0,33.0,57.0,7.0,44.0,7.0,17.0,0.0,0.0,0.0,81.0,28.0,31.0,47.5
Sasa Kalajdzic,at AUT,FW,24.0,13.6,6.0,36.0,13.0,36.1,2.65,0.96,0.14,0.38,13.2,0.0,1.0,2.0,6.6,5.0,0.14,-0.6,0.0,255.0,369.0,69.1,3608.0,715.0,145.0,191.0,75.9,71.0,105.0,67.6,17.0,28.0,60.7,1.0,2.5,1.2,-1.5,21.0,24.0,6.0,0.0,26.0,369.0,333.0,36.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,255.0,0.0,11.0,34.0,2.51,26.0,0.0,0.0,6.0,2.0,0.0,3.0,0.22,1.0,0.0,0.0,2.0,0.0,0.0,10.0,6.0,2.0,5.0,3.0,3.0,11.0,27.3,8.0,5.0,0.0,5.0,2.0,12.0,14.0,0.0,519.0,14.0,34.0,280.0,207.0,66.0,517.0,17.0,10.0,58.8,7.0,41.2,254.0,880.0,343.0,14.0,6.0,8.0,48.0,14.0,395.0,78.0,15,1221.0,81.0,39.9,13.6,13,89.0,12,2,32.0,1,1.0,16.0,21.0,-5.0,-0.37,0.27,21.0,17.2,3.7,0.27,0.96,2.0,0.0,0.0,11.0,18.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,37.0,62.0,37.0,62.6
Tiago Tomás,pt POR,FW,19.0,11.9,4.0,28.0,15.0,53.6,2.34,1.26,0.14,0.27,15.1,0.0,0.0,0.0,4.0,4.0,0.14,0.0,0.0,146.0,223.0,65.5,1787.0,393.0,91.0,120.0,75.8,38.0,56.0,67.9,3.0,16.0,18.8,0.0,1.5,1.3,-1.5,7.0,9.0,6.0,2.0,21.0,223.0,209.0,12.0,1.0,1.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,146.0,2.0,5.0,26.0,2.18,15.0,0.0,4.0,2.0,5.0,0.0,2.0,0.17,0.0,0.0,0.0,1.0,1.0,0.0,8.0,4.0,0.0,7.0,1.0,0.0,6.0,0.0,6.0,3.0,0.0,3.0,4.0,12.0,1.0,0.0,390.0,5.0,34.0,161.0,201.0,53.0,390.0,45.0,16.0,35.6,29.0,64.4,246.0,1398.0,613.0,23.0,13.0,19.0,57.0,11.0,282.0,92.0,14,1075.0,77.0,35.1,11.9,13,82.0,6,1,10.0,0,1.07,15.0,19.0,-4.0,-0.33,0.3,19.4,18.0,1.4,0.12,0.64,2.0,0.0,0.0,6.0,25.0,7.0,18.0,4.0,4.0,1.0,0.0,0.0,42.0,6.0,20.0,23.1
Tanguy Coulibaly,fr FRA,"FW,MF",20.0,12.0,0.0,13.0,3.0,23.1,1.08,0.25,0.0,0.0,16.8,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,239.0,326.0,73.3,3274.0,689.0,147.0,180.0,81.7,75.0,101.0,74.3,9.0,19.0,47.4,1.0,0.6,0.6,0.4,8.0,11.0,6.0,2.0,14.0,326.0,282.0,43.0,1.0,2.0,1.0,14.0,38.0,0.0,0.0,0.0,0.0,239.0,1.0,10.0,27.0,2.25,15.0,0.0,4.0,0.0,6.0,2.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,14.0,11.0,2.0,9.0,19.0,47.4,10.0,14.0,2.0,12.0,4.0,31.0,10.0,0.0,499.0,10.0,99.0,212.0,197.0,25.0,499.0,43.0,22.0,51.2,21.0,48.8,286.0,1857.0,807.0,27.0,21.0,7.0,43.0,15.0,307.0,88.0,21,1079.0,51.0,35.3,12.0,11,79.0,0,10,21.0,7,0.86,12.0,24.0,-12.0,-1.0,-0.73,11.6,19.3,-7.8,-0.65,-0.54,8.0,0.0,0.0,24.0,14.0,6.0,14.0,4.0,15.0,0.0,0.0,0.0,57.0,8.0,14.0,36.4
Philipp Förster,de GER,"MF,FW",26.0,10.7,2.0,29.0,7.0,24.1,2.7,0.65,0.07,0.29,17.9,1.0,0.0,0.0,2.8,2.8,0.09,-0.8,-0.8,377.0,444.0,84.9,5090.0,1267.0,222.0,243.0,91.4,114.0,129.0,88.4,16.0,18.0,88.9,1.0,1.3,1.8,-0.3,9.0,33.0,14.0,3.0,46.0,444.0,427.0,15.0,2.0,1.0,1.0,8.0,9.0,3.0,0.0,0.0,0.0,377.0,2.0,11.0,29.0,2.7,22.0,1.0,2.0,4.0,0.0,0.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,4.0,12.0,4.0,11.0,26.0,42.3,15.0,12.0,1.0,11.0,3.0,23.0,2.0,0.0,569.0,3.0,66.0,280.0,229.0,36.0,569.0,18.0,9.0,50.0,9.0,50.0,328.0,1963.0,1021.0,33.0,30.0,10.0,23.0,10.0,400.0,59.0,20,967.0,48.0,31.6,10.7,11,71.0,2,9,20.0,6,1.1,18.0,22.0,-4.0,-0.37,0.23,14.8,19.3,-4.5,-0.42,-0.17,4.0,0.0,0.0,15.0,9.0,2.0,8.0,3.0,13.0,0.0,0.0,0.0,58.0,10.0,11.0,47.6
Roberto Massimo,de GER,"DF,FW",20.0,9.7,2.0,20.0,11.0,55.0,2.05,1.13,0.1,0.18,18.5,0.0,0.0,0.0,2.2,2.2,0.11,-0.2,-0.2,222.0,295.0,75.3,3115.0,710.0,134.0,155.0,86.5,66.0,81.0,81.5,10.0,24.0,41.7,0.0,1.3,1.3,-1.3,12.0,9.0,6.0,3.0,11.0,295.0,245.0,50.0,1.0,0.0,0.0,17.0,45.0,0.0,0.0,0.0,0.0,222.0,0.0,13.0,22.0,2.26,16.0,0.0,3.0,3.0,0.0,0.0,2.0,0.21,0.0,0.0,1.0,1.0,0.0,0.0,14.0,5.0,6.0,7.0,1.0,4.0,16.0,25.0,12.0,9.0,0.0,9.0,3.0,17.0,6.0,0.0,422.0,8.0,91.0,170.0,168.0,28.0,422.0,34.0,16.0,47.1,18.0,52.9,232.0,1568.0,685.0,25.0,16.0,11.0,31.0,10.0,254.0,75.0,19,877.0,46.0,28.7,9.7,11,70.0,3,8,13.0,3,1.05,15.0,18.0,-3.0,-0.31,0.31,14.1,13.2,0.9,0.09,0.55,0.0,0.0,0.0,8.0,4.0,4.0,17.0,3.0,5.0,0.0,0.0,0.0,44.0,4.0,9.0,30.8
Marc-Oliver Kempf,de GER,DF,26.0,9.3,3.0,13.0,6.0,46.2,1.39,0.64,0.23,0.5,14.1,0.0,0.0,0.0,1.1,1.1,0.08,1.9,1.9,476.0,584.0,81.5,8371.0,3387.0,203.0,227.0,89.4,232.0,265.0,87.5,37.0,71.0,52.1,0.0,0.6,0.7,-0.6,5.0,46.0,4.0,0.0,56.0,584.0,560.0,23.0,17.0,2.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,476.0,1.0,9.0,17.0,1.82,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,7.0,4.0,2.0,3.0,10.0,30.0,7.0,16.0,14.0,2.0,16.0,29.0,26.0,2.0,691.0,76.0,266.0,378.0,55.0,17.0,691.0,7.0,5.0,71.4,2.0,28.6,377.0,1947.0,1045.0,11.0,13.0,1.0,9.0,2.0,439.0,6.0,12,840.0,70.0,27.5,9.3,10,82.0,7,2,12.0,2,1.08,13.0,21.0,-8.0,-0.86,-0.45,11.9,17.2,-5.3,-0.57,-0.37,2.0,0.0,0.0,13.0,8.0,0.0,2.0,16.0,8.0,0.0,1.0,0.0,62.0,29.0,18.0,61.7
Pascal Stenzel,de GER,DF,25.0,10.0,0.0,7.0,3.0,42.9,0.7,0.3,0.0,0.0,26.1,1.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,564.0,690.0,81.7,12118.0,4561.0,209.0,232.0,90.1,239.0,276.0,86.6,112.0,168.0,66.7,0.0,0.1,0.7,-0.1,5.0,46.0,7.0,2.0,54.0,690.0,568.0,122.0,27.0,0.0,24.0,18.0,93.0,2.0,1.0,1.0,0.0,564.0,0.0,8.0,19.0,1.91,15.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,15.0,5.0,4.0,17.0,33.0,51.5,16.0,13.0,3.0,10.0,11.0,35.0,25.0,0.0,783.0,39.0,282.0,410.0,100.0,3.0,783.0,7.0,1.0,14.3,6.0,85.7,408.0,1811.0,1073.0,13.0,9.0,1.0,5.0,2.0,457.0,20.0,16,899.0,56.0,29.4,10.0,9,80.0,6,7,26.0,11,0.88,9.0,13.0,-4.0,-0.4,0.18,14.5,14.6,-0.1,-0.01,0.41,1.0,0.0,0.0,13.0,4.0,0.0,18.0,11.0,11.0,0.0,0.0,0.0,84.0,13.0,12.0,52.0
Mateo Klimowicz,de GER,"MF,FW",21.0,6.7,0.0,11.0,3.0,27.3,1.64,0.45,0.0,0.0,18.7,0.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,140.0,193.0,72.5,2099.0,583.0,75.0,90.0,83.3,47.0,58.0,81.0,10.0,16.0,62.5,1.0,0.4,0.6,0.6,4.0,17.0,8.0,0.0,30.0,193.0,186.0,6.0,0.0,2.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,140.0,1.0,11.0,19.0,2.83,11.0,0.0,2.0,2.0,4.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,6.0,7.0,0.0,5.0,16.0,31.3,11.0,2.0,0.0,2.0,4.0,17.0,3.0,0.0,266.0,2.0,37.0,130.0,104.0,15.0,266.0,21.0,10.0,47.6,11.0,52.4,146.0,877.0,529.0,14.0,15.0,5.0,17.0,7.0,187.0,25.0,15,603.0,40.0,19.7,6.7,7,67.0,1,8,17.0,9,0.8,10.0,12.0,-2.0,-0.3,0.29,8.1,11.6,-3.5,-0.52,-0.27,2.0,0.0,0.0,9.0,9.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,21.0,2.0,4.0,33.3
Hamadi Al Ghaddioui,ma MAR,FW,30.0,5.5,2.0,12.0,4.0,33.3,2.17,0.72,0.17,0.5,11.3,0.0,0.0,0.0,1.7,1.7,0.14,0.3,0.3,76.0,112.0,67.9,873.0,127.0,45.0,64.0,70.3,20.0,28.0,71.4,1.0,1.0,100.0,2.0,1.0,0.8,1.0,8.0,1.0,2.0,0.0,5.0,112.0,99.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,6.0,12.0,2.17,11.0,0.0,0.0,1.0,0.0,0.0,3.0,0.54,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0,2.0,0.0,4.0,0.0,4.0,3.0,1.0,2.0,0.0,5.0,4.0,0.0,171.0,7.0,14.0,78.0,79.0,21.0,171.0,4.0,0.0,0.0,4.0,100.0,67.0,189.0,68.0,3.0,1.0,2.0,16.0,6.0,123.0,29.0,10,498.0,50.0,16.3,5.5,7,65.0,2,3,15.0,4,0.7,10.0,11.0,-1.0,-0.18,0.42,8.0,7.6,0.5,0.08,0.46,2.0,0.0,0.0,13.0,6.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,10.0,16.0,19.0,45.7
Nikolas Nartey,dk DEN,"MF,DF",21.0,4.5,0.0,1.0,0.0,0.0,0.22,0.0,0.0,,12.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,144.0,197.0,73.1,2143.0,656.0,81.0,99.0,81.8,52.0,68.0,76.5,7.0,18.0,38.9,0.0,0.1,0.9,-0.1,4.0,5.0,6.0,1.0,16.0,197.0,179.0,18.0,2.0,2.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,144.0,0.0,3.0,9.0,2.01,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,1.0,3.0,9.0,33.3,6.0,4.0,2.0,2.0,7.0,13.0,5.0,0.0,239.0,8.0,58.0,121.0,62.0,4.0,239.0,4.0,2.0,50.0,2.0,50.0,129.0,538.0,241.0,3.0,1.0,0.0,9.0,3.0,148.0,23.0,8,404.0,51.0,13.2,4.5,4,80.0,2,4,21.0,4,1.0,2.0,8.0,-6.0,-1.34,-0.93,3.1,7.8,-4.7,-1.05,-0.87,1.0,0.0,0.0,11.0,5.0,1.0,6.0,7.0,3.0,0.0,0.0,0.0,23.0,10.0,2.0,83.3
Fabian Bredlow,de GER,GK,26.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,116.0,129.0,89.9,2499.0,1700.0,39.0,39.0,100.0,56.0,57.0,98.2,20.0,32.0,62.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,129.0,89.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,141.0,116.0,139.0,2.0,0.0,0.0,141.0,0.0,0.0,,0.0,,74.0,310.0,215.0,0.0,0.0,0.0,2.0,0.0,56.0,0.0,4,360.0,90.0,11.8,4.0,4,90.0,4,0,,26,0.5,3.0,7.0,-4.0,-1.0,-0.53,2.5,7.4,-4.8,-1.2,-1.02,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
