player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Anthony Losilla,fr FRA,MF,35.0,32.6,2.0,34.0,9.0,26.5,1.04,0.28,0.06,0.22,19.3,0.0,0.0,0.0,2.2,2.2,0.06,-0.2,-0.2,960.0,1259.0,76.3,19031.0,5050.0,339.0,442.0,76.7,437.0,539.0,81.1,162.0,209.0,77.5,0.0,0.7,1.2,-0.7,16.0,55.0,11.0,2.0,96.0,1259.0,1224.0,30.0,28.0,0.0,19.0,10.0,2.0,0.0,0.0,0.0,0.0,960.0,5.0,11.0,45.0,1.42,37.0,0.0,1.0,3.0,2.0,2.0,2.0,0.06,1.0,0.0,1.0,0.0,0.0,0.0,65.0,39.0,29.0,30.0,6.0,34.0,69.0,49.3,35.0,32.0,9.0,23.0,70.0,135.0,53.0,1.0,1590.0,85.0,505.0,907.0,200.0,39.0,1590.0,28.0,19.0,67.9,9.0,32.1,642.0,2904.0,1079.0,14.0,8.0,3.0,32.0,16.0,728.0,25.0,33,2935.0,89.0,95.9,32.6,33,89.0,31,0,,0,1.24,37.0,50.0,-13.0,-0.4,0.32,39.4,55.2,-15.8,-0.5,-0.78,5.0,0.0,0.0,47.0,19.0,2.0,10.0,70.0,39.0,0.0,0.0,0.0,241.0,114.0,70.0,62.0
Manuel Riemann,de GER,GK,32.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.8,0.0,,-0.8,0.0,1003.0,1605.0,62.5,37987.0,31175.0,80.0,82.0,97.6,280.0,289.0,96.9,643.0,1223.0,52.6,1.0,0.3,0.4,0.7,5.0,83.0,5.0,0.0,6.0,1605.0,1217.0,379.0,136.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0,9.0,0.0,24.0,0.8,19.0,5.0,0.0,0.0,0.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,1.0,2.0,12.0,3.0,1678.0,1148.0,1607.0,72.0,1.0,1.0,1677.0,0.0,0.0,,0.0,,1053.0,5688.0,3848.0,0.0,0.0,0.0,1.0,0.0,848.0,0.0,31,2790.0,90.0,91.2,31.0,31,90.0,31,0,,0,1.16,29.0,45.0,-16.0,-0.52,-1.18,36.9,48.4,-11.5,-0.38,0.52,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.0,8.0,1.0,88.9
Danilo Soares,br BRA,DF,29.0,28.5,0.0,13.0,1.0,7.7,0.46,0.04,0.0,0.0,26.2,2.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,1237.0,1661.0,74.5,22177.0,8240.0,531.0,618.0,85.9,553.0,705.0,78.4,132.0,247.0,53.4,1.0,1.3,2.4,-0.3,19.0,106.0,18.0,9.0,132.0,1661.0,1285.0,368.0,46.0,2.0,1.0,66.0,321.0,1.0,0.0,0.0,0.0,1237.0,8.0,42.0,60.0,2.11,43.0,5.0,2.0,0.0,6.0,4.0,5.0,0.18,4.0,0.0,0.0,0.0,1.0,0.0,109.0,71.0,61.0,39.0,9.0,56.0,84.0,66.7,28.0,63.0,9.0,54.0,62.0,171.0,65.0,2.0,2095.0,136.0,681.0,1009.0,432.0,9.0,2095.0,65.0,36.0,55.4,29.0,44.6,959.0,5684.0,2958.0,79.0,60.0,5.0,39.0,20.0,959.0,66.0,30,2564.0,85.0,83.8,28.5,30,85.0,26,0,,1,1.3,32.0,41.0,-9.0,-0.32,0.59,34.4,45.5,-11.2,-0.39,0.33,4.0,0.0,0.0,34.0,42.0,0.0,66.0,62.0,71.0,0.0,2.0,0.0,287.0,47.0,30.0,61.0
Elvis Rexhbeçaj,de GER,MF,23.0,28.2,0.0,34.0,6.0,17.6,1.2,0.21,0.0,0.0,23.2,0.0,0.0,0.0,1.1,1.1,0.03,-1.1,-1.1,520.0,799.0,65.1,8734.0,2991.0,238.0,307.0,77.5,215.0,295.0,72.9,43.0,124.0,34.7,0.0,1.1,1.0,-1.1,20.0,70.0,7.0,1.0,93.0,799.0,738.0,54.0,24.0,4.0,6.0,41.0,5.0,15.0,7.0,2.0,0.0,520.0,7.0,25.0,48.0,1.76,33.0,5.0,1.0,2.0,7.0,0.0,4.0,0.15,3.0,0.0,0.0,0.0,1.0,0.0,41.0,20.0,17.0,19.0,5.0,19.0,40.0,47.5,21.0,41.0,6.0,35.0,27.0,68.0,15.0,0.0,1087.0,36.0,217.0,590.0,293.0,26.0,1087.0,36.0,17.0,47.2,19.0,52.8,541.0,2465.0,1108.0,21.0,22.0,3.0,61.0,31.0,585.0,54.0,32,2542.0,79.0,83.1,28.2,30,82.0,13,2,37.0,0,1.28,31.0,41.0,-10.0,-0.35,0.34,29.9,44.2,-14.3,-0.53,-0.41,5.0,0.0,0.0,34.0,60.0,2.0,41.0,27.0,20.0,0.0,1.0,0.0,175.0,27.0,39.0,40.9
Sebastian Polter,de GER,FW,30.0,26.0,10.0,54.0,21.0,38.9,2.08,0.81,0.17,0.43,12.2,0.0,1.0,2.0,8.7,7.2,0.14,1.3,1.8,259.0,489.0,53.0,3409.0,1048.0,157.0,253.0,62.1,67.0,133.0,50.4,13.0,30.0,43.3,1.0,2.4,1.4,-1.4,28.0,29.0,6.0,1.0,49.0,489.0,448.0,38.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,259.0,3.0,18.0,54.0,2.16,40.0,0.0,2.0,3.0,9.0,0.0,3.0,0.12,1.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,1.0,4.0,4.0,2.0,11.0,18.2,9.0,15.0,5.0,10.0,2.0,11.0,24.0,0.0,741.0,33.0,52.0,341.0,349.0,128.0,739.0,14.0,4.0,28.6,10.0,71.4,374.0,1263.0,405.0,16.0,9.0,10.0,72.0,34.0,565.0,111.0,33,2341.0,71.0,76.5,26.0,27,80.0,13,6,29.0,0,1.27,26.0,34.0,-8.0,-0.31,0.44,28.7,38.1,-9.4,-0.38,0.26,2.0,0.0,0.0,75.0,36.0,7.0,7.0,2.0,3.0,2.0,1.0,0.0,60.0,108.0,96.0,52.9
Gerrit Holtmann,ph PHI,"FW,MF",26.0,20.4,5.0,46.0,18.0,39.1,2.25,0.88,0.11,0.28,21.0,0.0,0.0,0.0,3.7,3.7,0.09,1.3,1.3,227.0,344.0,66.0,3465.0,1152.0,119.0,152.0,78.3,78.0,119.0,65.5,15.0,38.0,39.5,4.0,4.9,4.0,-0.9,27.0,19.0,26.0,9.0,43.0,344.0,333.0,8.0,1.0,4.0,1.0,59.0,6.0,0.0,0.0,0.0,0.0,227.0,3.0,8.0,61.0,3.13,43.0,0.0,10.0,3.0,3.0,2.0,8.0,0.41,5.0,0.0,2.0,1.0,0.0,0.0,15.0,9.0,5.0,3.0,7.0,6.0,22.0,27.3,16.0,26.0,2.0,24.0,8.0,23.0,6.0,0.0,598.0,5.0,70.0,205.0,344.0,54.0,598.0,91.0,38.0,41.8,53.0,58.2,385.0,3581.0,1925.0,81.0,56.0,28.0,56.0,39.0,404.0,132.0,29,1840.0,63.0,60.1,20.4,23,72.0,4,6,30.0,0,1.45,25.0,36.0,-11.0,-0.54,-0.32,24.2,34.9,-10.7,-0.55,-0.24,0.0,0.0,0.0,22.0,13.0,5.0,59.0,8.0,9.0,0.0,0.0,0.0,74.0,5.0,32.0,13.5
Armel Bella Kotchap,de GER,DF,19.0,19.6,0.0,10.0,3.0,30.0,0.51,0.15,0.0,0.0,16.4,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,565.0,739.0,76.5,12193.0,3595.0,152.0,183.0,83.1,320.0,368.0,87.0,89.0,174.0,51.1,0.0,0.1,0.1,-0.1,2.0,28.0,1.0,1.0,37.0,739.0,719.0,18.0,10.0,0.0,9.0,2.0,8.0,0.0,0.0,0.0,0.0,565.0,2.0,4.0,10.0,0.54,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,25.0,9.0,0.0,18.0,28.0,64.3,10.0,21.0,16.0,5.0,42.0,76.0,84.0,2.0,965.0,158.0,554.0,391.0,29.0,13.0,965.0,3.0,2.0,66.7,1.0,33.3,539.0,3098.0,1345.0,9.0,10.0,1.0,6.0,5.0,509.0,1.0,22,1768.0,80.0,57.8,19.6,20,88.0,18,2,2.0,9,0.95,18.0,35.0,-17.0,-0.87,-1.07,20.5,30.3,-9.8,-0.52,-0.18,5.0,0.0,0.0,26.0,27.0,3.0,2.0,42.0,20.0,0.0,0.0,2.0,126.0,35.0,17.0,67.3
Cristian Gamboa,cr CRC,DF,31.0,19.1,1.0,5.0,1.0,20.0,0.26,0.05,0.2,1.0,27.3,0.0,0.0,0.0,0.1,0.1,0.02,0.9,0.9,694.0,984.0,70.5,14026.0,6486.0,243.0,274.0,88.7,325.0,440.0,73.9,116.0,226.0,51.3,0.0,0.9,1.7,-0.9,13.0,74.0,18.0,11.0,74.0,984.0,768.0,209.0,18.0,1.0,9.0,32.0,191.0,0.0,0.0,0.0,0.0,694.0,7.0,16.0,37.0,1.93,24.0,7.0,1.0,0.0,3.0,2.0,4.0,0.21,3.0,1.0,0.0,0.0,0.0,0.0,59.0,36.0,40.0,16.0,3.0,30.0,61.0,49.2,31.0,22.0,7.0,15.0,32.0,91.0,35.0,1.0,1178.0,79.0,468.0,570.0,161.0,7.0,1178.0,22.0,14.0,63.6,8.0,36.4,556.0,3243.0,1716.0,34.0,22.0,4.0,17.0,7.0,567.0,19.0,23,1722.0,75.0,56.3,19.1,20,84.0,13,3,17.0,4,1.52,25.0,25.0,0.0,0.0,0.94,24.4,28.6,-4.1,-0.22,0.52,6.0,0.0,0.0,21.0,11.0,2.0,32.0,32.0,36.0,0.0,0.0,0.0,153.0,20.0,9.0,69.0
Takuma Asano,jp JPN,"FW,MF",26.0,17.9,3.0,33.0,11.0,33.3,1.85,0.62,0.09,0.27,16.8,0.0,0.0,0.0,3.7,3.7,0.11,-0.7,-0.7,244.0,378.0,64.6,3408.0,1080.0,135.0,173.0,78.0,82.0,116.0,70.7,9.0,26.0,34.6,4.0,1.9,2.1,2.1,20.0,22.0,19.0,6.0,40.0,378.0,372.0,5.0,0.0,4.0,2.0,34.0,4.0,0.0,0.0,0.0,0.0,244.0,1.0,24.0,49.0,2.74,35.0,0.0,4.0,6.0,3.0,1.0,7.0,0.39,6.0,0.0,0.0,0.0,1.0,0.0,11.0,6.0,3.0,6.0,2.0,5.0,19.0,26.3,14.0,14.0,1.0,13.0,7.0,18.0,7.0,0.0,580.0,6.0,67.0,248.0,285.0,56.0,580.0,36.0,20.0,55.6,16.0,44.4,371.0,2795.0,1284.0,48.0,26.0,16.0,60.0,19.0,396.0,109.0,27,1608.0,60.0,52.5,17.9,20,72.0,3,7,23.0,1,1.52,21.0,24.0,-3.0,-0.17,0.51,20.1,29.9,-9.8,-0.55,-0.22,1.0,0.0,0.0,17.0,27.0,18.0,34.0,7.0,6.0,0.0,0.0,0.0,86.0,15.0,42.0,26.3
Miloš Pantović,rs SRB,"MF,FW",25.0,17.0,4.0,22.0,10.0,45.5,1.29,0.59,0.14,0.3,18.0,0.0,1.0,1.0,6.0,5.2,0.24,-2.0,-2.2,324.0,510.0,63.5,5579.0,1989.0,155.0,208.0,74.5,113.0,173.0,65.3,42.0,89.0,47.2,3.0,3.9,4.5,-0.9,33.0,37.0,18.0,4.0,45.0,510.0,447.0,60.0,17.0,2.0,2.0,60.0,7.0,29.0,10.0,14.0,0.0,324.0,3.0,11.0,54.0,3.17,35.0,12.0,0.0,3.0,3.0,1.0,7.0,0.41,6.0,0.0,0.0,1.0,0.0,0.0,19.0,10.0,8.0,7.0,4.0,6.0,25.0,24.0,19.0,26.0,4.0,22.0,18.0,37.0,14.0,0.0,678.0,24.0,124.0,305.0,254.0,43.0,677.0,15.0,6.0,40.0,8.0,53.3,310.0,1438.0,762.0,21.0,18.0,8.0,32.0,12.0,392.0,82.0,28,1533.0,55.0,50.1,17.0,18,72.0,3,10,24.0,4,1.36,18.0,23.0,-5.0,-0.29,0.24,21.9,26.6,-4.7,-0.27,0.34,2.0,0.0,0.0,25.0,32.0,8.0,60.0,18.0,10.0,0.0,1.0,0.0,89.0,11.0,27.0,28.9
Erhan Mašović,rs SRB,DF,22.0,17.2,0.0,5.0,0.0,0.0,0.29,0.0,0.0,,15.7,1.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,504.0,649.0,77.7,10842.0,2666.0,112.0,131.0,85.5,316.0,349.0,90.5,71.0,152.0,46.7,0.0,0.0,0.1,0.0,0.0,21.0,1.0,0.0,28.0,649.0,634.0,14.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,504.0,1.0,5.0,3.0,0.18,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,13.0,1.0,21.0,33.0,63.6,12.0,28.0,19.0,9.0,34.0,69.0,64.0,1.0,838.0,124.0,506.0,325.0,11.0,5.0,838.0,3.0,2.0,66.7,1.0,33.3,428.0,2036.0,767.0,0.0,1.0,0.0,6.0,0.0,452.0,0.0,20,1552.0,78.0,50.7,17.2,17,90.0,17,3,7.0,11,1.75,21.0,22.0,-1.0,-0.06,0.72,23.6,27.8,-4.2,-0.26,0.36,7.0,0.0,0.0,16.0,7.0,0.0,0.0,34.0,20.0,0.0,0.0,1.0,97.0,24.0,23.0,51.1
Maxim Leitsch,de GER,DF,23.0,17.1,1.0,5.0,1.0,20.0,0.29,0.06,0.2,1.0,13.1,0.0,0.0,0.0,1.1,1.1,0.21,-0.1,-0.1,685.0,835.0,82.0,14283.0,3797.0,176.0,210.0,83.8,409.0,451.0,90.7,92.0,147.0,62.6,0.0,0.5,0.2,-0.5,3.0,38.0,3.0,2.0,43.0,835.0,818.0,13.0,8.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,685.0,4.0,5.0,10.0,0.59,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,9.0,7.0,2.0,10.0,15.0,66.7,5.0,31.0,19.0,12.0,31.0,49.0,74.0,1.0,1032.0,136.0,600.0,411.0,38.0,11.0,1032.0,6.0,3.0,50.0,3.0,50.0,562.0,3212.0,1520.0,11.0,7.0,0.0,15.0,2.0,572.0,1.0,19,1538.0,81.0,50.3,17.1,17,90.0,17,2,4.0,1,1.53,20.0,22.0,-2.0,-0.12,0.59,22.1,26.0,-3.9,-0.23,0.44,2.0,0.0,0.0,9.0,0.0,1.0,5.0,31.0,10.0,0.0,0.0,0.0,148.0,31.0,24.0,56.4
Eduard Löwen,de GER,MF,24.0,15.7,2.0,37.0,13.0,35.1,2.35,0.83,0.03,0.08,24.8,9.0,1.0,1.0,2.9,2.1,0.06,-0.9,-1.1,427.0,657.0,65.0,8014.0,3075.0,194.0,247.0,78.5,139.0,194.0,71.6,74.0,142.0,52.1,2.0,4.1,3.8,-2.1,38.0,53.0,11.0,5.0,67.0,657.0,527.0,122.0,65.0,1.0,10.0,108.0,5.0,49.0,22.0,19.0,0.0,427.0,8.0,21.0,68.0,4.55,40.0,20.0,0.0,5.0,3.0,0.0,3.0,0.2,0.0,2.0,0.0,1.0,0.0,0.0,28.0,22.0,12.0,11.0,5.0,10.0,43.0,23.3,33.0,17.0,2.0,15.0,9.0,37.0,15.0,1.0,842.0,20.0,129.0,374.0,347.0,29.0,841.0,34.0,17.0,50.0,17.0,50.0,395.0,1723.0,741.0,20.0,14.0,2.0,33.0,20.0,472.0,64.0,26,1416.0,54.0,46.3,15.7,15,80.0,4,11,20.0,1,1.19,19.0,25.0,-6.0,-0.38,0.06,22.5,23.9,-1.3,-0.09,0.63,0.0,0.0,0.0,19.0,11.0,1.0,108.0,9.0,22.0,0.0,1.0,0.0,94.0,18.0,30.0,37.5
