player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Robin Knoche,de GER,DF,29.0,33.0,0.0,10.0,3.0,30.0,0.3,0.09,0.0,0.0,12.6,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,1353.0,1725.0,78.4,29713.0,12137.0,318.0,374.0,85.0,774.0,905.0,85.5,243.0,403.0,60.3,0.0,0.2,0.5,-0.2,3.0,78.0,3.0,0.0,102.0,1725.0,1682.0,37.0,32.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1353.0,6.0,12.0,19.0,0.58,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,24.0,38.0,12.0,0.0,30.0,53.0,56.6,23.0,45.0,26.0,19.0,49.0,99.0,151.0,1.0,2082.0,233.0,1124.0,930.0,44.0,19.0,2082.0,15.0,14.0,93.3,1.0,6.7,1144.0,5644.0,2919.0,14.0,7.0,0.0,16.0,5.0,1186.0,3.0,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,,0,1.73,50.0,43.0,7.0,0.21,1.21,46.1,37.7,8.4,0.26,0.17,6.0,0.0,0.0,26.0,13.0,1.0,0.0,49.0,24.0,0.0,0.0,0.0,247.0,63.0,55.0,53.4
Rani Khedira,de GER,MF,27.0,30.6,0.0,13.0,2.0,15.4,0.42,0.07,0.0,0.0,18.8,0.0,0.0,0.0,1.0,1.0,0.08,-1.0,-1.0,685.0,947.0,72.3,10631.0,3334.0,342.0,424.0,80.7,255.0,339.0,75.2,45.0,92.0,48.9,1.0,0.7,0.9,0.3,9.0,58.0,9.0,5.0,91.0,947.0,927.0,15.0,8.0,1.0,1.0,23.0,4.0,0.0,0.0,0.0,0.0,685.0,5.0,24.0,34.0,1.11,26.0,1.0,1.0,2.0,2.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,75.0,38.0,25.0,42.0,8.0,32.0,66.0,48.5,34.0,21.0,8.0,13.0,50.0,125.0,27.0,1.0,1214.0,39.0,267.0,761.0,198.0,24.0,1214.0,19.0,11.0,57.9,8.0,42.1,512.0,2331.0,837.0,17.0,15.0,5.0,28.0,12.0,631.0,42.0,32,2757.0,86.0,90.1,30.6,32,86.0,24,0,,1,1.78,47.0,36.0,11.0,0.36,1.84,41.4,33.7,7.7,0.25,0.01,6.0,0.0,0.0,55.0,35.0,0.0,23.0,50.0,38.0,0.0,0.0,0.0,193.0,39.0,42.0,48.1
Taiwo Awoniyi,ng NGA,FW,23.0,24.2,15.0,65.0,30.0,46.2,2.69,1.24,0.2,0.43,13.1,0.0,2.0,2.0,13.6,12.0,0.18,1.4,1.0,313.0,474.0,66.0,4292.0,1060.0,180.0,255.0,70.6,88.0,127.0,69.3,18.0,31.0,58.1,1.0,2.4,1.9,-1.4,27.0,31.0,20.0,3.0,51.0,474.0,458.0,12.0,0.0,5.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,313.0,4.0,17.0,68.0,2.82,46.0,0.0,8.0,11.0,3.0,0.0,6.0,0.25,2.0,0.0,2.0,1.0,1.0,0.0,11.0,7.0,3.0,6.0,2.0,1.0,9.0,11.1,8.0,11.0,2.0,9.0,2.0,13.0,29.0,0.0,829.0,32.0,56.0,393.0,396.0,129.0,827.0,63.0,35.0,55.6,28.0,44.4,501.0,2643.0,1004.0,36.0,23.0,19.0,140.0,41.0,609.0,171.0,31,2174.0,70.0,71.0,24.2,29,73.0,1,2,26.0,0,1.61,33.0,31.0,2.0,0.08,-0.32,32.7,26.6,6.1,0.25,0.0,1.0,0.0,0.0,25.0,23.0,21.0,10.0,2.0,7.0,1.0,0.0,1.0,82.0,54.0,101.0,34.8
Grischa Prömel,de GER,MF,26.0,26.9,8.0,37.0,12.0,32.4,1.37,0.45,0.22,0.67,13.0,0.0,0.0,0.0,6.3,6.3,0.17,1.7,1.7,713.0,949.0,75.1,12183.0,3004.0,303.0,378.0,80.2,315.0,390.0,80.8,63.0,96.0,65.6,1.0,1.1,1.3,-0.1,14.0,75.0,12.0,1.0,95.0,949.0,895.0,50.0,14.0,1.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,713.0,4.0,31.0,42.0,1.56,35.0,0.0,0.0,3.0,3.0,1.0,5.0,0.19,4.0,0.0,0.0,1.0,0.0,0.0,36.0,22.0,14.0,17.0,5.0,22.0,52.0,42.3,30.0,18.0,3.0,15.0,23.0,59.0,22.0,0.0,1225.0,38.0,223.0,739.0,272.0,60.0,1225.0,29.0,16.0,55.2,13.0,44.8,634.0,2770.0,1110.0,27.0,14.0,6.0,53.0,29.0,713.0,72.0,29,2422.0,84.0,79.2,26.9,28,86.0,21,1,19.0,0,1.79,42.0,31.0,11.0,0.41,1.11,37.2,27.2,10.1,0.37,0.59,4.0,0.0,0.0,37.0,57.0,2.0,6.0,23.0,22.0,0.0,0.0,0.0,187.0,36.0,36.0,50.0
Andreas Luthe,de GER,GK,34.0,27.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,660.0,1005.0,65.7,19469.0,14518.0,119.0,120.0,99.2,290.0,300.0,96.7,249.0,576.0,43.2,0.0,0.0,0.1,0.0,0.0,26.0,0.0,0.0,0.0,1005.0,716.0,285.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,4.0,3.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1066.0,831.0,1061.0,5.0,0.0,0.0,1066.0,0.0,0.0,,0.0,,597.0,3365.0,1924.0,0.0,1.0,1.0,2.0,0.0,481.0,0.0,27,2430.0,90.0,79.4,27.0,27,90.0,27,0,,3,1.48,37.0,39.0,-2.0,-0.07,-1.22,37.5,33.6,3.9,0.14,-0.51,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,7.0,0.0,100.0
Timo Baumgartl,de GER,DF,25.0,24.1,1.0,13.0,5.0,38.5,0.54,0.21,0.08,0.2,9.9,0.0,0.0,0.0,1.5,1.5,0.11,-0.5,-0.5,950.0,1205.0,78.8,18451.0,7413.0,321.0,392.0,81.9,487.0,559.0,87.1,122.0,210.0,58.1,2.0,1.0,0.7,1.0,8.0,60.0,8.0,5.0,103.0,1205.0,1134.0,66.0,57.0,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,950.0,5.0,8.0,29.0,1.2,20.0,1.0,2.0,5.0,0.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,59.0,28.0,34.0,21.0,4.0,31.0,47.0,66.0,16.0,27.0,11.0,16.0,37.0,96.0,58.0,0.0,1453.0,135.0,683.0,695.0,87.0,31.0,1453.0,6.0,4.0,66.7,2.0,33.3,764.0,3588.0,1651.0,7.0,4.0,0.0,15.0,8.0,845.0,14.0,25,2166.0,87.0,70.8,24.1,25,87.0,22,0,,4,1.44,29.0,33.0,-4.0,-0.17,-1.17,30.4,28.6,1.8,0.07,-0.6,5.0,0.0,0.0,24.0,13.0,0.0,10.0,37.0,28.0,0.0,0.0,2.0,127.0,53.0,43.0,55.2
Niko Gießelmann,de GER,"DF,FW",29.0,23.1,3.0,27.0,12.0,44.4,1.17,0.52,0.11,0.25,15.3,0.0,0.0,0.0,3.4,3.4,0.13,-0.4,-0.4,770.0,1123.0,68.6,14077.0,5678.0,336.0,389.0,86.4,328.0,473.0,69.3,95.0,201.0,47.3,6.0,1.6,2.6,4.4,29.0,65.0,18.0,14.0,80.0,1123.0,807.0,313.0,23.0,1.0,6.0,106.0,254.0,36.0,14.0,17.0,0.0,770.0,3.0,31.0,54.0,2.33,28.0,18.0,2.0,5.0,1.0,0.0,8.0,0.35,4.0,2.0,0.0,2.0,0.0,0.0,24.0,17.0,10.0,11.0,3.0,15.0,38.0,39.5,23.0,26.0,4.0,22.0,18.0,42.0,29.0,1.0,1323.0,42.0,313.0,596.0,421.0,31.0,1323.0,20.0,4.0,20.0,16.0,80.0,573.0,2465.0,1085.0,19.0,21.0,2.0,24.0,9.0,710.0,81.0,28,2083.0,74.0,68.1,23.1,25,83.0,14,3,3.0,3,1.71,32.0,26.0,6.0,0.26,0.26,29.6,25.2,4.4,0.19,-0.19,3.0,0.0,0.0,23.0,33.0,1.0,106.0,18.0,17.0,0.0,0.0,0.0,81.0,24.0,29.0,45.3
Christopher Trimmel,at AUT,"DF,FW",34.0,22.1,2.0,20.0,5.0,25.0,0.9,0.23,0.1,0.4,18.1,1.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6,759.0,1142.0,66.5,13435.0,5740.0,365.0,421.0,86.7,282.0,394.0,71.6,94.0,239.0,39.3,0.0,2.2,3.2,-2.2,31.0,60.0,26.0,14.0,81.0,1142.0,818.0,312.0,41.0,3.0,4.0,146.0,210.0,61.0,21.0,36.0,2.0,759.0,12.0,29.0,60.0,2.71,38.0,20.0,0.0,2.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,49.0,30.0,25.0,19.0,5.0,26.0,45.0,57.8,19.0,20.0,3.0,17.0,34.0,83.0,75.0,0.0,1388.0,87.0,395.0,632.0,387.0,29.0,1388.0,26.0,19.0,73.1,7.0,26.9,557.0,3372.0,1519.0,42.0,34.0,6.0,29.0,12.0,606.0,70.0,25,1990.0,80.0,65.0,22.1,23,85.0,14,2,15.0,8,1.88,32.0,25.0,7.0,0.32,0.4,30.4,24.2,6.2,0.28,0.09,5.0,0.0,0.0,29.0,6.0,0.0,146.0,34.0,30.0,0.0,0.0,0.0,145.0,29.0,19.0,60.4
Genki Haraguchi,jp JPN,MF,30.0,19.5,2.0,29.0,6.0,20.7,1.49,0.31,0.07,0.33,20.9,0.0,0.0,0.0,2.1,2.1,0.07,-0.1,-0.1,395.0,546.0,72.3,6260.0,1767.0,201.0,250.0,80.4,146.0,191.0,76.4,29.0,53.0,54.7,6.0,1.6,1.2,4.4,25.0,39.0,11.0,3.0,67.0,546.0,539.0,4.0,4.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,395.0,3.0,16.0,46.0,2.36,33.0,0.0,3.0,4.0,5.0,1.0,5.0,0.26,5.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,12.0,22.0,3.0,15.0,48.0,31.3,33.0,25.0,3.0,22.0,26.0,63.0,15.0,0.0,761.0,25.0,149.0,418.0,203.0,28.0,761.0,21.0,13.0,61.9,8.0,38.1,358.0,1980.0,974.0,40.0,14.0,7.0,25.0,14.0,410.0,45.0,30,1755.0,59.0,57.4,19.5,23,69.0,0,7,23.0,3,1.77,29.0,24.0,5.0,0.26,0.19,23.0,23.2,-0.1,-0.01,-0.6,2.0,0.0,0.0,27.0,30.0,1.0,12.0,26.0,20.0,0.0,0.0,0.0,99.0,15.0,24.0,38.5
Paul Jaeckel,de GER,DF,23.0,22.7,0.0,3.0,0.0,0.0,0.13,0.0,0.0,,22.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,905.0,1142.0,79.2,18752.0,6538.0,279.0,323.0,86.4,491.0,554.0,88.6,128.0,226.0,56.6,0.0,0.6,0.3,-0.6,6.0,64.0,3.0,0.0,71.0,1142.0,1103.0,37.0,29.0,0.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,905.0,2.0,15.0,16.0,0.7,13.0,0.0,1.0,0.0,0.0,2.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,51.0,29.0,27.0,24.0,0.0,29.0,51.0,56.9,22.0,34.0,10.0,24.0,57.0,108.0,81.0,0.0,1427.0,136.0,721.0,685.0,36.0,10.0,1427.0,21.0,19.0,90.5,2.0,9.5,763.0,3625.0,1822.0,13.0,11.0,2.0,19.0,5.0,809.0,5.0,24,2047.0,85.0,66.9,22.7,22,90.0,22,2,34.0,8,1.88,34.0,29.0,5.0,0.22,0.13,31.7,27.1,4.6,0.2,-0.15,5.0,0.0,0.0,28.0,13.0,0.0,4.0,57.0,29.0,0.0,1.0,0.0,150.0,47.0,52.0,47.5
Sheraldo Becker,sr SUR,"FW,MF",26.0,19.5,4.0,37.0,18.0,48.6,1.89,0.92,0.11,0.22,20.1,1.0,0.0,0.0,2.4,2.4,0.06,1.6,1.6,374.0,605.0,61.8,6353.0,1953.0,163.0,230.0,70.9,147.0,223.0,65.9,42.0,84.0,50.0,6.0,6.8,6.2,-0.8,41.0,30.0,46.0,26.0,58.0,605.0,597.0,6.0,1.0,3.0,2.0,123.0,2.0,1.0,0.0,0.0,0.0,374.0,2.0,28.0,72.0,3.69,59.0,0.0,3.0,2.0,8.0,0.0,11.0,0.56,9.0,0.0,2.0,0.0,0.0,0.0,9.0,6.0,3.0,4.0,2.0,6.0,18.0,33.3,12.0,11.0,0.0,11.0,2.0,11.0,4.0,0.0,774.0,3.0,61.0,292.0,440.0,62.0,774.0,39.0,24.0,61.5,15.0,38.5,513.0,3778.0,1941.0,82.0,54.0,31.0,45.0,19.0,586.0,195.0,28,1758.0,63.0,57.5,19.5,22,75.0,4,6,19.0,3,1.71,30.0,24.0,6.0,0.31,0.31,27.1,22.3,4.8,0.25,-0.01,4.0,0.0,0.0,26.0,25.0,10.0,123.0,2.0,6.0,0.0,0.0,0.0,96.0,11.0,39.0,22.0
Max Kruse,de GER,"FW,MF",33.0,14.1,5.0,26.0,8.0,30.8,1.84,0.57,0.08,0.25,20.7,3.0,3.0,3.0,4.6,2.2,0.08,0.4,-0.2,349.0,496.0,70.4,6555.0,1844.0,140.0,178.0,78.7,148.0,188.0,78.7,50.0,97.0,51.5,4.0,4.1,2.9,-0.1,26.0,33.0,21.0,6.0,62.0,496.0,422.0,73.0,25.0,8.0,5.0,48.0,8.0,20.0,8.0,7.0,0.0,349.0,1.0,9.0,64.0,4.54,47.0,7.0,2.0,7.0,1.0,0.0,10.0,0.71,7.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,16.0,12.5,14.0,12.0,0.0,12.0,3.0,7.0,2.0,0.0,618.0,1.0,39.0,323.0,261.0,29.0,615.0,24.0,15.0,62.5,9.0,37.5,336.0,1464.0,597.0,18.0,14.0,2.0,34.0,7.0,406.0,90.0,16,1270.0,79.0,41.5,14.1,16,79.0,3,0,,2,1.94,22.0,14.0,8.0,0.57,0.67,19.8,14.7,5.0,0.35,0.18,1.0,0.0,0.0,5.0,6.0,1.0,48.0,3.0,1.0,0.0,0.0,0.0,46.0,14.0,25.0,35.9
Julian Ryerson,no NOR,DF,23.0,15.9,2.0,17.0,6.0,35.3,1.07,0.38,0.12,0.33,19.8,0.0,0.0,0.0,1.3,1.3,0.08,0.7,0.7,482.0,650.0,74.2,8233.0,2877.0,242.0,286.0,84.6,181.0,226.0,80.1,47.0,91.0,51.6,0.0,1.5,1.5,-1.5,18.0,37.0,22.0,13.0,50.0,650.0,522.0,126.0,5.0,0.0,1.0,51.0,120.0,1.0,0.0,0.0,0.0,482.0,2.0,20.0,34.0,2.14,26.0,2.0,1.0,5.0,0.0,0.0,3.0,0.19,2.0,0.0,0.0,1.0,0.0,0.0,27.0,15.0,11.0,12.0,4.0,17.0,25.0,68.0,8.0,12.0,4.0,8.0,16.0,43.0,32.0,0.0,825.0,45.0,247.0,353.0,240.0,19.0,825.0,31.0,19.0,61.3,12.0,38.7,403.0,2027.0,908.0,30.0,22.0,2.0,18.0,16.0,385.0,50.0,28,1429.0,51.0,46.7,15.9,13,89.0,11,15,18.0,3,1.71,28.0,25.0,3.0,0.19,0.02,24.1,18.3,5.8,0.36,0.21,3.0,0.0,0.0,12.0,14.0,0.0,51.0,16.0,15.0,0.0,0.0,0.0,113.0,18.0,29.0,38.3
Marvin Friedrich,de GER,DF,25.0,13.0,0.0,14.0,4.0,28.6,1.08,0.31,0.0,0.0,13.6,0.0,0.0,0.0,1.1,1.1,0.08,-1.1,-1.1,464.0,630.0,73.7,9210.0,3861.0,154.0,180.0,85.6,250.0,298.0,83.9,56.0,134.0,41.8,0.0,0.9,1.8,-0.9,5.0,38.0,2.0,2.0,38.0,630.0,611.0,18.0,16.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,464.0,1.0,11.0,10.0,0.77,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,14.0,3.0,0.0,10.0,16.0,62.5,6.0,13.0,7.0,6.0,23.0,40.0,47.0,0.0,773.0,91.0,403.0,329.0,48.0,19.0,773.0,7.0,5.0,71.4,2.0,28.6,430.0,2046.0,1198.0,6.0,4.0,1.0,11.0,5.0,462.0,6.0,13,1169.0,90.0,38.2,13.0,13,90.0,12,0,,1,1.77,20.0,15.0,5.0,0.38,0.34,17.8,14.5,3.3,0.26,0.01,4.0,1.0,1.0,12.0,2.0,0.0,5.0,23.0,5.0,0.0,0.0,1.0,79.0,39.0,32.0,54.9
Bastian Oczipka,de GER,DF,32.0,10.4,0.0,5.0,1.0,20.0,0.48,0.1,0.0,0.0,16.9,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,402.0,561.0,71.7,6571.0,2836.0,198.0,234.0,84.6,148.0,188.0,78.7,38.0,87.0,43.7,1.0,2.1,2.5,-1.1,16.0,25.0,17.0,9.0,47.0,561.0,415.0,145.0,18.0,0.0,0.0,61.0,108.0,19.0,6.0,11.0,0.0,402.0,1.0,22.0,36.0,3.48,21.0,12.0,1.0,0.0,2.0,0.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,15.0,7.0,2.0,10.0,13.0,76.9,3.0,10.0,2.0,8.0,12.0,36.0,21.0,0.0,658.0,28.0,188.0,291.0,187.0,11.0,658.0,25.0,15.0,60.0,10.0,40.0,312.0,1517.0,785.0,21.0,13.0,4.0,10.0,6.0,331.0,35.0,18,932.0,52.0,30.5,10.4,9,89.0,5,9,15.0,9,1.78,17.0,18.0,-1.0,-0.1,-0.39,16.0,13.1,2.8,0.27,0.03,1.0,0.0,0.0,10.0,13.0,1.0,61.0,12.0,15.0,0.0,0.0,0.0,77.0,10.0,4.0,71.4
Frederik Rønnow,dk DEN,GK,28.0,7.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,168.0,257.0,65.4,5036.0,4020.0,24.0,24.0,100.0,82.0,84.0,97.6,62.0,147.0,42.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,257.0,197.0,59.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,264.0,211.0,262.0,2.0,0.0,0.0,264.0,0.0,0.0,,0.0,,168.0,955.0,505.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,7,630.0,90.0,20.6,7.0,7,90.0,7,0,,26,2.43,13.0,5.0,8.0,1.14,1.22,9.5,4.9,4.6,0.66,0.51,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,100.0
Dominique Heintz,de GER,DF,27.0,5.2,0.0,1.0,1.0,100.0,0.19,0.19,0.0,0.0,5.7,0.0,0.0,0.0,0.2,0.2,0.23,-0.2,-0.2,205.0,260.0,78.8,3860.0,1289.0,80.0,94.0,85.1,97.0,110.0,88.2,23.0,41.0,56.1,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,24.0,260.0,249.0,10.0,8.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,205.0,1.0,6.0,4.0,0.77,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,5.0,3.0,0.0,3.0,6.0,50.0,3.0,7.0,4.0,3.0,7.0,15.0,14.0,0.0,304.0,25.0,112.0,183.0,11.0,2.0,304.0,4.0,3.0,75.0,1.0,25.0,174.0,942.0,510.0,5.0,2.0,0.0,3.0,0.0,190.0,4.0,7,467.0,67.0,15.3,5.2,7,67.0,0,0,,5,1.43,4.0,7.0,-3.0,-0.58,-0.89,5.9,4.5,1.5,0.28,0.04,0.0,0.0,0.0,6.0,2.0,1.0,1.0,7.0,5.0,0.0,0.0,0.0,25.0,7.0,12.0,36.8
Andreas Voglsammer,de GER,"FW,MF",29.0,9.8,2.0,33.0,15.0,45.5,3.37,1.53,0.06,0.13,13.9,2.0,0.0,0.0,2.4,2.4,0.07,-0.4,-0.4,145.0,246.0,58.9,2214.0,668.0,74.0,113.0,65.5,46.0,63.0,73.0,13.0,28.0,46.4,1.0,1.4,1.2,-0.4,10.0,15.0,10.0,3.0,18.0,246.0,237.0,7.0,0.0,2.0,1.0,21.0,3.0,0.0,0.0,0.0,0.0,145.0,2.0,11.0,24.0,2.45,19.0,0.0,0.0,3.0,2.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,8.0,3.0,3.0,6.0,14.0,42.9,8.0,9.0,2.0,7.0,2.0,16.0,7.0,0.0,361.0,9.0,44.0,144.0,175.0,44.0,361.0,21.0,11.0,52.4,10.0,47.6,184.0,897.0,329.0,15.0,6.0,5.0,18.0,8.0,258.0,57.0,32,882.0,28.0,28.8,9.8,5,68.0,0,27,20.0,1,1.69,13.0,14.0,-1.0,-0.1,-0.39,14.3,10.7,3.6,0.36,0.16,1.0,0.0,0.0,16.0,16.0,14.0,21.0,2.0,9.0,0.0,0.0,0.0,27.0,35.0,47.0,42.7
Levin Öztunalı,de GER,MF,25.0,6.4,0.0,7.0,2.0,28.6,1.1,0.31,0.0,0.0,20.7,0.0,0.0,0.0,0.7,0.7,0.1,-0.7,-0.7,117.0,173.0,67.6,1949.0,574.0,66.0,81.0,81.5,33.0,47.0,70.2,15.0,29.0,51.7,0.0,0.4,0.4,-0.4,6.0,8.0,5.0,3.0,18.0,173.0,171.0,0.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,117.0,2.0,7.0,13.0,2.05,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,6.0,5.0,3.0,7.0,17.0,41.2,10.0,3.0,0.0,3.0,4.0,18.0,12.0,0.0,259.0,15.0,54.0,115.0,96.0,14.0,259.0,9.0,4.0,44.4,5.0,55.6,123.0,659.0,303.0,8.0,6.0,3.0,24.0,9.0,161.0,37.0,18,572.0,32.0,18.7,6.4,5,66.0,0,13,19.0,8,1.39,6.0,11.0,-5.0,-0.79,-1.18,10.2,7.9,2.3,0.36,0.13,0.0,0.0,0.0,15.0,8.0,3.0,12.0,4.0,11.0,0.0,0.0,0.0,40.0,11.0,16.0,40.7
