player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Declan Rice,eng ENG,MF,23.0,36.4,4.0,35.0,8.0,22.9,0.96,0.22,0.11,0.5,23.6,1.0,0.0,1.0,2.4,1.6,0.05,1.6,2.4,1846.0,2135.0,86.5,33652.0,9456.0,850.0,944.0,90.0,735.0,789.0,93.2,223.0,324.0,68.8,1.0,3.2,1.9,-2.2,37.0,233.0,13.0,3.0,240.0,2135.0,2060.0,70.0,48.0,4.0,60.0,44.0,3.0,19.0,15.0,1.0,0.0,1846.0,5.0,26.0,100.0,2.75,86.0,7.0,1.0,1.0,2.0,3.0,6.0,0.16,6.0,0.0,0.0,0.0,0.0,0.0,79.0,38.0,44.0,31.0,4.0,31.0,50.0,62.0,19.0,45.0,15.0,30.0,63.0,142.0,58.0,0.0,2475.0,123.0,670.0,1419.0,433.0,24.0,2474.0,63.0,35.0,55.6,23.0,36.5,1454.0,9145.0,4894.0,88.0,75.0,5.0,28.0,26.0,1642.0,37.0,37,3273.0,88.0,95.7,36.4,36,90.0,36,1,33.0,0,1.08,42.0,50.0,-8.0,-0.22,2.84,48.7,48.6,0.1,0.0,2.41,5.0,0.0,0.0,23.0,11.0,1.0,44.0,63.0,38.0,0.0,0.0,0.0,334.0,37.0,26.0,58.7
Jarrod Bowen,eng ENG,"FW,MF",25.0,35.9,6.0,73.0,21.0,28.8,2.03,0.58,0.07,0.24,16.2,1.0,1.0,2.0,8.9,7.8,0.11,-2.9,-2.8,552.0,881.0,62.7,8725.0,2552.0,312.0,385.0,81.0,170.0,225.0,75.6,52.0,164.0,31.7,5.0,7.4,6.0,-2.4,48.0,39.0,24.0,9.0,72.0,881.0,768.0,109.0,11.0,6.0,4.0,159.0,3.0,90.0,85.0,0.0,0.0,552.0,4.0,58.0,108.0,3.01,58.0,15.0,10.0,13.0,10.0,2.0,14.0,0.39,6.0,3.0,0.0,2.0,3.0,0.0,39.0,16.0,14.0,11.0,14.0,16.0,57.0,28.1,41.0,47.0,9.0,38.0,36.0,75.0,25.0,0.0,1318.0,32.0,186.0,451.0,693.0,157.0,1316.0,118.0,36.0,30.5,55.0,46.6,732.0,5577.0,2208.0,102.0,45.0,56.0,70.0,55.0,793.0,213.0,38,3233.0,85.0,94.5,35.9,36,89.0,30,2,19.0,0,1.05,40.0,50.0,-10.0,-0.28,1.17,46.7,47.9,-1.2,-0.03,1.24,2.0,0.0,0.0,26.0,69.0,10.0,159.0,36.0,16.0,3.0,1.0,0.0,152.0,34.0,68.0,33.3
Łukasz Fabiański,pl POL,GK,37.0,34.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,598.0,930.0,64.3,18882.0,15094.0,117.0,117.0,100.0,225.0,228.0,98.7,254.0,579.0,43.9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,930.0,587.0,339.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,4.0,0.0,2.0,0.06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,2.0,10.0,1.0,1005.0,871.0,1000.0,5.0,0.0,0.0,1005.0,0.0,0.0,,0.0,,506.0,3330.0,2146.0,0.0,0.0,0.0,3.0,0.0,350.0,0.0,36,3111.0,86.0,91.0,34.6,36,86.0,33,0,,0,1.08,37.0,48.0,-11.0,-0.32,0.26,43.9,45.5,-1.7,-0.05,0.59,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,1.0,93.8
Tomáš Souček,cz CZE,MF,27.0,31.3,2.0,34.0,13.0,38.2,1.09,0.42,0.06,0.15,10.8,0.0,0.0,0.0,4.0,4.0,0.12,-2.0,-2.0,709.0,994.0,71.3,11602.0,3417.0,360.0,476.0,75.6,255.0,338.0,75.4,66.0,106.0,62.3,3.0,1.9,1.1,1.1,15.0,67.0,11.0,6.0,88.0,994.0,982.0,12.0,10.0,0.0,6.0,20.0,0.0,1.0,1.0,0.0,0.0,709.0,0.0,28.0,52.0,1.66,41.0,0.0,0.0,8.0,1.0,2.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,77.0,37.0,41.0,29.0,7.0,28.0,58.0,48.3,30.0,42.0,17.0,25.0,53.0,130.0,71.0,3.0,1366.0,124.0,432.0,652.0,288.0,71.0,1366.0,17.0,2.0,11.8,12.0,70.6,544.0,2087.0,695.0,11.0,17.0,0.0,23.0,18.0,742.0,52.0,36,2815.0,78.0,82.3,31.3,32,84.0,24,4,31.0,1,1.11,38.0,42.0,-4.0,-0.13,1.21,41.4,42.7,-1.3,-0.04,0.34,3.0,0.0,0.0,50.0,16.0,2.0,20.0,53.0,37.0,0.0,0.0,0.0,143.0,114.0,92.0,55.3
Lucas Paquetá,br BRA,MF,24.0,23.9,4.0,52.0,14.0,26.9,2.18,0.59,0.06,0.21,19.2,1.0,1.0,1.0,4.4,3.6,0.07,-0.4,-0.6,907.0,1157.0,78.4,14158.0,4393.0,476.0,559.0,85.2,324.0,394.0,82.2,68.0,104.0,65.4,3.0,2.5,2.6,0.5,32.0,98.0,30.0,3.0,147.0,1157.0,1075.0,73.0,21.0,13.0,11.0,22.0,1.0,1.0,0.0,0.0,0.0,907.0,9.0,28.0,79.0,3.3,57.0,1.0,4.0,8.0,6.0,3.0,12.0,0.5,6.0,0.0,1.0,3.0,2.0,0.0,71.0,53.0,23.0,36.0,12.0,27.0,66.0,40.9,39.0,41.0,4.0,37.0,16.0,87.0,31.0,0.0,1475.0,46.0,239.0,839.0,419.0,49.0,1474.0,63.0,33.0,52.4,22.0,34.9,771.0,3437.0,1475.0,25.0,34.0,6.0,48.0,44.0,964.0,63.0,28,2151.0,77.0,62.9,23.9,27,79.0,7,1,24.0,1,1.11,32.0,39.0,-7.0,-0.29,0.13,32.2,33.7,-1.5,-0.06,0.1,5.0,0.0,0.0,50.0,30.0,1.0,22.0,16.0,53.0,2.0,0.0,0.0,144.0,36.0,32.0,52.9
Thilo Kehrer,de GER,DF,25.0,24.8,0.0,8.0,1.0,12.5,0.32,0.04,0.0,0.0,18.4,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,927.0,1112.0,83.4,16374.0,6006.0,393.0,447.0,87.9,456.0,510.0,89.4,68.0,119.0,57.1,2.0,0.6,0.8,1.4,8.0,59.0,4.0,1.0,60.0,1112.0,992.0,116.0,24.0,1.0,6.0,23.0,91.0,0.0,0.0,0.0,0.0,927.0,4.0,14.0,24.0,0.97,17.0,4.0,0.0,3.0,0.0,0.0,4.0,0.16,2.0,1.0,0.0,1.0,0.0,0.0,43.0,24.0,25.0,14.0,4.0,21.0,44.0,47.7,23.0,16.0,6.0,10.0,34.0,77.0,76.0,1.0,1335.0,135.0,600.0,595.0,147.0,17.0,1335.0,11.0,8.0,72.7,3.0,27.3,677.0,2885.0,1533.0,15.0,12.0,1.0,17.0,6.0,760.0,29.0,27,2230.0,83.0,65.2,24.8,25,87.0,23,2,27.0,8,1.15,26.0,34.0,-8.0,-0.32,0.06,31.9,31.6,0.4,0.02,0.34,4.0,0.0,0.0,31.0,12.0,0.0,23.0,34.0,24.0,0.0,1.0,1.0,117.0,36.0,33.0,52.2
Aaron Cresswell,eng ENG,DF,32.0,24.8,0.0,9.0,1.0,11.1,0.36,0.04,0.0,0.0,22.5,4.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,1127.0,1448.0,77.8,18285.0,8587.0,626.0,670.0,93.4,387.0,497.0,77.9,100.0,206.0,48.5,1.0,3.7,2.9,-2.7,40.0,91.0,28.0,15.0,145.0,1448.0,1157.0,288.0,40.0,1.0,5.0,133.0,192.0,56.0,5.0,44.0,1.0,1127.0,3.0,35.0,73.0,2.94,43.0,27.0,0.0,2.0,1.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,21.0,11.0,12.0,7.0,2.0,12.0,31.0,38.7,19.0,21.0,11.0,10.0,27.0,48.0,56.0,0.0,1607.0,97.0,507.0,668.0,438.0,13.0,1607.0,7.0,2.0,28.6,4.0,57.1,766.0,3497.0,1751.0,35.0,26.0,1.0,6.0,6.0,960.0,82.0,28,2235.0,80.0,65.4,24.8,24,88.0,20,4,29.0,8,1.11,26.0,32.0,-6.0,-0.24,0.29,32.3,32.9,-0.6,-0.03,0.22,3.0,0.0,0.0,9.0,9.0,2.0,133.0,27.0,11.0,0.0,0.0,0.0,120.0,28.0,27.0,50.9
Vladimír Coufal,cz CZE,DF,29.0,23.7,0.0,6.0,0.0,0.0,0.25,0.0,0.0,,25.7,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,730.0,1174.0,62.2,12756.0,6471.0,347.0,421.0,82.4,279.0,438.0,63.7,83.0,226.0,36.7,1.0,2.5,1.7,-1.5,26.0,68.0,19.0,14.0,82.0,1174.0,907.0,260.0,16.0,0.0,0.0,113.0,244.0,0.0,0.0,0.0,0.0,730.0,7.0,47.0,52.0,2.19,36.0,13.0,0.0,1.0,2.0,0.0,3.0,0.13,2.0,1.0,0.0,0.0,0.0,0.0,58.0,31.0,37.0,15.0,6.0,36.0,51.0,70.6,15.0,24.0,6.0,18.0,38.0,96.0,70.0,0.0,1433.0,104.0,435.0,580.0,424.0,21.0,1433.0,17.0,3.0,17.6,6.0,35.3,578.0,3284.0,1710.0,53.0,33.0,2.0,25.0,21.0,665.0,109.0,27,2136.0,79.0,62.5,23.7,24,85.0,18,3,33.0,7,1.0,27.0,35.0,-8.0,-0.34,0.01,31.1,30.6,0.5,0.02,0.33,5.0,0.0,0.0,30.0,21.0,1.0,113.0,38.0,31.0,0.0,0.0,0.0,150.0,40.0,22.0,64.5
Kurt Zouma,fr FRA,DF,27.0,22.1,2.0,19.0,5.0,26.3,0.86,0.23,0.11,0.4,10.1,0.0,0.0,0.0,2.2,2.2,0.12,-0.2,-0.2,701.0,831.0,84.4,13480.0,4437.0,247.0,271.0,91.1,363.0,407.0,89.2,79.0,129.0,61.2,0.0,0.1,0.1,-0.1,1.0,19.0,2.0,0.0,31.0,831.0,801.0,28.0,14.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,701.0,2.0,3.0,9.0,0.41,7.0,1.0,0.0,1.0,0.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,4.0,5.0,0.0,5.0,8.0,62.5,3.0,17.0,14.0,3.0,30.0,39.0,120.0,1.0,1050.0,230.0,654.0,364.0,35.0,29.0,1050.0,5.0,2.0,40.0,3.0,60.0,523.0,2150.0,1018.0,3.0,1.0,0.0,6.0,1.0,621.0,1.0,25,1989.0,80.0,58.2,22.1,24,82.0,21,1,22.0,3,1.2,26.0,29.0,-3.0,-0.14,0.49,29.2,27.8,1.4,0.07,0.4,0.0,0.0,0.0,14.0,7.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,84.0,55.0,13.0,80.9
Saïd Benrahma,dz ALG,"FW,MF",26.0,23.0,6.0,69.0,23.0,33.3,3.0,1.0,0.03,0.09,21.9,5.0,4.0,4.0,7.0,3.9,0.06,-1.0,-1.9,597.0,796.0,75.0,8154.0,2088.0,374.0,425.0,88.0,176.0,241.0,73.0,25.0,61.0,41.0,3.0,4.5,3.3,-1.5,48.0,32.0,23.0,12.0,82.0,796.0,771.0,20.0,1.0,5.0,2.0,83.0,8.0,4.0,4.0,0.0,0.0,597.0,5.0,29.0,92.0,4.0,68.0,2.0,11.0,8.0,3.0,0.0,5.0,0.22,4.0,0.0,1.0,0.0,0.0,0.0,25.0,15.0,11.0,7.0,7.0,11.0,27.0,40.7,16.0,23.0,1.0,22.0,9.0,34.0,13.0,0.0,1091.0,16.0,131.0,399.0,583.0,94.0,1087.0,123.0,51.0,41.5,56.0,45.5,699.0,5281.0,2705.0,109.0,54.0,44.0,53.0,42.0,800.0,237.0,35,2069.0,59.0,60.5,23.0,22,77.0,8,13,28.0,3,0.89,25.0,32.0,-7.0,-0.3,0.1,32.3,32.7,-0.5,-0.02,0.2,0.0,0.0,0.0,16.0,15.0,7.0,83.0,9.0,15.0,0.0,0.0,0.0,113.0,5.0,11.0,31.3
Michail Antonio,jm JAM,FW,32.0,20.3,5.0,39.0,13.0,33.3,1.92,0.64,0.13,0.38,11.6,0.0,0.0,0.0,6.6,6.6,0.17,-1.6,-1.6,186.0,348.0,53.4,2663.0,501.0,114.0,168.0,67.9,55.0,108.0,50.9,12.0,31.0,38.7,3.0,1.3,0.8,1.7,15.0,12.0,8.0,2.0,27.0,348.0,335.0,12.0,1.0,1.0,1.0,35.0,8.0,0.0,0.0,0.0,0.0,186.0,1.0,18.0,39.0,1.92,24.0,0.0,6.0,4.0,5.0,0.0,9.0,0.44,6.0,0.0,2.0,1.0,0.0,0.0,14.0,7.0,1.0,8.0,5.0,3.0,12.0,25.0,9.0,13.0,5.0,8.0,5.0,19.0,9.0,0.0,596.0,15.0,39.0,262.0,308.0,80.0,596.0,65.0,26.0,40.0,29.0,44.6,375.0,2589.0,1243.0,49.0,26.0,18.0,76.0,45.0,476.0,120.0,33,1829.0,55.0,53.5,20.3,21,75.0,2,12,22.0,1,1.09,23.0,29.0,-6.0,-0.3,0.1,25.9,29.3,-3.4,-0.17,-0.14,2.0,0.0,0.0,28.0,44.0,12.0,35.0,5.0,7.0,0.0,1.0,0.0,43.0,50.0,88.0,36.2
Nayef Aguerd,ma MAR,DF,26.0,17.7,2.0,12.0,2.0,16.7,0.68,0.11,0.17,1.0,9.9,0.0,0.0,0.0,2.2,2.2,0.19,-0.2,-0.2,599.0,763.0,78.5,12203.0,5332.0,224.0,244.0,91.8,287.0,335.0,85.7,82.0,169.0,48.5,0.0,0.5,0.3,-0.5,6.0,37.0,4.0,0.0,25.0,763.0,723.0,36.0,29.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,4.0,5.0,14.0,0.79,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,18.0,8.0,1.0,13.0,20.0,65.0,7.0,26.0,24.0,2.0,18.0,45.0,79.0,2.0,949.0,161.0,563.0,358.0,35.0,23.0,949.0,6.0,4.0,66.7,0.0,0.0,523.0,2127.0,1137.0,2.0,1.0,0.0,8.0,7.0,564.0,4.0,18,1595.0,89.0,46.6,17.7,17,89.0,16,1,76.0,3,1.06,23.0,28.0,-5.0,-0.28,0.11,24.2,28.6,-4.5,-0.25,-0.28,4.0,0.0,0.0,8.0,8.0,2.0,0.0,18.0,18.0,0.0,1.0,0.0,105.0,32.0,31.0,50.8
