player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Timothy Castagne,be BEL,DF,26.0,36.2,2.0,19.0,5.0,26.3,0.53,0.14,0.11,0.4,11.0,0.0,0.0,0.0,2.2,2.2,0.12,-0.2,-0.2,1470.0,1836.0,80.1,21125.0,8419.0,895.0,998.0,89.7,470.0,586.0,80.2,60.0,132.0,45.5,3.0,2.6,2.2,0.4,22.0,89.0,20.0,10.0,106.0,1836.0,1545.0,287.0,17.0,3.0,2.0,58.0,270.0,0.0,0.0,0.0,0.0,1470.0,4.0,43.0,51.0,1.41,44.0,2.0,1.0,2.0,1.0,1.0,5.0,0.14,4.0,0.0,0.0,1.0,0.0,0.0,87.0,44.0,53.0,27.0,7.0,41.0,84.0,48.8,43.0,50.0,13.0,37.0,43.0,130.0,110.0,0.0,2237.0,158.0,820.0,920.0,508.0,52.0,2237.0,30.0,11.0,36.7,14.0,46.7,989.0,4010.0,1994.0,39.0,23.0,5.0,32.0,17.0,1246.0,149.0,37,3254.0,88.0,95.1,36.2,36,89.0,33,1,45.0,1,0.92,49.0,63.0,-14.0,-0.39,1.24,48.5,60.1,-11.6,-0.32,0.3,3.0,0.0,0.0,25.0,15.0,6.0,58.0,43.0,44.0,0.0,2.0,0.0,202.0,55.0,62.0,47.0
Harvey Barnes,eng ENG,"FW,MF",24.0,30.1,13.0,72.0,34.0,47.2,2.39,1.13,0.18,0.38,15.9,0.0,0.0,0.0,8.9,8.9,0.12,4.1,4.1,549.0,786.0,69.8,7152.0,2004.0,363.0,462.0,78.6,142.0,210.0,67.6,17.0,37.0,45.9,1.0,3.1,2.2,-2.1,19.0,39.0,31.0,5.0,79.0,786.0,769.0,10.0,0.0,5.0,1.0,44.0,8.0,0.0,0.0,0.0,0.0,549.0,7.0,31.0,63.0,2.09,43.0,0.0,3.0,9.0,7.0,1.0,14.0,0.46,8.0,0.0,1.0,2.0,2.0,1.0,26.0,14.0,8.0,14.0,4.0,14.0,42.0,33.3,28.0,32.0,1.0,31.0,8.0,34.0,12.0,0.0,1143.0,17.0,128.0,435.0,600.0,133.0,1143.0,91.0,27.0,29.7,53.0,58.2,734.0,5174.0,2749.0,100.0,72.0,48.0,75.0,42.0,900.0,257.0,34,2711.0,80.0,79.3,30.1,32,83.0,21,2,27.0,0,0.88,41.0,51.0,-10.0,-0.33,0.56,39.4,50.9,-11.5,-0.38,-0.22,3.0,0.0,0.0,38.0,37.0,9.0,44.0,8.0,14.0,0.0,0.0,0.0,101.0,29.0,57.0,33.7
Wout Faes,be BEL,DF,24.0,31.0,1.0,13.0,3.0,23.1,0.42,0.1,0.08,0.33,11.8,0.0,0.0,0.0,1.2,1.2,0.09,-0.2,-0.2,1581.0,1846.0,85.6,29211.0,10369.0,593.0,654.0,90.7,859.0,939.0,91.5,116.0,218.0,53.2,2.0,0.6,0.6,1.4,9.0,70.0,5.0,0.0,74.0,1846.0,1789.0,54.0,48.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1581.0,3.0,10.0,22.0,0.71,16.0,0.0,1.0,3.0,0.0,2.0,4.0,0.13,3.0,0.0,0.0,0.0,0.0,1.0,56.0,33.0,28.0,26.0,2.0,28.0,44.0,63.6,16.0,53.0,37.0,16.0,41.0,97.0,113.0,2.0,2177.0,357.0,1230.0,916.0,44.0,19.0,2177.0,12.0,9.0,75.0,3.0,25.0,1262.0,6476.0,3606.0,11.0,7.0,0.0,15.0,5.0,1436.0,2.0,31,2786.0,90.0,81.5,31.0,31,90.0,30,0,,0,1.03,42.0,51.0,-9.0,-0.29,0.84,43.2,52.4,-9.2,-0.3,0.21,6.0,1.0,1.0,23.0,17.0,0.0,0.0,41.0,33.0,0.0,0.0,2.0,184.0,58.0,41.0,58.6
James Maddison,eng ENG,"MF,FW",25.0,27.6,10.0,83.0,27.0,32.5,3.01,0.98,0.11,0.33,21.1,13.0,1.0,2.0,8.7,6.6,0.08,1.3,2.4,844.0,1150.0,73.4,14244.0,4356.0,417.0,481.0,86.7,300.0,395.0,75.9,93.0,186.0,50.0,9.0,9.3,5.7,-0.3,69.0,117.0,27.0,4.0,151.0,1150.0,998.0,142.0,60.0,13.0,8.0,123.0,4.0,69.0,37.0,20.0,3.0,844.0,10.0,29.0,138.0,5.01,76.0,29.0,12.0,7.0,12.0,2.0,13.0,0.47,10.0,1.0,1.0,0.0,1.0,0.0,51.0,26.0,25.0,19.0,7.0,19.0,50.0,38.0,31.0,19.0,1.0,18.0,13.0,64.0,6.0,1.0,1447.0,17.0,160.0,647.0,655.0,103.0,1445.0,107.0,46.0,43.0,39.0,36.4,964.0,5653.0,2671.0,77.0,44.0,31.0,45.0,31.0,1075.0,155.0,30,2480.0,83.0,72.5,27.6,28,86.0,21,2,34.0,0,0.93,41.0,54.0,-13.0,-0.47,-0.09,38.1,46.0,-7.9,-0.29,0.18,10.0,0.0,0.0,31.0,79.0,6.0,123.0,13.0,26.0,1.0,0.0,0.0,101.0,4.0,10.0,28.6
Kiernan Dewsbury-Hall,eng ENG,MF,23.0,25.6,2.0,26.0,6.0,23.1,1.01,0.23,0.08,0.33,21.3,0.0,0.0,0.0,2.4,2.4,0.09,-0.4,-0.4,872.0,1154.0,75.6,14495.0,3746.0,448.0,526.0,85.2,311.0,389.0,79.9,84.0,161.0,52.2,2.0,3.3,2.6,-1.3,39.0,111.0,23.0,4.0,132.0,1154.0,1120.0,24.0,9.0,9.0,20.0,46.0,3.0,7.0,7.0,0.0,0.0,872.0,10.0,26.0,78.0,3.04,61.0,0.0,8.0,2.0,5.0,2.0,9.0,0.35,6.0,0.0,1.0,0.0,1.0,1.0,53.0,29.0,14.0,34.0,5.0,19.0,47.0,40.4,28.0,55.0,13.0,42.0,28.0,81.0,21.0,0.0,1490.0,48.0,278.0,795.0,443.0,50.0,1490.0,74.0,40.0,54.1,26.0,35.1,903.0,5218.0,2559.0,68.0,36.0,16.0,73.0,32.0,1038.0,91.0,31,2306.0,74.0,67.4,25.6,28,80.0,16,3,26.0,2,1.0,38.0,40.0,-2.0,-0.08,1.13,30.5,39.2,-8.7,-0.34,-0.01,5.0,1.0,1.0,37.0,35.0,1.0,46.0,28.0,29.0,0.0,0.0,0.0,149.0,15.0,13.0,53.6
Youri Tielemans,be BEL,MF,25.0,26.0,3.0,29.0,8.0,27.6,1.11,0.31,0.07,0.25,27.7,1.0,1.0,2.0,2.5,0.9,0.03,0.5,1.1,1303.0,1623.0,80.3,21370.0,7448.0,651.0,734.0,88.7,501.0,592.0,84.6,111.0,208.0,53.4,2.0,4.7,3.3,-2.7,30.0,169.0,28.0,7.0,181.0,1623.0,1517.0,100.0,51.0,12.0,8.0,45.0,16.0,20.0,8.0,9.0,0.0,1303.0,6.0,38.0,78.0,2.99,64.0,4.0,1.0,7.0,1.0,1.0,4.0,0.15,2.0,1.0,0.0,1.0,0.0,0.0,66.0,39.0,27.0,30.0,9.0,23.0,61.0,37.7,38.0,35.0,8.0,27.0,28.0,94.0,24.0,1.0,1877.0,62.0,436.0,1080.0,382.0,14.0,1875.0,35.0,26.0,74.3,5.0,14.3,952.0,4043.0,2088.0,35.0,25.0,1.0,33.0,15.0,1309.0,56.0,31,2344.0,76.0,68.5,26.0,27,82.0,16,4,30.0,0,0.97,35.0,49.0,-14.0,-0.54,-0.29,33.0,45.0,-12.0,-0.46,-0.39,4.0,0.0,0.0,33.0,25.0,1.0,45.0,28.0,39.0,0.0,0.0,0.0,195.0,26.0,12.0,68.4
Danny Ward,wls WAL,GK,29.0,26.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,708.0,945.0,74.9,16865.0,10488.0,197.0,199.0,99.0,352.0,355.0,99.2,158.0,383.0,41.3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,945.0,679.0,261.0,71.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,5.0,2.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,14.0,2.0,1000.0,806.0,996.0,5.0,0.0,0.0,1000.0,0.0,0.0,,0.0,,559.0,2832.0,1665.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,26,2340.0,90.0,68.4,26.0,26,90.0,26,0,,9,0.92,37.0,46.0,-9.0,-0.35,0.32,32.9,43.1,-10.1,-0.39,-0.17,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,3.0,0.0,100.0
Boubakary Soumaré,fr FRA,MF,23.0,18.1,0.0,1.0,0.0,0.0,0.06,0.0,0.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,776.0,902.0,86.0,11579.0,3059.0,429.0,470.0,91.3,276.0,314.0,87.9,39.0,57.0,68.4,0.0,0.4,0.5,-0.4,11.0,80.0,5.0,1.0,73.0,902.0,895.0,7.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,19.0,23.0,1.27,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,57.0,34.0,29.0,26.0,2.0,23.0,43.0,53.5,20.0,15.0,4.0,11.0,33.0,90.0,27.0,1.0,1091.0,45.0,319.0,675.0,112.0,2.0,1091.0,22.0,12.0,54.5,6.0,27.3,588.0,2940.0,1182.0,17.0,12.0,0.0,26.0,22.0,733.0,20.0,26,1629.0,63.0,47.6,18.1,20,75.0,9,6,23.0,3,1.0,19.0,30.0,-11.0,-0.61,-0.31,23.3,33.8,-10.6,-0.58,-0.47,9.0,0.0,0.0,31.0,22.0,1.0,2.0,33.0,34.0,0.0,0.0,0.0,119.0,18.0,14.0,56.3
Jamie Vardy,eng ENG,FW,35.0,20.6,3.0,27.0,13.0,48.1,1.31,0.63,0.11,0.23,12.3,0.0,0.0,1.0,6.7,5.9,0.22,-3.7,-2.9,137.0,263.0,52.1,1931.0,364.0,69.0,119.0,58.0,47.0,88.0,53.4,7.0,15.0,46.7,4.0,1.4,0.7,2.6,14.0,7.0,5.0,1.0,14.0,263.0,239.0,23.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,137.0,1.0,9.0,34.0,1.65,23.0,0.0,6.0,3.0,2.0,0.0,7.0,0.34,5.0,0.0,1.0,0.0,1.0,0.0,10.0,5.0,4.0,3.0,3.0,1.0,7.0,14.3,6.0,17.0,3.0,14.0,2.0,12.0,30.0,0.0,438.0,32.0,59.0,176.0,206.0,71.0,437.0,29.0,12.0,41.4,14.0,48.3,192.0,926.0,358.0,16.0,9.0,13.0,33.0,16.0,261.0,101.0,37,1857.0,50.0,54.3,20.6,19,74.0,6,18,26.0,1,0.92,24.0,38.0,-14.0,-0.68,-0.51,23.9,34.2,-10.3,-0.5,-0.36,1.0,0.0,0.0,21.0,7.0,29.0,7.0,2.0,5.0,2.0,0.0,0.0,41.0,47.0,78.0,37.6
Wilfred Ndidi,ng NGA,MF,25.0,18.7,0.0,7.0,2.0,28.6,0.38,0.11,0.0,0.0,25.1,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,754.0,899.0,83.9,11486.0,2879.0,392.0,429.0,91.4,304.0,348.0,87.4,31.0,67.0,46.3,0.0,0.1,0.2,-0.1,3.0,49.0,0.0,0.0,51.0,899.0,868.0,31.0,25.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,754.0,0.0,19.0,12.0,0.64,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,61.0,42.0,34.0,24.0,3.0,17.0,43.0,39.5,26.0,32.0,14.0,18.0,38.0,99.0,48.0,3.0,1129.0,83.0,406.0,652.0,92.0,5.0,1129.0,15.0,10.0,66.7,4.0,26.7,564.0,2464.0,1075.0,11.0,14.0,0.0,14.0,10.0,659.0,7.0,27,1679.0,62.0,49.1,18.7,19,79.0,8,8,22.0,4,0.7,25.0,39.0,-14.0,-0.75,-0.6,22.1,31.6,-9.5,-0.51,-0.34,4.0,0.0,0.0,29.0,14.0,0.0,2.0,38.0,42.0,0.0,2.0,0.0,146.0,25.0,22.0,53.2
Daniel Amartey,gh GHA,DF,27.0,17.9,0.0,6.0,2.0,33.3,0.34,0.11,0.0,0.0,17.4,0.0,0.0,0.0,1.1,1.1,0.18,-1.1,-1.1,1015.0,1114.0,91.1,17506.0,6591.0,442.0,473.0,93.4,498.0,526.0,94.7,62.0,91.0,68.1,0.0,0.5,0.4,-0.5,5.0,58.0,1.0,0.0,66.0,1114.0,1092.0,20.0,15.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1015.0,2.0,2.0,15.0,0.84,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,13.0,5.0,1.0,12.0,14.0,85.7,2.0,24.0,17.0,7.0,8.0,27.0,71.0,0.0,1279.0,185.0,658.0,578.0,46.0,9.0,1279.0,5.0,2.0,40.0,2.0,40.0,779.0,3720.0,2275.0,23.0,11.0,0.0,8.0,4.0,909.0,5.0,20,1610.0,81.0,47.1,17.9,18,87.0,16,2,22.0,15,0.8,20.0,27.0,-7.0,-0.39,0.11,20.0,27.6,-7.6,-0.42,-0.17,1.0,0.0,0.0,7.0,3.0,0.0,0.0,8.0,8.0,0.0,1.0,0.0,108.0,34.0,26.0,56.7
James Justin,eng ENG,DF,24.0,13.9,0.0,5.0,0.0,0.0,0.36,0.0,0.0,,23.4,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,667.0,819.0,81.4,10404.0,3063.0,371.0,408.0,90.9,239.0,282.0,84.8,39.0,81.0,48.1,0.0,0.3,0.5,-0.3,7.0,48.0,12.0,7.0,47.0,819.0,687.0,130.0,16.0,0.0,4.0,21.0,114.0,0.0,0.0,0.0,0.0,667.0,2.0,19.0,21.0,1.51,17.0,0.0,2.0,0.0,2.0,0.0,2.0,0.14,0.0,0.0,1.0,0.0,1.0,0.0,20.0,18.0,7.0,12.0,1.0,9.0,14.0,64.3,5.0,24.0,6.0,18.0,15.0,35.0,47.0,0.0,980.0,48.0,296.0,475.0,216.0,8.0,980.0,19.0,4.0,21.1,11.0,57.9,417.0,1831.0,834.0,20.0,19.0,4.0,15.0,6.0,574.0,50.0,14,1252.0,89.0,36.6,13.9,14,89.0,12,0,,0,1.0,23.0,25.0,-2.0,-0.14,0.48,15.9,20.8,-5.0,-0.36,-0.03,0.0,0.0,0.0,8.0,29.0,2.0,21.0,15.0,18.0,1.0,0.0,0.0,64.0,23.0,32.0,41.8
Patson Daka,zm ZAM,FW,23.0,13.2,4.0,30.0,16.0,53.3,2.27,1.21,0.13,0.25,14.6,0.0,0.0,0.0,3.5,3.5,0.12,0.5,0.5,195.0,295.0,66.1,2605.0,439.0,118.0,157.0,75.2,55.0,85.0,64.7,8.0,12.0,66.7,4.0,2.8,1.7,1.2,17.0,7.0,8.0,1.0,17.0,295.0,264.0,29.0,0.0,5.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,195.0,2.0,11.0,28.0,2.12,19.0,1.0,1.0,5.0,2.0,0.0,7.0,0.53,4.0,0.0,1.0,2.0,0.0,0.0,14.0,8.0,6.0,8.0,0.0,3.0,12.0,25.0,9.0,14.0,2.0,12.0,7.0,21.0,7.0,0.0,444.0,13.0,42.0,175.0,230.0,58.0,444.0,18.0,7.0,38.9,8.0,44.4,207.0,1090.0,461.0,18.0,8.0,11.0,46.0,19.0,288.0,82.0,30,1187.0,40.0,34.7,13.2,13,65.0,2,17,20.0,7,0.83,20.0,24.0,-4.0,-0.3,0.22,18.8,20.4,-1.6,-0.12,0.33,2.0,0.0,0.0,23.0,15.0,7.0,8.0,7.0,8.0,1.0,0.0,0.0,36.0,26.0,45.0,36.6
Daniel Iversen,dk DEN,GK,25.0,12.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,212.0,377.0,56.2,5408.0,3761.0,65.0,65.0,100.0,93.0,95.0,97.9,53.0,213.0,24.9,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,377.0,214.0,161.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,2.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,411.0,344.0,406.0,5.0,0.0,0.0,411.0,0.0,0.0,,0.0,,177.0,1011.0,571.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,12,1080.0,90.0,31.6,12.0,12,90.0,12,0,,26,0.83,14.0,22.0,-8.0,-0.67,-0.32,17.7,20.3,-2.6,-0.22,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,100.0
Jonny Evans,nir NIR,DF,34.0,11.7,0.0,1.0,1.0,100.0,0.09,0.09,0.0,0.0,3.8,0.0,0.0,0.0,0.2,0.2,0.17,-0.2,-0.2,690.0,789.0,87.5,13684.0,5215.0,211.0,227.0,93.0,400.0,430.0,93.0,73.0,114.0,64.0,0.0,0.0,0.2,0.0,1.0,43.0,2.0,0.0,35.0,789.0,764.0,24.0,23.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,690.0,1.0,4.0,4.0,0.34,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,12.0,1.0,0.0,7.0,11.0,63.6,4.0,15.0,11.0,4.0,18.0,31.0,51.0,0.0,906.0,137.0,474.0,424.0,9.0,2.0,906.0,0.0,0.0,,0.0,,529.0,2218.0,1206.0,6.0,4.0,0.0,5.0,0.0,629.0,0.0,13,1051.0,81.0,30.7,11.7,12,88.0,10,1,1.0,3,0.62,17.0,28.0,-11.0,-0.94,-0.71,12.0,19.6,-7.6,-0.65,-0.45,1.0,0.0,0.0,9.0,7.0,1.0,0.0,18.0,5.0,0.0,0.0,0.0,60.0,26.0,13.0,66.7
Kelechi Iheanacho,ng NGA,"FW,MF",25.0,12.5,5.0,38.0,13.0,34.2,3.03,1.04,0.11,0.31,17.1,0.0,1.0,1.0,7.1,6.3,0.17,-2.1,-2.3,236.0,316.0,74.7,3049.0,602.0,156.0,189.0,82.5,54.0,67.0,80.6,11.0,22.0,50.0,5.0,4.0,1.8,1.0,22.0,21.0,8.0,0.0,27.0,316.0,304.0,9.0,0.0,4.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,236.0,3.0,12.0,45.0,3.59,33.0,1.0,4.0,5.0,2.0,0.0,6.0,0.48,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0,4.0,3.0,10.0,30.0,7.0,9.0,1.0,8.0,0.0,7.0,8.0,0.0,464.0,10.0,28.0,197.0,244.0,58.0,463.0,39.0,20.0,51.3,17.0,43.6,293.0,1661.0,724.0,33.0,13.0,18.0,41.0,36.0,380.0,99.0,28,1127.0,40.0,33.0,12.5,11,73.0,1,17,19.0,7,0.68,17.0,23.0,-6.0,-0.48,-0.05,22.6,22.5,0.2,0.01,0.52,0.0,0.0,0.0,18.0,5.0,12.0,6.0,0.0,2.0,0.0,0.0,0.0,30.0,15.0,31.0,32.6
