player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Aaron Ramsdale,eng ENG,GK,24.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,761.0,1111.0,68.5,18974.0,13109.0,190.0,196.0,96.9,383.0,390.0,98.2,186.0,519.0,35.8,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,8.0,1111.0,872.0,237.0,83.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,761.0,2.0,3.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,6.0,1196.0,872.0,1170.0,28.0,0.0,0.0,1196.0,1.0,1.0,100.0,0.0,0.0,722.0,3934.0,2459.0,0.0,1.0,0.0,0.0,0.0,629.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,2.21,88.0,43.0,45.0,1.18,,71.9,42.0,29.9,0.79,,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,6.0,0.0,100.0
Gabriel Dos Santos,br BRA,DF,24.0,37.9,3.0,32.0,9.0,28.1,0.84,0.24,0.09,0.33,11.9,0.0,0.0,0.0,5.1,5.1,0.16,-2.1,-2.1,2155.0,2411.0,89.4,38355.0,13522.0,870.0,922.0,94.4,1111.0,1180.0,94.2,150.0,246.0,61.0,0.0,0.3,0.6,-0.3,5.0,171.0,3.0,0.0,153.0,2411.0,2318.0,89.0,60.0,1.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,2155.0,4.0,19.0,24.0,0.63,21.0,0.0,0.0,2.0,0.0,1.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,48.0,30.0,29.0,15.0,4.0,18.0,27.0,66.7,9.0,49.0,26.0,23.0,32.0,80.0,125.0,2.0,2776.0,307.0,1153.0,1419.0,215.0,53.0,2776.0,3.0,2.0,66.7,0.0,0.0,1746.0,8780.0,5471.0,18.0,43.0,3.0,19.0,4.0,1934.0,16.0,38,3409.0,90.0,99.7,37.9,38,90.0,36,0,,0,2.21,88.0,43.0,45.0,1.19,1.19,71.8,41.4,30.4,0.8,5.3,5.0,0.0,0.0,26.0,40.0,1.0,5.0,32.0,30.0,0.0,2.0,0.0,191.0,100.0,76.0,56.8
Bukayo Saka,eng ENG,FW,20.0,35.3,14.0,86.0,29.0,33.7,2.43,0.82,0.14,0.41,16.3,1.0,2.0,3.0,11.2,9.1,0.11,2.8,2.9,1054.0,1430.0,73.7,15405.0,3694.0,653.0,753.0,86.7,292.0,378.0,77.2,70.0,164.0,42.7,11.0,8.5,5.8,2.5,75.0,50.0,66.0,12.0,109.0,1430.0,1297.0,131.0,11.0,2.0,3.0,172.0,21.0,99.0,76.0,0.0,2.0,1054.0,2.0,62.0,161.0,4.56,106.0,27.0,8.0,11.0,7.0,2.0,28.0,0.79,20.0,4.0,2.0,1.0,0.0,1.0,63.0,34.0,22.0,15.0,26.0,20.0,44.0,45.5,24.0,38.0,0.0,38.0,14.0,77.0,19.0,0.0,1882.0,21.0,160.0,474.0,1270.0,237.0,1879.0,161.0,61.0,37.9,69.0,42.9,1191.0,8403.0,4557.0,179.0,92.0,84.0,78.0,59.0,1361.0,520.0,38,3181.0,84.0,93.0,35.3,37,85.0,23,1,31.0,0,2.21,79.0,42.0,37.0,1.05,-1.97,64.4,39.4,25.0,0.71,-1.13,6.0,0.0,0.0,43.0,65.0,9.0,172.0,14.0,34.0,0.0,0.0,0.0,127.0,16.0,38.0,29.6
Martin Ødegaard,no NOR,MF,23.0,34.7,15.0,93.0,31.0,33.3,2.68,0.89,0.16,0.48,19.2,9.0,0.0,0.0,10.0,10.0,0.11,5.0,5.0,1449.0,1804.0,80.3,22540.0,6014.0,759.0,873.0,86.9,518.0,617.0,84.0,110.0,175.0,62.9,7.0,8.1,7.9,-1.1,76.0,135.0,91.0,4.0,266.0,1804.0,1683.0,110.0,79.0,23.0,9.0,91.0,13.0,18.0,9.0,6.0,1.0,1449.0,11.0,45.0,163.0,4.69,123.0,15.0,4.0,12.0,6.0,3.0,17.0,0.49,15.0,0.0,0.0,2.0,0.0,0.0,36.0,23.0,12.0,14.0,10.0,14.0,47.0,29.8,33.0,20.0,5.0,15.0,6.0,42.0,12.0,1.0,2100.0,27.0,199.0,864.0,1060.0,122.0,2100.0,83.0,48.0,57.8,29.0,34.9,1284.0,6930.0,3022.0,83.0,60.0,26.0,42.0,45.0,1550.0,193.0,37,3127.0,85.0,91.4,34.7,37,85.0,14,0,,0,2.19,82.0,38.0,44.0,1.27,0.96,67.1,37.5,29.6,0.85,0.75,4.0,0.0,0.0,30.0,26.0,1.0,91.0,6.0,23.0,0.0,0.0,0.0,178.0,13.0,20.0,39.4
Ben White,eng ENG,DF,24.0,33.9,2.0,10.0,2.0,20.0,0.29,0.06,0.2,1.0,16.7,0.0,0.0,0.0,1.3,1.3,0.13,0.7,0.7,1888.0,2242.0,84.2,31271.0,10700.0,893.0,974.0,91.7,851.0,972.0,87.6,107.0,205.0,52.2,5.0,3.2,3.7,1.8,26.0,226.0,42.0,12.0,249.0,2242.0,1951.0,285.0,57.0,6.0,13.0,57.0,228.0,0.0,0.0,0.0,0.0,1888.0,6.0,27.0,64.0,1.89,56.0,7.0,0.0,0.0,1.0,0.0,13.0,0.38,12.0,1.0,0.0,0.0,0.0,0.0,60.0,31.0,23.0,30.0,7.0,42.0,70.0,60.0,28.0,47.0,11.0,36.0,22.0,82.0,79.0,1.0,2532.0,103.0,554.0,1305.0,685.0,48.0,2532.0,29.0,8.0,27.6,15.0,51.7,1448.0,6506.0,3565.0,64.0,46.0,3.0,27.0,7.0,1698.0,124.0,38,3055.0,80.0,89.3,33.9,36,83.0,21,2,27.0,0,2.21,80.0,35.0,45.0,1.33,1.33,63.3,36.7,26.7,0.79,-0.01,5.0,0.0,0.0,28.0,30.0,1.0,57.0,22.0,31.0,0.0,0.0,0.0,155.0,33.0,41.0,44.6
Granit Xhaka,ch SUI,MF,29.0,33.3,7.0,40.0,14.0,35.0,1.2,0.42,0.18,0.5,16.6,3.0,0.0,0.0,4.7,4.7,0.12,2.3,2.3,1382.0,1632.0,84.7,22642.0,5919.0,675.0,762.0,88.6,552.0,635.0,86.9,113.0,139.0,81.3,7.0,5.2,4.0,1.8,47.0,148.0,40.0,4.0,196.0,1632.0,1574.0,55.0,34.0,6.0,6.0,39.0,19.0,1.0,0.0,0.0,0.0,1382.0,3.0,27.0,110.0,3.31,94.0,3.0,5.0,4.0,3.0,1.0,17.0,0.51,16.0,0.0,0.0,1.0,0.0,0.0,34.0,27.0,11.0,18.0,5.0,16.0,41.0,39.0,25.0,28.0,10.0,18.0,15.0,49.0,45.0,1.0,1891.0,84.0,341.0,900.0,658.0,106.0,1891.0,28.0,15.0,53.6,10.0,35.7,1112.0,4242.0,2161.0,42.0,38.0,9.0,35.0,25.0,1397.0,175.0,37,2993.0,81.0,87.5,33.3,36,83.0,24,1,7.0,0,2.24,75.0,35.0,40.0,1.2,0.15,60.7,36.5,24.3,0.73,-0.46,4.0,0.0,0.0,25.0,39.0,5.0,39.0,15.0,27.0,0.0,0.0,0.0,152.0,37.0,30.0,55.2
Martinelli,br BRA,FW,21.0,31.0,15.0,79.0,30.0,38.0,2.55,0.97,0.19,0.5,15.4,2.0,0.0,0.0,9.3,9.3,0.12,5.7,5.7,833.0,1107.0,75.2,12960.0,2610.0,447.0,527.0,84.8,295.0,356.0,82.9,61.0,123.0,49.6,5.0,9.1,7.0,-4.1,59.0,33.0,43.0,10.0,94.0,1107.0,1013.0,88.0,12.0,8.0,2.0,113.0,11.0,63.0,40.0,0.0,0.0,833.0,6.0,44.0,127.0,4.1,89.0,8.0,12.0,12.0,4.0,2.0,17.0,0.55,10.0,0.0,2.0,5.0,0.0,0.0,31.0,18.0,13.0,12.0,6.0,9.0,22.0,40.9,13.0,24.0,1.0,23.0,9.0,40.0,14.0,0.0,1490.0,19.0,129.0,419.0,965.0,223.0,1490.0,132.0,59.0,44.7,55.0,41.7,1019.0,7180.0,3297.0,124.0,65.0,70.0,83.0,56.0,1115.0,350.0,36,2789.0,77.0,81.5,31.0,34,80.0,16,2,28.0,0,2.25,72.0,33.0,39.0,1.26,0.4,59.9,35.7,24.3,0.78,-0.02,3.0,0.0,0.0,39.0,37.0,8.0,113.0,9.0,18.0,0.0,0.0,0.0,103.0,14.0,63.0,18.2
Thomas Partey,gh GHA,MF,29.0,27.6,3.0,28.0,4.0,14.3,1.01,0.14,0.11,0.75,20.4,0.0,0.0,0.0,2.2,2.2,0.08,0.8,0.8,1731.0,1985.0,87.2,30132.0,9207.0,804.0,876.0,91.8,712.0,801.0,88.9,178.0,240.0,74.2,0.0,1.5,2.4,-1.5,26.0,231.0,24.0,2.0,231.0,1985.0,1923.0,59.0,32.0,11.0,12.0,9.0,27.0,0.0,0.0,0.0,0.0,1731.0,3.0,20.0,71.0,2.57,62.0,2.0,1.0,2.0,1.0,3.0,6.0,0.22,6.0,0.0,0.0,0.0,0.0,0.0,70.0,40.0,20.0,35.0,15.0,25.0,52.0,48.1,27.0,26.0,5.0,21.0,28.0,98.0,41.0,1.0,2267.0,78.0,418.0,1406.0,466.0,29.0,2267.0,45.0,35.0,77.8,8.0,17.8,1398.0,6866.0,3847.0,34.0,38.0,3.0,33.0,19.0,1654.0,35.0,33,2483.0,75.0,72.6,27.6,28,85.0,21,5,20.0,0,2.27,69.0,28.0,41.0,1.49,1.1,54.7,31.9,22.8,0.82,0.14,5.0,0.0,0.0,37.0,23.0,0.0,9.0,28.0,40.0,0.0,0.0,0.0,225.0,37.0,25.0,59.7
William Saliba,fr FRA,DF,21.0,26.8,2.0,6.0,3.0,50.0,0.22,0.11,0.33,0.67,13.8,0.0,0.0,0.0,0.9,0.9,0.15,1.1,1.1,1698.0,1865.0,91.0,29692.0,11617.0,715.0,767.0,93.2,844.0,905.0,93.3,108.0,144.0,75.0,1.0,1.2,0.3,-0.2,6.0,111.0,3.0,0.0,99.0,1865.0,1822.0,43.0,34.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,8.0,14.0,0.52,11.0,2.0,1.0,0.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,23.0,9.0,2.0,15.0,18.0,83.3,3.0,13.0,10.0,3.0,19.0,53.0,85.0,4.0,2056.0,174.0,905.0,1094.0,64.0,15.0,2056.0,11.0,8.0,72.7,1.0,9.1,1323.0,6658.0,3908.0,13.0,14.0,1.0,15.0,6.0,1423.0,2.0,27,2415.0,89.0,70.6,26.8,27,89.0,26,0,,0,2.44,61.0,25.0,36.0,1.34,0.54,51.9,26.2,25.7,0.96,0.58,4.0,0.0,0.0,19.0,13.0,0.0,1.0,19.0,20.0,0.0,2.0,1.0,206.0,53.0,43.0,55.2
Oleksandr Zinchenko,ua UKR,DF,25.0,23.5,1.0,28.0,7.0,25.0,1.19,0.3,0.04,0.14,22.7,0.0,0.0,0.0,1.4,1.4,0.05,-0.4,-0.4,1652.0,1911.0,86.4,27023.0,7899.0,808.0,876.0,92.2,696.0,798.0,87.2,105.0,148.0,70.9,2.0,1.4,2.4,0.6,19.0,201.0,41.0,4.0,227.0,1911.0,1703.0,203.0,49.0,6.0,12.0,37.0,153.0,1.0,0.0,0.0,0.0,1652.0,5.0,29.0,56.0,2.38,49.0,1.0,0.0,4.0,1.0,1.0,4.0,0.17,3.0,0.0,0.0,1.0,0.0,0.0,40.0,18.0,14.0,17.0,9.0,21.0,39.0,53.8,18.0,20.0,2.0,18.0,22.0,62.0,38.0,2.0,2112.0,77.0,463.0,1058.0,610.0,33.0,2112.0,25.0,15.0,60.0,9.0,36.0,1263.0,6899.0,3787.0,67.0,66.0,8.0,16.0,15.0,1398.0,68.0,27,2118.0,78.0,61.9,23.5,26,81.0,8,1,18.0,0,2.26,54.0,28.0,26.0,1.1,-0.21,45.5,26.5,19.0,0.81,0.06,3.0,0.0,0.0,6.0,11.0,1.0,37.0,22.0,18.0,0.0,0.0,0.0,163.0,51.0,20.0,71.8
Gabriel Jesus,br BRA,FW,25.0,22.9,11.0,76.0,31.0,40.8,3.31,1.35,0.13,0.32,10.6,0.0,1.0,1.0,14.0,13.2,0.18,-3.0,-3.2,561.0,699.0,80.3,8525.0,1644.0,297.0,349.0,85.1,206.0,234.0,88.0,28.0,45.0,62.2,6.0,3.9,2.9,2.1,31.0,31.0,22.0,2.0,64.0,699.0,635.0,62.0,4.0,4.0,5.0,11.0,12.0,0.0,0.0,0.0,0.0,561.0,2.0,19.0,83.0,3.62,43.0,1.0,12.0,11.0,13.0,3.0,12.0,0.52,8.0,0.0,1.0,1.0,2.0,0.0,33.0,25.0,16.0,8.0,9.0,15.0,31.0,48.4,16.0,27.0,3.0,24.0,11.0,44.0,15.0,1.0,1080.0,26.0,110.0,406.0,573.0,191.0,1079.0,111.0,44.0,39.6,49.0,44.1,642.0,3467.0,1517.0,44.0,31.0,28.0,88.0,65.0,799.0,194.0,26,2064.0,79.0,60.4,22.9,24,84.0,11,2,20.0,0,2.23,53.0,23.0,30.0,1.31,0.31,43.2,23.2,20.0,0.87,0.21,6.0,0.0,0.0,43.0,56.0,16.0,11.0,11.0,25.0,2.0,0.0,0.0,79.0,44.0,78.0,36.1
Leandro Trossard,be BEL,FW,27.0,10.3,1.0,17.0,5.0,29.4,1.64,0.48,0.06,0.2,17.5,0.0,0.0,0.0,1.8,1.8,0.11,-0.8,-0.8,347.0,452.0,76.8,5770.0,1501.0,165.0,191.0,86.4,133.0,158.0,84.2,35.0,59.0,59.3,10.0,4.7,3.9,5.3,22.0,20.0,30.0,5.0,57.0,452.0,402.0,47.0,3.0,6.0,6.0,55.0,5.0,31.0,22.0,1.0,0.0,347.0,3.0,19.0,34.0,3.29,23.0,7.0,1.0,1.0,2.0,0.0,9.0,0.87,8.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,4.0,2.0,6.0,6.0,18.0,33.3,12.0,18.0,0.0,18.0,6.0,18.0,3.0,1.0,567.0,9.0,64.0,179.0,331.0,43.0,567.0,26.0,15.0,57.7,6.0,23.1,374.0,2386.0,1107.0,36.0,16.0,10.0,18.0,23.0,417.0,102.0,20,931.0,47.0,27.2,10.3,10,66.0,1,10,27.0,0,1.85,29.0,15.0,14.0,1.35,0.23,20.1,11.3,8.8,0.85,0.09,0.0,0.0,0.0,9.0,17.0,4.0,55.0,6.0,7.0,0.0,0.0,0.0,46.0,1.0,4.0,20.0
Eddie Nketiah,eng ENG,FW,23.0,12.1,4.0,41.0,14.0,34.1,3.39,1.16,0.1,0.29,11.3,0.0,0.0,0.0,8.2,8.2,0.2,-4.2,-4.2,205.0,255.0,80.4,2894.0,350.0,131.0,151.0,86.8,58.0,69.0,84.1,9.0,12.0,75.0,1.0,1.3,1.3,-0.3,9.0,9.0,6.0,0.0,15.0,255.0,231.0,24.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,11.0,29.0,2.4,14.0,0.0,6.0,6.0,3.0,0.0,3.0,0.25,2.0,0.0,0.0,0.0,1.0,0.0,13.0,9.0,6.0,2.0,5.0,2.0,8.0,25.0,6.0,7.0,1.0,6.0,1.0,14.0,7.0,0.0,407.0,10.0,35.0,157.0,221.0,87.0,407.0,34.0,15.0,44.1,13.0,38.2,259.0,1682.0,603.0,32.0,16.0,22.0,30.0,20.0,305.0,82.0,30,1089.0,36.0,31.8,12.1,9,90.0,8,21,13.0,3,2.07,26.0,16.0,10.0,0.83,-0.52,24.9,14.2,10.7,0.89,0.15,3.0,0.0,0.0,30.0,25.0,8.0,5.0,1.0,9.0,1.0,0.0,0.0,30.0,10.0,31.0,24.4
Jorginho,it ITA,MF,30.0,9.5,0.0,6.0,0.0,0.0,0.63,0.0,0.0,,22.3,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,641.0,736.0,87.1,10809.0,3031.0,279.0,311.0,89.7,305.0,334.0,91.3,41.0,61.0,67.2,1.0,0.2,0.6,0.8,5.0,84.0,12.0,0.0,99.0,736.0,718.0,16.0,16.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,641.0,2.0,8.0,21.0,2.21,19.0,0.0,0.0,0.0,0.0,2.0,5.0,0.53,4.0,0.0,0.0,0.0,0.0,1.0,18.0,13.0,6.0,10.0,2.0,5.0,24.0,20.8,19.0,7.0,2.0,5.0,9.0,27.0,8.0,0.0,807.0,27.0,159.0,476.0,175.0,8.0,807.0,10.0,3.0,30.0,5.0,50.0,523.0,2399.0,1252.0,15.0,12.0,0.0,8.0,8.0,629.0,8.0,14,855.0,61.0,25.0,9.5,9,81.0,6,5,25.0,5,1.79,20.0,11.0,9.0,0.95,-0.32,14.1,8.5,5.7,0.6,-0.26,0.0,0.0,0.0,6.0,18.0,0.0,2.0,9.0,13.0,0.0,0.0,0.0,69.0,10.0,8.0,55.6
Kieran Tierney,sct SCO,DF,25.0,8.8,0.0,7.0,2.0,28.6,0.79,0.23,0.0,0.0,23.1,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,362.0,486.0,74.5,6636.0,2048.0,152.0,172.0,88.4,170.0,215.0,79.1,35.0,69.0,50.7,1.0,0.3,0.4,0.7,4.0,35.0,9.0,1.0,36.0,486.0,415.0,67.0,11.0,1.0,1.0,24.0,56.0,0.0,0.0,0.0,0.0,362.0,4.0,11.0,12.0,1.36,10.0,0.0,1.0,1.0,0.0,0.0,4.0,0.45,4.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,9.0,9.0,2.0,12.0,16.0,75.0,4.0,8.0,2.0,6.0,11.0,31.0,25.0,0.0,579.0,23.0,153.0,244.0,183.0,15.0,579.0,12.0,3.0,25.0,3.0,25.0,316.0,1802.0,837.0,25.0,12.0,3.0,7.0,0.0,338.0,31.0,27,795.0,29.0,23.2,8.8,6,81.0,3,21,15.0,11,2.56,16.0,10.0,6.0,0.68,-0.66,15.2,10.8,4.4,0.5,-0.37,0.0,0.0,0.0,5.0,9.0,1.0,24.0,11.0,11.0,0.0,0.0,0.0,43.0,6.0,18.0,25.0
Takehiro Tomiyasu,jp JPN,DF,23.0,7.4,0.0,3.0,0.0,0.0,0.41,0.0,0.0,,12.1,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2,384.0,474.0,81.0,6453.0,2036.0,173.0,200.0,86.5,171.0,199.0,85.9,30.0,56.0,53.6,1.0,0.6,0.2,0.4,4.0,41.0,6.0,2.0,51.0,474.0,420.0,53.0,4.0,2.0,2.0,12.0,49.0,0.0,0.0,0.0,0.0,384.0,1.0,9.0,10.0,1.36,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,12.0,10.0,5.0,13.0,18.0,72.2,5.0,7.0,0.0,7.0,14.0,41.0,15.0,1.0,557.0,26.0,138.0,293.0,130.0,17.0,557.0,4.0,1.0,25.0,2.0,50.0,311.0,1380.0,624.0,14.0,7.0,1.0,7.0,4.0,344.0,28.0,21,663.0,32.0,19.4,7.4,6,77.0,3,15,14.0,2,2.38,17.0,11.0,6.0,0.81,-0.46,14.4,9.0,5.3,0.72,-0.08,2.0,0.0,0.0,6.0,3.0,0.0,12.0,14.0,18.0,0.0,0.0,0.0,42.0,17.0,20.0,45.9
Rob Holding,eng ENG,DF,26.0,6.3,1.0,5.0,2.0,40.0,0.8,0.32,0.2,0.5,12.8,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7,382.0,442.0,86.4,7494.0,2701.0,141.0,152.0,92.8,191.0,207.0,92.3,46.0,69.0,66.7,0.0,0.0,0.1,0.0,0.0,23.0,1.0,0.0,24.0,442.0,430.0,10.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,382.0,2.0,3.0,6.0,0.95,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,4.0,0.0,3.0,6.0,50.0,3.0,6.0,5.0,1.0,3.0,11.0,27.0,1.0,499.0,58.0,240.0,245.0,15.0,7.0,499.0,1.0,1.0,100.0,0.0,0.0,319.0,1466.0,881.0,3.0,1.0,1.0,3.0,0.0,339.0,2.0,14,566.0,40.0,16.5,6.3,6,90.0,6,8,3.0,24,2.36,17.0,13.0,4.0,0.64,-0.66,13.5,11.5,2.0,0.32,-0.56,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,40.0,22.0,17.0,56.4
Jakub Kiwior,pl POL,DF,22.0,4.7,1.0,1.0,1.0,100.0,0.21,0.21,1.0,1.0,10.0,0.0,0.0,0.0,0.1,0.1,0.09,0.9,0.9,177.0,205.0,86.3,3030.0,924.0,62.0,70.0,88.6,104.0,109.0,95.4,7.0,15.0,46.7,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,205.0,192.0,13.0,5.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,177.0,0.0,4.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,1.0,0.0,5.0,8.0,62.5,3.0,5.0,3.0,2.0,6.0,13.0,10.0,0.0,248.0,31.0,124.0,103.0,22.0,3.0,248.0,1.0,1.0,100.0,0.0,0.0,141.0,530.0,171.0,0.0,3.0,0.0,0.0,0.0,148.0,6.0,7,427.0,61.0,12.5,4.7,5,82.0,3,2,8.0,11,1.86,10.0,6.0,4.0,0.84,-0.39,6.6,6.5,0.1,0.02,-0.87,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,20.0,8.0,10.0,44.4
