player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
David Raya,es ESP,GK,26.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,9.1,0.0,0.0,0.0,0.1,0.1,0.11,-0.1,-0.1,1054.0,1640.0,64.3,34961.0,26954.0,131.0,135.0,97.0,463.0,473.0,97.9,459.0,1026.0,44.7,0.0,0.1,0.2,-0.1,2.0,75.0,3.0,0.0,13.0,1640.0,1181.0,455.0,185.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1054.0,4.0,1.0,12.0,0.32,9.0,3.0,0.0,0.0,0.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,10.0,2.0,1722.0,1257.0,1616.0,108.0,1.0,1.0,1722.0,1.0,1.0,100.0,0.0,0.0,1030.0,5891.0,3795.0,0.0,0.0,0.0,0.0,0.0,808.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.55,58.0,46.0,12.0,0.32,,56.8,49.9,6.8,0.18,,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47.0,12.0,2.0,85.7
Ben Mee,eng ENG,DF,32.0,36.3,3.0,28.0,7.0,25.0,0.77,0.19,0.11,0.43,10.3,0.0,0.0,0.0,3.2,3.2,0.12,-0.2,-0.2,1348.0,1761.0,76.5,25834.0,10693.0,520.0,609.0,85.4,648.0,784.0,82.7,169.0,316.0,53.5,1.0,1.3,0.8,-0.3,8.0,86.0,7.0,1.0,84.0,1761.0,1625.0,130.0,38.0,0.0,10.0,7.0,90.0,0.0,0.0,0.0,0.0,1348.0,6.0,20.0,33.0,0.91,23.0,0.0,1.0,7.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,45.0,24.0,28.0,13.0,4.0,20.0,37.0,54.1,17.0,54.0,42.0,12.0,48.0,93.0,122.0,1.0,2122.0,272.0,1089.0,887.0,156.0,71.0,2122.0,13.0,12.0,92.3,1.0,7.7,1146.0,4790.0,2581.0,8.0,11.0,3.0,18.0,2.0,1179.0,14.0,37,3269.0,88.0,95.6,36.3,37,88.0,34,0,,1,1.59,56.0,40.0,16.0,0.44,2.82,54.7,46.1,8.6,0.24,1.29,2.0,0.0,0.0,14.0,15.0,1.0,7.0,48.0,24.0,0.0,0.0,0.0,199.0,131.0,98.0,57.2
Rico Henry,eng ENG,DF,25.0,36.0,0.0,22.0,4.0,18.2,0.61,0.11,0.0,0.0,20.0,0.0,0.0,0.0,1.6,1.6,0.07,-1.6,-1.6,876.0,1203.0,72.8,14087.0,4856.0,469.0,544.0,86.2,314.0,418.0,75.1,72.0,169.0,42.6,2.0,2.7,2.9,-0.7,23.0,73.0,41.0,18.0,107.0,1203.0,1059.0,138.0,1.0,4.0,2.0,87.0,137.0,0.0,0.0,0.0,0.0,876.0,6.0,21.0,51.0,1.42,43.0,1.0,1.0,2.0,2.0,2.0,5.0,0.14,4.0,0.0,0.0,0.0,1.0,0.0,57.0,31.0,20.0,28.0,9.0,22.0,41.0,53.7,19.0,29.0,8.0,21.0,30.0,87.0,84.0,1.0,1582.0,115.0,478.0,647.0,482.0,30.0,1582.0,50.0,26.0,52.0,17.0,34.0,782.0,3790.0,1832.0,55.0,41.0,9.0,50.0,44.0,813.0,111.0,37,3238.0,88.0,94.7,36.0,37,88.0,29,0,,0,1.51,53.0,46.0,7.0,0.19,-2.28,54.0,48.2,5.7,0.16,-0.38,4.0,0.0,0.0,32.0,38.0,2.0,87.0,30.0,31.0,1.0,0.0,0.0,197.0,40.0,55.0,42.1
Mathias Jensen,dk DEN,MF,26.0,31.1,5.0,23.0,7.0,30.4,0.74,0.22,0.22,0.71,22.0,4.0,0.0,0.0,2.2,2.2,0.09,2.8,2.8,1088.0,1566.0,69.5,21665.0,8457.0,471.0,559.0,84.3,398.0,555.0,71.7,191.0,372.0,51.3,6.0,5.0,4.7,1.0,48.0,117.0,38.0,16.0,141.0,1566.0,1158.0,401.0,84.0,5.0,28.0,158.0,184.0,76.0,37.0,18.0,7.0,1088.0,7.0,25.0,103.0,3.31,48.0,47.0,1.0,3.0,3.0,1.0,13.0,0.42,7.0,4.0,0.0,1.0,0.0,1.0,70.0,35.0,28.0,30.0,12.0,34.0,97.0,35.1,63.0,54.0,5.0,49.0,32.0,102.0,24.0,1.0,1890.0,43.0,368.0,868.0,669.0,29.0,1890.0,61.0,24.0,39.3,28.0,45.9,900.0,3499.0,1380.0,21.0,24.0,1.0,54.0,32.0,1011.0,77.0,37,2803.0,76.0,82.0,31.1,37,76.0,10,0,,0,1.51,45.0,40.0,5.0,0.16,-0.86,43.7,39.7,4.1,0.13,-0.28,5.0,0.0,0.0,32.0,25.0,1.0,158.0,32.0,35.0,0.0,0.0,0.0,175.0,11.0,17.0,39.3
Bryan Mbeumo,cm CMR,FW,22.0,32.3,9.0,70.0,32.0,45.7,2.17,0.99,0.11,0.25,16.3,1.0,1.0,1.0,9.8,9.0,0.13,-0.8,-1.0,655.0,991.0,66.1,10466.0,3238.0,376.0,456.0,82.5,185.0,287.0,64.5,71.0,151.0,47.0,8.0,7.6,5.6,0.4,51.0,37.0,45.0,13.0,88.0,991.0,845.0,139.0,48.0,7.0,7.0,156.0,19.0,71.0,37.0,12.0,5.0,655.0,7.0,42.0,97.0,3.0,62.0,27.0,7.0,0.0,1.0,0.0,15.0,0.46,12.0,2.0,1.0,0.0,0.0,0.0,26.0,18.0,5.0,13.0,8.0,8.0,42.0,19.0,34.0,24.0,1.0,23.0,13.0,39.0,21.0,0.0,1335.0,24.0,177.0,425.0,755.0,125.0,1334.0,88.0,45.0,51.1,37.0,42.0,776.0,4292.0,1862.0,66.0,33.0,26.0,72.0,54.0,862.0,235.0,38,2906.0,76.0,85.0,32.3,36,79.0,10,2,24.0,0,1.55,50.0,39.0,11.0,0.34,0.17,45.6,41.4,4.3,0.13,-0.32,5.0,0.0,0.0,27.0,23.0,6.0,156.0,13.0,18.0,0.0,0.0,0.0,135.0,35.0,63.0,35.7
Ivan Toney,eng ENG,FW,26.0,32.8,20.0,87.0,33.0,37.9,2.65,1.01,0.16,0.42,16.5,9.0,6.0,7.0,18.7,13.2,0.15,1.3,0.8,468.0,787.0,59.5,5947.0,2037.0,299.0,424.0,70.5,103.0,180.0,57.2,24.0,53.0,45.3,4.0,5.1,3.5,-1.1,27.0,54.0,26.0,5.0,79.0,787.0,751.0,29.0,8.0,12.0,3.0,34.0,10.0,1.0,0.0,0.0,0.0,468.0,7.0,31.0,66.0,2.01,39.0,4.0,4.0,5.0,14.0,0.0,8.0,0.24,3.0,0.0,1.0,0.0,4.0,0.0,23.0,13.0,4.0,9.0,10.0,7.0,23.0,30.4,16.0,24.0,9.0,15.0,14.0,37.0,36.0,0.0,1219.0,50.0,141.0,529.0,557.0,156.0,1212.0,54.0,16.0,29.6,29.0,53.7,625.0,2463.0,724.0,14.0,21.0,8.0,100.0,47.0,889.0,165.0,33,2951.0,89.0,86.3,32.8,33,89.0,29,0,,0,1.39,47.0,42.0,5.0,0.15,-1.19,47.2,42.7,4.5,0.14,-0.31,9.0,0.0,0.0,52.0,74.0,27.0,34.0,14.0,13.0,3.0,0.0,0.0,103.0,109.0,117.0,48.2
Ethan Pinnock,jm JAM,DF,29.0,30.0,3.0,15.0,8.0,53.3,0.5,0.27,0.2,0.38,10.0,0.0,0.0,0.0,3.0,3.0,0.21,0.0,0.0,914.0,1149.0,79.5,16931.0,5712.0,333.0,391.0,85.2,480.0,559.0,85.9,84.0,160.0,52.5,0.0,1.0,1.1,-1.0,8.0,43.0,3.0,3.0,52.0,1149.0,1088.0,57.0,14.0,0.0,3.0,10.0,43.0,0.0,0.0,0.0,0.0,914.0,4.0,5.0,25.0,0.83,18.0,3.0,0.0,3.0,1.0,0.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,33.0,12.0,7.0,18.0,24.0,75.0,6.0,41.0,31.0,10.0,35.0,87.0,215.0,2.0,1554.0,327.0,927.0,497.0,134.0,55.0,1554.0,6.0,2.0,33.3,1.0,16.7,650.0,2705.0,1499.0,2.0,2.0,0.0,6.0,7.0,745.0,16.0,30,2700.0,90.0,78.9,30.0,30,90.0,30,0,,0,1.63,43.0,34.0,9.0,0.3,-0.07,45.4,40.3,5.1,0.17,-0.05,0.0,0.0,0.0,6.0,10.0,0.0,10.0,35.0,28.0,0.0,0.0,1.0,123.0,105.0,52.0,66.9
Vitaly Janelt,de GER,"MF,DF",24.0,24.5,3.0,14.0,5.0,35.7,0.57,0.2,0.21,0.6,15.8,0.0,0.0,0.0,2.4,2.4,0.17,0.6,0.6,812.0,1020.0,79.6,14153.0,3892.0,411.0,466.0,88.2,298.0,360.0,82.8,90.0,139.0,64.7,1.0,1.4,1.5,-0.4,16.0,75.0,19.0,8.0,82.0,1020.0,986.0,29.0,12.0,3.0,17.0,22.0,16.0,1.0,1.0,0.0,0.0,812.0,5.0,21.0,47.0,1.91,39.0,1.0,2.0,3.0,0.0,2.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,54.0,27.0,20.0,24.0,10.0,21.0,49.0,42.9,28.0,29.0,9.0,20.0,29.0,83.0,26.0,0.0,1244.0,66.0,335.0,675.0,242.0,36.0,1244.0,24.0,9.0,37.5,14.0,58.3,663.0,2804.0,1246.0,14.0,18.0,2.0,18.0,11.0,737.0,28.0,35,2208.0,63.0,64.6,24.5,24,80.0,13,11,26.0,0,1.63,34.0,28.0,6.0,0.24,-0.2,38.0,30.4,7.7,0.31,0.37,3.0,0.0,0.0,22.0,21.0,2.0,22.0,29.0,27.0,0.0,0.0,0.0,159.0,32.0,23.0,58.2
Aaron Hickey,sct SCO,DF,20.0,21.3,0.0,11.0,2.0,18.2,0.52,0.09,0.0,0.0,21.5,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,695.0,838.0,82.9,10995.0,3282.0,373.0,411.0,90.8,265.0,310.0,85.5,46.0,80.0,57.5,1.0,0.4,0.6,0.6,6.0,62.0,13.0,4.0,81.0,838.0,743.0,93.0,11.0,2.0,1.0,27.0,82.0,0.0,0.0,0.0,0.0,695.0,2.0,17.0,20.0,0.94,14.0,1.0,1.0,2.0,2.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,38.0,26.0,27.0,11.0,0.0,18.0,32.0,56.3,14.0,18.0,7.0,11.0,17.0,55.0,32.0,1.0,1028.0,47.0,328.0,499.0,211.0,21.0,1028.0,45.0,17.0,37.8,18.0,40.0,616.0,3295.0,1802.0,41.0,17.0,3.0,16.0,13.0,624.0,47.0,26,1916.0,74.0,56.0,21.3,23,81.0,8,3,16.0,2,1.46,33.0,30.0,3.0,0.14,-0.4,32.5,27.3,5.1,0.24,0.14,7.0,0.0,0.0,20.0,35.0,1.0,27.0,17.0,26.0,0.0,1.0,0.0,111.0,14.0,22.0,38.9
Christian Nørgaard,dk DEN,MF,28.0,19.6,1.0,19.0,8.0,42.1,0.97,0.41,0.05,0.13,11.4,0.0,0.0,0.0,1.6,1.6,0.08,-0.6,-0.6,608.0,812.0,74.9,9879.0,3427.0,304.0,369.0,82.4,252.0,326.0,77.3,40.0,74.0,54.1,3.0,3.1,1.8,-0.1,12.0,68.0,8.0,2.0,73.0,812.0,787.0,19.0,10.0,2.0,6.0,11.0,2.0,0.0,0.0,0.0,0.0,608.0,6.0,11.0,32.0,1.63,24.0,1.0,1.0,4.0,2.0,0.0,7.0,0.36,3.0,0.0,0.0,3.0,1.0,0.0,52.0,30.0,21.0,29.0,2.0,18.0,48.0,37.5,30.0,32.0,9.0,23.0,34.0,86.0,41.0,2.0,1050.0,78.0,338.0,554.0,165.0,42.0,1050.0,19.0,8.0,42.1,10.0,52.6,454.0,1518.0,671.0,4.0,11.0,2.0,14.0,10.0,526.0,8.0,22,1763.0,80.0,51.5,19.6,21,83.0,12,1,29.0,0,1.5,31.0,23.0,8.0,0.41,0.19,29.4,24.7,4.7,0.24,0.12,6.0,0.0,0.0,35.0,20.0,0.0,11.0,34.0,30.0,1.0,0.0,0.0,165.0,18.0,20.0,47.4
Yoane Wissa,cd COD,FW,25.0,17.8,7.0,32.0,15.0,46.9,1.79,0.84,0.22,0.47,14.1,0.0,0.0,0.0,5.6,5.6,0.18,1.4,1.4,238.0,344.0,69.2,3147.0,601.0,164.0,198.0,82.8,51.0,78.0,65.4,10.0,27.0,37.0,3.0,2.5,1.0,0.5,13.0,21.0,8.0,0.0,27.0,344.0,334.0,7.0,1.0,4.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,238.0,3.0,15.0,36.0,2.02,29.0,0.0,1.0,2.0,3.0,1.0,6.0,0.34,4.0,0.0,0.0,0.0,1.0,1.0,17.0,12.0,4.0,7.0,6.0,6.0,13.0,46.2,7.0,10.0,0.0,10.0,6.0,23.0,15.0,0.0,517.0,14.0,67.0,193.0,268.0,62.0,517.0,44.0,20.0,45.5,15.0,34.1,312.0,1573.0,658.0,24.0,12.0,11.0,41.0,25.0,345.0,104.0,38,1606.0,42.0,47.0,17.8,16,75.0,1,22,19.0,0,1.55,30.0,17.0,13.0,0.73,0.78,29.0,21.2,7.7,0.43,0.48,3.0,0.0,0.0,21.0,26.0,19.0,12.0,6.0,12.0,1.0,0.0,0.0,69.0,24.0,26.0,48.0
Josh Dasilva,eng ENG,MF,23.0,15.4,4.0,18.0,6.0,33.3,1.17,0.39,0.22,0.67,19.8,0.0,0.0,0.0,1.5,1.5,0.09,2.5,2.5,491.0,617.0,79.6,8103.0,1954.0,255.0,291.0,87.6,187.0,217.0,86.2,40.0,70.0,57.1,2.0,1.5,1.6,0.5,12.0,35.0,24.0,5.0,62.0,617.0,591.0,25.0,8.0,1.0,1.0,33.0,11.0,6.0,4.0,0.0,0.0,491.0,1.0,17.0,42.0,2.72,36.0,1.0,3.0,1.0,1.0,0.0,7.0,0.45,5.0,0.0,1.0,0.0,1.0,0.0,18.0,9.0,6.0,6.0,6.0,6.0,16.0,37.5,10.0,22.0,6.0,16.0,5.0,23.0,7.0,1.0,770.0,17.0,144.0,342.0,298.0,32.0,770.0,56.0,32.0,57.1,15.0,26.8,536.0,3392.0,1631.0,60.0,43.0,9.0,28.0,28.0,562.0,69.0,36,1389.0,39.0,40.6,15.4,14,68.0,0,22,20.0,2,1.47,28.0,17.0,11.0,0.71,0.67,24.4,18.0,6.4,0.42,0.4,1.0,0.0,0.0,14.0,23.0,0.0,33.0,5.0,9.0,0.0,0.0,0.0,66.0,6.0,8.0,42.9
Mads Roerslev,dk DEN,DF,23.0,12.3,0.0,3.0,0.0,0.0,0.24,0.0,0.0,,14.8,0.0,0.0,0.0,0.3,0.3,0.11,-0.3,-0.3,194.0,303.0,64.0,2980.0,1071.0,110.0,143.0,76.9,62.0,84.0,73.8,15.0,44.0,34.1,0.0,1.2,0.8,-1.2,8.0,15.0,7.0,5.0,19.0,303.0,282.0,21.0,1.0,2.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,194.0,0.0,21.0,13.0,1.06,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,19.0,3.0,0.0,16.0,33.0,48.5,17.0,14.0,5.0,9.0,9.0,31.0,38.0,0.0,426.0,50.0,178.0,140.0,109.0,13.0,426.0,7.0,3.0,42.9,3.0,42.9,186.0,817.0,278.0,8.0,7.0,2.0,14.0,9.0,210.0,36.0,20,1108.0,55.0,32.4,12.3,12,85.0,10,8,11.0,15,2.1,20.0,12.0,8.0,0.65,0.49,16.8,18.1,-1.3,-0.1,-0.42,0.0,0.0,0.0,4.0,3.0,0.0,20.0,9.0,12.0,0.0,0.0,0.0,48.0,8.0,12.0,40.0
Mathias Jørgensen,dk DEN,DF,32.0,12.3,0.0,5.0,1.0,20.0,0.41,0.08,0.0,0.0,7.8,0.0,0.0,0.0,0.9,0.9,0.18,-0.9,-0.9,404.0,503.0,80.3,6929.0,3051.0,181.0,203.0,89.2,197.0,240.0,82.1,20.0,49.0,40.8,0.0,0.2,0.2,-0.2,3.0,30.0,0.0,0.0,35.0,503.0,437.0,65.0,6.0,0.0,0.0,3.0,55.0,0.0,0.0,0.0,0.0,404.0,1.0,2.0,9.0,0.73,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,17.0,8.0,9.0,8.0,0.0,9.0,21.0,42.9,12.0,19.0,12.0,7.0,16.0,33.0,39.0,1.0,612.0,87.0,291.0,281.0,42.0,12.0,612.0,1.0,0.0,0.0,1.0,100.0,295.0,1062.0,616.0,1.0,2.0,0.0,3.0,1.0,321.0,1.0,18,1103.0,61.0,32.3,12.3,11,85.0,9,7,24.0,15,1.83,17.0,15.0,2.0,0.16,-0.23,18.4,20.5,-2.1,-0.17,-0.52,2.0,0.0,0.0,9.0,4.0,2.0,3.0,16.0,8.0,0.0,0.0,1.0,53.0,17.0,16.0,51.5
