player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ezri Konsa,eng ENG,DF,24.0,36.9,0.0,8.0,0.0,0.0,0.22,0.0,0.0,,8.0,0.0,0.0,0.0,1.1,1.1,0.13,-1.1,-1.1,1681.0,1898.0,88.6,30731.0,10578.0,608.0,663.0,91.7,938.0,997.0,94.1,120.0,202.0,59.4,0.0,1.3,0.7,-1.3,8.0,70.0,4.0,2.0,56.0,1898.0,1806.0,88.0,60.0,1.0,6.0,4.0,18.0,0.0,0.0,0.0,0.0,1681.0,4.0,14.0,15.0,0.41,13.0,0.0,0.0,1.0,1.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,42.0,20.0,25.0,15.0,2.0,18.0,26.0,69.2,8.0,41.0,23.0,18.0,26.0,68.0,120.0,3.0,2192.0,349.0,1280.0,850.0,70.0,22.0,2192.0,15.0,5.0,33.3,3.0,20.0,1375.0,6226.0,3596.0,7.0,9.0,0.0,15.0,5.0,1533.0,11.0,38,3322.0,87.0,97.1,36.9,37,90.0,36,1,1.0,0,1.61,49.0,45.0,4.0,0.11,-0.81,47.7,51.1,-3.4,-0.09,-1.15,6.0,0.0,0.0,12.0,64.0,0.0,4.0,26.0,20.0,0.0,0.0,0.0,164.0,55.0,37.0,59.8
Emiliano Martínez,ar ARG,GK,29.0,34.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1026.0,1388.0,73.9,27095.0,17857.0,218.0,219.0,99.5,520.0,527.0,98.7,286.0,633.0,45.2,0.0,0.3,0.3,-0.3,2.0,21.0,0.0,0.0,0.0,1388.0,1043.0,340.0,128.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,5.0,1.0,5.0,0.14,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,23.0,1.0,1479.0,1218.0,1463.0,17.0,0.0,0.0,1479.0,0.0,0.0,,0.0,,851.0,4474.0,2627.0,0.0,0.0,0.0,2.0,0.0,707.0,0.0,36,3139.0,87.0,91.8,34.9,36,87.0,34,0,,1,1.61,47.0,38.0,9.0,0.26,1.54,46.5,43.9,2.6,0.08,1.64,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,41.0,13.0,0.0,100.0
Ollie Watkins,eng ENG,FW,26.0,34.7,15.0,84.0,45.0,53.6,2.42,1.3,0.17,0.31,12.6,0.0,1.0,2.0,16.5,14.9,0.18,-1.5,-0.9,391.0,566.0,69.1,4682.0,840.0,261.0,344.0,75.9,84.0,122.0,68.9,12.0,15.0,80.0,6.0,3.8,2.7,2.2,31.0,23.0,16.0,2.0,39.0,566.0,554.0,9.0,0.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,391.0,3.0,13.0,79.0,2.27,51.0,0.0,6.0,11.0,11.0,0.0,14.0,0.4,6.0,0.0,2.0,5.0,1.0,0.0,19.0,13.0,3.0,13.0,3.0,10.0,27.0,37.0,17.0,21.0,4.0,17.0,10.0,29.0,39.0,0.0,927.0,47.0,86.0,365.0,488.0,164.0,925.0,65.0,18.0,27.7,36.0,55.4,475.0,2519.0,1164.0,50.0,24.0,32.0,82.0,39.0,684.0,196.0,37,3127.0,85.0,91.4,34.7,36,86.0,26,1,25.0,0,1.57,47.0,40.0,7.0,0.2,0.82,44.8,47.1,-2.3,-0.07,-0.08,4.0,0.0,0.0,26.0,39.0,18.0,9.0,10.0,13.0,1.0,0.0,0.0,59.0,70.0,100.0,41.2
Tyrone Mings,eng ENG,DF,29.0,35.0,1.0,7.0,2.0,28.6,0.2,0.06,0.14,0.5,12.1,0.0,0.0,0.0,1.2,1.2,0.17,-0.2,-0.2,1617.0,1899.0,85.2,30932.0,11677.0,532.0,586.0,90.8,913.0,984.0,92.8,153.0,286.0,53.5,2.0,1.4,0.9,0.6,5.0,106.0,6.0,0.0,111.0,1899.0,1811.0,85.0,64.0,1.0,15.0,3.0,6.0,0.0,0.0,0.0,0.0,1617.0,3.0,10.0,23.0,0.66,17.0,0.0,0.0,2.0,4.0,0.0,4.0,0.11,2.0,0.0,0.0,1.0,1.0,0.0,15.0,7.0,10.0,5.0,0.0,9.0,20.0,45.0,11.0,40.0,21.0,19.0,54.0,69.0,163.0,2.0,2228.0,384.0,1276.0,877.0,81.0,21.0,2228.0,12.0,6.0,50.0,3.0,25.0,1379.0,7995.0,4556.0,20.0,21.0,3.0,8.0,7.0,1486.0,7.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,1,1.74,50.0,40.0,10.0,0.29,1.95,48.8,48.0,0.8,0.02,1.05,7.0,0.0,0.0,18.0,22.0,3.0,3.0,54.0,7.0,1.0,0.0,1.0,174.0,61.0,24.0,71.8
Douglas Luiz,br BRA,MF,24.0,32.5,6.0,34.0,12.0,35.3,1.05,0.37,0.18,0.5,25.0,7.0,0.0,0.0,2.8,2.8,0.08,3.2,3.2,1494.0,1812.0,82.5,26492.0,6527.0,613.0,680.0,90.1,665.0,768.0,86.6,158.0,277.0,57.0,6.0,4.4,2.9,1.6,45.0,123.0,19.0,4.0,148.0,1812.0,1593.0,216.0,120.0,6.0,10.0,106.0,6.0,89.0,53.0,13.0,1.0,1494.0,3.0,16.0,96.0,2.95,61.0,26.0,4.0,1.0,1.0,3.0,12.0,0.37,9.0,1.0,0.0,0.0,0.0,2.0,73.0,42.0,31.0,32.0,10.0,30.0,63.0,47.6,33.0,36.0,7.0,29.0,40.0,113.0,27.0,2.0,2118.0,75.0,534.0,1161.0,443.0,19.0,2117.0,44.0,24.0,54.5,14.0,31.8,1142.0,6297.0,2922.0,48.0,39.0,4.0,36.0,33.0,1326.0,35.0,37,2927.0,79.0,85.6,32.5,33,86.0,23,4,23.0,1,1.57,46.0,33.0,13.0,0.4,1.86,43.3,41.5,1.7,0.05,0.78,6.0,1.0,0.0,48.0,42.0,2.0,106.0,40.0,42.0,0.0,0.0,0.0,197.0,25.0,22.0,53.2
Jacob Ramsey,eng ENG,"MF,FW",21.0,29.3,6.0,33.0,13.0,39.4,1.13,0.44,0.18,0.46,15.9,0.0,0.0,0.0,5.0,5.0,0.15,1.0,1.0,728.0,889.0,81.9,10240.0,2665.0,444.0,500.0,88.8,217.0,266.0,81.6,34.0,46.0,73.9,7.0,5.1,2.9,1.9,42.0,67.0,28.0,4.0,98.0,889.0,880.0,3.0,2.0,3.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,728.0,6.0,26.0,81.0,2.76,69.0,0.0,4.0,2.0,5.0,1.0,11.0,0.38,8.0,0.0,1.0,1.0,1.0,0.0,69.0,39.0,23.0,35.0,11.0,32.0,69.0,46.4,37.0,48.0,8.0,40.0,23.0,92.0,34.0,0.0,1245.0,57.0,238.0,609.0,422.0,85.0,1245.0,77.0,31.0,40.3,31.0,40.3,752.0,5322.0,2656.0,94.0,62.0,21.0,62.0,37.0,819.0,119.0,35,2636.0,75.0,77.1,29.3,31,82.0,16,4,26.0,0,1.63,40.0,33.0,7.0,0.24,0.47,38.9,40.7,-1.9,-0.06,-0.02,5.0,0.0,0.0,35.0,45.0,2.0,18.0,23.0,39.0,0.0,1.0,1.0,141.0,16.0,33.0,32.7
John McGinn,sct SCO,"MF,FW",27.0,29.9,1.0,42.0,11.0,26.2,1.4,0.37,0.02,0.09,23.6,0.0,0.0,0.0,2.4,2.4,0.06,-1.4,-1.4,805.0,1028.0,78.3,14385.0,4830.0,374.0,430.0,87.0,309.0,373.0,82.8,101.0,165.0,61.2,3.0,2.6,3.3,0.4,18.0,114.0,20.0,5.0,140.0,1028.0,965.0,56.0,25.0,11.0,10.0,50.0,1.0,25.0,18.0,0.0,0.0,805.0,7.0,20.0,80.0,2.67,56.0,10.0,5.0,3.0,5.0,1.0,10.0,0.33,7.0,1.0,0.0,0.0,2.0,0.0,66.0,36.0,27.0,29.0,10.0,34.0,71.0,47.9,37.0,43.0,4.0,39.0,24.0,90.0,19.0,0.0,1348.0,37.0,218.0,756.0,388.0,45.0,1348.0,70.0,45.0,64.3,14.0,20.0,804.0,4072.0,1799.0,34.0,35.0,8.0,58.0,35.0,888.0,66.0,34,2693.0,79.0,78.7,29.9,30,86.0,22,4,26.0,1,1.59,36.0,31.0,5.0,0.17,0.17,39.4,38.0,1.4,0.05,0.5,7.0,0.0,0.0,41.0,66.0,0.0,50.0,24.0,36.0,2.0,0.0,0.0,176.0,22.0,21.0,51.2
Emi Buendía,ar ARG,"MF,FW",25.0,26.8,5.0,49.0,11.0,22.4,1.83,0.41,0.1,0.45,15.9,2.0,0.0,0.0,6.3,6.3,0.13,-1.3,-1.3,787.0,1020.0,77.2,12082.0,3091.0,434.0,513.0,84.6,255.0,323.0,78.9,63.0,90.0,70.0,2.0,5.7,4.2,-3.7,41.0,84.0,41.0,0.0,138.0,1020.0,954.0,63.0,7.0,11.0,7.0,18.0,7.0,5.0,2.0,0.0,1.0,787.0,3.0,38.0,90.0,3.36,72.0,2.0,8.0,3.0,4.0,1.0,10.0,0.37,7.0,0.0,1.0,2.0,0.0,0.0,52.0,23.0,20.0,20.0,12.0,21.0,74.0,28.4,53.0,20.0,2.0,18.0,20.0,72.0,17.0,0.0,1336.0,38.0,202.0,634.0,516.0,93.0,1336.0,59.0,27.0,45.8,26.0,44.1,829.0,3957.0,1970.0,60.0,46.0,19.0,63.0,58.0,955.0,137.0,38,2412.0,63.0,70.5,26.8,27,79.0,8,11,26.0,0,1.61,40.0,34.0,6.0,0.22,0.31,36.9,37.2,-0.3,-0.01,0.16,0.0,0.0,0.0,43.0,44.0,1.0,18.0,20.0,23.0,0.0,0.0,0.0,138.0,23.0,54.0,29.9
Leon Bailey,jm JAM,"FW,MF",24.0,21.9,4.0,51.0,14.0,27.5,2.33,0.64,0.08,0.29,18.1,3.0,0.0,0.0,5.3,5.3,0.1,-1.3,-1.3,337.0,547.0,61.6,5379.0,1285.0,190.0,248.0,76.6,97.0,154.0,63.0,35.0,75.0,46.7,4.0,4.8,4.8,-0.8,30.0,19.0,21.0,15.0,28.0,547.0,507.0,40.0,4.0,4.0,5.0,96.0,10.0,18.0,13.0,0.0,0.0,337.0,0.0,31.0,62.0,2.84,40.0,2.0,10.0,7.0,3.0,0.0,8.0,0.37,5.0,0.0,0.0,3.0,0.0,0.0,14.0,6.0,6.0,7.0,1.0,5.0,20.0,25.0,15.0,13.0,0.0,13.0,6.0,20.0,12.0,0.0,813.0,16.0,91.0,283.0,456.0,89.0,813.0,111.0,40.0,36.0,55.0,49.5,520.0,4022.0,1703.0,85.0,33.0,38.0,48.0,53.0,561.0,182.0,33,1967.0,60.0,57.5,21.9,26,70.0,4,7,21.0,0,1.61,27.0,32.0,-5.0,-0.23,-0.85,30.7,35.5,-4.8,-0.22,-0.38,4.0,0.0,0.0,29.0,22.0,9.0,96.0,6.0,6.0,0.0,1.0,0.0,72.0,24.0,46.0,34.3
Ashley Young,eng ENG,DF,37.0,22.6,1.0,15.0,3.0,20.0,0.66,0.13,0.07,0.33,25.1,0.0,0.0,0.0,0.5,0.5,0.03,0.5,0.5,897.0,1188.0,75.5,16006.0,6166.0,415.0,468.0,88.7,396.0,490.0,80.8,77.0,177.0,43.5,0.0,1.0,0.8,-1.0,14.0,82.0,18.0,5.0,107.0,1188.0,945.0,235.0,57.0,2.0,12.0,42.0,172.0,6.0,2.0,1.0,2.0,897.0,8.0,28.0,40.0,1.77,34.0,3.0,2.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,50.0,27.0,34.0,15.0,1.0,37.0,49.0,75.5,12.0,25.0,11.0,14.0,21.0,71.0,65.0,0.0,1411.0,86.0,502.0,675.0,252.0,10.0,1411.0,22.0,8.0,36.4,10.0,45.5,701.0,3235.0,1554.0,29.0,20.0,4.0,18.0,5.0,767.0,33.0,29,2036.0,70.0,59.5,22.6,23,82.0,15,6,25.0,9,1.69,27.0,28.0,-1.0,-0.04,-0.43,25.9,32.0,-6.1,-0.27,-0.52,7.0,0.0,0.0,24.0,28.0,1.0,42.0,21.0,27.0,0.0,1.0,0.0,131.0,13.0,11.0,54.2
