player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Roberto Soriano,it ITA,MF,29.0,36.1,9.0,61.0,19.0,31.1,1.69,0.53,0.15,0.47,18.3,0.0,0.0,0.0,6.9,6.9,0.11,2.1,2.1,1222.0,1507.0,81.1,17944.0,6045.0,693.0,805.0,86.1,396.0,459.0,86.3,71.0,103.0,68.9,6.0,7.8,3.8,-1.8,52.0,155.0,46.0,3.0,199.0,1507.0,1475.0,23.0,11.0,5.0,6.0,34.0,8.0,0.0,0.0,0.0,0.0,1222.0,9.0,38.0,110.0,3.05,93.0,0.0,3.0,5.0,7.0,2.0,14.0,0.39,10.0,0.0,0.0,2.0,1.0,1.0,48.0,26.0,15.0,20.0,13.0,15.0,64.0,23.4,49.0,31.0,8.0,23.0,18.0,66.0,43.0,0.0,1865.0,58.0,265.0,980.0,645.0,94.0,1865.0,56.0,36.0,64.3,20.0,35.7,1171.0,6624.0,3078.0,80.0,64.0,7.0,64.0,31.0,1431.0,157.0,37,3250.0,88.0,95.0,36.1,37,88.0,32,0,,0,1.11,50.0,58.0,-8.0,-0.22,2.95,52.2,57.7,-5.5,-0.15,1.14,5.0,0.0,0.0,75.0,49.0,3.0,34.0,18.0,26.0,2.0,0.0,0.0,184.0,34.0,58.0,37.0
Danilo Larangeira,br BRA,DF,36.0,34.8,0.0,16.0,2.0,12.5,0.46,0.06,0.0,0.0,12.0,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,1414.0,1767.0,80.0,30988.0,13580.0,386.0,428.0,90.2,759.0,854.0,88.9,262.0,448.0,58.5,1.0,2.0,0.8,-1.0,9.0,86.0,6.0,0.0,108.0,1767.0,1647.0,107.0,101.0,3.0,17.0,2.0,5.0,0.0,0.0,0.0,0.0,1414.0,13.0,10.0,13.0,0.37,8.0,1.0,0.0,3.0,1.0,0.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,33.0,24.0,23.0,10.0,0.0,8.0,29.0,27.6,21.0,58.0,36.0,22.0,51.0,84.0,127.0,2.0,2083.0,385.0,1109.0,936.0,45.0,21.0,2083.0,3.0,2.0,66.7,1.0,33.3,1124.0,5654.0,3322.0,12.0,5.0,0.0,9.0,0.0,1234.0,4.0,35,3132.0,89.0,91.6,34.8,34,90.0,34,1,72.0,0,1.14,48.0,58.0,-10.0,-0.29,0.96,50.4,56.8,-6.3,-0.18,0.32,8.0,0.0,0.0,38.0,15.0,1.0,2.0,51.0,24.0,0.0,2.0,0.0,168.0,79.0,74.0,51.6
Musa Barrow,gm GAM,"FW,MF",21.0,32.5,8.0,88.0,38.0,43.2,2.71,1.17,0.09,0.21,20.9,6.0,0.0,1.0,7.0,6.2,0.07,1.0,1.8,818.0,1165.0,70.2,13878.0,3584.0,433.0,530.0,81.7,247.0,331.0,74.6,103.0,213.0,48.4,8.0,6.0,4.1,2.0,60.0,83.0,31.0,12.0,103.0,1165.0,1031.0,125.0,32.0,1.0,17.0,138.0,15.0,66.0,54.0,5.0,0.0,818.0,9.0,21.0,111.0,3.42,75.0,15.0,9.0,11.0,1.0,0.0,11.0,0.34,8.0,2.0,0.0,1.0,0.0,0.0,26.0,10.0,8.0,10.0,8.0,10.0,25.0,40.0,15.0,37.0,2.0,35.0,11.0,37.0,15.0,0.0,1559.0,16.0,150.0,652.0,771.0,119.0,1558.0,71.0,34.0,47.9,37.0,52.1,976.0,5680.0,2529.0,88.0,52.0,29.0,103.0,53.0,1175.0,253.0,38,2921.0,77.0,85.4,32.5,34,83.0,18,4,26.0,0,1.08,45.0,56.0,-11.0,-0.34,0.2,46.5,55.3,-8.8,-0.27,-0.43,0.0,0.0,0.0,17.0,32.0,11.0,138.0,11.0,10.0,0.0,0.0,0.0,110.0,23.0,73.0,24.0
Takehiro Tomiyasu,jp JPN,DF,21.0,30.2,2.0,16.0,4.0,25.0,0.53,0.13,0.13,0.5,17.2,0.0,0.0,0.0,2.1,2.1,0.13,-0.1,-0.1,1366.0,1677.0,81.5,24350.0,9450.0,591.0,671.0,88.1,614.0,727.0,84.5,138.0,221.0,62.4,0.0,0.4,0.9,-0.4,8.0,130.0,10.0,5.0,150.0,1677.0,1481.0,191.0,47.0,0.0,6.0,23.0,139.0,0.0,0.0,0.0,0.0,1366.0,5.0,24.0,38.0,1.26,32.0,4.0,0.0,0.0,2.0,0.0,5.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,47.0,31.0,27.0,14.0,6.0,21.0,34.0,61.8,13.0,37.0,19.0,18.0,54.0,101.0,106.0,0.0,2015.0,166.0,751.0,1029.0,255.0,23.0,2015.0,25.0,15.0,60.0,10.0,40.0,1087.0,6172.0,3505.0,56.0,39.0,2.0,30.0,10.0,1175.0,44.0,31,2715.0,88.0,79.4,30.2,31,88.0,27,0,,0,1.1,42.0,53.0,-11.0,-0.36,0.02,44.5,49.7,-5.3,-0.17,0.17,4.0,0.0,0.0,31.0,13.0,2.0,23.0,54.0,31.0,0.0,0.0,1.0,155.0,91.0,64.0,58.7
Łukasz Skorupski,pl POL,GK,29.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,747.0,959.0,77.9,16949.0,11831.0,198.0,200.0,99.0,329.0,337.0,97.6,172.0,367.0,46.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,959.0,675.0,280.0,49.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,4.0,2.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,5.0,1047.0,954.0,1045.0,2.0,0.0,0.0,1047.0,0.0,0.0,,0.0,,570.0,2861.0,1759.0,0.0,0.0,0.0,2.0,0.0,434.0,1.0,28,2520.0,90.0,73.7,28.0,28,90.0,28,0,,2,1.25,41.0,46.0,-5.0,-0.18,0.72,41.0,45.9,-4.9,-0.18,0.13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,6.0,1.0,85.7
Jerdy Schouten,nl NED,MF,23.0,27.9,1.0,9.0,4.0,44.4,0.32,0.14,0.11,0.25,28.7,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,1206.0,1395.0,86.5,20951.0,6375.0,528.0,592.0,89.2,515.0,577.0,89.3,121.0,148.0,81.8,1.0,1.9,1.6,-0.9,23.0,154.0,11.0,1.0,148.0,1395.0,1366.0,25.0,17.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1206.0,4.0,10.0,56.0,2.01,49.0,0.0,3.0,1.0,2.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,23.0,25.0,2.0,16.0,37.0,43.2,21.0,36.0,13.0,23.0,79.0,129.0,37.0,6.0,1698.0,98.0,457.0,984.0,273.0,3.0,1698.0,60.0,37.0,61.7,23.0,38.3,900.0,3974.0,1558.0,14.0,25.0,2.0,35.0,22.0,1039.0,23.0,34,2512.0,74.0,73.5,27.9,28,82.0,14,6,36.0,0,1.15,34.0,44.0,-10.0,-0.36,0.04,40.1,42.9,-2.8,-0.1,0.41,8.0,1.0,0.0,48.0,24.0,1.0,9.0,79.0,25.0,0.0,1.0,0.0,249.0,34.0,30.0,53.1
Rodrigo Palacio,ar ARG,FW,38.0,27.8,5.0,54.0,23.0,42.6,1.94,0.83,0.09,0.22,13.2,0.0,0.0,0.0,9.3,9.3,0.17,-4.3,-4.3,721.0,972.0,74.2,10312.0,2127.0,434.0,494.0,87.9,204.0,286.0,71.3,40.0,67.0,59.7,5.0,4.3,3.6,0.7,39.0,45.0,30.0,6.0,81.0,972.0,893.0,74.0,4.0,3.0,6.0,72.0,8.0,1.0,0.0,0.0,0.0,721.0,5.0,45.0,98.0,3.53,74.0,2.0,7.0,9.0,6.0,0.0,14.0,0.5,11.0,0.0,0.0,2.0,1.0,0.0,13.0,6.0,2.0,3.0,8.0,1.0,15.0,6.7,14.0,18.0,0.0,18.0,7.0,20.0,29.0,0.0,1269.0,32.0,80.0,518.0,682.0,154.0,1269.0,69.0,35.0,50.7,34.0,49.3,818.0,5150.0,2194.0,95.0,53.0,46.0,85.0,46.0,1031.0,316.0,36,2502.0,70.0,73.2,27.8,28,85.0,15,8,14.0,1,1.11,40.0,53.0,-13.0,-0.47,-0.37,41.5,44.7,-3.1,-0.11,0.36,5.0,0.0,0.0,39.0,72.0,35.0,72.0,7.0,6.0,1.0,0.0,0.0,85.0,33.0,66.0,33.3
Lorenzo De Silvestri,it ITA,DF,32.0,23.8,2.0,11.0,6.0,54.5,0.46,0.25,0.18,0.33,11.6,0.0,0.0,0.0,2.1,2.1,0.19,-0.1,-0.1,954.0,1283.0,74.4,16287.0,7523.0,441.0,507.0,87.0,406.0,534.0,76.0,87.0,180.0,48.3,0.0,0.7,1.0,-0.7,13.0,94.0,18.0,9.0,104.0,1283.0,1061.0,221.0,33.0,0.0,7.0,43.0,188.0,0.0,0.0,0.0,0.0,954.0,1.0,27.0,26.0,1.09,20.0,3.0,0.0,1.0,1.0,1.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,34.0,24.0,18.0,13.0,3.0,16.0,37.0,43.2,21.0,37.0,10.0,27.0,30.0,64.0,62.0,3.0,1506.0,90.0,507.0,725.0,285.0,25.0,1506.0,4.0,3.0,75.0,1.0,25.0,741.0,3529.0,1694.0,28.0,21.0,2.0,13.0,13.0,876.0,52.0,29,2143.0,74.0,62.7,23.8,25,80.0,16,4,38.0,7,1.07,31.0,42.0,-11.0,-0.46,-0.25,32.9,39.8,-7.0,-0.29,-0.22,4.0,0.0,0.0,42.0,18.0,1.0,43.0,30.0,24.0,0.0,0.0,0.0,97.0,49.0,35.0,58.3
Mattias Svanberg,se SWE,MF,21.0,20.6,5.0,58.0,17.0,29.3,2.82,0.83,0.09,0.29,22.3,1.0,0.0,0.0,4.6,4.6,0.08,0.4,0.4,512.0,653.0,78.4,8602.0,2821.0,245.0,293.0,83.6,212.0,248.0,85.5,40.0,59.0,67.8,2.0,2.5,1.8,-0.5,15.0,51.0,18.0,0.0,88.0,653.0,633.0,16.0,8.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,512.0,4.0,21.0,49.0,2.38,34.0,1.0,4.0,5.0,3.0,2.0,6.0,0.29,5.0,0.0,1.0,0.0,0.0,0.0,38.0,17.0,21.0,9.0,8.0,16.0,45.0,35.6,29.0,25.0,4.0,21.0,30.0,68.0,25.0,1.0,903.0,43.0,213.0,467.0,243.0,24.0,903.0,30.0,21.0,70.0,9.0,30.0,494.0,2553.0,1331.0,32.0,26.0,3.0,24.0,18.0,562.0,35.0,34,1852.0,54.0,54.2,20.6,24,68.0,2,10,23.0,1,1.06,35.0,40.0,-5.0,-0.24,0.27,31.9,34.6,-2.7,-0.13,0.17,8.0,1.0,1.0,46.0,44.0,0.0,6.0,30.0,17.0,0.0,0.0,0.0,109.0,20.0,16.0,55.6
Riccardo Orsolini,it ITA,"FW,MF",23.0,19.5,7.0,53.0,19.0,35.8,2.72,0.97,0.08,0.21,18.8,11.0,3.0,3.0,9.3,7.1,0.13,-2.3,-3.1,458.0,724.0,63.3,7497.0,2458.0,247.0,313.0,78.9,139.0,218.0,63.8,49.0,115.0,42.6,3.0,2.4,2.1,0.6,30.0,34.0,19.0,5.0,45.0,724.0,639.0,83.0,18.0,3.0,7.0,100.0,7.0,58.0,45.0,5.0,0.0,458.0,2.0,33.0,74.0,3.8,32.0,18.0,9.0,7.0,8.0,0.0,8.0,0.41,4.0,1.0,0.0,2.0,1.0,0.0,37.0,18.0,13.0,12.0,12.0,16.0,39.0,41.0,23.0,22.0,3.0,19.0,10.0,47.0,22.0,0.0,981.0,32.0,168.0,377.0,443.0,73.0,978.0,64.0,36.0,56.3,28.0,43.8,540.0,3143.0,1621.0,49.0,28.0,17.0,49.0,17.0,658.0,155.0,34,1755.0,52.0,51.3,19.5,21,71.0,5,13,20.0,0,1.15,28.0,32.0,-4.0,-0.21,0.34,27.7,32.9,-5.2,-0.27,-0.12,0.0,0.0,0.0,21.0,44.0,7.0,100.0,10.0,18.0,0.0,1.0,0.0,83.0,25.0,25.0,50.0
Adama Soumaoro,fr FRA,DF,28.0,19.5,1.0,8.0,2.0,25.0,0.41,0.1,0.13,0.5,9.5,0.0,0.0,0.0,1.4,1.4,0.17,-0.4,-0.4,822.0,925.0,88.9,14538.0,4983.0,337.0,375.0,89.9,415.0,448.0,92.6,61.0,77.0,79.2,0.0,0.1,0.1,-0.1,3.0,21.0,0.0,0.0,51.0,925.0,853.0,71.0,67.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,822.0,1.0,5.0,12.0,0.62,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,17.0,7.0,0.0,6.0,12.0,50.0,6.0,28.0,23.0,5.0,20.0,44.0,72.0,0.0,1114.0,152.0,570.0,521.0,30.0,11.0,1114.0,6.0,6.0,100.0,0.0,0.0,531.0,2644.0,1435.0,12.0,6.0,0.0,7.0,2.0,625.0,1.0,20,1755.0,88.0,51.3,19.5,19,90.0,19,1,45.0,1,1.05,27.0,33.0,-6.0,-0.31,0.12,30.6,33.4,-2.9,-0.15,0.13,4.0,0.0,0.0,33.0,19.0,0.0,0.0,20.0,14.0,0.0,3.0,0.0,111.0,60.0,15.0,80.0
Mitchell Dijks,nl NED,DF,27.0,16.5,0.0,2.0,0.0,0.0,0.12,0.0,0.0,,13.9,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,602.0,794.0,75.8,8969.0,4150.0,332.0,385.0,86.2,223.0,290.0,76.9,26.0,65.0,40.0,0.0,0.2,0.2,-0.2,6.0,41.0,4.0,2.0,59.0,794.0,635.0,159.0,8.0,0.0,0.0,37.0,151.0,0.0,0.0,0.0,0.0,602.0,0.0,23.0,19.0,1.15,14.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,15.0,5.0,1.0,12.0,21.0,57.1,9.0,17.0,2.0,15.0,17.0,38.0,35.0,0.0,983.0,47.0,328.0,393.0,272.0,18.0,983.0,57.0,19.0,33.3,38.0,66.7,517.0,3024.0,1611.0,41.0,29.0,8.0,17.0,7.0,587.0,64.0,20,1481.0,74.0,43.3,16.5,18,79.0,6,2,30.0,1,1.15,18.0,22.0,-4.0,-0.24,0.22,24.0,24.9,-0.9,-0.06,0.27,7.0,1.0,1.0,32.0,15.0,1.0,37.0,17.0,14.0,0.0,1.0,0.0,85.0,13.0,14.0,48.1
Nicolás Domínguez,ar ARG,MF,22.0,13.9,1.0,18.0,5.0,27.8,1.29,0.36,0.06,0.2,19.7,0.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,614.0,716.0,85.8,10181.0,3198.0,303.0,340.0,89.1,240.0,275.0,87.3,48.0,64.0,75.0,0.0,1.7,1.6,-1.7,19.0,69.0,11.0,2.0,72.0,716.0,679.0,33.0,29.0,1.0,3.0,11.0,3.0,0.0,0.0,0.0,0.0,614.0,4.0,7.0,48.0,3.44,34.0,1.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,28.0,26.0,17.0,5.0,15.0,37.0,40.5,22.0,26.0,7.0,19.0,24.0,72.0,20.0,0.0,893.0,49.0,224.0,491.0,191.0,21.0,893.0,9.0,9.0,100.0,0.0,0.0,423.0,2038.0,934.0,21.0,14.0,3.0,24.0,14.0,524.0,32.0,28,1255.0,45.0,36.7,13.9,15,63.0,1,13,24.0,3,1.21,11.0,20.0,-9.0,-0.65,-0.44,15.9,24.5,-8.7,-0.62,-0.65,8.0,0.0,0.0,23.0,15.0,1.0,11.0,24.0,28.0,0.0,1.0,0.0,113.0,20.0,22.0,47.6
Andreas Skov Olsen,dk DEN,"FW,DF",20.0,13.1,2.0,30.0,10.0,33.3,2.29,0.76,0.07,0.2,19.5,2.0,0.0,0.0,4.1,4.1,0.14,-2.1,-2.1,407.0,546.0,74.5,5984.0,1534.0,231.0,263.0,87.8,127.0,172.0,73.8,25.0,61.0,41.0,3.0,2.0,1.9,1.0,20.0,12.0,10.0,5.0,29.0,546.0,505.0,38.0,6.0,0.0,5.0,66.0,5.0,26.0,18.0,2.0,0.0,407.0,3.0,12.0,40.0,3.05,30.0,6.0,3.0,0.0,1.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,11.0,4.0,4.0,11.0,21.0,52.4,10.0,15.0,0.0,15.0,3.0,22.0,25.0,0.0,710.0,21.0,122.0,243.0,351.0,57.0,710.0,39.0,17.0,43.6,22.0,56.4,405.0,2493.0,1349.0,61.0,26.0,24.0,30.0,9.0,499.0,119.0,26,1179.0,45.0,34.5,13.1,12,72.0,1,14,23.0,1,1.08,18.0,19.0,-1.0,-0.08,0.45,21.0,19.4,1.6,0.12,0.51,1.0,0.0,0.0,12.0,12.0,2.0,66.0,3.0,10.0,0.0,0.0,0.0,58.0,9.0,10.0,47.4
Emanuel Vignato,it ITA,"FW,MF",19.0,13.4,1.0,23.0,8.0,34.8,1.72,0.6,0.04,0.13,20.2,1.0,0.0,0.0,1.5,1.5,0.06,-0.5,-0.5,526.0,713.0,73.8,8446.0,2958.0,279.0,324.0,86.1,177.0,241.0,73.4,51.0,86.0,59.3,4.0,3.6,2.8,0.4,26.0,56.0,19.0,3.0,79.0,713.0,649.0,64.0,13.0,4.0,3.0,61.0,24.0,27.0,9.0,14.0,0.0,526.0,0.0,24.0,50.0,3.73,30.0,11.0,2.0,3.0,2.0,2.0,6.0,0.45,5.0,1.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0,6.0,3.0,3.0,15.0,20.0,12.0,6.0,1.0,5.0,10.0,28.0,7.0,0.0,826.0,22.0,138.0,365.0,337.0,25.0,826.0,38.0,23.0,60.5,15.0,39.5,505.0,3404.0,1599.0,43.0,28.0,8.0,17.0,11.0,586.0,81.0,31,1203.0,39.0,35.2,13.4,11,77.0,3,20,18.0,7,0.97,17.0,28.0,-11.0,-0.82,-0.7,23.2,19.2,3.9,0.29,0.78,4.0,0.0,0.0,13.0,12.0,2.0,61.0,10.0,9.0,0.0,0.0,0.0,83.0,3.0,15.0,16.7
Nicola Sansone,it ITA,"FW,MF",28.0,13.0,2.0,31.0,13.0,41.9,2.39,1.0,0.06,0.15,18.1,3.0,0.0,0.0,3.9,3.9,0.13,-1.9,-1.9,412.0,533.0,77.3,6110.0,1942.0,246.0,285.0,86.3,121.0,154.0,78.6,26.0,51.0,51.0,2.0,2.9,1.9,-0.9,31.0,29.0,19.0,5.0,58.0,533.0,478.0,52.0,17.0,1.0,2.0,49.0,8.0,23.0,8.0,12.0,0.0,412.0,3.0,14.0,61.0,4.7,45.0,7.0,4.0,1.0,4.0,0.0,3.0,0.23,1.0,1.0,0.0,0.0,1.0,0.0,22.0,11.0,7.0,12.0,3.0,10.0,31.0,32.3,21.0,15.0,0.0,15.0,9.0,31.0,7.0,0.0,717.0,12.0,92.0,308.0,322.0,54.0,717.0,60.0,34.0,56.7,26.0,43.3,470.0,2755.0,1292.0,38.0,19.0,21.0,37.0,29.0,527.0,88.0,26,1169.0,45.0,34.2,13.0,11,71.0,1,15,26.0,1,1.23,16.0,14.0,2.0,0.15,0.79,18.2,20.7,-2.5,-0.19,0.03,2.0,0.0,0.0,23.0,40.0,3.0,49.0,9.0,11.0,0.0,0.0,0.0,68.0,5.0,24.0,17.2
