player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Timo Werner,de GER,FW,23.0,31.1,28.0,120.0,60.0,50.0,3.86,1.93,0.21,0.42,15.1,0.0,3.0,3.0,21.2,18.9,0.16,6.8,6.1,756.0,1056.0,71.6,10254.0,2317.0,443.0,552.0,80.3,196.0,277.0,70.8,41.0,81.0,50.6,8.0,9.5,8.4,-1.5,53.0,51.0,48.0,10.0,102.0,1056.0,1001.0,53.0,2.0,2.0,10.0,84.0,29.0,3.0,0.0,0.0,0.0,756.0,2.0,29.0,122.0,3.93,83.0,0.0,24.0,11.0,4.0,0.0,24.0,0.77,15.0,0.0,7.0,0.0,2.0,0.0,20.0,9.0,6.0,7.0,7.0,3.0,16.0,18.8,13.0,16.0,0.0,16.0,5.0,25.0,2.0,0.0,1413.0,2.0,55.0,519.0,849.0,240.0,1410.0,90.0,58.0,64.4,32.0,35.6,900.0,5603.0,3236.0,156.0,61.0,89.0,85.0,34.0,1123.0,365.0,34,2795.0,82.0,91.3,31.1,33,84.0,19.0,1,31.0,0,1.94,75.0,29.0,46.0,1.48,2.16,64.6,32.6,32.0,1.03,0.85,4.0,0.0,0.0,18.0,29.0,43.0,84.0,5.0,9.0,1.0,0.0,0.0,84.0,8.0,24.0,25.0
Péter Gulácsi,hu HUN,GK,29.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1014.0,1265.0,80.2,25241.0,17014.0,193.0,193.0,100.0,551.0,558.0,98.7,265.0,503.0,52.7,1.0,0.5,0.0,0.5,2.0,9.0,1.0,0.0,2.0,1265.0,963.0,296.0,69.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,6.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,18.0,6.0,1335.0,1048.0,1315.0,21.0,0.0,0.0,1335.0,0.0,0.0,,0.0,,690.0,3009.0,1659.0,0.0,0.0,0.0,2.0,0.0,681.0,0.0,32,2880.0,90.0,94.1,32.0,32,90.0,32.0,0,,0,1.88,76.0,34.0,42.0,1.31,0.31,67.7,37.0,30.7,0.96,0.04,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,6.0,2.0,75.0
Lukas Klostermann,de GER,DF,23.0,29.4,3.0,12.0,6.0,50.0,0.41,0.2,0.25,0.5,11.1,0.0,0.0,0.0,2.7,2.7,0.23,0.3,0.3,1536.0,1814.0,84.7,25158.0,8914.0,706.0,795.0,88.8,708.0,792.0,89.4,79.0,145.0,54.5,1.0,2.4,2.0,-1.4,15.0,89.0,13.0,4.0,132.0,1814.0,1698.0,113.0,27.0,0.0,3.0,25.0,86.0,0.0,0.0,0.0,0.0,1536.0,3.0,17.0,37.0,1.26,32.0,1.0,1.0,2.0,1.0,0.0,6.0,0.2,5.0,0.0,0.0,1.0,0.0,0.0,45.0,26.0,24.0,16.0,5.0,18.0,31.0,58.1,13.0,34.0,16.0,18.0,26.0,71.0,101.0,2.0,2092.0,170.0,750.0,1095.0,252.0,28.0,2092.0,23.0,15.0,65.2,8.0,34.8,1121.0,5468.0,3196.0,38.0,22.0,2.0,12.0,11.0,1354.0,78.0,31,2643.0,85.0,86.4,29.4,31,85.0,27.0,0,,2,2.03,77.0,30.0,47.0,1.6,2.25,64.6,31.6,33.0,1.12,1.21,1.0,0.0,0.0,12.0,14.0,0.0,25.0,26.0,26.0,0.0,0.0,0.0,172.0,40.0,43.0,48.2
Marcel Sabitzer,at AUT,"MF,FW",25.0,27.8,9.0,70.0,24.0,34.3,2.52,0.86,0.13,0.38,21.5,8.0,0.0,0.0,7.2,7.2,0.1,1.8,1.8,1150.0,1549.0,74.2,17788.0,6186.0,592.0,700.0,84.6,347.0,455.0,76.3,112.0,186.0,60.2,7.0,5.7,5.9,1.3,59.0,131.0,46.0,17.0,175.0,1549.0,1404.0,132.0,31.0,2.0,15.0,107.0,85.0,16.0,1.0,9.0,0.0,1150.0,13.0,37.0,117.0,4.21,98.0,8.0,1.0,5.0,2.0,3.0,12.0,0.43,10.0,0.0,0.0,1.0,1.0,0.0,39.0,25.0,15.0,18.0,6.0,19.0,56.0,33.9,37.0,27.0,4.0,23.0,23.0,62.0,25.0,0.0,1818.0,34.0,238.0,952.0,649.0,68.0,1818.0,31.0,16.0,51.6,15.0,48.4,911.0,4435.0,2347.0,68.0,56.0,12.0,36.0,28.0,1274.0,169.0,32,2499.0,78.0,81.7,27.8,30,82.0,21.0,2,24.0,0,1.94,73.0,26.0,47.0,1.69,2.17,57.7,29.6,28.1,1.01,0.3,4.0,0.0,0.0,20.0,41.0,3.0,107.0,23.0,25.0,0.0,0.0,0.0,217.0,23.0,20.0,53.5
Marcel Halstenberg,de GER,DF,27.0,28.0,3.0,31.0,9.0,29.0,1.11,0.32,0.1,0.33,20.8,7.0,0.0,0.0,2.1,2.1,0.07,0.9,0.9,1593.0,1909.0,83.4,26540.0,8399.0,744.0,826.0,90.1,686.0,777.0,88.3,113.0,200.0,56.5,3.0,4.0,4.0,-1.0,36.0,122.0,15.0,6.0,155.0,1909.0,1669.0,229.0,52.0,2.0,12.0,56.0,150.0,27.0,10.0,13.0,0.0,1593.0,11.0,26.0,65.0,2.32,53.0,7.0,3.0,1.0,1.0,0.0,12.0,0.43,9.0,1.0,1.0,0.0,1.0,0.0,46.0,31.0,27.0,17.0,2.0,28.0,58.0,48.3,30.0,37.0,11.0,26.0,46.0,92.0,72.0,2.0,2202.0,116.0,643.0,1212.0,374.0,46.0,2202.0,30.0,23.0,76.7,7.0,23.3,1193.0,6105.0,3732.0,65.0,40.0,5.0,22.0,10.0,1374.0,91.0,29,2520.0,87.0,82.4,28.0,28,88.0,25.0,1,45.0,1,1.83,63.0,28.0,35.0,1.25,-0.25,60.3,31.6,28.7,1.03,0.38,6.0,1.0,1.0,24.0,16.0,1.0,56.0,46.0,31.0,0.0,0.0,0.0,187.0,52.0,36.0,59.1
Dayot Upamecano,fr FRA,DF,20.0,26.2,0.0,13.0,4.0,30.8,0.5,0.15,0.0,0.0,11.3,0.0,0.0,0.0,1.9,1.9,0.16,-1.9,-1.9,1751.0,1968.0,89.0,35577.0,13722.0,530.0,576.0,92.0,958.0,1028.0,93.2,237.0,315.0,75.2,1.0,1.1,1.6,-0.1,9.0,172.0,9.0,0.0,186.0,1968.0,1918.0,48.0,46.0,0.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,1751.0,2.0,9.0,33.0,1.26,29.0,0.0,0.0,3.0,1.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,52.0,31.0,37.0,15.0,0.0,23.0,43.0,53.5,20.0,31.0,17.0,14.0,43.0,95.0,88.0,1.0,2253.0,191.0,913.0,1294.0,74.0,27.0,2253.0,38.0,29.0,76.3,9.0,23.7,1548.0,9983.0,5830.0,38.0,25.0,0.0,23.0,14.0,1575.0,6.0,28,2357.0,84.0,77.0,26.2,27,86.0,24.0,1,45.0,0,1.86,66.0,32.0,34.0,1.3,0.02,56.4,29.6,26.8,1.02,0.29,8.0,1.0,1.0,27.0,13.0,1.0,1.0,43.0,31.0,0.0,0.0,0.0,245.0,54.0,31.0,63.5
Konrad Laimer,at AUT,MF,22.0,23.5,2.0,9.0,5.0,55.6,0.38,0.21,0.22,0.4,21.1,0.0,0.0,0.0,0.8,0.8,0.09,1.2,1.2,1045.0,1296.0,80.6,16053.0,5175.0,543.0,615.0,88.3,355.0,415.0,85.5,81.0,142.0,57.0,6.0,2.2,2.8,3.8,14.0,111.0,26.0,1.0,143.0,1296.0,1257.0,35.0,23.0,6.0,10.0,8.0,12.0,0.0,0.0,0.0,0.0,1045.0,4.0,27.0,63.0,2.68,49.0,0.0,8.0,1.0,3.0,2.0,16.0,0.68,11.0,0.0,4.0,0.0,0.0,1.0,91.0,45.0,30.0,46.0,15.0,43.0,102.0,42.2,59.0,51.0,8.0,43.0,34.0,125.0,14.0,0.0,1608.0,39.0,290.0,1023.0,319.0,18.0,1608.0,53.0,35.0,66.0,18.0,34.0,879.0,4201.0,2275.0,44.0,46.0,10.0,43.0,33.0,1027.0,39.0,29,2115.0,73.0,69.1,23.5,26,78.0,16.0,3,33.0,2,2.14,60.0,24.0,36.0,1.53,0.77,51.0,24.0,26.9,1.15,0.61,8.0,1.0,1.0,62.0,19.0,0.0,8.0,34.0,45.0,0.0,0.0,0.0,190.0,22.0,26.0,45.8
Christopher Nkunku,fr FRA,"MF,FW",21.0,21.4,5.0,52.0,24.0,46.2,2.43,1.12,0.1,0.21,18.6,3.0,0.0,0.0,7.8,7.8,0.15,-2.8,-2.8,661.0,841.0,78.6,9823.0,3507.0,381.0,427.0,89.2,167.0,207.0,80.7,63.0,128.0,49.2,13.0,9.2,8.3,3.8,74.0,49.0,32.0,3.0,94.0,841.0,700.0,138.0,33.0,5.0,3.0,121.0,22.0,80.0,44.0,32.0,0.0,661.0,3.0,17.0,127.0,5.94,69.0,34.0,9.0,6.0,8.0,1.0,23.0,1.08,13.0,6.0,1.0,2.0,1.0,0.0,21.0,13.0,4.0,11.0,6.0,9.0,33.0,27.3,24.0,25.0,2.0,23.0,20.0,41.0,8.0,0.0,1118.0,12.0,92.0,452.0,592.0,86.0,1118.0,90.0,55.0,61.1,35.0,38.9,677.0,4337.0,2399.0,86.0,48.0,31.0,50.0,31.0,750.0,184.0,32,1925.0,60.0,62.9,21.4,21,78.0,9.0,11,26.0,2,1.88,56.0,20.0,36.0,1.68,1.05,50.1,19.6,30.5,1.42,1.26,2.0,0.0,0.0,24.0,40.0,6.0,121.0,20.0,13.0,1.0,0.0,0.0,80.0,25.0,41.0,37.9
Nordi Mukiele,fr FRA,"DF,FW",21.0,19.8,3.0,22.0,6.0,27.3,1.11,0.3,0.14,0.5,16.1,0.0,0.0,0.0,2.8,2.8,0.13,0.2,0.2,989.0,1288.0,76.8,15139.0,6083.0,490.0,583.0,84.0,365.0,449.0,81.3,71.0,117.0,60.7,1.0,1.3,2.1,-0.3,14.0,59.0,20.0,4.0,99.0,1288.0,1113.0,174.0,29.0,0.0,3.0,32.0,145.0,0.0,0.0,0.0,0.0,989.0,1.0,49.0,41.0,2.07,33.0,0.0,1.0,3.0,3.0,1.0,5.0,0.25,4.0,0.0,0.0,1.0,0.0,0.0,61.0,39.0,39.0,12.0,10.0,25.0,38.0,65.8,13.0,26.0,4.0,22.0,47.0,108.0,57.0,0.0,1564.0,81.0,506.0,731.0,339.0,49.0,1564.0,20.0,10.0,50.0,10.0,50.0,761.0,3385.0,1790.0,36.0,28.0,4.0,27.0,20.0,946.0,110.0,25,1783.0,71.0,58.3,19.8,21,81.0,15.0,4,23.0,8,2.16,51.0,23.0,28.0,1.41,0.29,37.5,23.9,13.6,0.69,-0.65,1.0,0.0,0.0,15.0,27.0,2.0,32.0,47.0,39.0,0.0,0.0,0.0,127.0,50.0,14.0,78.1
Patrik Schick,cz CZE,FW,23.0,14.4,10.0,53.0,18.0,34.0,3.67,1.25,0.19,0.56,11.6,1.0,0.0,0.0,7.2,7.2,0.14,2.8,2.8,218.0,312.0,69.9,2499.0,456.0,132.0,168.0,78.6,47.0,77.0,61.0,5.0,11.0,45.5,2.0,2.6,1.1,-0.6,20.0,14.0,5.0,0.0,20.0,312.0,278.0,30.0,0.0,3.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,218.0,4.0,6.0,38.0,2.64,22.0,0.0,6.0,7.0,3.0,0.0,4.0,0.28,1.0,0.0,2.0,1.0,0.0,0.0,7.0,3.0,1.0,3.0,3.0,2.0,9.0,22.2,7.0,8.0,2.0,6.0,2.0,9.0,17.0,0.0,521.0,16.0,38.0,231.0,256.0,107.0,521.0,41.0,18.0,43.9,23.0,56.1,252.0,1042.0,347.0,14.0,8.0,10.0,53.0,13.0,388.0,118.0,22,1298.0,59.0,42.4,14.4,15,74.0,4.0,7,28.0,2,1.82,32.0,15.0,17.0,1.18,-0.2,26.9,15.7,11.3,0.78,-0.31,3.0,0.0,0.0,16.0,21.0,9.0,7.0,2.0,3.0,0.0,0.0,0.0,18.0,58.0,47.0,55.2
Diego Demme,de GER,MF,27.0,13.5,0.0,4.0,2.0,50.0,0.3,0.15,0.0,0.0,21.3,0.0,0.0,0.0,0.8,0.8,0.19,-0.8,-0.8,944.0,1104.0,85.5,14318.0,3999.0,499.0,548.0,91.1,349.0,386.0,90.4,49.0,78.0,62.8,0.0,1.0,1.2,-1.0,11.0,94.0,16.0,1.0,112.0,1104.0,1062.0,35.0,33.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,944.0,7.0,18.0,37.0,2.75,35.0,1.0,1.0,0.0,0.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,41.0,18.0,17.0,19.0,5.0,17.0,42.0,40.5,25.0,14.0,2.0,12.0,15.0,56.0,14.0,0.0,1244.0,21.0,234.0,817.0,201.0,9.0,1244.0,19.0,11.0,57.9,8.0,42.1,729.0,3512.0,1824.0,18.0,26.0,2.0,24.0,9.0,935.0,16.0,17,1211.0,71.0,39.6,13.5,14,81.0,10.0,3,28.0,0,2.18,37.0,18.0,19.0,1.41,0.2,32.8,17.8,15.0,1.11,0.26,3.0,0.0,0.0,19.0,13.0,0.0,8.0,15.0,18.0,0.0,0.0,0.0,110.0,7.0,17.0,29.2
Emil Forsberg,se SWE,MF,27.0,12.7,5.0,24.0,8.0,33.3,1.89,0.63,0.13,0.38,21.4,3.0,2.0,2.0,3.6,2.0,0.08,1.4,1.0,414.0,531.0,78.0,6028.0,1909.0,231.0,261.0,88.5,122.0,142.0,85.9,28.0,57.0,49.1,2.0,2.9,1.6,-0.9,27.0,50.0,10.0,0.0,74.0,531.0,499.0,27.0,3.0,12.0,2.0,24.0,2.0,19.0,8.0,8.0,0.0,414.0,5.0,15.0,53.0,4.19,37.0,7.0,1.0,1.0,5.0,2.0,4.0,0.32,3.0,0.0,0.0,0.0,1.0,0.0,16.0,10.0,5.0,8.0,3.0,6.0,26.0,23.1,20.0,15.0,0.0,15.0,5.0,21.0,3.0,0.0,653.0,7.0,45.0,364.0,255.0,32.0,651.0,30.0,22.0,73.3,8.0,26.7,421.0,2649.0,1392.0,44.0,27.0,15.0,23.0,13.0,500.0,69.0,22,1141.0,52.0,37.3,12.7,14,71.0,4.0,8,19.0,8,1.73,19.0,20.0,-1.0,-0.08,-2.19,21.4,18.7,2.8,0.22,-1.18,1.0,0.0,0.0,12.0,19.0,2.0,24.0,5.0,10.0,0.0,0.0,0.0,63.0,9.0,16.0,36.0
Yussuf Poulsen,dk DEN,FW,25.0,13.6,5.0,33.0,10.0,30.3,2.43,0.74,0.15,0.5,12.7,0.0,0.0,0.0,6.1,6.1,0.19,-1.1,-1.1,223.0,336.0,66.4,2766.0,663.0,125.0,171.0,73.1,62.0,84.0,73.8,7.0,13.0,53.8,6.0,1.8,1.6,4.2,17.0,18.0,12.0,1.0,28.0,336.0,310.0,22.0,2.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,223.0,4.0,19.0,40.0,2.95,29.0,1.0,3.0,5.0,2.0,0.0,12.0,0.88,7.0,1.0,1.0,2.0,1.0,0.0,14.0,10.0,2.0,10.0,2.0,4.0,21.0,19.0,17.0,12.0,0.0,12.0,4.0,18.0,15.0,0.0,512.0,15.0,34.0,247.0,235.0,66.0,512.0,24.0,15.0,62.5,9.0,37.5,277.0,1302.0,580.0,23.0,14.0,8.0,55.0,25.0,385.0,120.0,22,1222.0,56.0,39.9,13.6,12,82.0,8.0,10,24.0,2,1.77,42.0,16.0,26.0,1.91,1.03,34.3,16.5,17.9,1.32,0.6,2.0,0.0,0.0,29.0,28.0,1.0,9.0,4.0,10.0,1.0,0.0,0.0,38.0,35.0,53.0,39.8
