player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Casemiro,br BRA,MF,25.0,28.8,5.0,32.0,12.0,37.5,1.11,0.42,0.16,0.42,23.2,2.0,0.0,0.0,3.3,3.3,0.1,1.7,1.7,1545.0,1762.0,87.7,28541.0,7974.0,701.0,759.0,92.4,595.0,666.0,89.3,209.0,260.0,80.4,3.0,2.7,2.3,0.3,23.0,155.0,13.0,2.0,145.0,1762.0,1704.0,48.0,47.0,3.0,47.0,6.0,1.0,0.0,0.0,0.0,0.0,1545.0,10.0,21.0,68.0,2.36,57.0,1.0,1.0,3.0,3.0,3.0,11.0,0.38,6.0,1.0,0.0,3.0,1.0,0.0,109.0,78.0,64.0,39.0,6.0,42.0,84.0,50.0,42.0,56.0,11.0,45.0,63.0,172.0,49.0,3.0,2102.0,123.0,608.0,1224.0,284.0,29.0,2102.0,17.0,11.0,64.7,6.0,35.3,1286.0,4719.0,2102.0,24.0,32.0,4.0,20.0,33.0,1418.0,47.0,30,2595.0,87.0,75.9,28.8,30,87.0,24,0,,5,2.03,70.0,33.0,37.0,1.28,-0.13,60.5,33.4,27.0,0.94,-0.72,8.0,0.0,0.0,59.0,72.0,2.0,6.0,63.0,78.0,0.0,0.0,0.0,242.0,59.0,37.0,61.5
Keylor Navas,cr CRC,GK,30.0,27.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,560.0,700.0,80.0,15660.0,10767.0,59.0,60.0,98.3,309.0,314.0,98.4,191.0,325.0,58.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,700.0,485.0,215.0,52.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,1.0,4.0,0.15,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,2.0,761.0,686.0,761.0,0.0,0.0,0.0,761.0,0.0,0.0,,0.0,,404.0,2096.0,1491.0,0.0,0.0,0.0,0.0,1.0,302.0,0.0,27,2430.0,90.0,71.1,27.0,27,90.0,27,0,,2,2.04,72.0,31.0,41.0,1.52,0.7,63.6,30.5,33.1,1.23,0.4,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,44.0,4.0,0.0,100.0
Raphaël Varane,fr FRA,DF,24.0,25.8,0.0,10.0,2.0,20.0,0.39,0.08,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.1,-1.0,-1.0,1211.0,1339.0,90.4,24144.0,8452.0,434.0,460.0,94.3,591.0,635.0,93.1,169.0,214.0,79.0,1.0,0.5,0.2,0.5,6.0,86.0,2.0,0.0,66.0,1339.0,1280.0,54.0,51.0,0.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,1211.0,5.0,4.0,15.0,0.58,13.0,0.0,0.0,2.0,0.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,28.0,19.0,20.0,7.0,1.0,8.0,15.0,53.3,7.0,27.0,10.0,17.0,33.0,61.0,109.0,2.0,1558.0,152.0,795.0,725.0,54.0,20.0,1558.0,11.0,9.0,81.8,2.0,18.2,982.0,5111.0,2412.0,12.0,11.0,2.0,8.0,5.0,1035.0,4.0,27,2322.0,86.0,67.9,25.8,27,86.0,25,0,,3,1.85,62.0,28.0,34.0,1.32,0.01,57.1,26.3,30.8,1.2,0.26,3.0,0.0,0.0,19.0,12.0,0.0,1.0,33.0,19.0,0.0,0.0,0.0,143.0,49.0,27.0,64.5
Cristiano Ronaldo,pt POR,FW,32.0,25.4,26.0,174.0,72.0,41.4,6.85,2.84,0.13,0.32,15.7,15.0,3.0,4.0,25.2,22.0,0.13,0.8,1.0,615.0,789.0,77.9,8268.0,1746.0,390.0,462.0,84.4,164.0,212.0,77.4,26.0,41.0,63.4,5.0,5.0,4.9,0.0,38.0,44.0,26.0,4.0,99.0,789.0,747.0,34.0,3.0,5.0,5.0,34.0,15.0,4.0,0.0,0.0,0.0,615.0,8.0,24.0,99.0,3.9,58.0,1.0,14.0,19.0,6.0,1.0,18.0,0.71,10.0,0.0,3.0,4.0,1.0,0.0,7.0,4.0,3.0,3.0,1.0,1.0,6.0,16.7,5.0,10.0,3.0,7.0,6.0,13.0,14.0,0.0,1087.0,17.0,44.0,350.0,707.0,237.0,1084.0,51.0,31.0,60.8,20.0,39.2,748.0,4649.0,2726.0,118.0,52.0,56.0,42.0,27.0,909.0,298.0,27,2285.0,85.0,66.8,25.4,27,85.0,19,0,,0,1.96,64.0,29.0,35.0,1.38,0.19,56.9,27.5,29.4,1.16,0.15,1.0,0.0,0.0,19.0,18.0,40.0,34.0,6.0,4.0,1.0,0.0,0.0,51.0,34.0,27.0,55.7
Sergio Ramos,es ESP,DF,31.0,25.4,4.0,25.0,12.0,48.0,0.98,0.47,0.08,0.17,12.8,2.0,2.0,3.0,5.9,3.6,0.14,-1.9,-1.6,1717.0,1921.0,89.4,32838.0,14791.0,708.0,752.0,94.1,765.0,822.0,93.1,227.0,305.0,74.4,1.0,1.7,0.9,-0.7,14.0,156.0,10.0,1.0,145.0,1921.0,1834.0,75.0,61.0,5.0,40.0,9.0,14.0,0.0,0.0,0.0,0.0,1717.0,12.0,7.0,40.0,1.57,35.0,0.0,1.0,3.0,0.0,1.0,4.0,0.16,3.0,0.0,0.0,1.0,0.0,0.0,40.0,29.0,22.0,18.0,0.0,19.0,28.0,67.9,9.0,22.0,12.0,10.0,47.0,87.0,91.0,0.0,2151.0,154.0,984.0,1053.0,132.0,44.0,2148.0,11.0,9.0,81.8,2.0,18.2,1365.0,6405.0,3307.0,17.0,15.0,3.0,10.0,4.0,1510.0,13.0,26,2289.0,88.0,66.9,25.4,26,88.0,23,0,,0,1.81,50.0,31.0,19.0,0.75,-1.72,52.7,29.4,23.3,0.92,-0.59,9.0,2.0,2.0,37.0,20.0,6.0,9.0,47.0,29.0,0.0,0.0,1.0,195.0,84.0,45.0,65.1
Toni Kroos,de GER,MF,27.0,25.1,5.0,41.0,17.0,41.5,1.63,0.68,0.12,0.29,23.0,0.0,0.0,0.0,2.4,2.4,0.06,2.6,2.6,1982.0,2235.0,88.7,36218.0,11344.0,920.0,965.0,95.3,736.0,810.0,90.9,277.0,377.0,73.5,7.0,5.7,6.1,1.3,64.0,251.0,34.0,7.0,274.0,2235.0,1995.0,233.0,91.0,9.0,61.0,148.0,10.0,132.0,36.0,64.0,0.0,1982.0,7.0,16.0,134.0,5.33,81.0,40.0,4.0,3.0,5.0,1.0,16.0,0.64,12.0,3.0,1.0,0.0,0.0,0.0,55.0,35.0,19.0,29.0,7.0,22.0,59.0,37.3,37.0,20.0,2.0,18.0,16.0,71.0,10.0,1.0,2406.0,21.0,327.0,1417.0,686.0,33.0,2406.0,32.0,24.0,75.0,8.0,25.0,1566.0,8127.0,4316.0,71.0,60.0,6.0,19.0,15.0,1882.0,64.0,27,2261.0,84.0,66.1,25.1,26,86.0,18,1,29.0,2,1.81,60.0,32.0,28.0,1.11,-0.59,55.2,29.5,25.7,1.02,-0.26,4.0,0.0,0.0,21.0,38.0,2.0,148.0,16.0,35.0,0.0,0.0,0.0,151.0,11.0,7.0,61.1
Marcelo,br BRA,DF,29.0,25.1,2.0,33.0,9.0,27.3,1.31,0.36,0.06,0.22,20.0,0.0,0.0,0.0,1.3,1.3,0.04,0.7,0.7,1569.0,1969.0,79.7,24686.0,9969.0,908.0,975.0,93.1,467.0,593.0,78.8,144.0,285.0,50.5,6.0,6.5,7.6,-0.5,57.0,163.0,77.0,26.0,254.0,1969.0,1721.0,239.0,31.0,4.0,36.0,155.0,197.0,11.0,0.0,1.0,0.0,1569.0,9.0,44.0,126.0,5.02,101.0,11.0,7.0,2.0,4.0,1.0,11.0,0.44,10.0,0.0,0.0,1.0,0.0,0.0,53.0,37.0,19.0,23.0,11.0,22.0,58.0,37.9,36.0,26.0,2.0,24.0,30.0,83.0,23.0,2.0,2198.0,54.0,404.0,944.0,873.0,90.0,2198.0,62.0,33.0,53.2,29.0,46.8,1449.0,6706.0,4032.0,98.0,76.0,32.0,40.0,18.0,1620.0,268.0,28,2260.0,81.0,66.1,25.1,26,85.0,21,2,23.0,2,1.86,62.0,31.0,31.0,1.23,-0.24,55.6,29.1,26.5,1.05,-0.16,3.0,1.0,0.0,26.0,41.0,3.0,155.0,30.0,37.0,0.0,0.0,0.0,159.0,9.0,26.0,25.7
Dani Carvajal,es ESP,DF,25.0,24.7,0.0,13.0,6.0,46.2,0.53,0.24,0.0,0.0,20.8,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,1595.0,1898.0,84.0,25751.0,7152.0,888.0,982.0,90.4,538.0,627.0,85.8,132.0,201.0,65.7,2.0,4.2,3.4,-2.2,36.0,109.0,42.0,22.0,150.0,1898.0,1628.0,261.0,31.0,4.0,20.0,91.0,230.0,0.0,0.0,0.0,0.0,1595.0,9.0,40.0,70.0,2.84,63.0,2.0,3.0,1.0,0.0,1.0,5.0,0.2,4.0,0.0,1.0,0.0,0.0,0.0,59.0,40.0,27.0,22.0,10.0,22.0,38.0,57.9,16.0,33.0,15.0,18.0,38.0,97.0,42.0,2.0,2127.0,89.0,506.0,1000.0,651.0,58.0,2127.0,46.0,32.0,69.6,14.0,30.4,1219.0,5469.0,3021.0,69.0,45.0,10.0,30.0,19.0,1424.0,216.0,25,2222.0,89.0,65.0,24.7,25,89.0,24,0,,1,2.0,61.0,30.0,31.0,1.26,-0.17,57.4,27.8,29.7,1.2,0.26,11.0,1.0,0.0,48.0,32.0,3.0,91.0,38.0,40.0,0.0,2.0,0.0,155.0,19.0,27.0,41.3
Karim Benzema,fr FRA,FW,29.0,23.9,5.0,61.0,15.0,24.6,2.55,0.63,0.05,0.2,13.2,0.0,2.0,2.0,12.8,11.2,0.19,-7.8,-8.2,723.0,881.0,82.1,9638.0,1966.0,473.0,541.0,87.4,159.0,194.0,82.0,46.0,54.0,85.2,10.0,6.8,5.3,3.2,44.0,59.0,30.0,1.0,98.0,881.0,832.0,42.0,2.0,8.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,723.0,7.0,25.0,92.0,3.85,77.0,0.0,9.0,5.0,1.0,0.0,23.0,0.96,18.0,0.0,2.0,2.0,1.0,0.0,14.0,8.0,2.0,6.0,6.0,3.0,20.0,15.0,17.0,18.0,0.0,18.0,8.0,22.0,19.0,0.0,1070.0,24.0,51.0,433.0,592.0,151.0,1068.0,49.0,33.0,67.3,16.0,32.7,762.0,3556.0,1654.0,69.0,43.0,39.0,25.0,41.0,893.0,188.0,32,2150.0,67.0,62.9,23.9,25,80.0,12,7,22.0,0,2.06,62.0,29.0,33.0,1.38,0.18,54.0,29.3,24.7,1.03,-0.21,0.0,0.0,0.0,19.0,11.0,15.0,6.0,8.0,8.0,1.0,0.0,0.0,43.0,9.0,28.0,24.3
Luka Modrić,hr CRO,MF,31.0,21.9,1.0,35.0,8.0,22.9,1.6,0.37,0.03,0.13,20.9,0.0,0.0,0.0,1.8,1.8,0.05,-0.8,-0.8,1394.0,1572.0,88.7,24341.0,7975.0,692.0,739.0,93.6,491.0,545.0,90.1,169.0,207.0,81.6,6.0,4.2,4.0,1.8,39.0,196.0,42.0,1.0,254.0,1572.0,1530.0,36.0,29.0,11.0,33.0,18.0,1.0,6.0,0.0,4.0,0.0,1394.0,6.0,21.0,107.0,4.89,86.0,1.0,13.0,2.0,3.0,2.0,14.0,0.64,10.0,1.0,0.0,2.0,0.0,1.0,33.0,22.0,14.0,15.0,4.0,15.0,41.0,36.6,26.0,13.0,4.0,9.0,31.0,64.0,7.0,0.0,1731.0,26.0,242.0,1067.0,443.0,43.0,1731.0,63.0,48.0,76.2,15.0,23.8,1322.0,7343.0,3626.0,82.0,64.0,15.0,26.0,20.0,1431.0,78.0,26,1970.0,76.0,57.6,21.9,23,83.0,14,3,23.0,5,1.85,53.0,19.0,34.0,1.55,0.56,47.0,22.9,24.1,1.1,-0.02,3.0,0.0,0.0,20.0,31.0,0.0,18.0,31.0,22.0,1.0,0.0,0.0,149.0,7.0,12.0,36.8
Nacho,es ESP,DF,27.0,23.0,3.0,9.0,4.0,44.4,0.39,0.17,0.33,0.75,13.7,0.0,0.0,0.0,1.1,1.1,0.12,1.9,1.9,1064.0,1195.0,89.0,17838.0,6173.0,516.0,552.0,93.5,433.0,477.0,90.8,90.0,120.0,75.0,0.0,0.3,0.5,-0.3,5.0,46.0,5.0,3.0,70.0,1195.0,1095.0,94.0,38.0,1.0,6.0,23.0,56.0,0.0,0.0,0.0,0.0,1064.0,6.0,11.0,26.0,1.13,21.0,1.0,0.0,1.0,2.0,1.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,55.0,40.0,29.0,19.0,7.0,20.0,38.0,52.6,18.0,21.0,9.0,12.0,46.0,101.0,51.0,0.0,1391.0,83.0,527.0,652.0,220.0,27.0,1391.0,10.0,6.0,60.0,4.0,40.0,771.0,2807.0,1260.0,22.0,14.0,6.0,16.0,5.0,906.0,72.0,27,2074.0,77.0,60.6,23.0,22,86.0,20,5,36.0,6,2.07,66.0,27.0,39.0,1.69,0.96,52.4,25.0,27.4,1.19,0.2,7.0,0.0,0.0,33.0,28.0,0.0,23.0,46.0,40.0,0.0,1.0,1.0,126.0,34.0,25.0,57.6
Isco,es ESP,MF,25.0,19.7,7.0,49.0,19.0,38.8,2.49,0.96,0.14,0.37,19.2,2.0,0.0,0.0,5.4,5.4,0.11,1.6,1.6,1387.0,1636.0,84.8,20955.0,5838.0,826.0,889.0,92.9,415.0,483.0,85.9,106.0,169.0,62.7,7.0,6.3,7.0,0.7,48.0,159.0,63.0,13.0,220.0,1636.0,1527.0,101.0,23.0,10.0,19.0,94.0,13.0,51.0,11.0,12.0,0.0,1387.0,8.0,35.0,116.0,5.89,93.0,8.0,4.0,3.0,7.0,1.0,12.0,0.61,10.0,0.0,0.0,0.0,2.0,0.0,22.0,12.0,5.0,10.0,7.0,5.0,35.0,14.3,30.0,11.0,0.0,11.0,15.0,37.0,2.0,0.0,1846.0,9.0,147.0,903.0,819.0,101.0,1846.0,83.0,58.0,69.9,25.0,30.1,1503.0,8888.0,4591.0,136.0,88.0,30.0,64.0,50.0,1609.0,229.0,30,1774.0,59.0,51.9,19.7,21,76.0,5,9,20.0,3,2.0,42.0,17.0,25.0,1.27,-0.1,40.8,17.7,23.1,1.17,0.13,1.0,0.0,0.0,19.0,59.0,6.0,94.0,15.0,12.0,0.0,0.0,0.0,89.0,3.0,14.0,17.6
Gareth Bale,wls WAL,"FW,MF",28.0,20.0,16.0,76.0,31.0,40.8,3.8,1.55,0.2,0.48,15.5,4.0,1.0,1.0,11.8,11.0,0.15,4.2,4.0,603.0,779.0,77.4,9329.0,2213.0,360.0,408.0,88.2,162.0,210.0,77.1,56.0,89.0,62.9,2.0,5.0,4.1,-3.0,41.0,32.0,44.0,11.0,87.0,779.0,746.0,25.0,1.0,2.0,22.0,55.0,20.0,0.0,0.0,0.0,0.0,603.0,8.0,25.0,71.0,3.55,60.0,0.0,4.0,4.0,3.0,0.0,9.0,0.45,5.0,0.0,1.0,1.0,2.0,0.0,19.0,13.0,7.0,8.0,4.0,3.0,14.0,21.4,11.0,13.0,1.0,12.0,12.0,31.0,18.0,0.0,998.0,21.0,97.0,368.0,544.0,127.0,997.0,52.0,31.0,59.6,21.0,40.4,705.0,4066.0,1828.0,75.0,44.0,28.0,34.0,20.0,824.0,217.0,26,1799.0,69.0,52.6,20.0,20,82.0,10,6,26.0,1,1.92,50.0,22.0,28.0,1.4,0.18,46.4,23.5,23.0,1.15,0.08,5.0,0.0,0.0,25.0,16.0,13.0,55.0,12.0,13.0,2.0,0.0,0.0,37.0,33.0,29.0,53.2
Marco Asensio,es ESP,"FW,MF",21.0,20.5,6.0,56.0,22.0,39.3,2.73,1.07,0.11,0.27,19.2,3.0,0.0,0.0,4.5,4.5,0.08,1.5,1.5,1062.0,1264.0,84.0,15960.0,3700.0,627.0,676.0,92.8,322.0,378.0,85.2,77.0,130.0,59.2,6.0,6.4,3.6,-0.4,52.0,113.0,43.0,7.0,157.0,1264.0,1172.0,87.0,16.0,9.0,21.0,106.0,19.0,50.0,12.0,17.0,2.0,1062.0,5.0,31.0,107.0,5.22,87.0,10.0,4.0,3.0,2.0,1.0,11.0,0.54,11.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,7.0,13.0,6.0,11.0,26.0,42.3,15.0,15.0,0.0,15.0,9.0,35.0,2.0,0.0,1430.0,4.0,78.0,662.0,714.0,80.0,1430.0,45.0,31.0,68.9,14.0,31.1,1080.0,7322.0,4179.0,135.0,98.0,22.0,32.0,25.0,1184.0,209.0,32,1844.0,58.0,53.9,20.5,19,83.0,12,13,21.0,3,1.94,51.0,24.0,27.0,1.32,0.0,47.9,22.0,25.9,1.26,0.33,2.0,0.0,0.0,9.0,27.0,3.0,106.0,9.0,17.0,0.0,0.0,0.0,77.0,3.0,3.0,50.0
Lucas Vázquez,es ESP,"MF,FW",26.0,18.7,4.0,33.0,17.0,51.5,1.77,0.91,0.12,0.24,16.8,0.0,0.0,0.0,4.8,4.8,0.14,-0.8,-0.8,818.0,1014.0,80.7,11947.0,2704.0,515.0,563.0,91.5,218.0,273.0,79.9,55.0,91.0,60.4,7.0,5.8,6.1,1.2,51.0,47.0,50.0,15.0,94.0,1014.0,961.0,46.0,7.0,2.0,18.0,91.0,19.0,20.0,3.0,11.0,0.0,818.0,7.0,35.0,109.0,5.84,85.0,3.0,9.0,3.0,7.0,2.0,13.0,0.7,10.0,1.0,0.0,1.0,1.0,0.0,48.0,33.0,16.0,21.0,11.0,12.0,42.0,28.6,30.0,28.0,2.0,26.0,7.0,55.0,9.0,0.0,1234.0,14.0,140.0,475.0,628.0,110.0,1234.0,66.0,36.0,54.5,30.0,45.5,892.0,4417.0,2322.0,67.0,29.0,33.0,30.0,46.0,997.0,250.0,33,1679.0,51.0,49.1,18.7,16,86.0,13,17,18.0,5,2.06,54.0,25.0,29.0,1.55,0.47,46.4,21.8,24.5,1.31,0.4,3.0,0.0,0.0,33.0,42.0,12.0,91.0,7.0,33.0,2.0,0.0,0.0,86.0,5.0,16.0,23.8
Mateo Kovačić,hr CRO,MF,23.0,11.0,0.0,9.0,2.0,22.2,0.82,0.18,0.0,0.0,23.5,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,742.0,797.0,93.1,12983.0,3579.0,319.0,336.0,94.9,334.0,348.0,96.0,72.0,83.0,86.7,1.0,0.4,0.6,0.6,10.0,75.0,6.0,0.0,81.0,797.0,777.0,19.0,16.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,742.0,1.0,6.0,27.0,2.45,22.0,0.0,2.0,1.0,2.0,0.0,4.0,0.36,2.0,0.0,0.0,0.0,2.0,0.0,37.0,27.0,19.0,18.0,0.0,8.0,27.0,29.6,19.0,9.0,4.0,5.0,5.0,42.0,5.0,0.0,886.0,13.0,169.0,577.0,156.0,6.0,886.0,39.0,35.0,89.7,4.0,10.3,714.0,4057.0,1866.0,27.0,27.0,0.0,19.0,14.0,729.0,16.0,21,992.0,47.0,29.0,11.0,10,79.0,3,11,18.0,7,1.9,28.0,18.0,10.0,0.91,-0.58,26.0,15.9,10.1,0.91,-0.28,2.0,0.0,0.0,10.0,20.0,0.0,4.0,5.0,27.0,1.0,0.0,0.0,79.0,1.0,7.0,12.5
