player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Rodri,es ESP,MF,21.0,35.9,1.0,32.0,10.0,31.3,0.89,0.28,0.03,0.1,20.1,0.0,0.0,0.0,1.5,1.5,0.05,-0.5,-0.5,2227.0,2483.0,89.7,40468.0,11625.0,975.0,1067.0,91.4,953.0,1039.0,91.7,265.0,308.0,86.0,3.0,1.7,1.3,1.3,23.0,162.0,5.0,0.0,208.0,2483.0,2412.0,66.0,66.0,3.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,2227.0,5.0,22.0,69.0,1.92,60.0,2.0,2.0,2.0,1.0,2.0,7.0,0.2,7.0,0.0,0.0,0.0,0.0,0.0,104.0,71.0,50.0,48.0,6.0,30.0,86.0,34.9,56.0,49.0,21.0,28.0,52.0,156.0,100.0,1.0,2864.0,151.0,901.0,1726.0,264.0,33.0,2864.0,29.0,26.0,89.7,3.0,10.3,1619.0,8308.0,3591.0,28.0,31.0,4.0,23.0,22.0,1950.0,26.0,37,3227.0,87.0,94.4,35.9,36,89.0,34,1,34.0,0,1.65,54.0,45.0,9.0,0.25,1.18,49.8,49.8,0.1,0.0,0.1,8.0,0.0,0.0,77.0,35.0,2.0,5.0,52.0,71.0,0.0,0.0,0.0,320.0,98.0,35.0,73.7
Álvaro González,es ESP,DF,27.0,32.2,0.0,16.0,3.0,18.8,0.5,0.09,0.0,0.0,11.0,0.0,0.0,0.0,1.6,1.6,0.1,-1.6,-1.6,1221.0,1464.0,83.4,25257.0,10399.0,413.0,456.0,90.6,598.0,663.0,90.2,203.0,322.0,63.0,2.0,0.6,0.6,1.4,8.0,84.0,5.0,2.0,90.0,1464.0,1383.0,78.0,60.0,0.0,19.0,7.0,18.0,0.0,0.0,0.0,0.0,1221.0,3.0,9.0,18.0,0.56,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,38.0,26.0,30.0,7.0,1.0,22.0,41.0,53.7,19.0,34.0,23.0,11.0,53.0,91.0,188.0,0.0,1795.0,212.0,961.0,785.0,57.0,29.0,1795.0,4.0,2.0,50.0,2.0,50.0,884.0,4029.0,2244.0,9.0,7.0,1.0,5.0,3.0,1118.0,9.0,33,2898.0,88.0,84.7,32.2,32,89.0,30,1,55.0,0,1.52,44.0,45.0,-1.0,-0.03,-1.41,45.3,46.8,-1.5,-0.05,-0.28,14.0,1.0,1.0,33.0,30.0,3.0,7.0,53.0,26.0,0.0,0.0,0.0,132.0,58.0,50.0,53.7
Manu Trigueros,es ESP,MF,25.0,30.0,3.0,26.0,6.0,23.1,0.87,0.2,0.08,0.33,27.2,2.0,1.0,2.0,2.8,1.2,0.05,0.2,0.8,1612.0,1912.0,84.3,29669.0,8839.0,714.0,777.0,91.9,651.0,738.0,88.2,218.0,308.0,70.8,4.0,3.8,3.5,0.2,43.0,191.0,28.0,5.0,189.0,1912.0,1762.0,137.0,82.0,9.0,34.0,83.0,2.0,53.0,18.0,12.0,1.0,1612.0,13.0,33.0,87.0,2.9,66.0,15.0,2.0,0.0,4.0,0.0,8.0,0.27,7.0,1.0,0.0,0.0,0.0,0.0,61.0,41.0,23.0,34.0,4.0,21.0,71.0,29.6,50.0,38.0,13.0,25.0,22.0,83.0,44.0,0.0,2161.0,80.0,460.0,1296.0,437.0,29.0,2159.0,46.0,33.0,71.7,13.0,28.3,1302.0,6298.0,2832.0,43.0,36.0,7.0,35.0,34.0,1600.0,77.0,34,2698.0,79.0,78.9,30.0,32,83.0,19,2,16.0,0,1.65,47.0,38.0,9.0,0.3,0.55,43.3,42.7,0.6,0.02,0.11,10.0,1.0,1.0,38.0,43.0,1.0,83.0,22.0,41.0,0.0,0.0,0.0,213.0,27.0,24.0,52.9
Mario Gaspar,es ESP,DF,26.0,31.2,2.0,29.0,10.0,34.5,0.93,0.32,0.07,0.2,23.1,0.0,0.0,0.0,1.3,1.3,0.04,0.7,0.7,1406.0,1817.0,77.4,22732.0,9508.0,750.0,846.0,88.7,552.0,701.0,78.7,88.0,192.0,45.8,3.0,2.3,2.4,0.7,31.0,85.0,18.0,6.0,121.0,1817.0,1457.0,353.0,45.0,1.0,8.0,60.0,308.0,0.0,0.0,0.0,0.0,1406.0,7.0,45.0,61.0,1.96,49.0,4.0,2.0,2.0,0.0,4.0,7.0,0.22,5.0,0.0,0.0,2.0,0.0,0.0,110.0,66.0,63.0,37.0,10.0,58.0,87.0,66.7,29.0,58.0,11.0,47.0,58.0,168.0,114.0,0.0,2248.0,133.0,737.0,997.0,537.0,42.0,2248.0,46.0,22.0,47.8,24.0,52.2,983.0,5314.0,3257.0,83.0,63.0,8.0,27.0,17.0,1230.0,139.0,32,2806.0,88.0,82.0,31.2,31,90.0,31,1,16.0,2,1.63,47.0,42.0,5.0,0.16,-0.13,45.2,42.6,2.5,0.08,0.47,6.0,0.0,0.0,44.0,15.0,3.0,60.0,58.0,66.0,0.0,0.0,0.0,157.0,57.0,37.0,60.6
Pablo Fornals,es ESP,"MF,FW",21.0,29.1,3.0,51.0,14.0,27.5,1.75,0.48,0.06,0.21,21.3,1.0,0.0,0.0,2.8,2.8,0.06,0.2,0.2,1047.0,1373.0,76.3,17421.0,4820.0,544.0,646.0,84.2,363.0,458.0,79.3,110.0,170.0,64.7,12.0,8.6,3.8,3.4,52.0,125.0,40.0,6.0,171.0,1373.0,1339.0,21.0,6.0,17.0,19.0,30.0,4.0,9.0,3.0,4.0,0.0,1047.0,13.0,43.0,114.0,3.92,95.0,0.0,6.0,5.0,5.0,3.0,17.0,0.58,16.0,0.0,0.0,1.0,0.0,0.0,52.0,33.0,19.0,26.0,7.0,18.0,60.0,30.0,42.0,29.0,3.0,26.0,22.0,74.0,18.0,0.0,1649.0,26.0,236.0,897.0,534.0,57.0,1649.0,53.0,27.0,50.9,26.0,49.1,1048.0,5469.0,2730.0,74.0,54.0,12.0,53.0,42.0,1267.0,175.0,35,2620.0,75.0,76.6,29.1,30,84.0,22,5,19.0,0,1.63,43.0,38.0,5.0,0.17,-0.05,40.4,37.5,3.0,0.1,0.45,4.0,0.0,0.0,34.0,32.0,2.0,30.0,22.0,33.0,0.0,0.0,0.0,195.0,28.0,35.0,44.4
Carlos Bacca,co COL,FW,30.0,27.7,15.0,72.0,33.0,45.8,2.6,1.19,0.19,0.42,15.6,0.0,1.0,1.0,14.0,13.2,0.18,1.0,0.8,388.0,538.0,72.1,5649.0,1228.0,232.0,295.0,78.6,112.0,158.0,70.9,27.0,41.0,65.9,6.0,4.7,4.2,1.3,30.0,21.0,15.0,1.0,39.0,538.0,492.0,41.0,0.0,1.0,4.0,11.0,2.0,2.0,0.0,0.0,0.0,388.0,5.0,13.0,75.0,2.7,51.0,0.0,18.0,5.0,1.0,0.0,14.0,0.5,8.0,0.0,6.0,0.0,0.0,0.0,10.0,2.0,2.0,4.0,4.0,1.0,12.0,8.3,11.0,16.0,1.0,15.0,8.0,18.0,16.0,0.0,750.0,19.0,43.0,339.0,377.0,130.0,749.0,53.0,35.0,66.0,18.0,34.0,455.0,2443.0,1275.0,56.0,19.0,32.0,51.0,25.0,591.0,188.0,35,2497.0,71.0,73.0,27.7,30,78.0,11,5,29.0,0,1.63,43.0,35.0,8.0,0.29,0.39,38.7,36.8,1.9,0.07,0.27,9.0,0.0,0.0,22.0,20.0,40.0,11.0,8.0,2.0,0.0,0.0,0.0,54.0,23.0,38.0,37.7
Jaume Costa,es ESP,DF,29.0,28.2,0.0,12.0,3.0,25.0,0.43,0.11,0.0,0.0,22.4,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1262.0,1583.0,79.7,20464.0,8096.0,673.0,745.0,90.3,476.0,596.0,79.9,97.0,185.0,52.4,0.0,1.7,2.3,-1.7,31.0,115.0,31.0,10.0,129.0,1583.0,1350.0,225.0,16.0,1.0,6.0,67.0,208.0,1.0,0.0,0.0,0.0,1262.0,8.0,22.0,60.0,2.13,48.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,43.0,39.0,22.0,6.0,33.0,51.0,64.7,18.0,30.0,8.0,22.0,46.0,113.0,97.0,0.0,1876.0,107.0,550.0,914.0,429.0,29.0,1876.0,39.0,27.0,69.2,12.0,30.8,926.0,4606.0,2831.0,77.0,45.0,14.0,19.0,14.0,1148.0,107.0,30,2536.0,85.0,74.2,28.2,29,86.0,24,1,45.0,3,1.67,43.0,34.0,9.0,0.32,0.52,38.0,39.0,-0.9,-0.03,-0.11,14.0,1.0,1.0,54.0,37.0,0.0,67.0,46.0,43.0,1.0,3.0,0.0,122.0,33.0,39.0,45.8
Víctor Ruiz,es ESP,DF,28.0,26.8,2.0,5.0,2.0,40.0,0.19,0.07,0.4,1.0,9.5,0.0,0.0,0.0,0.8,0.8,0.17,1.2,1.2,1218.0,1430.0,85.2,23906.0,10797.0,472.0,500.0,94.4,569.0,625.0,91.0,160.0,272.0,58.8,1.0,0.1,0.7,0.9,3.0,61.0,4.0,1.0,57.0,1430.0,1351.0,73.0,71.0,2.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,1218.0,6.0,8.0,14.0,0.52,11.0,1.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,33.0,22.0,29.0,4.0,0.0,13.0,25.0,52.0,12.0,27.0,18.0,9.0,58.0,91.0,134.0,1.0,1685.0,187.0,985.0,685.0,26.0,10.0,1685.0,7.0,5.0,71.4,2.0,28.6,883.0,4130.0,2081.0,4.0,1.0,0.0,7.0,3.0,1053.0,4.0,27,2416.0,89.0,70.6,26.8,27,89.0,26,0,,8,1.78,46.0,29.0,17.0,0.63,1.53,40.3,34.9,5.4,0.2,0.7,10.0,1.0,1.0,28.0,6.0,0.0,2.0,58.0,22.0,0.0,1.0,0.0,158.0,59.0,40.0,59.6
Samu Castillejo,es ESP,"MF,FW",22.0,23.0,6.0,57.0,19.0,33.3,2.47,0.82,0.11,0.32,20.6,2.0,0.0,0.0,4.5,4.5,0.08,1.5,1.5,763.0,996.0,76.6,13006.0,3436.0,380.0,434.0,87.6,277.0,338.0,82.0,81.0,156.0,51.9,5.0,4.4,4.0,0.6,43.0,58.0,32.0,8.0,111.0,996.0,875.0,111.0,34.0,7.0,15.0,97.0,4.0,73.0,32.0,13.0,0.0,763.0,10.0,26.0,99.0,4.29,54.0,22.0,11.0,3.0,6.0,3.0,19.0,0.82,10.0,2.0,4.0,1.0,2.0,0.0,41.0,28.0,22.0,10.0,9.0,13.0,62.0,21.0,49.0,39.0,5.0,34.0,22.0,63.0,37.0,0.0,1339.0,30.0,206.0,612.0,547.0,67.0,1339.0,106.0,47.0,44.3,59.0,55.7,868.0,6053.0,2943.0,104.0,74.0,29.0,43.0,48.0,951.0,150.0,30,2074.0,69.0,60.6,23.0,25,78.0,10,5,22.0,1,1.87,43.0,27.0,16.0,0.69,1.3,36.4,31.8,4.7,0.2,0.52,4.0,0.0,0.0,42.0,66.0,7.0,97.0,22.0,28.0,2.0,0.0,0.0,121.0,15.0,41.0,26.8
Sergio Asenjo,es ESP,GK,28.0,23.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,406.0,657.0,61.8,13406.0,10597.0,50.0,50.0,100.0,163.0,168.0,97.0,191.0,434.0,44.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,657.0,390.0,264.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,3.0,0.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,714.0,650.0,712.0,2.0,0.0,0.0,714.0,1.0,1.0,100.0,0.0,0.0,288.0,2090.0,1366.0,0.0,0.0,0.0,1.0,0.0,175.0,0.0,23,2070.0,90.0,60.5,23.0,23,90.0,23,0,,2,1.7,33.0,30.0,3.0,0.13,-0.14,32.5,34.6,-2.2,-0.1,-0.23,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,32.0,7.0,1.0,87.5
Cédric Bakambu,cd COD,FW,26.0,14.0,9.0,30.0,15.0,50.0,2.14,1.07,0.27,0.53,15.1,0.0,1.0,1.0,5.9,5.1,0.17,3.1,2.9,209.0,293.0,71.3,2837.0,684.0,125.0,152.0,82.2,54.0,84.0,64.3,11.0,17.0,64.7,0.0,1.6,0.6,-1.6,15.0,19.0,5.0,1.0,21.0,293.0,274.0,17.0,1.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,209.0,2.0,9.0,25.0,1.78,18.0,0.0,3.0,4.0,0.0,0.0,1.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,3.0,6.0,1.0,1.0,7.0,14.3,6.0,9.0,1.0,8.0,3.0,13.0,27.0,0.0,431.0,29.0,54.0,187.0,196.0,56.0,430.0,23.0,10.0,43.5,13.0,56.5,301.0,1679.0,760.0,37.0,16.0,13.0,25.0,33.0,328.0,80.0,15,1263.0,84.0,36.9,14.0,15,84.0,9,0,,0,1.6,22.0,16.0,6.0,0.43,0.39,18.0,18.4,-0.3,-0.02,-0.03,5.0,0.0,0.0,40.0,19.0,11.0,12.0,3.0,7.0,0.0,0.0,0.0,38.0,17.0,41.0,29.3
Antonio Rukavina,rs SRB,DF,33.0,14.1,0.0,2.0,0.0,0.0,0.14,0.0,0.0,,13.5,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,489.0,628.0,77.9,8304.0,3405.0,236.0,271.0,87.1,197.0,247.0,79.8,44.0,86.0,51.2,0.0,0.6,0.6,-0.6,8.0,27.0,8.0,5.0,36.0,628.0,483.0,143.0,8.0,1.0,0.0,27.0,135.0,0.0,0.0,0.0,0.0,489.0,2.0,12.0,15.0,1.06,12.0,2.0,0.0,1.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,12.0,9.0,4.0,17.0,25.0,68.0,8.0,11.0,3.0,8.0,16.0,41.0,68.0,0.0,765.0,58.0,295.0,326.0,144.0,5.0,765.0,3.0,1.0,33.3,2.0,66.7,279.0,1142.0,575.0,12.0,9.0,0.0,8.0,0.0,374.0,43.0,17,1272.0,75.0,37.2,14.1,14,87.0,13,3,19.0,18,1.76,22.0,17.0,5.0,0.35,0.27,20.3,22.4,-2.1,-0.15,-0.23,5.0,0.0,0.0,18.0,3.0,0.0,27.0,16.0,22.0,0.0,1.0,0.0,59.0,9.0,11.0,45.0
Daniele Bonera,it ITA,DF,36.0,13.2,0.0,2.0,0.0,0.0,0.15,0.0,0.0,,30.4,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,493.0,569.0,86.6,10077.0,4150.0,174.0,186.0,93.5,235.0,254.0,92.5,79.0,119.0,66.4,1.0,0.6,0.2,0.4,3.0,42.0,2.0,0.0,48.0,569.0,536.0,31.0,30.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,493.0,2.0,2.0,5.0,0.38,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,16.0,11.0,8.0,7.0,1.0,10.0,15.0,66.7,5.0,17.0,12.0,5.0,12.0,28.0,72.0,0.0,698.0,101.0,392.0,297.0,13.0,3.0,698.0,1.0,1.0,100.0,0.0,0.0,368.0,1871.0,1178.0,6.0,5.0,0.0,4.0,0.0,431.0,0.0,15,1190.0,79.0,34.8,13.2,14,83.0,12,1,35.0,12,1.73,21.0,14.0,7.0,0.53,0.53,17.7,15.2,2.6,0.19,0.3,4.0,1.0,0.0,14.0,11.0,0.0,0.0,12.0,11.0,0.0,1.0,0.0,48.0,15.0,8.0,65.2
Dani Raba,es ESP,"MF,FW",21.0,12.3,2.0,18.0,5.0,27.8,1.46,0.41,0.11,0.4,18.2,1.0,0.0,0.0,2.4,2.4,0.13,-0.4,-0.4,374.0,501.0,74.7,6629.0,1551.0,171.0,204.0,83.8,138.0,183.0,75.4,50.0,76.0,65.8,4.0,3.9,2.3,0.1,25.0,26.0,11.0,3.0,52.0,501.0,451.0,43.0,11.0,4.0,10.0,34.0,8.0,22.0,7.0,5.0,3.0,374.0,7.0,11.0,49.0,3.97,29.0,9.0,6.0,2.0,3.0,0.0,4.0,0.32,3.0,0.0,1.0,0.0,0.0,0.0,25.0,21.0,9.0,12.0,4.0,9.0,45.0,20.0,36.0,21.0,1.0,20.0,17.0,42.0,10.0,0.0,674.0,10.0,82.0,323.0,278.0,39.0,674.0,45.0,27.0,60.0,18.0,40.0,420.0,2349.0,1148.0,38.0,26.0,18.0,44.0,32.0,476.0,97.0,21,1110.0,53.0,32.5,12.3,14,69.0,2,7,20.0,3,1.76,13.0,8.0,5.0,0.41,0.33,16.5,16.0,0.5,0.04,0.06,3.0,1.0,0.0,25.0,27.0,8.0,34.0,17.0,21.0,0.0,0.0,0.0,74.0,8.0,15.0,34.8
Mariano Barbosa,ar ARG,GK,33.0,12.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,225.0,335.0,67.2,6683.0,5191.0,35.0,35.0,100.0,106.0,106.0,100.0,84.0,194.0,43.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,335.0,202.0,133.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,365.0,315.0,365.0,0.0,0.0,0.0,365.0,0.0,0.0,,0.0,,162.0,779.0,545.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,13,1125.0,87.0,32.9,12.5,12,90.0,12,1,45.0,18,1.62,22.0,14.0,8.0,0.64,0.68,19.0,15.0,4.0,0.32,0.48,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,100.0
