player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Antonio Candreva,it ITA,"MF,FW",34.0,34.7,7.0,72.0,19.0,26.4,2.08,0.55,0.08,0.32,21.9,4.0,1.0,2.0,5.8,4.2,0.06,1.2,1.8,1296.0,1948.0,66.5,23792.0,8485.0,617.0,730.0,84.5,397.0,600.0,66.2,221.0,444.0,49.8,10.0,7.2,8.3,2.8,78.0,138.0,76.0,31.0,201.0,1948.0,1679.0,254.0,78.0,11.0,51.0,343.0,62.0,114.0,22.0,67.0,0.0,1296.0,15.0,60.0,139.0,4.01,84.0,36.0,7.0,7.0,5.0,0.0,16.0,0.46,10.0,4.0,0.0,1.0,1.0,0.0,27.0,16.0,9.0,11.0,7.0,19.0,55.0,34.5,36.0,23.0,2.0,21.0,33.0,60.0,19.0,0.0,2263.0,43.0,328.0,1007.0,955.0,80.0,2261.0,51.0,21.0,41.2,30.0,58.8,1424.0,7478.0,3352.0,105.0,97.0,23.0,58.0,35.0,1627.0,223.0,36,3119.0,87.0,91.2,34.7,36,87.0,24,0,,0,1.0,44.0,56.0,-12.0,-0.35,1.15,34.2,48.2,-14.0,-0.4,1.19,6.0,1.0,0.0,19.0,48.0,14.0,343.0,33.0,16.0,0.0,0.0,0.0,193.0,2.0,7.0,22.2
Bartosz Bereszyński,pl POL,DF,29.0,32.7,0.0,6.0,0.0,0.0,0.18,0.0,0.0,,14.6,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,1251.0,1606.0,77.9,18173.0,7708.0,710.0,808.0,87.9,390.0,506.0,77.1,78.0,159.0,49.1,3.0,1.8,1.7,1.2,20.0,77.0,28.0,12.0,105.0,1606.0,1322.0,279.0,45.0,0.0,7.0,60.0,233.0,1.0,0.0,0.0,0.0,1251.0,5.0,43.0,54.0,1.65,39.0,7.0,4.0,2.0,2.0,0.0,7.0,0.21,4.0,2.0,1.0,0.0,0.0,0.0,64.0,38.0,34.0,25.0,5.0,37.0,80.0,46.3,43.0,38.0,12.0,26.0,42.0,106.0,73.0,1.0,1939.0,113.0,684.0,846.0,426.0,31.0,1939.0,47.0,27.0,57.4,20.0,42.6,1011.0,4722.0,2256.0,52.0,32.0,5.0,38.0,17.0,1076.0,108.0,35,2946.0,84.0,86.1,32.7,35,84.0,25,0,,0,1.03,43.0,51.0,-8.0,-0.24,1.46,31.2,48.1,-16.9,-0.52,-0.05,12.0,0.0,0.0,34.0,37.0,0.0,60.0,42.0,38.0,0.0,0.0,0.0,191.0,45.0,20.0,69.2
Morten Thorsby,no NOR,MF,25.0,32.7,3.0,26.0,7.0,26.9,0.8,0.21,0.12,0.43,13.3,0.0,0.0,0.0,3.2,3.2,0.12,-0.2,-0.2,705.0,992.0,71.1,9172.0,2953.0,435.0,557.0,78.1,200.0,284.0,70.4,17.0,39.0,43.6,1.0,1.1,1.6,-0.1,15.0,70.0,9.0,0.0,88.0,992.0,976.0,15.0,12.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,705.0,1.0,21.0,42.0,1.28,37.0,0.0,1.0,2.0,2.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,15.0,23.0,8.0,28.0,56.0,50.0,28.0,37.0,12.0,25.0,25.0,71.0,39.0,0.0,1343.0,74.0,286.0,762.0,305.0,68.0,1343.0,25.0,13.0,52.0,12.0,48.0,572.0,2106.0,902.0,18.0,13.0,1.0,64.0,22.0,806.0,51.0,35,2943.0,84.0,86.1,32.7,35,84.0,25,0,,0,0.91,41.0,58.0,-17.0,-0.52,-0.52,31.0,49.1,-18.1,-0.55,-0.31,10.0,0.0,0.0,81.0,37.0,0.0,0.0,25.0,26.0,0.0,0.0,0.0,151.0,166.0,135.0,55.1
Francesco Caputo,it ITA,FW,33.0,31.0,11.0,53.0,28.0,52.8,1.71,0.9,0.21,0.39,13.1,0.0,0.0,1.0,10.3,9.3,0.18,0.7,1.7,442.0,587.0,75.3,5859.0,766.0,264.0,338.0,78.1,131.0,162.0,80.9,16.0,27.0,59.3,3.0,3.2,2.5,-0.2,39.0,20.0,15.0,2.0,32.0,587.0,536.0,51.0,1.0,0.0,7.0,12.0,0.0,1.0,1.0,0.0,0.0,442.0,0.0,13.0,74.0,2.39,60.0,0.0,2.0,3.0,8.0,1.0,8.0,0.26,4.0,0.0,0.0,1.0,3.0,0.0,5.0,2.0,1.0,3.0,1.0,1.0,6.0,16.7,5.0,5.0,0.0,5.0,2.0,7.0,10.0,0.0,790.0,11.0,53.0,363.0,378.0,140.0,789.0,27.0,13.0,48.1,14.0,51.9,454.0,1965.0,715.0,30.0,16.0,23.0,57.0,16.0,623.0,196.0,36,2790.0,78.0,81.6,31.0,31,85.0,19,5,33.0,0,0.97,41.0,53.0,-12.0,-0.39,0.33,30.7,46.5,-15.9,-0.51,-0.01,0.0,0.0,0.0,23.0,38.0,36.0,12.0,2.0,2.0,3.0,0.0,0.0,61.0,24.0,33.0,42.1
Omar Colley,gm GAM,DF,28.0,30.5,0.0,11.0,1.0,9.1,0.36,0.03,0.0,0.0,10.4,0.0,0.0,0.0,1.2,1.2,0.11,-1.2,-1.2,1211.0,1448.0,83.6,23118.0,7682.0,393.0,432.0,91.0,684.0,761.0,89.9,110.0,207.0,53.1,0.0,0.0,0.2,0.0,0.0,63.0,2.0,0.0,83.0,1448.0,1351.0,95.0,59.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,1211.0,2.0,5.0,10.0,0.33,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,47.0,36.0,32.0,14.0,1.0,22.0,32.0,68.8,10.0,31.0,19.0,12.0,80.0,127.0,135.0,2.0,1791.0,300.0,1046.0,711.0,46.0,19.0,1791.0,3.0,3.0,100.0,0.0,0.0,986.0,4578.0,2476.0,12.0,11.0,0.0,11.0,1.0,1001.0,4.0,32,2745.0,86.0,80.3,30.5,31,88.0,26,1,10.0,0,1.13,42.0,47.0,-5.0,-0.16,1.44,30.6,42.5,-12.0,-0.39,0.59,6.0,1.0,0.0,25.0,31.0,1.0,1.0,80.0,36.0,0.0,1.0,0.0,182.0,56.0,38.0,59.6
Emil Audero,it ITA,GK,24.0,28.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,706.0,1005.0,70.2,22466.0,16952.0,105.0,105.0,100.0,288.0,297.0,97.0,311.0,593.0,52.4,0.0,0.5,0.1,-0.5,2.0,20.0,1.0,0.0,0.0,1005.0,698.0,300.0,88.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,7.0,0.0,5.0,0.18,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,5.0,60.0,2.0,0.0,0.0,0.0,2.0,5.0,17.0,2.0,1076.0,953.0,1074.0,2.0,0.0,0.0,1076.0,0.0,0.0,,0.0,,593.0,2866.0,1726.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,29,2560.0,88.0,74.9,28.4,29,88.0,27,0,,7,1.0,36.0,48.0,-12.0,-0.42,0.1,27.3,43.1,-15.9,-0.56,-0.19,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,31.0,7.0,0.0,100.0
Tommaso Augello,it ITA,DF,26.0,26.6,1.0,7.0,2.0,28.6,0.26,0.08,0.14,0.5,18.3,0.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,1050.0,1368.0,76.8,18085.0,7464.0,472.0,539.0,87.6,478.0,593.0,80.6,78.0,157.0,49.7,1.0,1.9,2.3,-0.9,17.0,60.0,33.0,15.0,90.0,1368.0,1094.0,271.0,34.0,1.0,3.0,74.0,233.0,4.0,0.0,0.0,0.0,1050.0,3.0,48.0,49.0,1.84,34.0,4.0,5.0,1.0,3.0,2.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,22.0,8.0,6.0,17.0,29.0,58.6,12.0,19.0,4.0,15.0,29.0,65.0,68.0,1.0,1614.0,96.0,616.0,633.0,384.0,14.0,1614.0,44.0,23.0,52.3,21.0,47.7,867.0,4352.0,2402.0,60.0,30.0,2.0,29.0,13.0,898.0,100.0,36,2395.0,67.0,70.0,26.6,25,85.0,15,11,25.0,0,1.0,30.0,37.0,-7.0,-0.26,0.62,25.7,36.1,-10.5,-0.39,0.39,0.0,0.0,0.0,12.0,21.0,1.0,74.0,29.0,20.0,0.0,0.0,0.0,172.0,33.0,19.0,63.5
Alex Ferrari,it ITA,DF,27.0,18.3,1.0,4.0,1.0,25.0,0.22,0.05,0.25,1.0,18.5,0.0,0.0,0.0,0.6,0.6,0.14,0.4,0.4,683.0,823.0,83.0,13341.0,4623.0,197.0,229.0,86.0,418.0,456.0,91.7,59.0,108.0,54.6,0.0,0.0,0.1,0.0,2.0,37.0,3.0,1.0,39.0,823.0,749.0,72.0,47.0,1.0,2.0,7.0,23.0,0.0,0.0,0.0,0.0,683.0,2.0,13.0,10.0,0.55,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,40.0,22.0,28.0,9.0,3.0,19.0,33.0,57.6,14.0,31.0,22.0,9.0,39.0,79.0,63.0,1.0,1032.0,142.0,571.0,431.0,36.0,4.0,1032.0,14.0,4.0,28.6,10.0,71.4,544.0,2389.0,1147.0,7.0,7.0,1.0,10.0,3.0,581.0,5.0,23,1643.0,71.0,48.0,18.3,20,78.0,8,3,26.0,15,1.13,21.0,26.0,-5.0,-0.27,0.33,16.6,25.6,-8.9,-0.49,0.04,4.0,0.0,0.0,29.0,24.0,0.0,7.0,39.0,22.0,0.0,1.0,0.0,109.0,23.0,21.0,52.3
Maya Yoshida,jp JPN,DF,32.0,20.3,2.0,9.0,4.0,44.4,0.44,0.2,0.22,0.5,8.7,0.0,0.0,0.0,1.0,1.0,0.11,1.0,1.0,814.0,966.0,84.3,16926.0,6407.0,231.0,265.0,87.2,466.0,504.0,92.5,110.0,173.0,63.6,3.0,1.9,1.4,1.1,7.0,43.0,5.0,1.0,57.0,966.0,933.0,29.0,25.0,2.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,814.0,4.0,5.0,16.0,0.79,15.0,1.0,0.0,0.0,0.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,8.0,9.0,0.0,8.0,15.0,53.3,7.0,27.0,20.0,7.0,28.0,45.0,72.0,1.0,1139.0,179.0,630.0,471.0,39.0,15.0,1139.0,2.0,2.0,100.0,0.0,0.0,601.0,2440.0,1161.0,7.0,3.0,0.0,9.0,4.0,672.0,5.0,26,1823.0,70.0,53.3,20.3,19,86.0,16,7,27.0,5,0.81,27.0,42.0,-15.0,-0.74,-0.63,21.9,33.6,-11.7,-0.58,-0.15,2.0,0.0,0.0,20.0,9.0,0.0,4.0,28.0,10.0,0.0,0.0,1.0,119.0,39.0,23.0,62.9
Fabio Quagliarella,it ITA,FW,38.0,18.5,4.0,57.0,11.0,19.3,3.08,0.59,0.05,0.27,19.5,1.0,1.0,1.0,4.3,3.5,0.06,-0.3,-0.5,320.0,466.0,68.7,5214.0,1113.0,173.0,220.0,78.6,91.0,128.0,71.1,39.0,66.0,59.1,2.0,1.6,2.0,0.4,19.0,28.0,18.0,7.0,39.0,466.0,426.0,36.0,0.0,3.0,16.0,21.0,1.0,0.0,0.0,0.0,0.0,320.0,4.0,15.0,49.0,2.65,35.0,0.0,5.0,6.0,2.0,1.0,8.0,0.43,7.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,15.0,13.3,13.0,14.0,1.0,13.0,3.0,9.0,12.0,0.0,655.0,14.0,49.0,291.0,321.0,74.0,654.0,23.0,11.0,47.8,12.0,52.2,383.0,1517.0,575.0,17.0,12.0,2.0,49.0,26.0,490.0,140.0,33,1664.0,50.0,48.7,18.5,19,73.0,7,14,19.0,3,0.91,22.0,34.0,-12.0,-0.65,-0.39,15.9,28.4,-12.5,-0.68,-0.33,2.0,0.0,0.0,20.0,28.0,15.0,21.0,3.0,2.0,0.0,0.0,0.0,51.0,18.0,36.0,33.3
Albin Ekdal,se SWE,MF,32.0,18.2,1.0,14.0,2.0,14.3,0.77,0.11,0.07,0.5,15.2,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,589.0,747.0,78.8,9577.0,2870.0,298.0,358.0,83.2,225.0,268.0,84.0,50.0,77.0,64.9,0.0,0.3,0.4,-0.3,7.0,48.0,5.0,0.0,62.0,747.0,692.0,53.0,51.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,589.0,2.0,14.0,19.0,1.05,14.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,17.0,21.0,5.0,26.0,56.0,46.4,30.0,27.0,7.0,20.0,29.0,72.0,25.0,0.0,941.0,51.0,279.0,547.0,126.0,24.0,941.0,23.0,15.0,65.2,8.0,34.8,455.0,2192.0,914.0,10.0,11.0,1.0,13.0,11.0,511.0,20.0,26,1637.0,63.0,47.9,18.2,19,77.0,7,7,25.0,5,1.0,20.0,27.0,-7.0,-0.38,0.12,14.8,25.0,-10.2,-0.56,-0.1,11.0,1.0,1.0,31.0,39.0,0.0,2.0,29.0,28.0,0.0,0.0,0.0,144.0,24.0,17.0,58.5
Manolo Gabbiadini,it ITA,"FW,MF",29.0,12.7,6.0,44.0,20.0,45.5,3.47,1.58,0.14,0.3,19.3,3.0,0.0,0.0,3.9,3.9,0.09,2.1,2.1,213.0,338.0,63.0,2869.0,943.0,129.0,167.0,77.2,58.0,93.0,62.4,11.0,38.0,28.9,2.0,2.0,1.4,0.0,17.0,20.0,11.0,4.0,29.0,338.0,313.0,23.0,4.0,3.0,1.0,24.0,3.0,11.0,3.0,4.0,0.0,213.0,2.0,13.0,37.0,2.92,23.0,4.0,0.0,8.0,2.0,0.0,4.0,0.32,2.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,3.0,2.0,1.0,1.0,7.0,14.3,6.0,5.0,2.0,3.0,3.0,9.0,10.0,0.0,465.0,14.0,53.0,220.0,193.0,32.0,465.0,10.0,4.0,40.0,6.0,60.0,270.0,1111.0,458.0,13.0,9.0,3.0,29.0,16.0,342.0,57.0,18,1140.0,63.0,33.3,12.7,15,73.0,5,3,16.0,0,0.94,15.0,19.0,-4.0,-0.32,0.2,12.0,15.7,-3.7,-0.29,0.33,3.0,0.0,0.0,12.0,16.0,6.0,24.0,3.0,4.0,0.0,0.0,0.0,37.0,16.0,32.0,33.3
Tomás Rincón,ve VEN,MF,33.0,13.0,0.0,2.0,1.0,50.0,0.15,0.08,0.0,0.0,8.9,0.0,0.0,0.0,0.3,0.3,0.14,-0.3,-0.3,480.0,576.0,83.3,8381.0,2611.0,224.0,252.0,88.9,192.0,222.0,86.5,56.0,77.0,72.7,0.0,0.1,0.3,-0.1,4.0,50.0,6.0,0.0,46.0,576.0,563.0,11.0,9.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,480.0,2.0,10.0,13.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,9.0,10.0,3.0,13.0,34.0,38.2,21.0,15.0,2.0,13.0,18.0,40.0,11.0,0.0,681.0,24.0,179.0,418.0,94.0,6.0,681.0,19.0,16.0,84.2,3.0,15.8,399.0,1755.0,861.0,12.0,10.0,2.0,11.0,13.0,481.0,19.0,17,1166.0,69.0,34.1,13.0,13,80.0,5,4,33.0,0,0.76,11.0,20.0,-9.0,-0.69,-0.38,12.5,18.6,-6.1,-0.47,0.06,3.0,0.0,0.0,22.0,31.0,0.0,5.0,18.0,13.0,0.0,0.0,0.0,75.0,14.0,11.0,56.0
Nicola Murru,it ITA,DF,26.0,10.9,1.0,3.0,1.0,33.3,0.27,0.09,0.33,1.0,16.4,0.0,0.0,0.0,0.1,0.1,0.03,0.9,0.9,303.0,460.0,65.9,5333.0,2276.0,141.0,167.0,84.4,120.0,165.0,72.7,34.0,96.0,35.4,0.0,0.4,0.8,-0.4,6.0,29.0,10.0,5.0,32.0,460.0,371.0,84.0,7.0,1.0,1.0,23.0,77.0,0.0,0.0,0.0,0.0,303.0,5.0,8.0,13.0,1.19,9.0,3.0,0.0,0.0,0.0,1.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,10.0,11.0,1.0,8.0,13.0,61.5,5.0,17.0,3.0,14.0,7.0,29.0,20.0,1.0,576.0,38.0,208.0,258.0,116.0,12.0,576.0,9.0,4.0,44.4,5.0,55.6,282.0,1335.0,807.0,20.0,11.0,0.0,15.0,10.0,311.0,30.0,22,983.0,45.0,28.7,10.9,13,66.0,1,9,14.0,15,0.64,15.0,24.0,-9.0,-0.82,-0.53,10.6,19.0,-8.4,-0.77,-0.37,5.0,0.0,0.0,22.0,6.0,2.0,23.0,7.0,17.0,0.0,1.0,0.0,56.0,11.0,7.0,61.1
Adrien Silva,pt POR,MF,32.0,12.0,0.0,8.0,2.0,25.0,0.66,0.17,0.0,0.0,25.9,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,512.0,603.0,84.9,9444.0,2428.0,204.0,235.0,86.8,232.0,263.0,88.2,59.0,73.0,80.8,1.0,0.4,0.4,0.6,8.0,40.0,6.0,3.0,57.0,603.0,577.0,24.0,22.0,0.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,512.0,2.0,10.0,23.0,1.91,20.0,1.0,0.0,2.0,0.0,0.0,3.0,0.25,2.0,0.0,0.0,1.0,0.0,0.0,24.0,12.0,14.0,5.0,5.0,9.0,33.0,27.3,24.0,15.0,5.0,10.0,23.0,47.0,23.0,0.0,750.0,40.0,197.0,461.0,99.0,6.0,750.0,13.0,10.0,76.9,3.0,23.1,418.0,1762.0,898.0,14.0,8.0,1.0,22.0,11.0,442.0,14.0,17,1083.0,64.0,31.7,12.0,12,81.0,6,5,23.0,0,1.0,21.0,21.0,0.0,0.0,0.65,14.8,15.8,-1.0,-0.09,0.62,3.0,1.0,0.0,13.0,17.0,0.0,6.0,23.0,12.0,0.0,0.0,0.0,97.0,11.0,11.0,50.0
Stefano Sensi,it ITA,"MF,FW",25.0,8.4,1.0,10.0,4.0,40.0,1.19,0.48,0.1,0.25,22.1,0.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,319.0,392.0,81.4,5388.0,1162.0,147.0,163.0,90.2,133.0,152.0,87.5,30.0,44.0,68.2,0.0,0.8,0.5,-0.8,9.0,24.0,3.0,0.0,34.0,392.0,375.0,15.0,9.0,1.0,3.0,6.0,2.0,1.0,0.0,1.0,0.0,319.0,2.0,9.0,15.0,1.79,12.0,0.0,0.0,2.0,0.0,1.0,2.0,0.24,1.0,0.0,0.0,1.0,0.0,0.0,18.0,9.0,10.0,6.0,2.0,10.0,23.0,43.5,13.0,2.0,0.0,2.0,6.0,24.0,4.0,0.0,488.0,10.0,78.0,258.0,160.0,15.0,488.0,25.0,13.0,52.0,12.0,48.0,305.0,1737.0,634.0,16.0,19.0,1.0,17.0,16.0,352.0,24.0,11,754.0,69.0,22.0,8.4,10,73.0,4,1,27.0,1,0.91,9.0,13.0,-4.0,-0.48,-0.04,8.0,11.7,-3.8,-0.45,0.08,1.0,0.0,0.0,18.0,24.0,0.0,6.0,6.0,9.0,0.0,0.0,0.0,48.0,8.0,4.0,66.7
Abdelhamid Sabiri,ma MAR,"MF,FW",24.0,9.9,3.0,16.0,9.0,56.3,1.61,0.91,0.19,0.33,23.6,3.0,0.0,0.0,1.4,1.4,0.09,1.6,1.6,259.0,346.0,74.9,4452.0,1155.0,123.0,145.0,84.8,98.0,121.0,81.0,28.0,44.0,63.6,2.0,1.6,0.7,0.4,13.0,28.0,5.0,1.0,35.0,346.0,313.0,29.0,15.0,0.0,4.0,15.0,5.0,6.0,4.0,0.0,0.0,259.0,4.0,13.0,28.0,2.82,18.0,2.0,4.0,0.0,2.0,2.0,5.0,0.5,2.0,0.0,1.0,0.0,1.0,1.0,34.0,18.0,10.0,15.0,9.0,7.0,25.0,28.0,18.0,10.0,2.0,8.0,7.0,41.0,3.0,0.0,481.0,5.0,52.0,256.0,181.0,24.0,481.0,30.0,17.0,56.7,13.0,43.3,275.0,1246.0,525.0,13.0,14.0,4.0,32.0,18.0,347.0,36.0,14,893.0,64.0,26.1,9.9,9,85.0,6,5,26.0,1,0.93,11.0,13.0,-2.0,-0.2,0.33,10.3,15.8,-5.5,-0.55,-0.05,3.0,0.0,0.0,21.0,34.0,1.0,15.0,7.0,18.0,0.0,0.0,0.0,39.0,26.0,26.0,50.0
