player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Sergej Milinković-Savić,rs SRB,MF,26.0,34.4,11.0,75.0,31.0,41.3,2.18,0.9,0.15,0.35,17.5,7.0,0.0,0.0,7.3,7.3,0.1,3.7,3.7,1893.0,2367.0,80.0,29489.0,7484.0,1004.0,1170.0,85.8,652.0,768.0,84.9,145.0,233.0,62.2,10.0,6.1,4.1,3.9,52.0,168.0,48.0,10.0,215.0,2367.0,2318.0,40.0,28.0,12.0,15.0,45.0,12.0,0.0,0.0,0.0,0.0,1893.0,9.0,45.0,120.0,3.48,95.0,0.0,6.0,11.0,6.0,2.0,16.0,0.46,14.0,0.0,0.0,1.0,0.0,1.0,67.0,44.0,20.0,32.0,15.0,29.0,67.0,43.3,38.0,50.0,9.0,41.0,34.0,101.0,43.0,1.0,2838.0,83.0,448.0,1602.0,818.0,117.0,2838.0,77.0,45.0,58.4,32.0,41.6,1625.0,7062.0,2939.0,67.0,59.0,11.0,99.0,48.0,2306.0,191.0,37,3100.0,84.0,90.6,34.4,36,85.0,26,1,45.0,0,1.73,75.0,52.0,23.0,0.67,1.79,54.0,44.2,9.8,0.28,0.89,6.0,1.0,1.0,56.0,45.0,4.0,45.0,34.0,44.0,0.0,0.0,0.0,200.0,100.0,69.0,59.2
Felipe Anderson,br BRA,FW,28.0,32.1,6.0,44.0,16.0,36.4,1.37,0.5,0.14,0.38,16.4,0.0,0.0,0.0,6.2,6.2,0.14,-0.2,-0.2,1118.0,1436.0,77.9,16074.0,3918.0,652.0,765.0,85.2,341.0,420.0,81.2,60.0,106.0,56.6,8.0,6.5,5.2,1.5,50.0,60.0,61.0,13.0,123.0,1436.0,1342.0,90.0,6.0,5.0,6.0,86.0,32.0,13.0,8.0,3.0,0.0,1118.0,4.0,36.0,115.0,3.59,87.0,3.0,10.0,5.0,9.0,1.0,19.0,0.59,13.0,0.0,4.0,2.0,0.0,0.0,71.0,45.0,30.0,33.0,8.0,27.0,99.0,27.3,72.0,65.0,6.0,59.0,20.0,91.0,16.0,0.0,1869.0,31.0,204.0,846.0,850.0,130.0,1869.0,108.0,58.0,53.7,50.0,46.3,1091.0,7188.0,4004.0,142.0,101.0,48.0,88.0,38.0,1335.0,264.0,38,2888.0,76.0,84.4,32.1,33,82.0,16,5,36.0,0,1.68,61.0,50.0,11.0,0.34,-1.01,47.6,39.9,7.7,0.24,0.24,2.0,0.0,0.0,43.0,37.0,7.0,86.0,20.0,45.0,0.0,0.0,0.0,150.0,11.0,20.0,35.5
Ciro Immobile,it ITA,FW,31.0,30.1,27.0,109.0,50.0,45.9,3.62,1.66,0.18,0.4,15.4,0.0,7.0,9.0,21.5,14.3,0.13,5.5,5.7,681.0,884.0,77.0,8729.0,1240.0,425.0,499.0,85.2,158.0,210.0,75.2,35.0,48.0,72.9,2.0,2.8,2.5,-0.8,27.0,30.0,22.0,2.0,54.0,884.0,854.0,28.0,0.0,3.0,3.0,13.0,5.0,1.0,0.0,0.0,0.0,681.0,2.0,29.0,72.0,2.39,53.0,0.0,6.0,11.0,2.0,0.0,15.0,0.5,9.0,0.0,2.0,4.0,0.0,0.0,10.0,5.0,4.0,4.0,2.0,1.0,15.0,6.7,14.0,7.0,1.0,6.0,3.0,13.0,16.0,0.0,1199.0,20.0,91.0,496.0,622.0,190.0,1190.0,40.0,19.0,47.5,20.0,50.0,725.0,3351.0,1497.0,52.0,31.0,31.0,77.0,44.0,995.0,204.0,31,2711.0,87.0,79.3,30.1,31,87.0,25,0,,0,1.77,64.0,43.0,21.0,0.7,0.95,45.8,37.2,8.5,0.28,0.4,4.0,0.0,0.0,36.0,39.0,13.0,13.0,3.0,5.0,1.0,1.0,0.0,55.0,22.0,46.0,32.4
Adam Marušić,me MNE,DF,28.0,30.2,1.0,8.0,3.0,37.5,0.26,0.1,0.13,0.33,25.5,0.0,0.0,0.0,0.2,0.2,0.02,0.8,0.8,1650.0,1887.0,87.4,23922.0,8268.0,937.0,1003.0,93.4,555.0,646.0,85.9,78.0,124.0,62.9,0.0,0.5,0.5,-0.5,8.0,116.0,10.0,3.0,111.0,1887.0,1645.0,239.0,33.0,0.0,4.0,29.0,206.0,0.0,0.0,0.0,0.0,1650.0,3.0,17.0,27.0,0.89,23.0,2.0,1.0,0.0,1.0,0.0,4.0,0.13,3.0,0.0,1.0,0.0,0.0,0.0,30.0,18.0,16.0,12.0,2.0,13.0,32.0,40.6,19.0,19.0,8.0,11.0,41.0,71.0,71.0,0.0,2120.0,116.0,737.0,1064.0,333.0,15.0,2120.0,25.0,14.0,56.0,11.0,44.0,1173.0,4684.0,2290.0,52.0,27.0,6.0,19.0,16.0,1385.0,73.0,33,2721.0,82.0,79.6,30.2,30,87.0,26,3,37.0,2,1.73,63.0,41.0,22.0,0.73,1.11,46.5,35.6,10.9,0.36,0.78,6.0,1.0,1.0,26.0,13.0,0.0,29.0,41.0,18.0,0.0,0.0,0.0,155.0,33.0,22.0,60.0
Francesco Acerbi,it ITA,DF,33.0,28.2,4.0,15.0,7.0,46.7,0.53,0.25,0.27,0.57,10.8,0.0,0.0,0.0,2.4,2.4,0.16,1.6,1.6,1837.0,2043.0,89.9,34996.0,12273.0,678.0,731.0,92.7,919.0,968.0,94.9,211.0,296.0,71.3,0.0,0.5,0.8,-0.5,5.0,119.0,6.0,0.0,119.0,2043.0,1955.0,87.0,77.0,1.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,1837.0,1.0,6.0,17.0,0.61,13.0,1.0,0.0,1.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,25.0,12.0,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34.0,59.0,92.0,0.0,2295.0,268.0,1102.0,1143.0,59.0,22.0,2295.0,6.0,4.0,66.7,2.0,33.3,1364.0,6893.0,4301.0,31.0,19.0,0.0,13.0,4.0,1641.0,10.0,30,2536.0,85.0,74.2,28.2,29,87.0,27,1,7.0,0,1.67,59.0,48.0,11.0,0.39,-0.42,38.1,35.9,2.1,0.08,-0.48,2.0,1.0,0.0,18.0,16.0,4.0,3.0,34.0,12.0,1.0,0.0,0.0,162.0,69.0,43.0,61.6
Luiz Felipe,it ITA,DF,24.0,27.7,0.0,5.0,1.0,20.0,0.18,0.04,0.0,0.0,13.6,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,1668.0,1825.0,91.4,29597.0,11624.0,649.0,696.0,93.2,821.0,868.0,94.6,135.0,175.0,77.1,0.0,0.2,0.5,-0.2,3.0,92.0,4.0,1.0,78.0,1825.0,1757.0,65.0,51.0,1.0,11.0,2.0,11.0,0.0,0.0,0.0,0.0,1668.0,3.0,10.0,14.0,0.51,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,41.0,23.0,21.0,16.0,4.0,20.0,34.0,58.8,14.0,40.0,33.0,7.0,33.0,74.0,102.0,1.0,2079.0,282.0,1046.0,997.0,44.0,10.0,2079.0,6.0,6.0,100.0,0.0,0.0,1215.0,6510.0,3496.0,12.0,9.0,0.0,9.0,6.0,1499.0,1.0,31,2491.0,80.0,72.8,27.7,28,87.0,22,3,21.0,3,1.61,51.0,39.0,12.0,0.43,-0.24,38.2,33.2,5.0,0.18,-0.07,9.0,1.0,0.0,28.0,16.0,0.0,2.0,33.0,23.0,1.0,0.0,0.0,133.0,43.0,42.0,50.6
Luis Alberto,es ESP,MF,28.0,26.1,5.0,47.0,16.0,34.0,1.8,0.61,0.11,0.31,21.0,2.0,0.0,0.0,3.3,3.3,0.07,1.7,1.7,1626.0,1970.0,82.5,25002.0,8252.0,896.0,986.0,90.9,553.0,631.0,87.6,115.0,235.0,48.9,9.0,7.8,6.7,1.2,65.0,235.0,44.0,5.0,223.0,1970.0,1751.0,211.0,82.0,18.0,9.0,143.0,12.0,104.0,47.0,40.0,0.0,1626.0,8.0,29.0,120.0,4.59,83.0,26.0,3.0,3.0,5.0,0.0,16.0,0.61,6.0,7.0,1.0,2.0,0.0,0.0,29.0,17.0,8.0,11.0,10.0,8.0,52.0,15.4,44.0,32.0,4.0,28.0,13.0,42.0,7.0,0.0,2177.0,16.0,259.0,1216.0,728.0,30.0,2177.0,44.0,27.0,61.4,17.0,38.6,1343.0,6796.0,3999.0,84.0,89.0,7.0,29.0,23.0,1682.0,89.0,34,2353.0,69.0,68.8,26.1,27,80.0,11,7,29.0,1,1.74,51.0,35.0,16.0,0.61,0.36,37.3,29.0,8.2,0.32,0.37,5.0,0.0,0.0,13.0,26.0,1.0,143.0,13.0,17.0,0.0,0.0,0.0,136.0,6.0,12.0,33.3
Pedro,es ESP,FW,34.0,22.6,9.0,36.0,20.0,55.6,1.59,0.89,0.25,0.45,17.1,0.0,0.0,0.0,4.7,4.7,0.13,4.3,4.3,785.0,936.0,83.9,11242.0,2582.0,469.0,523.0,89.7,219.0,262.0,83.6,51.0,78.0,65.4,4.0,3.3,2.8,0.7,29.0,53.0,31.0,3.0,102.0,936.0,907.0,27.0,3.0,3.0,9.0,31.0,13.0,1.0,0.0,0.0,0.0,785.0,2.0,14.0,64.0,2.83,54.0,0.0,4.0,3.0,2.0,1.0,9.0,0.4,8.0,0.0,1.0,0.0,0.0,0.0,36.0,23.0,8.0,19.0,9.0,16.0,47.0,34.0,31.0,18.0,2.0,16.0,6.0,42.0,8.0,0.0,1166.0,13.0,149.0,583.0,457.0,67.0,1166.0,57.0,31.0,54.4,26.0,45.6,803.0,5187.0,2704.0,84.0,50.0,16.0,55.0,26.0,939.0,147.0,32,2033.0,64.0,59.4,22.6,25,73.0,10,7,31.0,0,1.66,47.0,39.0,8.0,0.35,-0.36,31.2,33.2,-1.9,-0.09,-0.71,5.0,0.0,0.0,31.0,39.0,6.0,31.0,6.0,23.0,1.0,0.0,0.0,117.0,3.0,12.0,20.0
Elseid Hysaj,al ALB,DF,27.0,22.5,1.0,4.0,2.0,50.0,0.18,0.09,0.25,0.5,23.6,0.0,0.0,0.0,0.8,0.8,0.19,0.2,0.2,1216.0,1412.0,86.1,17867.0,5977.0,713.0,762.0,93.6,407.0,466.0,87.3,59.0,106.0,55.7,0.0,0.7,1.6,-0.7,12.0,83.0,17.0,7.0,96.0,1412.0,1254.0,157.0,14.0,2.0,8.0,26.0,143.0,0.0,0.0,0.0,0.0,1216.0,1.0,27.0,39.0,1.73,36.0,1.0,2.0,0.0,0.0,0.0,7.0,0.31,6.0,0.0,1.0,0.0,0.0,0.0,46.0,30.0,25.0,17.0,4.0,29.0,45.0,64.4,16.0,18.0,6.0,12.0,24.0,70.0,34.0,1.0,1599.0,59.0,472.0,861.0,286.0,17.0,1599.0,33.0,16.0,48.5,17.0,51.5,927.0,3662.0,1719.0,26.0,22.0,4.0,14.0,9.0,1087.0,69.0,29,2027.0,70.0,59.3,22.5,24,81.0,15,5,15.0,7,1.48,42.0,40.0,2.0,0.09,-1.01,29.8,32.9,-3.0,-0.13,-0.82,3.0,0.0,0.0,16.0,18.0,2.0,26.0,24.0,30.0,0.0,1.0,0.0,124.0,17.0,24.0,41.5
Thomas Strakosha,al ALB,GK,26.0,23.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,614.0,737.0,83.3,14988.0,10519.0,178.0,181.0,98.3,221.0,233.0,94.8,200.0,307.0,65.1,0.0,0.0,0.1,0.0,1.0,5.0,1.0,0.0,1.0,737.0,583.0,154.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,1.0,3.0,0.13,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,779.0,690.0,776.0,3.0,0.0,0.0,779.0,0.0,0.0,,0.0,,469.0,2160.0,1239.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,23,2070.0,90.0,60.5,23.0,23,90.0,23,0,,15,1.83,48.0,29.0,19.0,0.83,0.83,36.0,26.7,9.3,0.4,0.52,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,6.0,0.0,100.0
Mattia Zaccagni,it ITA,FW,26.0,20.8,4.0,33.0,10.0,30.3,1.58,0.48,0.12,0.4,15.3,0.0,0.0,0.0,3.2,3.2,0.1,0.8,0.8,592.0,740.0,80.0,8031.0,1714.0,373.0,426.0,87.6,161.0,201.0,80.1,22.0,46.0,47.8,5.0,2.9,2.9,2.1,27.0,24.0,21.0,0.0,55.0,740.0,716.0,23.0,4.0,1.0,7.0,41.0,16.0,3.0,0.0,0.0,0.0,592.0,1.0,20.0,62.0,2.97,46.0,1.0,3.0,4.0,7.0,1.0,13.0,0.62,7.0,0.0,1.0,1.0,4.0,0.0,33.0,16.0,10.0,13.0,10.0,11.0,19.0,57.9,8.0,17.0,2.0,15.0,20.0,53.0,5.0,0.0,977.0,12.0,106.0,397.0,484.0,98.0,977.0,87.0,45.0,51.7,41.0,47.1,671.0,5005.0,2571.0,85.0,36.0,36.0,41.0,12.0,781.0,211.0,29,1876.0,65.0,54.9,20.8,21,80.0,11,8,23.0,0,1.72,48.0,24.0,24.0,1.15,1.44,31.9,21.2,10.7,0.51,0.69,6.0,0.0,0.0,29.0,74.0,2.0,41.0,20.0,16.0,1.0,0.0,0.0,86.0,12.0,19.0,38.7
