player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ben Mee,eng ENG,DF,28.0,38.0,0.0,21.0,4.0,19.0,0.55,0.11,0.0,0.0,9.8,0.0,0.0,0.0,1.6,1.6,0.08,-1.6,-1.6,1134.0,1522.0,74.5,24902.0,10516.0,349.0,427.0,81.7,510.0,603.0,84.6,263.0,445.0,59.1,2.0,1.1,1.0,0.9,8.0,109.0,5.0,1.0,99.0,1522.0,1477.0,37.0,29.0,1.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,1134.0,8.0,16.0,27.0,0.71,19.0,0.0,1.0,4.0,2.0,1.0,4.0,0.11,3.0,0.0,0.0,1.0,0.0,0.0,55.0,24.0,38.0,17.0,0.0,35.0,44.0,79.5,9.0,59.0,50.0,9.0,48.0,103.0,235.0,4.0,1986.0,313.0,989.0,932.0,81.0,55.0,1986.0,9.0,8.0,88.9,1.0,11.1,810.0,3705.0,2153.0,9.0,6.0,2.0,16.0,5.0,953.0,9.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.05,45.0,68.0,-23.0,-0.61,,44.4,62.1,-17.7,-0.47,,9.0,0.0,0.0,27.0,18.0,0.0,4.0,48.0,24.0,0.0,1.0,2.0,246.0,148.0,102.0,59.2
Jack Cork,eng ENG,MF,29.0,36.8,1.0,17.0,2.0,11.8,0.46,0.05,0.06,0.5,16.6,0.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,1083.0,1348.0,80.3,17655.0,3998.0,537.0,619.0,86.8,378.0,458.0,82.5,104.0,169.0,61.5,2.0,2.2,1.6,-0.2,18.0,105.0,18.0,3.0,99.0,1348.0,1335.0,9.0,4.0,3.0,20.0,14.0,1.0,1.0,1.0,0.0,0.0,1083.0,4.0,20.0,50.0,1.36,40.0,1.0,1.0,3.0,4.0,1.0,3.0,0.08,2.0,0.0,0.0,1.0,0.0,0.0,51.0,27.0,12.0,34.0,5.0,18.0,46.0,39.1,28.0,39.0,16.0,23.0,29.0,80.0,82.0,2.0,1686.0,96.0,321.0,1110.0,276.0,35.0,1686.0,38.0,28.0,73.7,10.0,26.3,778.0,3551.0,1282.0,21.0,25.0,1.0,45.0,36.0,981.0,56.0,37,3312.0,90.0,96.8,36.8,37,90.0,36.0,0,,0,1.08,43.0,63.0,-20.0,-0.54,1.96,43.2,58.9,-15.7,-0.43,1.23,6.0,0.0,0.0,30.0,38.0,4.0,14.0,29.0,27.0,0.0,0.0,0.0,219.0,51.0,78.0,39.5
Charlie Taylor,eng ENG,DF,24.0,36.0,0.0,6.0,0.0,0.0,0.17,0.0,0.0,,28.0,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1233.0,1722.0,71.6,19582.0,8242.0,701.0,786.0,89.2,385.0,545.0,70.6,110.0,266.0,41.4,1.0,1.5,1.6,-0.5,11.0,73.0,22.0,15.0,97.0,1722.0,1272.0,441.0,17.0,0.0,5.0,119.0,420.0,4.0,4.0,0.0,0.0,1233.0,9.0,62.0,43.0,1.19,27.0,8.0,2.0,0.0,6.0,0.0,7.0,0.19,2.0,3.0,0.0,0.0,2.0,0.0,55.0,26.0,37.0,15.0,3.0,24.0,50.0,48.0,26.0,74.0,35.0,39.0,40.0,95.0,120.0,0.0,2169.0,199.0,727.0,960.0,507.0,8.0,2169.0,76.0,41.0,53.9,35.0,46.1,830.0,6004.0,2715.0,93.0,64.0,4.0,37.0,17.0,1003.0,94.0,38,3243.0,85.0,94.8,36.0,35,90.0,35.0,3,30.0,0,1.05,43.0,64.0,-21.0,-0.58,0.43,42.0,60.3,-18.3,-0.51,-0.82,2.0,0.0,0.0,15.0,48.0,1.0,119.0,40.0,26.0,0.0,0.0,0.0,205.0,70.0,60.0,53.8
James Tarkowski,eng ENG,DF,25.0,34.3,3.0,22.0,9.0,40.9,0.64,0.26,0.14,0.33,7.2,0.0,0.0,0.0,3.3,3.3,0.16,-0.3,-0.3,792.0,1150.0,68.9,17800.0,7579.0,225.0,280.0,80.4,408.0,513.0,79.5,151.0,321.0,47.0,1.0,0.3,0.4,0.7,6.0,87.0,14.0,1.0,105.0,1150.0,1125.0,17.0,14.0,0.0,23.0,5.0,3.0,0.0,0.0,0.0,0.0,792.0,8.0,6.0,27.0,0.79,20.0,0.0,0.0,6.0,1.0,0.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0,71.0,36.0,52.0,18.0,1.0,29.0,50.0,58.0,21.0,72.0,56.0,16.0,42.0,113.0,240.0,2.0,1672.0,306.0,826.0,780.0,76.0,46.0,1672.0,9.0,7.0,77.8,2.0,22.2,565.0,3029.0,1706.0,4.0,4.0,1.0,26.0,10.0,723.0,6.0,35,3086.0,88.0,90.2,34.3,35,88.0,34.0,0,,1,1.11,42.0,63.0,-21.0,-0.61,-0.07,41.3,55.5,-14.2,-0.41,0.53,8.0,0.0,0.0,35.0,31.0,4.0,5.0,42.0,36.0,0.0,0.0,0.0,134.0,164.0,76.0,68.3
Ashley Westwood,eng ENG,MF,28.0,31.4,2.0,22.0,7.0,31.8,0.7,0.22,0.09,0.29,22.2,1.0,0.0,0.0,1.9,1.9,0.09,0.1,0.1,1118.0,1525.0,73.3,20683.0,6536.0,441.0,517.0,85.3,474.0,586.0,80.9,157.0,314.0,50.0,7.0,4.8,4.0,2.2,42.0,127.0,41.0,11.0,175.0,1525.0,1375.0,134.0,39.0,5.0,17.0,87.0,4.0,42.0,35.0,0.0,5.0,1118.0,16.0,23.0,83.0,2.65,58.0,17.0,1.0,3.0,4.0,0.0,12.0,0.38,10.0,1.0,0.0,1.0,0.0,0.0,58.0,30.0,24.0,27.0,7.0,14.0,39.0,35.9,25.0,38.0,9.0,29.0,47.0,105.0,42.0,2.0,1798.0,74.0,302.0,1074.0,435.0,22.0,1797.0,14.0,8.0,57.1,6.0,42.9,718.0,2809.0,1246.0,16.0,18.0,5.0,29.0,17.0,1006.0,40.0,34,2824.0,83.0,82.6,31.4,31,90.0,30.0,3,16.0,3,1.15,44.0,55.0,-11.0,-0.35,1.46,39.0,48.7,-9.7,-0.31,0.9,5.0,0.0,0.0,30.0,22.0,1.0,87.0,47.0,30.0,0.0,0.0,0.0,234.0,19.0,18.0,51.4
Chris Wood,nz NZL,FW,26.0,28.8,10.0,59.0,23.0,39.0,2.05,0.8,0.17,0.43,12.4,0.0,0.0,0.0,8.8,8.8,0.15,1.2,1.2,390.0,613.0,63.6,4203.0,799.0,265.0,379.0,69.9,75.0,122.0,61.5,6.0,19.0,31.6,2.0,3.8,2.7,-1.8,20.0,15.0,7.0,1.0,25.0,613.0,601.0,10.0,1.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,390.0,2.0,16.0,48.0,1.67,33.0,1.0,1.0,9.0,4.0,0.0,7.0,0.24,5.0,0.0,0.0,2.0,0.0,0.0,12.0,8.0,0.0,7.0,5.0,5.0,17.0,29.4,12.0,17.0,4.0,13.0,3.0,15.0,26.0,0.0,900.0,32.0,84.0,379.0,443.0,118.0,900.0,13.0,8.0,61.5,5.0,38.5,426.0,1283.0,400.0,13.0,8.0,10.0,92.0,47.0,705.0,199.0,38,2588.0,68.0,75.7,28.8,29,83.0,13.0,9,22.0,0,1.05,35.0,49.0,-14.0,-0.49,0.49,34.1,42.7,-8.6,-0.3,0.68,2.0,0.0,0.0,26.0,24.0,53.0,12.0,3.0,8.0,0.0,0.0,0.0,89.0,129.0,168.0,43.4
Ashley Barnes,eng ENG,FW,28.0,26.5,12.0,63.0,28.0,44.4,2.37,1.06,0.16,0.36,14.7,0.0,2.0,2.0,13.8,12.2,0.19,-1.8,-2.2,308.0,534.0,57.7,3993.0,942.0,197.0,284.0,69.4,73.0,135.0,54.1,17.0,43.0,39.5,2.0,3.3,2.5,-1.3,22.0,23.0,12.0,1.0,41.0,534.0,513.0,12.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,308.0,9.0,18.0,51.0,1.92,30.0,0.0,0.0,9.0,11.0,1.0,6.0,0.23,2.0,0.0,0.0,3.0,1.0,0.0,28.0,17.0,4.0,17.0,7.0,6.0,29.0,20.7,23.0,29.0,8.0,21.0,2.0,30.0,25.0,0.0,874.0,34.0,86.0,394.0,401.0,106.0,872.0,13.0,7.0,53.8,6.0,46.2,432.0,1603.0,602.0,23.0,15.0,13.0,84.0,39.0,638.0,142.0,37,2388.0,65.0,69.8,26.5,26,85.0,16.0,11,17.0,1,1.0,35.0,41.0,-6.0,-0.23,1.26,34.9,39.2,-4.4,-0.16,1.0,8.0,0.0,0.0,54.0,65.0,22.0,6.0,2.0,17.0,1.0,0.0,1.0,77.0,119.0,223.0,34.8
Jeff Hendrick,ie IRL,"MF,FW",26.0,22.9,3.0,19.0,6.0,31.6,0.83,0.26,0.16,0.5,16.8,1.0,0.0,0.0,1.8,1.8,0.1,1.2,1.2,503.0,690.0,72.9,7475.0,1984.0,279.0,337.0,82.8,172.0,218.0,78.9,31.0,67.0,46.3,0.0,0.8,1.4,-0.8,12.0,33.0,16.0,3.0,63.0,690.0,652.0,35.0,2.0,4.0,2.0,24.0,4.0,2.0,1.0,0.0,0.0,503.0,3.0,30.0,39.0,1.7,30.0,0.0,1.0,5.0,2.0,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,24.0,12.0,13.0,7.0,4.0,9.0,32.0,28.1,23.0,20.0,5.0,15.0,12.0,36.0,31.0,0.0,891.0,40.0,169.0,437.0,292.0,43.0,891.0,28.0,12.0,42.9,16.0,57.1,417.0,2013.0,930.0,18.0,20.0,3.0,31.0,28.0,536.0,78.0,32,2063.0,64.0,60.3,22.9,25,80.0,12.0,7,11.0,6,0.97,24.0,44.0,-20.0,-0.87,-0.67,23.5,37.5,-14.0,-0.61,-0.37,4.0,0.0,0.0,17.0,13.0,9.0,24.0,12.0,12.0,0.0,1.0,0.0,121.0,17.0,29.0,37.0
Jóhann Berg Guðmundsson,is ISL,MF,27.0,19.5,3.0,33.0,9.0,27.3,1.7,0.46,0.09,0.33,20.0,7.0,0.0,0.0,2.8,2.8,0.09,0.2,0.2,397.0,620.0,64.0,6549.0,2207.0,217.0,267.0,81.3,110.0,168.0,65.5,53.0,128.0,41.4,6.0,4.3,3.6,1.7,37.0,24.0,20.0,12.0,39.0,620.0,534.0,81.0,30.0,1.0,7.0,119.0,5.0,46.0,32.0,9.0,1.0,397.0,5.0,21.0,71.0,3.65,40.0,17.0,1.0,8.0,5.0,0.0,9.0,0.46,6.0,1.0,0.0,2.0,0.0,0.0,27.0,11.0,14.0,10.0,3.0,16.0,34.0,47.1,18.0,25.0,4.0,21.0,33.0,60.0,34.0,0.0,868.0,43.0,152.0,294.0,438.0,49.0,868.0,40.0,16.0,40.0,24.0,60.0,454.0,3073.0,1494.0,55.0,37.0,5.0,41.0,28.0,476.0,108.0,29,1752.0,60.0,51.2,19.5,19,82.0,13.0,10,19.0,2,1.0,24.0,39.0,-15.0,-0.77,-0.34,23.8,33.9,-10.1,-0.52,-0.11,2.0,0.0,0.0,10.0,22.0,2.0,119.0,33.0,11.0,0.0,0.0,0.0,117.0,30.0,33.0,47.6
Matthew Lowton,eng ENG,DF,29.0,19.4,0.0,4.0,0.0,0.0,0.21,0.0,0.0,,23.5,0.0,0.0,0.0,0.6,0.6,0.16,-0.6,-0.6,626.0,914.0,68.5,11693.0,5445.0,292.0,337.0,86.6,228.0,335.0,68.1,95.0,198.0,48.0,0.0,0.7,0.7,-0.7,8.0,66.0,20.0,7.0,74.0,914.0,690.0,219.0,6.0,3.0,4.0,58.0,213.0,0.0,0.0,0.0,0.0,626.0,5.0,20.0,22.0,1.13,18.0,2.0,1.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,56.0,35.0,21.0,31.0,4.0,32.0,60.0,53.3,28.0,29.0,7.0,22.0,30.0,86.0,80.0,1.0,1148.0,103.0,349.0,545.0,267.0,6.0,1148.0,21.0,12.0,57.1,9.0,42.9,371.0,1641.0,987.0,18.0,26.0,1.0,6.0,11.0,459.0,38.0,21,1750.0,83.0,51.2,19.4,19,90.0,19.0,2,19.0,14,0.9,23.0,41.0,-18.0,-0.93,-0.66,20.6,34.1,-13.5,-0.69,-0.47,7.0,0.0,0.0,22.0,12.0,0.0,58.0,30.0,35.0,0.0,0.0,0.0,127.0,25.0,13.0,65.8
Joe Hart,eng ENG,GK,31.0,19.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,302.0,622.0,48.6,14383.0,13308.0,14.0,14.0,100.0,64.0,67.0,95.5,224.0,533.0,42.0,0.0,0.1,0.2,-0.1,1.0,24.0,1.0,0.0,2.0,622.0,331.0,284.0,103.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,7.0,0.0,3.0,0.16,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,685.0,549.0,648.0,38.0,0.0,0.0,685.0,0.0,0.0,,0.0,,218.0,2005.0,1597.0,1.0,0.0,0.0,1.0,0.0,185.0,0.0,19,1710.0,90.0,50.0,19.0,19,90.0,19.0,0,,19,0.63,17.0,41.0,-24.0,-1.26,-1.32,17.9,34.8,-17.0,-0.89,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,100.0
