player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Aleksandar Mitrović,rs SRB,FW,23.0,36.4,11.0,130.0,46.0,35.4,3.57,1.26,0.08,0.22,15.4,2.0,1.0,1.0,14.1,13.3,0.1,-3.1,-3.3,745.0,1042.0,71.5,9297.0,1661.0,478.0,620.0,77.1,185.0,255.0,72.5,22.0,36.0,61.1,3.0,3.2,1.9,-0.2,31.0,46.0,16.0,0.0,62.0,1042.0,938.0,99.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,745.0,5.0,12.0,90.0,2.47,60.0,0.0,9.0,14.0,7.0,0.0,9.0,0.25,4.0,0.0,1.0,2.0,2.0,0.0,19.0,9.0,3.0,13.0,3.0,5.0,15.0,33.3,10.0,22.0,8.0,14.0,6.0,25.0,53.0,0.0,1512.0,63.0,114.0,818.0,588.0,153.0,1511.0,45.0,24.0,53.3,21.0,46.7,652.0,2784.0,994.0,28.0,30.0,17.0,112.0,97.0,1181.0,244.0,37,3280.0,89.0,95.9,36.4,37,89.0,35.0,0,,0,0.7,33.0,78.0,-45.0,-1.23,0.05,39.7,64.0,-24.2,-0.67,1.0,7.0,0.0,0.0,61.0,59.0,34.0,6.0,6.0,9.0,1.0,1.0,0.0,83.0,235.0,239.0,49.6
Sergio Rico,es ESP,GK,24.0,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,517.0,889.0,58.2,19857.0,17992.0,53.0,54.0,98.1,179.0,182.0,98.4,284.0,649.0,43.8,0.0,0.1,0.1,-0.1,2.0,12.0,1.0,0.0,0.0,889.0,549.0,337.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,3.0,0.0,6.0,0.21,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,5.0,980.0,869.0,979.0,1.0,0.0,0.0,980.0,0.0,0.0,,0.0,,385.0,2425.0,1533.0,0.0,0.0,0.0,1.0,0.0,350.0,0.0,29,2610.0,90.0,76.3,29.0,29,90.0,29.0,0,,6,0.72,23.0,56.0,-33.0,-1.14,0.42,31.5,49.0,-17.4,-0.6,0.44,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,26.0,13.0,1.0,92.9
Denis Odoi,gh GHA,DF,30.0,28.8,0.0,10.0,1.0,10.0,0.35,0.03,0.0,0.0,18.2,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,1161.0,1433.0,81.0,20435.0,7706.0,494.0,545.0,90.6,543.0,621.0,87.4,94.0,199.0,47.2,1.0,0.7,0.6,0.3,11.0,105.0,10.0,4.0,101.0,1433.0,1299.0,128.0,46.0,2.0,13.0,13.0,82.0,0.0,0.0,0.0,0.0,1161.0,6.0,22.0,31.0,1.08,25.0,2.0,0.0,0.0,1.0,3.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,48.0,34.0,29.0,16.0,3.0,21.0,33.0,63.6,12.0,45.0,24.0,21.0,42.0,90.0,153.0,0.0,1796.0,220.0,781.0,902.0,129.0,16.0,1796.0,21.0,16.0,76.2,5.0,23.8,725.0,4564.0,2505.0,36.0,24.0,1.0,18.0,11.0,973.0,16.0,31,2594.0,84.0,75.8,28.8,29,88.0,28.0,2,23.0,3,0.84,28.0,62.0,-34.0,-1.18,0.24,32.2,51.3,-19.1,-0.66,0.18,4.0,0.0,0.0,37.0,31.0,0.0,13.0,42.0,34.0,0.0,1.0,1.0,191.0,55.0,51.0,51.9
Calum Chambers,eng ENG,"MF,DF",23.0,28.8,2.0,35.0,11.0,31.4,1.22,0.38,0.06,0.18,19.4,0.0,0.0,0.0,2.3,2.3,0.07,-0.3,-0.3,1175.0,1509.0,77.9,20289.0,6779.0,580.0,661.0,87.7,444.0,533.0,83.3,121.0,238.0,50.8,0.0,0.9,0.8,-0.9,16.0,114.0,14.0,0.0,158.0,1509.0,1476.0,25.0,22.0,2.0,22.0,14.0,3.0,0.0,0.0,0.0,0.0,1175.0,8.0,27.0,40.0,1.39,34.0,0.0,1.0,4.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,64.0,36.0,32.0,27.0,5.0,16.0,48.0,33.3,32.0,37.0,12.0,25.0,69.0,133.0,113.0,4.0,1906.0,147.0,573.0,1128.0,218.0,38.0,1906.0,32.0,22.0,68.8,10.0,31.3,739.0,3352.0,1555.0,20.0,17.0,2.0,32.0,26.0,1124.0,28.0,31,2588.0,83.0,75.7,28.8,29,89.0,28.0,2,11.0,2,0.84,26.0,52.0,-26.0,-0.9,1.37,33.2,45.7,-12.5,-0.43,1.12,9.0,0.0,0.0,34.0,4.0,0.0,14.0,69.0,36.0,0.0,0.0,0.0,233.0,64.0,54.0,54.2
Joe Bryan,eng ENG,"DF,MF",24.0,26.1,0.0,21.0,7.0,33.3,0.81,0.27,0.0,0.0,23.4,0.0,0.0,0.0,0.7,0.7,0.03,-0.7,-0.7,915.0,1293.0,70.8,15199.0,6931.0,442.0,512.0,86.3,388.0,517.0,75.0,70.0,190.0,36.8,1.0,3.5,3.6,-2.5,24.0,79.0,22.0,15.0,118.0,1293.0,1024.0,264.0,27.0,1.0,3.0,115.0,222.0,15.0,5.0,8.0,1.0,915.0,5.0,35.0,52.0,2.0,33.0,9.0,2.0,5.0,2.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,61.0,41.0,35.0,21.0,5.0,24.0,42.0,57.1,18.0,34.0,12.0,22.0,31.0,92.0,82.0,1.0,1591.0,101.0,441.0,753.0,407.0,32.0,1591.0,26.0,13.0,50.0,13.0,50.0,597.0,3854.0,1985.0,73.0,36.0,15.0,21.0,18.0,846.0,95.0,28,2345.0,84.0,68.6,26.1,27,86.0,21.0,1,13.0,4,0.75,22.0,53.0,-31.0,-1.19,0.15,28.3,46.4,-18.1,-0.7,0.03,5.0,0.0,0.0,25.0,28.0,2.0,115.0,31.0,41.0,0.0,0.0,0.0,125.0,31.0,37.0,45.6
Jean Seri,ci CIV,MF,27.0,24.9,1.0,19.0,6.0,31.6,0.76,0.24,0.05,0.17,25.7,3.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,1427.0,1707.0,83.6,25102.0,7012.0,646.0,705.0,91.6,557.0,641.0,86.9,171.0,264.0,64.8,2.0,4.8,3.4,-2.8,57.0,125.0,28.0,9.0,164.0,1707.0,1542.0,161.0,62.0,2.0,25.0,108.0,3.0,93.0,33.0,34.0,4.0,1427.0,4.0,19.0,104.0,4.17,64.0,34.0,2.0,3.0,1.0,0.0,7.0,0.28,4.0,2.0,1.0,0.0,0.0,0.0,41.0,28.0,20.0,20.0,1.0,13.0,45.0,28.9,32.0,40.0,9.0,31.0,32.0,73.0,17.0,4.0,1919.0,60.0,323.0,1183.0,431.0,11.0,1919.0,21.0,16.0,76.2,5.0,23.8,783.0,4049.0,2074.0,26.0,21.0,0.0,31.0,25.0,1333.0,40.0,32,2244.0,70.0,65.6,24.9,27,79.0,14.0,5,21.0,2,0.72,26.0,54.0,-28.0,-1.12,0.33,30.2,44.3,-14.1,-0.57,0.41,6.0,0.0,0.0,32.0,23.0,1.0,108.0,32.0,28.0,0.0,0.0,0.0,158.0,13.0,18.0,41.9
Ryan Sessegnon,eng ENG,"FW,DF",18.0,25.6,2.0,28.0,11.0,39.3,1.1,0.43,0.07,0.18,14.9,0.0,0.0,0.0,4.0,4.0,0.14,-2.0,-2.0,567.0,820.0,69.1,8572.0,2961.0,312.0,379.0,82.3,205.0,290.0,70.7,28.0,79.0,35.4,6.0,3.8,2.9,2.2,33.0,31.0,12.0,1.0,57.0,820.0,716.0,101.0,8.0,5.0,1.0,66.0,64.0,27.0,6.0,12.0,2.0,567.0,3.0,34.0,73.0,2.86,46.0,11.0,9.0,3.0,3.0,1.0,8.0,0.31,6.0,1.0,1.0,0.0,0.0,0.0,22.0,14.0,8.0,8.0,6.0,6.0,22.0,27.3,16.0,25.0,2.0,23.0,19.0,41.0,49.0,1.0,1127.0,53.0,246.0,486.0,415.0,81.0,1127.0,68.0,32.0,47.1,36.0,52.9,541.0,3474.0,1849.0,57.0,34.0,18.0,69.0,51.0,671.0,193.0,35,2300.0,66.0,67.3,25.6,26,82.0,19.0,9,17.0,1,0.71,23.0,60.0,-37.0,-1.45,-0.64,28.7,48.8,-20.1,-0.79,-0.25,0.0,0.0,0.0,20.0,22.0,15.0,66.0,19.0,14.0,0.0,0.0,0.0,138.0,18.0,40.0,31.0
Maxime Le Marchand,fr FRA,DF,28.0,25.0,0.0,5.0,0.0,0.0,0.2,0.0,0.0,,13.2,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,1216.0,1488.0,81.7,22576.0,9761.0,477.0,511.0,93.3,598.0,691.0,86.5,117.0,217.0,53.9,1.0,0.7,0.7,0.3,9.0,61.0,6.0,3.0,77.0,1488.0,1368.0,107.0,35.0,1.0,16.0,17.0,72.0,0.0,0.0,0.0,0.0,1216.0,13.0,16.0,24.0,0.96,21.0,0.0,0.0,2.0,1.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,56.0,36.0,45.0,11.0,0.0,23.0,47.0,48.9,24.0,30.0,16.0,14.0,54.0,110.0,129.0,2.0,1794.0,195.0,879.0,813.0,109.0,18.0,1794.0,15.0,10.0,66.7,5.0,33.3,740.0,3671.0,2128.0,16.0,16.0,1.0,11.0,6.0,1059.0,15.0,26,2250.0,87.0,65.8,25.0,25,88.0,23.0,1,45.0,8,0.88,27.0,53.0,-26.0,-1.04,0.58,29.9,44.0,-14.1,-0.56,0.41,5.0,0.0,0.0,28.0,7.0,3.0,17.0,54.0,36.0,0.0,1.0,0.0,164.0,56.0,44.0,56.0
Tim Ream,us USA,DF,30.0,22.7,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,23.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,928.0,1064.0,87.2,16650.0,6230.0,344.0,367.0,93.7,507.0,560.0,90.5,63.0,102.0,61.8,0.0,0.1,0.2,-0.1,3.0,47.0,3.0,0.0,68.0,1064.0,1035.0,23.0,19.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,928.0,6.0,8.0,11.0,0.48,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,16.0,7.0,0.0,14.0,28.0,50.0,14.0,19.0,10.0,9.0,25.0,48.0,80.0,2.0,1235.0,119.0,527.0,694.0,19.0,1.0,1235.0,6.0,6.0,100.0,0.0,0.0,498.0,2580.0,1632.0,13.0,1.0,0.0,5.0,5.0,762.0,1.0,26,2047.0,79.0,59.9,22.7,25,82.0,20.0,1,6.0,5,0.69,18.0,49.0,-31.0,-1.36,-0.31,24.6,39.4,-14.8,-0.65,0.14,1.0,0.0,0.0,12.0,8.0,0.0,1.0,25.0,14.0,0.0,0.0,0.0,111.0,47.0,43.0,52.2
Tom Cairney,sct SCO,"MF,FW",27.0,24.4,1.0,24.0,5.0,20.8,0.98,0.21,0.04,0.2,23.8,0.0,0.0,0.0,1.1,1.1,0.05,-0.1,-0.1,1244.0,1408.0,88.4,19804.0,3901.0,645.0,693.0,93.1,449.0,496.0,90.5,94.0,137.0,68.6,1.0,2.6,3.1,-1.6,40.0,120.0,30.0,4.0,169.0,1408.0,1371.0,29.0,16.0,7.0,11.0,27.0,0.0,5.0,4.0,1.0,0.0,1244.0,8.0,9.0,80.0,3.28,68.0,0.0,2.0,5.0,4.0,1.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,9.0,22.0,6.0,12.0,16.0,75.0,4.0,21.0,5.0,16.0,10.0,47.0,13.0,1.0,1623.0,21.0,174.0,1043.0,420.0,25.0,1623.0,62.0,43.0,69.4,19.0,30.6,892.0,5385.0,2315.0,60.0,55.0,7.0,35.0,49.0,1308.0,106.0,31,2194.0,71.0,64.2,24.4,24,82.0,13.0,7,32.0,1,0.68,22.0,51.0,-29.0,-1.19,0.13,24.7,40.5,-15.9,-0.65,0.16,0.0,0.0,0.0,9.0,40.0,0.0,27.0,10.0,21.0,0.0,0.0,0.0,139.0,9.0,15.0,37.5
André Schürrle,de GER,"FW,MF",27.0,18.2,6.0,55.0,17.0,30.9,3.02,0.93,0.11,0.35,22.4,4.0,0.0,0.0,3.6,3.6,0.07,2.4,2.4,424.0,576.0,73.6,6291.0,1502.0,259.0,301.0,86.0,123.0,166.0,74.1,32.0,53.0,60.4,0.0,1.9,1.5,-1.9,19.0,28.0,20.0,5.0,57.0,576.0,554.0,18.0,4.0,2.0,6.0,41.0,8.0,2.0,0.0,1.0,0.0,424.0,4.0,26.0,44.0,2.42,36.0,0.0,2.0,4.0,2.0,0.0,2.0,0.11,1.0,0.0,0.0,1.0,0.0,0.0,30.0,19.0,14.0,10.0,6.0,12.0,42.0,28.6,30.0,16.0,1.0,15.0,8.0,38.0,17.0,1.0,819.0,18.0,119.0,363.0,347.0,43.0,819.0,44.0,19.0,43.2,25.0,56.8,442.0,2865.0,1127.0,46.0,28.0,7.0,51.0,34.0,573.0,136.0,24,1641.0,68.0,48.0,18.2,21,77.0,7.0,3,10.0,4,0.54,16.0,43.0,-27.0,-1.48,-0.47,17.8,31.7,-13.9,-0.76,-0.11,2.0,0.0,0.0,17.0,19.0,11.0,41.0,8.0,19.0,0.0,0.0,0.0,80.0,15.0,18.0,45.5
Cyrus Christie,ie IRL,"DF,MF",25.0,21.6,0.0,12.0,3.0,25.0,0.55,0.14,0.0,0.0,21.8,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,870.0,1210.0,71.9,13877.0,4803.0,441.0,502.0,87.8,369.0,497.0,74.2,44.0,142.0,31.0,1.0,1.2,1.6,-0.2,17.0,46.0,23.0,14.0,81.0,1210.0,963.0,243.0,11.0,0.0,7.0,90.0,232.0,0.0,0.0,0.0,0.0,870.0,4.0,36.0,40.0,1.85,30.0,2.0,5.0,2.0,0.0,1.0,3.0,0.14,2.0,0.0,1.0,0.0,0.0,0.0,43.0,23.0,26.0,13.0,4.0,18.0,41.0,43.9,23.0,25.0,11.0,14.0,29.0,72.0,96.0,1.0,1490.0,98.0,411.0,671.0,427.0,26.0,1490.0,50.0,27.0,54.0,23.0,46.0,660.0,4828.0,2414.0,70.0,40.0,11.0,28.0,29.0,834.0,138.0,28,1948.0,70.0,57.0,21.6,19,85.0,15.0,9,36.0,10,0.75,17.0,42.0,-25.0,-1.16,0.19,22.0,37.3,-15.3,-0.71,0.0,7.0,0.0,0.0,29.0,13.0,2.0,90.0,29.0,23.0,0.0,1.0,0.0,94.0,56.0,32.0,63.6
Andre-Frank Zambo Anguissa,cm CMR,MF,22.0,16.9,0.0,21.0,5.0,23.8,1.25,0.3,0.0,0.0,24.7,0.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,913.0,1048.0,87.1,13982.0,4366.0,493.0,526.0,93.7,345.0,400.0,86.3,49.0,65.0,75.4,0.0,0.2,0.5,-0.2,7.0,100.0,6.0,1.0,112.0,1048.0,1033.0,12.0,11.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,913.0,3.0,15.0,37.0,2.2,30.0,0.0,3.0,3.0,0.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,48.0,29.0,23.0,20.0,5.0,18.0,52.0,34.6,34.0,25.0,6.0,19.0,34.0,82.0,32.0,0.0,1281.0,58.0,270.0,876.0,151.0,8.0,1281.0,54.0,42.0,77.8,12.0,22.2,661.0,3765.0,1831.0,34.0,26.0,2.0,38.0,39.0,880.0,20.0,22,1517.0,69.0,44.4,16.9,16,85.0,9.0,6,26.0,4,0.64,13.0,32.0,-19.0,-1.13,0.2,18.3,29.3,-11.0,-0.65,0.09,2.0,1.0,1.0,23.0,18.0,2.0,2.0,34.0,29.0,0.0,0.0,0.0,119.0,21.0,31.0,40.4
Ryan Babel,nl NED,"FW,MF",31.0,13.9,5.0,27.0,9.0,33.3,1.94,0.65,0.19,0.56,16.0,0.0,0.0,0.0,5.7,5.7,0.21,-0.7,-0.7,403.0,513.0,78.6,5974.0,1541.0,223.0,253.0,88.1,133.0,156.0,85.3,25.0,49.0,51.0,3.0,2.2,1.6,0.8,23.0,29.0,10.0,3.0,40.0,513.0,483.0,28.0,5.0,3.0,1.0,38.0,4.0,15.0,7.0,4.0,0.0,403.0,2.0,17.0,50.0,3.6,31.0,7.0,6.0,4.0,2.0,0.0,6.0,0.43,4.0,0.0,1.0,1.0,0.0,0.0,8.0,4.0,1.0,5.0,2.0,3.0,9.0,33.3,6.0,12.0,0.0,12.0,6.0,14.0,13.0,1.0,649.0,19.0,66.0,335.0,255.0,30.0,649.0,34.0,27.0,79.4,7.0,20.6,391.0,2802.0,1218.0,42.0,35.0,7.0,37.0,28.0,508.0,109.0,16,1251.0,78.0,36.6,13.9,15,82.0,5.0,1,25.0,0,0.75,14.0,26.0,-12.0,-0.86,0.59,17.6,25.5,-7.9,-0.57,0.22,3.0,0.0,0.0,14.0,16.0,9.0,38.0,6.0,4.0,0.0,0.0,0.0,48.0,15.0,19.0,44.1
Alfie Mawson,eng ENG,DF,24.0,12.6,0.0,2.0,1.0,50.0,0.16,0.08,0.0,0.0,11.4,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,393.0,482.0,81.5,8130.0,2970.0,124.0,141.0,87.9,209.0,234.0,89.3,56.0,95.0,58.9,0.0,0.1,0.0,-0.1,2.0,14.0,0.0,0.0,26.0,482.0,467.0,13.0,13.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,393.0,2.0,3.0,5.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,4.0,0.0,6.0,10.0,60.0,4.0,20.0,17.0,3.0,19.0,30.0,64.0,1.0,616.0,103.0,325.0,281.0,11.0,7.0,616.0,0.0,0.0,,0.0,,265.0,1262.0,682.0,1.0,2.0,0.0,7.0,0.0,329.0,0.0,15,1131.0,75.0,33.1,12.6,13,83.0,11.0,2,25.0,4,0.93,8.0,26.0,-18.0,-1.43,-0.29,11.3,23.9,-12.6,-1.0,-0.44,2.0,0.0,0.0,6.0,5.0,0.0,3.0,19.0,7.0,0.0,0.0,0.0,64.0,32.0,21.0,60.4
Luciano Vietto,ar ARG,"FW,MF",24.0,11.0,1.0,24.0,7.0,29.2,2.19,0.64,0.04,0.14,16.1,0.0,0.0,0.0,2.9,2.9,0.12,-1.9,-1.9,316.0,411.0,76.9,4350.0,1046.0,199.0,232.0,85.8,87.0,110.0,79.1,11.0,28.0,39.3,4.0,2.1,1.8,1.9,22.0,21.0,13.0,5.0,35.0,411.0,402.0,7.0,1.0,1.0,1.0,19.0,4.0,0.0,0.0,0.0,0.0,316.0,2.0,15.0,52.0,4.75,42.0,0.0,4.0,4.0,2.0,0.0,6.0,0.55,5.0,0.0,0.0,1.0,0.0,0.0,15.0,11.0,5.0,5.0,5.0,4.0,19.0,21.1,15.0,9.0,0.0,9.0,6.0,21.0,5.0,0.0,529.0,9.0,66.0,230.0,242.0,39.0,529.0,27.0,16.0,59.3,11.0,40.7,322.0,2268.0,995.0,33.0,30.0,7.0,26.0,26.0,402.0,107.0,20,986.0,49.0,28.8,11.0,10,73.0,3.0,10,26.0,10,0.6,14.0,21.0,-7.0,-0.64,0.84,15.1,19.9,-4.8,-0.44,0.37,1.0,0.0,0.0,13.0,19.0,0.0,19.0,6.0,11.0,0.0,1.0,0.0,60.0,4.0,6.0,40.0
Kevin McDonald,sct SCO,MF,29.0,9.3,0.0,4.0,0.0,0.0,0.43,0.0,0.0,,28.3,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,494.0,583.0,84.7,8643.0,2412.0,232.0,257.0,90.3,190.0,208.0,91.3,58.0,90.0,64.4,0.0,0.1,0.1,-0.1,4.0,39.0,0.0,0.0,41.0,583.0,554.0,26.0,25.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,494.0,3.0,6.0,12.0,1.28,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,6.0,8.0,1.0,5.0,13.0,38.5,8.0,8.0,2.0,6.0,9.0,24.0,22.0,0.0,650.0,30.0,177.0,427.0,50.0,2.0,650.0,0.0,0.0,,0.0,,272.0,1324.0,620.0,2.0,3.0,0.0,3.0,5.0,455.0,2.0,15,841.0,56.0,24.6,9.3,10,78.0,5.0,5,12.0,4,0.4,10.0,26.0,-16.0,-1.71,-0.63,7.2,19.6,-12.4,-1.33,-0.83,5.0,1.0,1.0,12.0,6.0,0.0,1.0,9.0,11.0,0.0,0.0,0.0,47.0,19.0,4.0,82.6
Timothy Fosu-Mensah,nl NED,DF,20.0,8.8,0.0,4.0,1.0,25.0,0.45,0.11,0.0,0.0,27.3,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,375.0,479.0,78.3,6600.0,2359.0,164.0,181.0,90.6,176.0,217.0,81.1,30.0,59.0,50.8,0.0,0.4,0.6,-0.4,6.0,24.0,5.0,2.0,39.0,479.0,417.0,60.0,3.0,1.0,3.0,15.0,57.0,0.0,0.0,0.0,0.0,375.0,2.0,10.0,11.0,1.25,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,12.0,6.0,0.0,8.0,13.0,61.5,5.0,11.0,5.0,6.0,12.0,30.0,30.0,1.0,563.0,39.0,176.0,280.0,111.0,8.0,563.0,12.0,8.0,66.7,4.0,33.3,241.0,1477.0,909.0,22.0,24.0,4.0,5.0,4.0,363.0,43.0,12,793.0,66.0,23.2,8.8,10,73.0,6.0,2,31.0,4,0.67,10.0,18.0,-8.0,-0.91,0.43,9.5,17.8,-8.2,-0.93,-0.3,3.0,0.0,0.0,7.0,1.0,0.0,15.0,12.0,7.0,0.0,1.0,1.0,42.0,7.0,13.0,35.0
