player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Joshua Kimmich,de GER,"DF,MF",23.0,34.0,2.0,25.0,8.0,32.0,0.74,0.24,0.08,0.25,18.5,0.0,0.0,0.0,2.2,2.2,0.09,-0.2,-0.2,2583.0,3026.0,85.4,44764.0,12442.0,1164.0,1236.0,94.2,1040.0,1188.0,87.5,289.0,437.0,66.1,13.0,12.2,14.3,0.8,82.0,168.0,77.0,16.0,252.0,3026.0,2563.0,453.0,75.0,3.0,25.0,254.0,244.0,133.0,37.0,81.0,0.0,2583.0,10.0,43.0,162.0,4.76,91.0,51.0,7.0,3.0,9.0,1.0,22.0,0.65,15.0,5.0,1.0,0.0,1.0,0.0,46.0,26.0,17.0,22.0,7.0,25.0,54.0,46.3,29.0,35.0,9.0,26.0,34.0,80.0,41.0,3.0,3311.0,88.0,651.0,1673.0,1016.0,53.0,3311.0,62.0,38.0,61.3,24.0,38.7,1948.0,11570.0,5837.0,128.0,103.0,9.0,41.0,25.0,2315.0,252.0,34,3060.0,90.0,100.0,34.0,34,90.0,34.0,0,,0,2.29,88.0,32.0,56.0,1.65,,85.6,27.2,58.4,1.72,,4.0,0.0,0.0,27.0,51.0,2.0,254.0,34.0,26.0,1.0,0.0,0.0,217.0,24.0,22.0,52.2
Robert Lewandowski,pl POL,FW,29.0,32.9,22.0,140.0,48.0,34.3,4.26,1.46,0.14,0.4,13.2,5.0,3.0,4.0,30.7,27.5,0.2,-8.7,-8.5,565.0,742.0,76.1,7685.0,1666.0,311.0,365.0,85.2,161.0,204.0,78.9,33.0,40.0,82.5,7.0,8.9,6.9,-1.9,47.0,42.0,31.0,1.0,92.0,742.0,719.0,18.0,0.0,12.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,565.0,5.0,44.0,134.0,4.08,80.0,0.0,13.0,25.0,13.0,3.0,25.0,0.76,11.0,0.0,5.0,7.0,0.0,2.0,12.0,9.0,0.0,8.0,4.0,3.0,11.0,27.3,8.0,11.0,1.0,10.0,7.0,19.0,15.0,0.0,1114.0,18.0,44.0,436.0,655.0,246.0,1110.0,76.0,51.0,67.1,25.0,32.9,719.0,4029.0,1935.0,79.0,53.0,28.0,92.0,51.0,924.0,241.0,33,2957.0,90.0,96.6,32.9,33,90.0,31.0,0,,1,2.33,87.0,31.0,56.0,1.7,1.7,84.0,25.8,58.2,1.77,1.58,2.0,0.0,0.0,25.0,47.0,29.0,9.0,7.0,9.0,1.0,0.0,0.0,65.0,56.0,76.0,42.4
Niklas Süle,de GER,DF,22.0,29.5,2.0,20.0,6.0,30.0,0.68,0.2,0.1,0.33,17.9,0.0,0.0,0.0,1.5,1.5,0.07,0.5,0.5,2385.0,2570.0,92.8,48632.0,15821.0,709.0,756.0,93.8,1312.0,1361.0,96.4,335.0,405.0,82.7,0.0,0.3,1.1,-0.3,6.0,182.0,13.0,0.0,198.0,2570.0,2525.0,42.0,36.0,1.0,32.0,0.0,6.0,0.0,0.0,0.0,0.0,2385.0,3.0,8.0,33.0,1.12,31.0,0.0,1.0,0.0,1.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,17.0,10.0,1.0,18.0,25.0,72.0,7.0,23.0,13.0,10.0,40.0,68.0,83.0,0.0,2784.0,178.0,1106.0,1597.0,93.0,23.0,2784.0,3.0,3.0,100.0,0.0,0.0,1770.0,8772.0,5000.0,31.0,30.0,3.0,6.0,5.0,2159.0,1.0,31,2654.0,86.0,86.7,29.5,29,90.0,29.0,2,21.0,3,2.23,73.0,29.0,44.0,1.49,-1.17,75.2,22.7,52.5,1.78,0.46,3.0,0.0,0.0,17.0,6.0,0.0,0.0,40.0,23.0,0.0,0.0,0.0,185.0,81.0,24.0,77.1
David Alaba,at AUT,DF,26.0,28.1,3.0,47.0,16.0,34.0,1.67,0.57,0.06,0.19,25.8,16.0,0.0,0.0,3.2,3.2,0.07,-0.2,-0.2,1769.0,2153.0,82.2,26475.0,8480.0,970.0,1061.0,91.4,637.0,755.0,84.4,92.0,184.0,50.0,3.0,4.4,5.8,-1.4,28.0,144.0,41.0,20.0,190.0,2153.0,1843.0,300.0,30.0,1.0,9.0,115.0,265.0,5.0,0.0,5.0,0.0,1769.0,10.0,52.0,84.0,2.99,64.0,4.0,4.0,10.0,2.0,0.0,9.0,0.32,7.0,1.0,1.0,0.0,0.0,0.0,34.0,21.0,13.0,13.0,8.0,17.0,26.0,65.4,9.0,24.0,3.0,21.0,31.0,65.0,40.0,0.0,2385.0,46.0,464.0,1199.0,743.0,62.0,2385.0,39.0,29.0,74.4,10.0,25.6,1302.0,6461.0,3325.0,87.0,63.0,11.0,26.0,19.0,1651.0,240.0,31,2530.0,82.0,82.7,28.1,29,85.0,24.0,2,27.0,0,2.29,71.0,27.0,44.0,1.57,-0.47,68.4,23.6,44.9,1.6,-0.7,4.0,0.0,0.0,13.0,11.0,5.0,115.0,31.0,21.0,0.0,0.0,0.0,148.0,24.0,22.0,52.2
Thomas Müller,de GER,"MF,FW",28.0,26.4,6.0,63.0,27.0,42.9,2.38,1.02,0.1,0.22,13.2,0.0,0.0,0.0,9.3,9.3,0.15,-3.3,-3.3,923.0,1285.0,71.8,13679.0,2830.0,509.0,628.0,81.1,310.0,423.0,73.3,51.0,90.0,56.7,9.0,10.6,10.3,-1.6,61.0,67.0,44.0,6.0,141.0,1285.0,1219.0,55.0,4.0,5.0,10.0,52.0,22.0,6.0,0.0,1.0,0.0,923.0,11.0,50.0,110.0,4.16,82.0,2.0,10.0,10.0,5.0,1.0,16.0,0.61,12.0,0.0,1.0,3.0,0.0,0.0,42.0,23.0,13.0,15.0,14.0,10.0,38.0,26.3,28.0,46.0,6.0,40.0,9.0,51.0,12.0,0.0,1558.0,17.0,139.0,596.0,841.0,194.0,1558.0,35.0,23.0,65.7,12.0,34.3,726.0,3443.0,1936.0,56.0,39.0,17.0,49.0,15.0,1190.0,320.0,32,2378.0,74.0,77.7,26.4,28,81.0,11.0,4,29.0,2,2.25,72.0,21.0,51.0,1.93,1.27,67.8,19.7,48.1,1.82,0.45,1.0,0.0,0.0,23.0,24.0,15.0,52.0,9.0,23.0,0.0,0.0,0.0,107.0,48.0,60.0,44.4
Thiago Alcántara,es ESP,MF,27.0,26.8,2.0,23.0,7.0,30.4,0.86,0.26,0.09,0.29,20.1,1.0,0.0,0.0,1.9,1.9,0.08,0.1,0.1,2325.0,2587.0,89.9,45160.0,12086.0,850.0,907.0,93.7,1047.0,1115.0,93.9,353.0,451.0,78.3,6.0,3.5,5.0,2.5,38.0,266.0,26.0,1.0,310.0,2587.0,2437.0,146.0,75.0,3.0,49.0,69.0,7.0,62.0,47.0,2.0,1.0,2325.0,4.0,20.0,98.0,3.66,71.0,16.0,4.0,1.0,4.0,2.0,9.0,0.34,7.0,2.0,0.0,0.0,0.0,0.0,87.0,65.0,31.0,44.0,12.0,25.0,48.0,52.1,23.0,23.0,4.0,19.0,44.0,131.0,17.0,1.0,2830.0,39.0,488.0,1865.0,505.0,29.0,2830.0,67.0,57.0,85.1,10.0,14.9,1698.0,8863.0,4874.0,49.0,60.0,4.0,21.0,28.0,2094.0,56.0,30,2408.0,80.0,78.7,26.8,26,89.0,23.0,4,24.0,0,2.53,74.0,21.0,53.0,1.98,1.57,69.1,19.6,49.5,1.85,0.62,5.0,0.0,0.0,52.0,34.0,0.0,69.0,44.0,65.0,0.0,1.0,0.0,266.0,34.0,38.0,47.2
Manuel Neuer,de GER,GK,32.0,25.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,772.0,922.0,83.7,19434.0,12482.0,142.0,142.0,100.0,412.0,416.0,99.0,213.0,357.0,59.7,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,922.0,751.0,171.0,43.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,0.0,2.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,3.0,947.0,686.0,923.0,23.0,1.0,1.0,947.0,0.0,0.0,,0.0,,532.0,3145.0,2104.0,0.0,0.0,0.0,1.0,0.0,579.0,0.0,26,2302.0,89.0,75.2,25.6,26,89.0,25.0,0,,0,2.42,71.0,23.0,48.0,1.88,0.93,61.1,18.6,42.5,1.66,-0.23,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,4.0,0.0,100.0
Leon Goretzka,de GER,MF,23.0,22.5,8.0,55.0,21.0,38.2,2.45,0.93,0.15,0.38,16.7,0.0,0.0,0.0,6.3,6.3,0.11,1.7,1.7,1022.0,1181.0,86.5,15749.0,3064.0,531.0,587.0,90.5,374.0,415.0,90.1,63.0,85.0,74.1,4.0,2.5,2.0,1.5,18.0,92.0,16.0,0.0,112.0,1181.0,1140.0,35.0,6.0,1.0,7.0,8.0,15.0,0.0,0.0,0.0,0.0,1022.0,6.0,21.0,50.0,2.23,37.0,0.0,2.0,8.0,3.0,0.0,7.0,0.31,5.0,0.0,0.0,2.0,0.0,0.0,41.0,22.0,7.0,27.0,7.0,14.0,38.0,36.8,24.0,25.0,4.0,21.0,26.0,67.0,14.0,1.0,1399.0,30.0,225.0,847.0,338.0,72.0,1399.0,22.0,15.0,68.2,7.0,31.8,792.0,4333.0,2390.0,58.0,38.0,8.0,23.0,17.0,1022.0,79.0,30,2023.0,67.0,66.1,22.5,23,81.0,18.0,7,22.0,0,2.3,56.0,24.0,32.0,1.42,-0.66,57.1,18.2,38.9,1.73,0.03,3.0,0.0,0.0,28.0,20.0,0.0,8.0,26.0,22.0,0.0,0.0,1.0,131.0,37.0,49.0,43.0
Serge Gnabry,de GER,"FW,MF",23.0,19.6,10.0,66.0,32.0,48.5,3.37,1.63,0.15,0.31,14.9,0.0,0.0,0.0,9.4,9.4,0.15,0.6,0.6,685.0,843.0,81.3,9610.0,2081.0,408.0,462.0,88.3,196.0,235.0,83.4,37.0,57.0,64.9,5.0,6.9,6.6,-1.9,27.0,31.0,32.0,4.0,69.0,843.0,821.0,19.0,2.0,5.0,2.0,32.0,15.0,2.0,0.0,0.0,0.0,685.0,3.0,30.0,78.0,3.98,57.0,1.0,8.0,9.0,2.0,1.0,15.0,0.77,10.0,0.0,1.0,4.0,0.0,0.0,36.0,20.0,12.0,13.0,11.0,5.0,30.0,16.7,25.0,18.0,0.0,18.0,11.0,47.0,3.0,0.0,1142.0,11.0,91.0,430.0,634.0,157.0,1142.0,107.0,50.0,46.7,57.0,53.3,727.0,5159.0,2711.0,101.0,71.0,50.0,45.0,31.0,882.0,236.0,30,1762.0,59.0,57.6,19.6,21,72.0,3.0,9,28.0,0,2.27,51.0,18.0,33.0,1.69,0.09,51.8,15.2,36.6,1.87,0.36,0.0,0.0,0.0,25.0,15.0,12.0,32.0,11.0,20.0,0.0,0.0,0.0,94.0,7.0,17.0,29.2
Mats Hummels,de GER,DF,29.0,19.7,1.0,19.0,5.0,26.3,0.96,0.25,0.05,0.2,9.2,0.0,0.0,0.0,2.4,2.4,0.15,-1.4,-1.4,1558.0,1751.0,89.0,30421.0,10805.0,509.0,542.0,93.9,887.0,947.0,93.7,153.0,231.0,66.2,1.0,1.0,1.6,0.0,13.0,114.0,11.0,0.0,138.0,1751.0,1717.0,28.0,21.0,3.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,1558.0,6.0,8.0,36.0,1.83,29.0,0.0,3.0,2.0,1.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,19.0,6.0,1.0,9.0,24.0,37.5,15.0,20.0,8.0,12.0,34.0,60.0,50.0,1.0,1917.0,101.0,752.0,1077.0,98.0,25.0,1917.0,11.0,10.0,90.9,1.0,9.1,1238.0,6279.0,3950.0,19.0,27.0,0.0,8.0,2.0,1470.0,6.0,21,1775.0,85.0,58.0,19.7,20,89.0,19.0,1,0.0,8,2.1,52.0,19.0,33.0,1.67,0.06,50.3,16.7,33.5,1.7,-0.04,1.0,0.0,0.0,9.0,9.0,1.0,3.0,34.0,17.0,0.0,1.0,0.0,123.0,84.0,38.0,68.9
Jérôme Boateng,de GER,DF,29.0,18.8,0.0,14.0,3.0,21.4,0.74,0.16,0.0,0.0,21.7,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,1426.0,1616.0,88.2,31298.0,10937.0,361.0,389.0,92.8,818.0,874.0,93.6,240.0,328.0,73.2,2.0,1.0,2.0,1.0,11.0,166.0,16.0,1.0,168.0,1616.0,1576.0,32.0,26.0,4.0,26.0,7.0,6.0,0.0,0.0,0.0,0.0,1426.0,8.0,7.0,30.0,1.59,27.0,0.0,1.0,2.0,0.0,0.0,5.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,12.0,9.0,0.0,10.0,22.0,45.5,12.0,8.0,3.0,5.0,25.0,46.0,49.0,0.0,1749.0,87.0,572.0,1098.0,91.0,11.0,1749.0,1.0,1.0,100.0,0.0,0.0,1106.0,5105.0,3021.0,10.0,18.0,0.0,5.0,0.0,1363.0,2.0,20,1693.0,85.0,55.3,18.8,19,89.0,18.0,1,0.0,11,2.4,51.0,17.0,34.0,1.81,0.36,45.8,15.2,30.6,1.63,-0.21,1.0,0.0,0.0,15.0,9.0,0.0,7.0,25.0,15.0,0.0,2.0,0.0,132.0,30.0,6.0,83.3
Kingsley Coman,fr FRA,"FW,MF",22.0,15.3,6.0,31.0,19.0,61.3,2.02,1.24,0.19,0.32,16.2,0.0,0.0,0.0,4.0,4.0,0.13,2.0,2.0,539.0,680.0,79.3,7560.0,1229.0,317.0,355.0,89.3,171.0,209.0,81.8,23.0,46.0,50.0,4.0,4.0,3.9,0.0,28.0,15.0,35.0,11.0,55.0,680.0,673.0,5.0,0.0,1.0,1.0,55.0,5.0,0.0,0.0,0.0,0.0,539.0,2.0,28.0,65.0,4.25,45.0,0.0,12.0,2.0,6.0,0.0,8.0,0.52,6.0,0.0,0.0,1.0,1.0,0.0,11.0,6.0,4.0,4.0,3.0,6.0,19.0,31.6,13.0,20.0,0.0,20.0,5.0,16.0,3.0,0.0,874.0,2.0,56.0,300.0,529.0,87.0,874.0,91.0,60.0,65.9,31.0,34.1,661.0,5079.0,2642.0,99.0,51.0,32.0,49.0,34.0,729.0,244.0,21,1378.0,66.0,45.0,15.3,17,76.0,5.0,4,22.0,0,2.57,42.0,13.0,29.0,1.89,0.45,38.0,12.3,25.6,1.67,-0.08,2.0,0.0,0.0,17.0,41.0,3.0,55.0,5.0,6.0,0.0,0.0,0.0,76.0,12.0,14.0,46.2
Javi Martínez,es ESP,MF,29.0,14.5,3.0,18.0,8.0,44.4,1.24,0.55,0.17,0.38,14.2,0.0,0.0,0.0,1.5,1.5,0.09,1.5,1.5,794.0,910.0,87.3,12476.0,3312.0,413.0,439.0,94.1,300.0,338.0,88.8,50.0,73.0,68.5,0.0,0.3,1.2,-0.3,7.0,60.0,3.0,0.0,69.0,910.0,894.0,14.0,14.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,794.0,2.0,15.0,21.0,1.44,14.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,7.0,17.0,2.0,5.0,16.0,31.3,11.0,17.0,5.0,12.0,31.0,57.0,13.0,0.0,1051.0,13.0,201.0,736.0,118.0,24.0,1051.0,9.0,5.0,55.6,4.0,44.4,511.0,2369.0,1223.0,11.0,14.0,1.0,19.0,2.0,715.0,15.0,21,1309.0,62.0,42.8,14.5,16,79.0,9.0,5,10.0,9,2.57,37.0,15.0,22.0,1.51,-0.23,32.6,14.1,18.4,1.27,-0.79,3.0,0.0,0.0,12.0,13.0,0.0,4.0,31.0,15.0,0.0,0.0,0.0,95.0,51.0,36.0,58.6
James Rodríguez,co COL,MF,27.0,12.6,7.0,36.0,19.0,52.8,2.85,1.5,0.19,0.37,17.3,5.0,0.0,0.0,5.1,5.1,0.14,1.9,1.9,805.0,974.0,82.6,14271.0,3994.0,369.0,401.0,92.0,302.0,349.0,86.5,100.0,157.0,63.7,3.0,5.6,5.7,-2.6,51.0,74.0,36.0,5.0,135.0,974.0,866.0,104.0,28.0,4.0,12.0,84.0,9.0,59.0,14.0,33.0,0.0,805.0,4.0,15.0,83.0,6.58,56.0,19.0,1.0,6.0,1.0,0.0,8.0,0.63,5.0,2.0,0.0,0.0,1.0,0.0,12.0,8.0,3.0,4.0,5.0,5.0,19.0,26.3,14.0,9.0,0.0,9.0,4.0,16.0,1.0,0.0,1080.0,4.0,89.0,516.0,481.0,56.0,1080.0,26.0,16.0,61.5,10.0,38.5,688.0,3566.0,1708.0,35.0,26.0,7.0,13.0,12.0,822.0,103.0,20,1138.0,57.0,37.2,12.6,13,78.0,3.0,7,17.0,4,2.25,32.0,14.0,18.0,1.42,-0.36,32.2,9.3,22.9,1.82,0.16,2.0,0.0,0.0,7.0,15.0,5.0,84.0,4.0,8.0,1.0,0.0,0.0,73.0,3.0,7.0,30.0
Franck Ribéry,fr FRA,"MF,FW",35.0,13.0,6.0,26.0,11.0,42.3,1.99,0.84,0.23,0.55,14.3,0.0,0.0,0.0,3.9,3.9,0.15,2.1,2.1,600.0,752.0,79.8,8898.0,2047.0,329.0,365.0,90.1,190.0,227.0,83.7,41.0,69.0,59.4,3.0,2.2,4.1,0.8,21.0,40.0,34.0,3.0,91.0,752.0,730.0,13.0,1.0,0.0,7.0,28.0,12.0,0.0,0.0,0.0,0.0,600.0,9.0,29.0,57.0,4.37,44.0,0.0,8.0,3.0,2.0,0.0,10.0,0.77,5.0,0.0,3.0,1.0,1.0,0.0,15.0,7.0,7.0,6.0,2.0,4.0,10.0,40.0,6.0,9.0,0.0,9.0,7.0,22.0,1.0,0.0,933.0,3.0,65.0,397.0,479.0,106.0,933.0,74.0,36.0,48.6,38.0,51.4,644.0,5151.0,2774.0,112.0,61.0,56.0,34.0,46.0,783.0,197.0,25,1174.0,47.0,38.4,13.0,10,75.0,2.0,15,28.0,2,2.24,31.0,13.0,18.0,1.38,-0.43,33.1,11.0,22.0,1.69,-0.05,3.0,0.0,0.0,17.0,19.0,9.0,28.0,7.0,7.0,1.0,0.0,0.0,70.0,1.0,8.0,11.1
