player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mehdi Bourabia,ma MAR,MF,31-305,30.8,1.0,33.0,5.0,15.2,1.07,0.16,0.03,0.2,24.3,1.0,0.0,0.0,2.1,2.1,0.06,-1.1,-1.1,981.0,1282.0,76.5,15009.0,4832.0,509.0,595.0,85.5,365.0,446.0,81.8,64.0,133.0,48.1,3.0,4.4,3.4,-1.4,37.0,94.0,32.0,10.0,113.0,1282.0,1208.0,66.0,29.0,5.0,4.0,64.0,7.0,30.0,21.0,4.0,0.0,981.0,8.0,38.0,80.0,2.6,59.0,7.0,6.0,4.0,1.0,3.0,7.0,0.23,6.0,0.0,0.0,1.0,0.0,0.0,41.0,20.0,13.0,22.0,6.0,19.0,41.0,46.3,22.0,39.0,12.0,27.0,32.0,73.0,57.0,0.0,1639.0,98.0,422.0,832.0,409.0,21.0,1639.0,64.0,28.0,43.8,32.0,50.0,810.0,3731.0,1777.0,37.0,30.0,5.0,54.0,27.0,956.0,58.0,37,2773.0,75.0,81.1,30.8,36,76.0,12,1,31.0,1,0.84,28.0,50.0,-22.0,-0.71,0.54,33.6,49.2,-15.5,-0.5,-0.17,3.0,0.0,0.0,33.0,18.0,1.0,64.0,32.0,20.0,0.0,0.0,0.0,192.0,21.0,32.0,39.6
Emmanuel Gyasi,gh GHA,"FW,DF",29-148,31.2,2.0,34.0,13.0,38.2,1.09,0.42,0.06,0.15,13.7,0.0,0.0,0.0,4.0,4.0,0.12,-2.0,-2.0,646.0,802.0,80.5,8305.0,1651.0,417.0,475.0,87.8,181.0,226.0,80.1,14.0,26.0,53.8,0.0,1.9,1.7,-1.9,22.0,16.0,18.0,2.0,52.0,802.0,711.0,91.0,3.0,1.0,2.0,22.0,59.0,2.0,0.0,0.0,0.0,646.0,0.0,26.0,53.0,1.7,44.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,11.0,10.0,3.0,9.0,36.0,25.0,27.0,24.0,6.0,18.0,8.0,32.0,26.0,0.0,1103.0,39.0,196.0,444.0,472.0,92.0,1103.0,39.0,7.0,17.9,29.0,74.4,627.0,3276.0,1210.0,35.0,33.0,15.0,72.0,42.0,746.0,154.0,35,2812.0,80.0,82.2,31.2,35,80.0,11,0,,0,0.86,26.0,45.0,-19.0,-0.61,1.17,32.1,45.1,-13.0,-0.42,0.33,10.0,0.0,0.0,47.0,37.0,23.0,22.0,8.0,15.0,0.0,0.0,0.0,120.0,18.0,53.0,25.4
Dimitris Nikolaou,gr GRE,DF,24-299,32.9,1.0,10.0,3.0,30.0,0.3,0.09,0.1,0.33,20.3,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2,1348.0,1660.0,81.2,24411.0,9983.0,598.0,652.0,91.7,569.0,651.0,87.4,149.0,298.0,50.0,0.0,0.9,0.8,-0.9,10.0,112.0,6.0,2.0,105.0,1660.0,1519.0,136.0,48.0,0.0,25.0,18.0,67.0,0.0,0.0,0.0,0.0,1348.0,5.0,10.0,27.0,0.82,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,32.0,31.0,10.0,4.0,25.0,37.0,67.6,12.0,41.0,26.0,15.0,27.0,72.0,82.0,0.0,1926.0,243.0,989.0,814.0,136.0,14.0,1926.0,14.0,10.0,71.4,2.0,14.3,1138.0,5327.0,2878.0,20.0,19.0,0.0,18.0,10.0,1242.0,15.0,36,2960.0,82.0,86.5,32.9,34,87.0,27,2,7.0,0,0.86,28.0,53.0,-25.0,-0.76,0.41,35.4,50.4,-15.0,-0.46,0.12,9.0,1.0,0.0,27.0,20.0,0.0,18.0,27.0,32.0,0.0,0.0,0.0,202.0,30.0,29.0,50.8
Bartłomiej Drągowski,pl POL,GK,25-293,32.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,808.0,1173.0,68.9,21748.0,14971.0,205.0,206.0,99.5,355.0,362.0,98.1,240.0,594.0,40.4,1.0,0.1,0.2,0.9,1.0,22.0,3.0,0.0,0.0,1173.0,889.0,282.0,86.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,2.0,1.0,7.0,0.21,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,1.0,2.0,15.0,3.0,1265.0,1027.0,1258.0,7.0,0.0,0.0,1265.0,0.0,0.0,,0.0,,757.0,4042.0,2471.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0,34,2946.0,87.0,86.1,32.7,34,87.0,32,0,,3,0.82,24.0,54.0,-30.0,-0.92,-0.73,32.4,50.9,-18.5,-0.56,-0.65,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,8.0,1.0,88.9
Ethan Ampadu,wls WAL,"DF,MF",22-267,29.3,0.0,16.0,5.0,31.3,0.55,0.17,0.0,0.0,18.1,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,1254.0,1548.0,81.0,23855.0,9527.0,474.0,538.0,88.1,631.0,707.0,89.3,134.0,253.0,53.0,1.0,1.1,0.9,-0.1,13.0,106.0,14.0,4.0,125.0,1548.0,1426.0,116.0,46.0,3.0,17.0,11.0,47.0,0.0,0.0,0.0,0.0,1254.0,6.0,20.0,40.0,1.36,33.0,0.0,0.0,4.0,2.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,66.0,37.0,33.0,28.0,5.0,17.0,41.0,41.5,24.0,48.0,23.0,25.0,36.0,102.0,98.0,0.0,1889.0,229.0,930.0,841.0,140.0,19.0,1889.0,12.0,9.0,75.0,1.0,8.3,1007.0,5907.0,3014.0,28.0,21.0,0.0,18.0,7.0,1090.0,10.0,31,2639.0,85.0,77.2,29.3,31,85.0,22,0,,0,0.77,22.0,42.0,-20.0,-0.68,0.59,32.6,43.9,-11.3,-0.38,0.39,11.0,1.0,1.0,44.0,20.0,1.0,11.0,36.0,37.0,0.0,2.0,0.0,203.0,61.0,40.0,60.4
M'Bala Nzola,ao ANG,FW,26-294,29.5,13.0,60.0,20.0,33.3,2.04,0.68,0.17,0.5,14.9,0.0,3.0,3.0,11.0,8.6,0.14,2.0,1.4,471.0,593.0,79.4,5580.0,916.0,309.0,363.0,85.1,108.0,138.0,78.3,8.0,10.0,80.0,2.0,2.5,2.7,-0.5,28.0,23.0,18.0,2.0,50.0,593.0,566.0,25.0,4.0,0.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,471.0,2.0,17.0,67.0,2.27,52.0,0.0,5.0,4.0,6.0,0.0,7.0,0.24,3.0,0.0,3.0,0.0,1.0,0.0,12.0,5.0,0.0,6.0,6.0,3.0,9.0,33.3,6.0,20.0,6.0,14.0,7.0,19.0,21.0,0.0,966.0,32.0,64.0,351.0,562.0,143.0,963.0,80.0,30.0,37.5,39.0,48.8,620.0,3345.0,995.0,50.0,26.0,28.0,123.0,69.0,769.0,215.0,31,2653.0,86.0,77.6,29.5,29,89.0,26,2,35.0,0,0.94,26.0,43.0,-17.0,-0.58,1.07,32.0,47.4,-15.3,-0.52,-0.21,8.0,0.0,0.0,57.0,41.0,10.0,10.0,7.0,5.0,0.0,0.0,0.0,74.0,42.0,80.0,34.4
Kelvin Amian,fr FRA,DF,25-120,26.3,0.0,26.0,7.0,26.9,0.99,0.27,0.0,0.0,16.7,1.0,0.0,0.0,2.7,2.7,0.1,-2.7,-2.7,830.0,1110.0,74.8,13341.0,5833.0,414.0,481.0,86.1,324.0,419.0,77.3,59.0,131.0,45.0,1.0,2.3,2.2,-1.3,18.0,80.0,19.0,10.0,102.0,1110.0,869.0,238.0,14.0,1.0,2.0,39.0,222.0,2.0,0.0,1.0,0.0,830.0,3.0,31.0,45.0,1.71,34.0,3.0,2.0,4.0,0.0,2.0,3.0,0.11,1.0,0.0,0.0,2.0,0.0,0.0,54.0,32.0,33.0,12.0,9.0,24.0,31.0,77.4,7.0,34.0,12.0,22.0,22.0,76.0,87.0,1.0,1395.0,110.0,506.0,512.0,383.0,47.0,1395.0,30.0,16.0,53.3,11.0,36.7,623.0,3822.0,2090.0,53.0,31.0,3.0,25.0,18.0,720.0,72.0,30,2371.0,79.0,69.3,26.3,26,86.0,22,4,31.0,0,0.73,21.0,42.0,-21.0,-0.8,0.06,32.0,41.6,-9.6,-0.37,0.35,7.0,1.0,1.0,37.0,5.0,1.0,39.0,22.0,32.0,0.0,2.0,0.0,107.0,34.0,35.0,49.3
Arkadiusz Reca,pl POL,DF,27-356,24.1,1.0,22.0,8.0,36.4,0.91,0.33,0.05,0.13,23.7,0.0,0.0,0.0,1.0,1.0,0.04,0.0,0.0,827.0,1197.0,69.1,14250.0,5884.0,393.0,478.0,82.2,320.0,430.0,74.4,89.0,200.0,44.5,1.0,2.2,2.1,-1.2,23.0,76.0,33.0,25.0,79.0,1197.0,943.0,250.0,5.0,0.0,9.0,99.0,245.0,0.0,0.0,0.0,0.0,827.0,4.0,45.0,50.0,2.07,39.0,2.0,3.0,4.0,1.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,44.0,28.0,22.0,12.0,10.0,19.0,32.0,59.4,13.0,21.0,5.0,16.0,24.0,68.0,54.0,0.0,1483.0,90.0,469.0,605.0,424.0,32.0,1483.0,61.0,19.0,31.1,36.0,59.0,736.0,5119.0,3001.0,82.0,50.0,8.0,38.0,10.0,821.0,94.0,30,2171.0,72.0,63.5,24.1,24,83.0,17,6,29.0,1,0.73,21.0,38.0,-17.0,-0.7,0.3,25.5,35.3,-9.8,-0.41,0.18,5.0,0.0,0.0,32.0,15.0,2.0,99.0,24.0,28.0,0.0,1.0,0.0,125.0,19.0,22.0,46.3
Kevin Agudelo,co COL,"MF,FW",24-206,23.7,0.0,28.0,7.0,25.0,1.18,0.3,0.0,0.0,21.4,0.0,0.0,0.0,1.5,1.5,0.05,-1.5,-1.5,531.0,735.0,72.2,7885.0,2631.0,295.0,349.0,84.5,173.0,226.0,76.5,30.0,54.0,55.6,1.0,3.0,2.6,-2.0,28.0,58.0,31.0,2.0,110.0,735.0,711.0,17.0,2.0,5.0,1.0,34.0,7.0,5.0,3.0,2.0,0.0,531.0,7.0,39.0,59.0,2.49,41.0,1.0,9.0,4.0,4.0,0.0,3.0,0.13,2.0,0.0,0.0,0.0,1.0,0.0,71.0,38.0,22.0,30.0,19.0,25.0,59.0,42.4,34.0,39.0,5.0,34.0,10.0,81.0,6.0,0.0,1084.0,11.0,168.0,500.0,457.0,54.0,1084.0,109.0,50.0,45.9,50.0,45.9,662.0,4963.0,2740.0,81.0,71.0,19.0,59.0,55.0,699.0,100.0,34,2132.0,63.0,62.3,23.7,23,78.0,6,11,31.0,2,0.76,20.0,39.0,-19.0,-0.8,0.04,24.4,38.7,-14.3,-0.6,-0.35,5.0,0.0,0.0,34.0,35.0,2.0,34.0,10.0,38.0,0.0,0.0,0.0,140.0,17.0,27.0,38.6
Albin Ekdal,se SWE,MF,33-315,19.3,0.0,19.0,4.0,21.1,0.99,0.21,0.0,0.0,14.4,0.0,0.0,0.0,2.9,2.9,0.16,-2.9,-2.9,606.0,782.0,77.5,8887.0,3150.0,334.0,401.0,83.3,214.0,260.0,82.3,27.0,60.0,45.0,2.0,1.6,0.9,0.4,10.0,62.0,17.0,2.0,80.0,782.0,756.0,24.0,20.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,606.0,2.0,14.0,35.0,1.82,26.0,0.0,1.0,4.0,2.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,14.0,20.0,3.0,19.0,45.0,42.2,26.0,24.0,2.0,22.0,26.0,63.0,36.0,0.0,999.0,49.0,256.0,551.0,208.0,34.0,999.0,19.0,12.0,63.2,5.0,26.3,496.0,2381.0,929.0,15.0,24.0,2.0,32.0,17.0,566.0,35.0,31,1735.0,56.0,50.7,19.3,18,79.0,8,13,24.0,1,0.97,14.0,29.0,-15.0,-0.78,0.08,26.0,28.1,-2.1,-0.11,0.74,6.0,1.0,1.0,32.0,28.0,0.0,4.0,26.0,20.0,0.0,0.0,0.0,126.0,36.0,21.0,63.2
Jakub Kiwior,pl POL,DF,23-113,16.0,0.0,10.0,2.0,20.0,0.62,0.12,0.0,0.0,16.6,1.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,653.0,775.0,84.3,13165.0,4165.0,209.0,238.0,87.8,343.0,371.0,92.5,93.0,147.0,63.3,0.0,0.2,0.6,-0.2,4.0,25.0,5.0,0.0,37.0,775.0,683.0,89.0,34.0,1.0,3.0,14.0,12.0,9.0,6.0,3.0,0.0,653.0,3.0,4.0,15.0,0.94,9.0,3.0,0.0,1.0,0.0,2.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,15.0,7.0,0.0,6.0,24.0,25.0,18.0,26.0,18.0,8.0,24.0,46.0,71.0,1.0,953.0,177.0,594.0,307.0,58.0,15.0,953.0,7.0,5.0,71.4,2.0,28.6,464.0,2749.0,1395.0,13.0,3.0,1.0,8.0,5.0,498.0,6.0,17,1443.0,85.0,42.2,16.0,17,85.0,13,0,,1,0.88,16.0,27.0,-11.0,-0.69,0.22,15.3,26.6,-11.3,-0.71,-0.4,3.0,0.0,0.0,16.0,5.0,0.0,14.0,24.0,17.0,0.0,0.0,0.0,93.0,22.0,12.0,64.7
Emil Holm,se SWE,DF,23-026,15.5,1.0,15.0,5.0,33.3,0.97,0.32,0.07,0.2,14.9,0.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,342.0,573.0,59.7,5181.0,1707.0,178.0,246.0,72.4,127.0,204.0,62.3,17.0,63.0,27.0,1.0,1.3,1.1,-0.3,13.0,30.0,12.0,5.0,40.0,573.0,463.0,108.0,1.0,1.0,3.0,50.0,107.0,0.0,0.0,0.0,0.0,342.0,2.0,21.0,36.0,2.33,24.0,5.0,2.0,2.0,3.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,13.0,8.0,5.0,16.0,31.0,51.6,15.0,21.0,6.0,15.0,9.0,35.0,41.0,0.0,804.0,42.0,179.0,318.0,318.0,40.0,804.0,44.0,18.0,40.9,21.0,47.7,338.0,2509.0,1128.0,41.0,24.0,10.0,47.0,22.0,430.0,82.0,20,1393.0,70.0,40.7,15.5,17,79.0,9,3,15.0,3,0.9,14.0,24.0,-10.0,-0.65,0.29,16.0,23.3,-7.3,-0.47,0.0,4.0,0.0,0.0,22.0,16.0,2.0,50.0,9.0,15.0,0.0,0.0,0.0,81.0,65.0,62.0,51.2
Simone Bastoni,it ITA,"MF,DF",26-215,13.2,2.0,22.0,7.0,31.8,1.67,0.53,0.09,0.29,20.9,2.0,0.0,0.0,1.1,1.1,0.05,0.9,0.9,367.0,596.0,61.6,6147.0,2336.0,188.0,222.0,84.7,124.0,203.0,61.1,41.0,108.0,38.0,4.0,1.7,1.3,2.3,18.0,35.0,11.0,8.0,32.0,596.0,481.0,114.0,23.0,2.0,5.0,103.0,43.0,48.0,26.0,16.0,0.0,367.0,1.0,38.0,30.0,2.27,19.0,8.0,0.0,2.0,0.0,1.0,3.0,0.23,3.0,0.0,0.0,0.0,0.0,0.0,47.0,24.0,23.0,19.0,5.0,15.0,33.0,45.5,18.0,20.0,5.0,15.0,8.0,55.0,14.0,0.0,749.0,31.0,183.0,306.0,273.0,24.0,749.0,20.0,7.0,35.0,10.0,50.0,341.0,1724.0,853.0,20.0,16.0,2.0,20.0,14.0,401.0,65.0,19,1189.0,63.0,34.8,13.2,15,74.0,3,4,22.0,3,0.89,12.0,22.0,-10.0,-0.76,0.09,14.2,17.3,-3.0,-0.23,0.38,7.0,0.0,0.0,29.0,12.0,2.0,103.0,8.0,24.0,0.0,0.0,0.0,87.0,12.0,9.0,57.1
Mattia Caldara,it ITA,DF,29-034,13.9,0.0,11.0,4.0,36.4,0.79,0.29,0.0,0.0,10.5,0.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,461.0,600.0,76.8,8308.0,3214.0,183.0,220.0,83.2,223.0,270.0,82.6,45.0,93.0,48.4,0.0,0.0,0.1,0.0,1.0,23.0,1.0,0.0,35.0,600.0,540.0,58.0,31.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,461.0,2.0,4.0,7.0,0.5,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,10.0,11.0,2.0,9.0,20.0,45.0,11.0,23.0,16.0,7.0,17.0,40.0,88.0,2.0,791.0,145.0,450.0,304.0,46.0,17.0,791.0,5.0,2.0,40.0,2.0,40.0,380.0,1885.0,830.0,5.0,4.0,0.0,9.0,4.0,361.0,4.0,20,1253.0,63.0,36.6,13.9,13,87.0,11,7,17.0,15,1.1,10.0,22.0,-12.0,-0.86,-0.07,12.2,27.5,-15.3,-1.1,-0.98,6.0,0.0,0.0,16.0,10.0,1.0,1.0,17.0,14.0,0.0,1.0,1.0,93.0,35.0,24.0,59.3
Przemysław Wiśniewski,pl POL,DF,24-316,11.1,1.0,6.0,3.0,50.0,0.54,0.27,0.17,0.33,9.8,0.0,0.0,0.0,1.2,1.2,0.21,-0.2,-0.2,417.0,502.0,83.1,8258.0,2784.0,127.0,144.0,88.2,234.0,251.0,93.2,51.0,91.0,56.0,0.0,0.7,0.3,-0.7,3.0,22.0,3.0,0.0,24.0,502.0,468.0,33.0,19.0,0.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,417.0,1.0,7.0,6.0,0.54,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.09,0.0,0.0,0.0,1.0,0.0,0.0,13.0,6.0,7.0,6.0,0.0,6.0,18.0,33.3,12.0,16.0,8.0,8.0,11.0,24.0,66.0,0.0,635.0,99.0,389.0,215.0,33.0,7.0,635.0,5.0,2.0,40.0,3.0,60.0,322.0,1643.0,771.0,2.0,1.0,0.0,6.0,4.0,373.0,1.0,14,1003.0,72.0,29.3,11.1,11,90.0,11,3,4.0,5,0.79,9.0,20.0,-11.0,-0.99,-0.24,13.9,14.2,-0.3,-0.03,0.63,3.0,0.0,0.0,13.0,7.0,0.0,2.0,11.0,6.0,0.0,0.0,2.0,46.0,40.0,16.0,71.4
Daniele Verde,it ITA,"FW,MF",26-353,11.1,3.0,32.0,10.0,31.3,2.89,0.9,0.06,0.2,21.6,1.0,1.0,1.0,2.9,2.1,0.07,0.1,-0.1,312.0,443.0,70.4,5403.0,1794.0,143.0,175.0,81.7,128.0,168.0,76.2,35.0,74.0,47.3,0.0,1.3,2.4,-1.3,18.0,28.0,17.0,6.0,42.0,443.0,348.0,93.0,18.0,1.0,6.0,68.0,18.0,37.0,20.0,12.0,0.0,312.0,2.0,8.0,44.0,3.97,27.0,12.0,0.0,1.0,1.0,3.0,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,3.0,7.0,42.9,4.0,6.0,0.0,6.0,8.0,12.0,4.0,0.0,538.0,11.0,63.0,219.0,261.0,30.0,537.0,17.0,6.0,35.3,7.0,41.2,301.0,1569.0,592.0,18.0,9.0,8.0,17.0,12.0,345.0,57.0,25,998.0,40.0,29.2,11.1,11,62.0,0,14,23.0,7,0.6,8.0,20.0,-12.0,-1.08,-0.38,14.5,18.8,-4.3,-0.39,0.12,1.0,0.0,0.0,2.0,15.0,3.0,68.0,8.0,4.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0
Salvatore Esposito,it ITA,MF,22-244,10.8,1.0,14.0,2.0,14.3,1.3,0.19,0.07,0.5,28.5,11.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3,500.0,653.0,76.6,8468.0,2456.0,254.0,281.0,90.4,187.0,225.0,83.1,44.0,108.0,40.7,0.0,1.5,1.3,-1.5,12.0,49.0,6.0,1.0,51.0,653.0,570.0,81.0,41.0,1.0,9.0,54.0,1.0,39.0,25.0,10.0,0.0,500.0,2.0,12.0,28.0,2.6,13.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,8.0,5.0,2.0,5.0,21.0,23.8,16.0,9.0,1.0,8.0,11.0,26.0,18.0,0.0,737.0,21.0,175.0,409.0,156.0,7.0,737.0,14.0,6.0,42.9,4.0,28.6,354.0,1296.0,584.0,4.0,3.0,1.0,10.0,4.0,466.0,11.0,15,971.0,65.0,28.4,10.8,10,84.0,6,5,26.0,5,0.47,7.0,19.0,-12.0,-1.11,-0.41,13.2,14.7,-1.5,-0.14,0.47,5.0,1.0,1.0,11.0,24.0,2.0,54.0,11.0,12.0,0.0,0.0,0.0,63.0,7.0,4.0,63.6
Eldor Shomurodov,uz UZB,FW,27-344,9.0,1.0,18.0,4.0,22.2,2.0,0.45,0.06,0.25,15.7,0.0,0.0,0.0,2.8,2.8,0.16,-1.8,-1.8,143.0,205.0,69.8,1903.0,367.0,86.0,113.0,76.1,44.0,56.0,78.6,5.0,11.0,45.5,1.0,1.4,0.8,-0.4,11.0,7.0,5.0,1.0,15.0,205.0,186.0,19.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,8.0,19.0,2.12,17.0,0.0,2.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,2.0,11.0,18.2,9.0,5.0,1.0,4.0,3.0,8.0,4.0,0.0,316.0,4.0,31.0,140.0,151.0,34.0,316.0,25.0,8.0,32.0,13.0,52.0,170.0,899.0,337.0,7.0,4.0,3.0,37.0,17.0,222.0,53.0,15,808.0,54.0,23.6,9.0,9,80.0,6,6,14.0,3,0.6,6.0,16.0,-10.0,-1.11,-0.39,11.1,12.6,-1.5,-0.17,0.4,2.0,0.0,0.0,9.0,7.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,30.0,20.0,35.0,36.4
Viktor Kovalenko,ua UKR,MF,27-114,6.1,0.0,11.0,1.0,9.1,1.81,0.16,0.0,0.0,15.4,1.0,0.0,0.0,1.6,1.6,0.15,-1.6,-1.6,189.0,241.0,78.4,2975.0,643.0,102.0,113.0,90.3,72.0,88.0,81.8,13.0,25.0,52.0,0.0,0.6,0.5,-0.6,6.0,7.0,4.0,1.0,22.0,241.0,223.0,17.0,4.0,0.0,3.0,15.0,3.0,10.0,5.0,4.0,0.0,189.0,1.0,8.0,12.0,1.97,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,1.0,6.0,2.0,5.0,8.0,62.5,3.0,11.0,2.0,9.0,4.0,13.0,7.0,0.0,309.0,10.0,56.0,150.0,105.0,19.0,309.0,5.0,4.0,80.0,1.0,20.0,158.0,684.0,254.0,4.0,3.0,2.0,9.0,2.0,191.0,28.0,18,548.0,30.0,16.0,6.1,7,53.0,0,11,16.0,9,0.89,4.0,10.0,-6.0,-0.99,-0.2,5.1,7.6,-2.5,-0.42,0.07,1.0,0.0,0.0,9.0,12.0,1.0,15.0,4.0,5.0,1.0,0.0,0.0,31.0,6.0,14.0,30.0
Daniel Maldini,it ITA,"FW,MF",21-240,7.0,2.0,15.0,6.0,40.0,2.15,0.86,0.13,0.33,19.0,1.0,0.0,0.0,1.2,1.2,0.08,0.8,0.8,125.0,187.0,66.8,1665.0,330.0,72.0,89.0,80.9,33.0,47.0,70.2,7.0,25.0,28.0,0.0,0.5,0.3,-0.5,4.0,9.0,5.0,1.0,10.0,187.0,164.0,22.0,4.0,0.0,1.0,19.0,1.0,9.0,8.0,1.0,0.0,125.0,1.0,7.0,22.0,3.16,10.0,1.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,3.0,4.0,5.0,4.0,11.0,36.4,7.0,9.0,0.0,9.0,1.0,13.0,8.0,0.0,289.0,7.0,40.0,121.0,132.0,15.0,289.0,46.0,23.0,50.0,18.0,39.1,158.0,978.0,417.0,13.0,8.0,4.0,24.0,8.0,183.0,34.0,18,627.0,35.0,18.3,7.0,4,56.0,0,14,29.0,10,0.61,5.0,11.0,-6.0,-0.86,-0.06,8.1,12.1,-4.0,-0.57,-0.12,1.0,0.0,0.0,13.0,18.0,0.0,19.0,1.0,5.0,0.0,0.0,0.0,32.0,12.0,17.0,41.4
