player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Maxime Dupé,fr FRA,GK,29.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,13.4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,994.0,1271.0,78.2,25377.0,16802.0,169.0,169.0,100.0,560.0,570.0,98.2,258.0,523.0,49.3,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1271.0,918.0,352.0,88.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,1.0,1.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1372.0,1064.0,1364.0,7.0,1.0,1.0,1372.0,2.0,2.0,100.0,0.0,0.0,941.0,5150.0,3364.0,0.0,0.0,0.0,2.0,0.0,686.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.26,51.0,57.0,-6.0,-0.16,,52.5,57.0,-4.5,-0.12,,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,9.0,0.0,100.0
Anthony Rouault,fr FRA,DF,21.0,36.8,2.0,19.0,10.0,52.6,0.52,0.27,0.11,0.2,9.0,0.0,0.0,0.0,3.3,3.3,0.17,-1.3,-1.3,1802.0,2063.0,87.3,34985.0,13356.0,621.0,677.0,91.7,941.0,1003.0,93.8,208.0,329.0,63.2,1.0,0.8,0.5,0.2,6.0,113.0,6.0,0.0,136.0,2063.0,1923.0,138.0,67.0,1.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,1802.0,2.0,14.0,13.0,0.35,10.0,0.0,0.0,2.0,0.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,66.0,37.0,54.0,10.0,2.0,30.0,58.0,51.7,28.0,52.0,26.0,26.0,56.0,122.0,126.0,4.0,2451.0,369.0,1282.0,1113.0,69.0,33.0,2451.0,10.0,3.0,30.0,5.0,50.0,1683.0,8531.0,4632.0,10.0,8.0,1.0,23.0,5.0,1513.0,6.0,37,3314.0,90.0,96.9,36.8,37,90.0,35,0,,1,1.27,51.0,55.0,-4.0,-0.11,1.59,51.7,54.0,-2.4,-0.06,1.75,4.0,1.0,1.0,21.0,17.0,1.0,0.0,56.0,37.0,0.0,0.0,1.0,213.0,86.0,64.0,57.3
Stijn Spierings,nl NED,MF,26.0,34.7,2.0,24.0,5.0,20.8,0.69,0.14,0.08,0.4,20.2,0.0,0.0,0.0,1.8,1.8,0.07,0.2,0.2,1778.0,2085.0,85.3,32238.0,10001.0,781.0,875.0,89.3,730.0,809.0,90.2,210.0,298.0,70.5,0.0,2.1,1.7,-2.1,22.0,192.0,22.0,5.0,231.0,2085.0,2005.0,75.0,68.0,1.0,35.0,21.0,7.0,0.0,0.0,0.0,0.0,1778.0,5.0,40.0,60.0,1.73,48.0,0.0,2.0,3.0,3.0,4.0,6.0,0.17,4.0,0.0,1.0,0.0,1.0,0.0,95.0,67.0,37.0,49.0,9.0,43.0,101.0,42.6,58.0,49.0,11.0,38.0,53.0,148.0,44.0,0.0,2428.0,96.0,582.0,1532.0,340.0,20.0,2428.0,40.0,16.0,40.0,13.0,32.5,1843.0,8655.0,3759.0,31.0,41.0,4.0,27.0,25.0,1616.0,30.0,36,3120.0,87.0,91.2,34.7,35,89.0,31,1,22.0,1,1.25,48.0,53.0,-5.0,-0.14,0.16,48.0,50.7,-2.8,-0.08,0.44,6.0,0.0,0.0,55.0,50.0,0.0,21.0,53.0,67.0,1.0,1.0,0.0,336.0,20.0,20.0,50.0
Rasmus Nicolaisen,dk DEN,DF,25.0,33.3,0.0,13.0,7.0,53.8,0.39,0.21,0.0,0.0,11.5,0.0,0.0,0.0,1.2,1.2,0.09,-1.2,-1.2,1484.0,1763.0,84.2,29502.0,11304.0,479.0,556.0,86.2,790.0,870.0,90.8,188.0,289.0,65.1,2.0,0.8,0.7,1.2,5.0,81.0,3.0,0.0,114.0,1763.0,1721.0,40.0,37.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,1484.0,2.0,10.0,12.0,0.36,11.0,0.0,0.0,1.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,48.0,21.0,34.0,14.0,0.0,29.0,46.0,63.0,17.0,58.0,45.0,13.0,50.0,98.0,152.0,0.0,2130.0,328.0,1123.0,960.0,55.0,33.0,2130.0,15.0,9.0,60.0,3.0,20.0,1500.0,8417.0,4790.0,21.0,9.0,2.0,7.0,6.0,1353.0,4.0,34,2995.0,88.0,87.6,33.3,34,88.0,32,0,,1,1.32,48.0,47.0,1.0,0.03,1.51,46.9,46.7,0.2,0.01,1.01,7.0,1.0,1.0,30.0,28.0,1.0,0.0,50.0,21.0,0.0,1.0,1.0,188.0,116.0,41.0,73.9
Branco van den Boomen,nl NED,MF,27.0,32.1,5.0,48.0,20.0,41.7,1.5,0.62,0.02,0.05,25.1,16.0,4.0,4.0,6.0,2.9,0.06,-1.0,-1.9,1684.0,2214.0,76.1,37506.0,12927.0,551.0,625.0,88.2,700.0,852.0,82.2,387.0,636.0,60.8,8.0,8.1,8.1,-0.1,88.0,270.0,51.0,13.0,321.0,2214.0,1891.0,310.0,89.0,12.0,70.0,282.0,21.0,169.0,58.0,101.0,0.0,1684.0,13.0,37.0,154.0,4.8,85.0,57.0,0.0,9.0,3.0,0.0,22.0,0.69,16.0,3.0,0.0,3.0,0.0,0.0,71.0,36.0,26.0,32.0,13.0,36.0,89.0,40.4,53.0,27.0,4.0,23.0,10.0,81.0,27.0,2.0,2457.0,43.0,385.0,1362.0,726.0,38.0,2453.0,38.0,19.0,50.0,14.0,36.8,1758.0,8854.0,3811.0,48.0,54.0,7.0,32.0,12.0,1682.0,102.0,35,2888.0,83.0,84.4,32.1,32,88.0,25,3,29.0,0,1.17,44.0,54.0,-10.0,-0.31,-0.99,44.4,49.6,-5.2,-0.16,-0.28,6.0,0.0,0.0,33.0,19.0,2.0,282.0,10.0,36.0,0.0,0.0,0.0,182.0,6.0,12.0,33.3
Zakaria Aboukhlal,ma MAR,"FW,MF",22.0,27.5,10.0,83.0,30.0,36.1,3.02,1.09,0.12,0.33,15.9,0.0,0.0,0.0,11.5,11.5,0.14,-1.5,-1.5,576.0,777.0,74.1,7539.0,1994.0,373.0,448.0,83.3,158.0,208.0,76.0,12.0,29.0,41.4,5.0,3.3,2.8,1.7,22.0,30.0,22.0,4.0,72.0,777.0,744.0,28.0,1.0,1.0,1.0,29.0,22.0,1.0,0.0,0.0,0.0,576.0,5.0,46.0,80.0,2.91,44.0,1.0,10.0,13.0,10.0,2.0,8.0,0.29,4.0,0.0,1.0,2.0,1.0,0.0,33.0,23.0,13.0,9.0,11.0,14.0,45.0,31.1,31.0,18.0,1.0,17.0,22.0,55.0,23.0,0.0,1163.0,32.0,156.0,456.0,571.0,150.0,1163.0,109.0,42.0,38.5,57.0,52.3,901.0,6005.0,2659.0,100.0,48.0,43.0,83.0,36.0,843.0,276.0,37,2473.0,67.0,72.3,27.5,28,80.0,12,9,26.0,0,1.27,38.0,45.0,-7.0,-0.25,-0.35,38.9,42.3,-3.3,-0.12,-0.01,4.0,0.0,0.0,41.0,46.0,20.0,29.0,22.0,23.0,0.0,0.0,0.0,130.0,12.0,31.0,27.9
Thijs Dallinga,nl NED,FW,21.0,26.1,12.0,61.0,30.0,49.2,2.33,1.15,0.2,0.4,12.1,0.0,0.0,0.0,9.8,9.8,0.16,2.2,2.2,327.0,522.0,62.6,4337.0,720.0,200.0,288.0,69.4,89.0,145.0,61.4,12.0,18.0,66.7,1.0,2.0,1.3,-1.0,22.0,19.0,5.0,1.0,30.0,522.0,516.0,4.0,0.0,0.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,327.0,2.0,32.0,42.0,1.61,33.0,0.0,1.0,7.0,1.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,2.0,2.0,4.0,1.0,13.0,7.7,12.0,17.0,3.0,14.0,3.0,11.0,20.0,0.0,719.0,24.0,43.0,341.0,341.0,110.0,719.0,24.0,10.0,41.7,9.0,37.5,517.0,2700.0,742.0,23.0,21.0,8.0,40.0,18.0,574.0,174.0,36,2353.0,65.0,68.8,26.1,28,75.0,5,8,33.0,1,1.22,32.0,36.0,-4.0,-0.15,0.02,35.6,36.6,-1.0,-0.04,0.26,4.0,0.0,0.0,35.0,19.0,22.0,18.0,3.0,6.0,0.0,0.0,0.0,41.0,56.0,68.0,45.2
Mikkel Desler,dk DEN,DF,27.0,25.1,1.0,11.0,4.0,36.4,0.44,0.16,0.09,0.25,17.6,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,1336.0,1573.0,84.9,19956.0,7128.0,737.0,809.0,91.1,490.0,567.0,86.4,63.0,108.0,58.3,2.0,1.9,2.6,0.1,17.0,104.0,19.0,7.0,136.0,1573.0,1338.0,230.0,22.0,1.0,2.0,42.0,208.0,0.0,0.0,0.0,0.0,1336.0,5.0,36.0,49.0,1.96,42.0,1.0,2.0,3.0,1.0,0.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,71.0,38.0,36.0,27.0,8.0,43.0,67.0,64.2,24.0,35.0,6.0,29.0,36.0,107.0,48.0,2.0,1855.0,94.0,457.0,936.0,477.0,33.0,1855.0,51.0,27.0,52.9,16.0,31.4,1269.0,6952.0,3217.0,59.0,56.0,9.0,40.0,17.0,1146.0,127.0,27,2257.0,84.0,66.0,25.1,26,86.0,18,1,29.0,2,1.37,36.0,35.0,1.0,0.04,0.58,36.1,35.1,1.0,0.04,0.47,5.0,1.0,1.0,28.0,32.0,6.0,42.0,36.0,38.0,0.0,0.0,0.0,165.0,23.0,9.0,71.9
Rafael Ratão,br BRA,"FW,MF",26.0,20.6,5.0,31.0,11.0,35.5,1.51,0.53,0.16,0.45,12.4,0.0,0.0,0.0,5.1,5.1,0.17,-0.1,-0.1,590.0,800.0,73.8,8370.0,2341.0,338.0,423.0,79.9,183.0,243.0,75.3,31.0,58.0,53.4,4.0,4.1,3.8,-0.1,30.0,46.0,33.0,9.0,83.0,800.0,777.0,18.0,1.0,5.0,3.0,52.0,16.0,0.0,0.0,0.0,0.0,590.0,5.0,25.0,58.0,2.82,47.0,0.0,2.0,7.0,1.0,1.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,29.0,16.0,7.0,27.0,73.0,37.0,46.0,34.0,0.0,34.0,21.0,73.0,7.0,0.0,1084.0,17.0,160.0,478.0,464.0,72.0,1084.0,85.0,38.0,44.7,37.0,43.5,856.0,5513.0,2196.0,61.0,40.0,16.0,57.0,31.0,783.0,216.0,30,1851.0,62.0,54.1,20.6,25,68.0,1,5,30.0,1,1.3,34.0,33.0,1.0,0.05,0.45,31.5,28.7,2.8,0.14,0.55,2.0,0.0,0.0,28.0,33.0,2.0,52.0,21.0,36.0,0.0,0.0,0.0,116.0,10.0,13.0,43.5
Brecht Dejaegere,be BEL,MF,31.0,20.1,4.0,23.0,7.0,30.4,1.14,0.35,0.17,0.57,14.6,0.0,0.0,0.0,2.6,2.6,0.11,1.4,1.4,518.0,664.0,78.0,8008.0,2371.0,278.0,331.0,84.0,196.0,242.0,81.0,30.0,49.0,61.2,1.0,1.7,2.1,-0.7,17.0,56.0,25.0,0.0,96.0,664.0,619.0,40.0,2.0,5.0,3.0,19.0,8.0,1.0,1.0,0.0,0.0,518.0,5.0,18.0,48.0,2.39,40.0,0.0,4.0,2.0,2.0,0.0,6.0,0.3,4.0,0.0,1.0,1.0,0.0,0.0,40.0,23.0,10.0,20.0,10.0,15.0,51.0,29.4,36.0,25.0,5.0,20.0,14.0,54.0,11.0,0.0,879.0,21.0,114.0,478.0,303.0,43.0,879.0,50.0,19.0,38.0,25.0,50.0,649.0,3832.0,1521.0,36.0,26.0,5.0,35.0,18.0,613.0,96.0,30,1809.0,60.0,52.9,20.1,25,67.0,0,5,26.0,3,1.17,33.0,29.0,4.0,0.2,0.76,29.4,29.5,0.0,0.0,0.25,5.0,0.0,0.0,40.0,37.0,1.0,19.0,14.0,23.0,0.0,1.0,0.0,86.0,8.0,16.0,33.3
Fares Chaïbi,dz ALG,"FW,MF",19.0,26.0,5.0,63.0,25.0,39.7,2.42,0.96,0.08,0.2,16.8,2.0,0.0,0.0,5.9,5.9,0.09,-0.9,-0.9,742.0,1018.0,72.9,11489.0,3144.0,398.0,486.0,81.9,252.0,324.0,77.8,56.0,121.0,46.3,5.0,4.9,4.5,0.1,30.0,68.0,27.0,5.0,101.0,1018.0,975.0,37.0,8.0,6.0,13.0,57.0,14.0,8.0,1.0,4.0,0.0,742.0,6.0,33.0,72.0,2.77,55.0,1.0,5.0,8.0,3.0,0.0,7.0,0.27,5.0,0.0,0.0,2.0,0.0,0.0,31.0,18.0,8.0,15.0,8.0,17.0,50.0,34.0,33.0,38.0,5.0,33.0,19.0,50.0,36.0,1.0,1314.0,48.0,194.0,606.0,531.0,86.0,1314.0,36.0,12.0,33.3,21.0,58.3,997.0,5316.0,2412.0,71.0,41.0,18.0,54.0,24.0,970.0,212.0,36,2340.0,65.0,68.4,26.0,24,81.0,8,12,33.0,0,1.22,39.0,30.0,9.0,0.35,1.6,36.8,37.5,-0.7,-0.03,0.28,2.0,0.0,0.0,34.0,21.0,8.0,57.0,19.0,18.0,0.0,0.0,0.0,109.0,30.0,50.0,37.5
Issiaga Sylla,gn GUI,DF,28.0,15.2,0.0,9.0,3.0,33.3,0.59,0.2,0.0,0.0,17.9,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,645.0,838.0,77.0,9771.0,3801.0,339.0,407.0,83.3,246.0,307.0,80.1,31.0,56.0,55.4,0.0,0.5,1.1,-0.5,6.0,58.0,20.0,4.0,95.0,838.0,675.0,160.0,17.0,0.0,1.0,41.0,143.0,0.0,0.0,0.0,0.0,645.0,3.0,25.0,30.0,1.97,20.0,5.0,2.0,1.0,2.0,0.0,5.0,0.33,2.0,2.0,0.0,0.0,1.0,0.0,28.0,15.0,14.0,9.0,5.0,15.0,34.0,44.1,19.0,15.0,5.0,10.0,38.0,66.0,38.0,0.0,1027.0,56.0,261.0,448.0,332.0,17.0,1027.0,34.0,10.0,29.4,22.0,64.7,668.0,4225.0,2097.0,51.0,44.0,5.0,23.0,34.0,576.0,107.0,17,1372.0,81.0,40.1,15.2,16,84.0,11,1,28.0,0,1.29,24.0,24.0,0.0,0.0,0.26,20.8,21.0,-0.3,-0.02,0.17,3.0,0.0,0.0,24.0,18.0,1.0,41.0,38.0,15.0,0.0,0.0,0.0,120.0,12.0,16.0,42.9
Gabriel Suazo,cl CHI,DF,24.0,14.0,0.0,2.0,0.0,0.0,0.14,0.0,0.0,,17.8,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,687.0,828.0,83.0,10771.0,4493.0,344.0,384.0,89.6,281.0,324.0,86.7,38.0,64.0,59.4,1.0,0.8,0.9,0.2,11.0,49.0,15.0,2.0,79.0,828.0,722.0,101.0,9.0,1.0,3.0,14.0,92.0,0.0,0.0,0.0,0.0,687.0,5.0,25.0,28.0,2.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,38.0,22.0,20.0,15.0,3.0,29.0,63.0,46.0,34.0,21.0,5.0,16.0,22.0,60.0,24.0,1.0,976.0,57.0,306.0,483.0,199.0,15.0,976.0,34.0,22.0,64.7,11.0,32.4,697.0,4072.0,2110.0,26.0,34.0,2.0,16.0,10.0,611.0,66.0,18,1259.0,70.0,36.8,14.0,14,87.0,12,4,10.0,0,1.33,17.0,18.0,-1.0,-0.07,0.14,22.0,20.2,1.8,0.13,0.39,1.0,0.0,0.0,18.0,11.0,1.0,14.0,22.0,22.0,0.0,1.0,0.0,104.0,9.0,9.0,50.0
Moussa Diarra,ml MLI,DF,21.0,13.6,0.0,1.0,0.0,0.0,0.07,0.0,0.0,,6.4,0.0,0.0,0.0,0.2,0.2,0.16,-0.2,-0.2,537.0,646.0,83.1,8760.0,3452.0,252.0,291.0,86.6,235.0,265.0,88.7,32.0,51.0,62.7,1.0,0.7,0.6,0.3,8.0,30.0,11.0,4.0,50.0,646.0,552.0,89.0,21.0,0.0,5.0,13.0,68.0,0.0,0.0,0.0,0.0,537.0,5.0,15.0,16.0,1.17,15.0,0.0,0.0,0.0,1.0,0.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,9.0,9.0,2.0,9.0,15.0,60.0,6.0,25.0,10.0,15.0,19.0,39.0,27.0,1.0,789.0,56.0,296.0,344.0,153.0,8.0,789.0,24.0,9.0,37.5,13.0,54.2,546.0,3188.0,1480.0,21.0,22.0,1.0,23.0,5.0,489.0,43.0,23,1225.0,53.0,35.8,13.6,12,85.0,8,11,18.0,13,1.61,18.0,20.0,-2.0,-0.15,0.02,15.8,22.6,-6.8,-0.5,-0.59,0.0,0.0,0.0,19.0,17.0,1.0,13.0,19.0,9.0,0.0,1.0,0.0,69.0,16.0,13.0,55.2
Ado Onaiwu,jp JPN,FW,26.0,12.0,2.0,19.0,4.0,21.1,1.58,0.33,0.11,0.5,17.2,0.0,0.0,0.0,1.6,1.6,0.09,0.4,0.4,252.0,337.0,74.8,3501.0,718.0,145.0,187.0,77.5,78.0,100.0,78.0,10.0,15.0,66.7,1.0,1.1,1.4,-0.1,8.0,19.0,10.0,1.0,30.0,337.0,328.0,7.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,252.0,2.0,16.0,20.0,1.66,18.0,0.0,0.0,0.0,2.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,4.0,4.0,3.0,5.0,13.0,38.5,8.0,5.0,1.0,4.0,2.0,13.0,5.0,0.0,438.0,7.0,42.0,202.0,198.0,35.0,438.0,15.0,6.0,40.0,8.0,53.3,334.0,1810.0,619.0,11.0,11.0,6.0,24.0,26.0,355.0,86.0,34,1082.0,32.0,31.6,12.0,9,63.0,0,25,20.0,4,1.24,12.0,21.0,-9.0,-0.75,-0.86,14.5,18.1,-3.5,-0.29,-0.26,0.0,0.0,0.0,15.0,15.0,3.0,5.0,2.0,6.0,0.0,0.0,0.0,35.0,37.0,38.0,49.3
Waren Kamanzi,no NOR,DF,21.0,7.4,0.0,2.0,1.0,50.0,0.27,0.14,0.0,0.0,18.1,0.0,0.0,0.0,0.3,0.3,0.13,-0.3,-0.3,306.0,358.0,85.5,4140.0,1289.0,187.0,208.0,89.9,98.0,123.0,79.7,7.0,10.0,70.0,0.0,0.3,0.2,-0.3,5.0,17.0,2.0,0.0,22.0,358.0,295.0,62.0,4.0,0.0,1.0,6.0,58.0,0.0,0.0,0.0,0.0,306.0,1.0,4.0,11.0,1.49,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,9.0,5.0,2.0,13.0,19.0,68.4,6.0,8.0,2.0,6.0,8.0,24.0,9.0,0.0,431.0,28.0,138.0,187.0,109.0,7.0,431.0,18.0,10.0,55.6,5.0,27.8,293.0,1715.0,1007.0,22.0,22.0,4.0,6.0,6.0,252.0,28.0,11,665.0,60.0,19.4,7.4,7,86.0,6,4,16.0,10,1.55,8.0,9.0,-1.0,-0.14,0.03,10.8,13.5,-2.7,-0.36,-0.3,1.0,0.0,0.0,7.0,7.0,0.0,6.0,8.0,9.0,0.0,0.0,0.0,47.0,3.0,6.0,33.3
