player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Benjamin Leroy,fr FRA,GK,33.0,31.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,533.0,875.0,60.9,18415.0,15715.0,60.0,60.0,100.0,211.0,215.0,98.1,261.0,593.0,44.0,0.0,0.0,0.1,0.0,0.0,22.0,0.0,0.0,1.0,875.0,526.0,343.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,6.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,16.0,2.0,952.0,747.0,950.0,2.0,0.0,0.0,952.0,0.0,0.0,,0.0,,532.0,3273.0,1644.0,0.0,0.0,0.0,3.0,0.0,314.0,0.0,32,2798.0,87.0,81.8,31.1,32,87.0,31,0,,3,0.69,19.0,60.0,-41.0,-1.32,0.13,30.1,43.7,-13.6,-0.44,0.17,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,100.0
Mounaim El Idrissy,fr FRA,FW,23.0,27.7,6.0,50.0,19.0,38.0,1.8,0.68,0.12,0.32,14.6,0.0,0.0,0.0,7.2,7.2,0.14,-1.2,-1.2,413.0,622.0,66.4,5248.0,987.0,269.0,372.0,72.3,96.0,147.0,65.3,13.0,26.0,50.0,0.0,1.0,0.9,-1.0,13.0,33.0,9.0,1.0,40.0,622.0,560.0,57.0,1.0,1.0,2.0,20.0,3.0,0.0,0.0,0.0,0.0,413.0,5.0,20.0,42.0,1.52,24.0,1.0,0.0,1.0,15.0,1.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,32.0,19.0,5.0,20.0,7.0,10.0,36.0,27.8,26.0,22.0,0.0,22.0,13.0,45.0,20.0,0.0,926.0,26.0,72.0,482.0,379.0,98.0,926.0,27.0,11.0,40.7,12.0,44.4,580.0,3101.0,751.0,21.0,18.0,4.0,90.0,36.0,637.0,173.0,32,2497.0,78.0,73.0,27.7,30,80.0,14,2,47.0,1,0.69,19.0,46.0,-27.0,-0.97,1.37,30.4,33.6,-3.2,-0.12,1.3,10.0,0.0,0.0,81.0,80.0,23.0,20.0,13.0,19.0,2.0,0.0,0.0,67.0,110.0,191.0,36.5
Oumar Gonzalez,cm CMR,DF,24.0,28.6,0.0,11.0,3.0,27.3,0.38,0.1,0.0,0.0,11.1,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,899.0,1102.0,81.6,17387.0,4963.0,271.0,332.0,81.6,513.0,565.0,90.8,94.0,172.0,54.7,0.0,0.0,0.2,0.0,1.0,29.0,1.0,0.0,54.0,1102.0,1058.0,43.0,41.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,899.0,1.0,5.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,28.0,34.0,13.0,4.0,23.0,37.0,62.2,14.0,32.0,11.0,21.0,52.0,103.0,82.0,0.0,1381.0,158.0,682.0,655.0,54.0,26.0,1381.0,15.0,6.0,40.0,5.0,33.3,898.0,5452.0,2707.0,12.0,6.0,1.0,20.0,10.0,755.0,5.0,30,2578.0,86.0,75.4,28.6,29,88.0,26,1,12.0,2,0.67,15.0,58.0,-43.0,-1.5,-0.65,26.1,40.2,-14.1,-0.49,-0.1,10.0,0.0,0.0,45.0,44.0,3.0,3.0,52.0,28.0,0.0,3.0,0.0,157.0,63.0,46.0,57.8
Vincent Marchetti,fr FRA,MF,25.0,27.2,0.0,37.0,9.0,24.3,1.36,0.33,0.0,0.0,22.8,1.0,0.0,0.0,2.3,2.3,0.06,-2.3,-2.3,837.0,1057.0,79.2,14335.0,4323.0,383.0,454.0,84.4,318.0,381.0,83.5,87.0,136.0,64.0,2.0,1.6,2.0,0.4,15.0,107.0,24.0,0.0,143.0,1057.0,1031.0,22.0,14.0,11.0,16.0,6.0,8.0,0.0,0.0,0.0,0.0,837.0,4.0,31.0,52.0,1.91,43.0,0.0,2.0,4.0,3.0,0.0,9.0,0.33,8.0,0.0,0.0,0.0,1.0,0.0,55.0,26.0,29.0,19.0,7.0,25.0,68.0,36.8,43.0,23.0,3.0,20.0,19.0,74.0,31.0,0.0,1369.0,62.0,254.0,840.0,308.0,28.0,1369.0,79.0,45.0,57.0,27.0,34.2,1005.0,6603.0,3350.0,66.0,59.0,9.0,50.0,39.0,901.0,58.0,31,2452.0,79.0,71.7,27.2,29,83.0,17,2,23.0,0,0.84,18.0,46.0,-28.0,-1.03,1.11,29.6,36.6,-6.9,-0.25,0.76,7.0,0.0,0.0,29.0,36.0,1.0,6.0,19.0,26.0,1.0,0.0,0.0,168.0,5.0,13.0,27.8
Mohamed Youssouf,km COM,DF,34.0,27.3,0.0,5.0,1.0,20.0,0.18,0.04,0.0,0.0,18.7,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,932.0,1279.0,72.9,14905.0,7094.0,487.0,582.0,83.7,341.0,457.0,74.6,75.0,167.0,44.9,0.0,1.4,1.4,-1.4,15.0,83.0,24.0,17.0,91.0,1279.0,986.0,289.0,21.0,0.0,0.0,89.0,268.0,0.0,0.0,0.0,0.0,932.0,4.0,54.0,32.0,1.17,26.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,44.0,41.0,24.0,7.0,38.0,61.0,62.3,23.0,32.0,8.0,24.0,65.0,137.0,70.0,0.0,1595.0,94.0,490.0,768.0,345.0,5.0,1595.0,33.0,11.0,33.3,18.0,54.5,886.0,5282.0,2314.0,48.0,35.0,0.0,30.0,14.0,770.0,83.0,30,2459.0,82.0,71.9,27.3,27,89.0,25,3,20.0,4,0.6,15.0,57.0,-42.0,-1.54,-0.69,23.9,40.7,-16.8,-0.61,-0.52,5.0,1.0,0.0,40.0,37.0,0.0,89.0,65.0,44.0,0.0,0.0,1.0,140.0,47.0,37.0,56.0
Ismael Diallo,ci CIV,DF,25.0,24.2,0.0,3.0,0.0,0.0,0.12,0.0,0.0,,17.5,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,804.0,1078.0,74.6,14552.0,5879.0,359.0,427.0,84.1,319.0,408.0,78.2,99.0,188.0,52.7,0.0,0.6,0.7,-0.6,9.0,73.0,8.0,4.0,70.0,1078.0,882.0,193.0,11.0,4.0,5.0,35.0,182.0,0.0,0.0,0.0,0.0,804.0,3.0,25.0,17.0,0.7,11.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,33.0,35.0,9.0,2.0,35.0,63.0,55.6,28.0,26.0,12.0,14.0,30.0,76.0,46.0,1.0,1309.0,95.0,517.0,633.0,177.0,3.0,1309.0,34.0,14.0,41.2,14.0,41.2,832.0,4820.0,2213.0,36.0,33.0,0.0,35.0,10.0,682.0,36.0,28,2176.0,78.0,63.6,24.2,25,83.0,17,3,31.0,1,0.86,18.0,43.0,-25.0,-1.03,0.85,28.1,32.7,-4.6,-0.19,0.76,9.0,1.0,0.0,41.0,33.0,1.0,35.0,30.0,33.0,0.0,2.0,0.0,166.0,26.0,24.0,52.0
Cyrille Bayala,bf BFA,MF,26.0,22.3,1.0,22.0,6.0,27.3,0.99,0.27,0.05,0.17,15.2,0.0,0.0,0.0,2.0,2.0,0.09,-1.0,-1.0,399.0,654.0,61.0,6041.0,2291.0,219.0,290.0,75.5,133.0,215.0,61.9,24.0,76.0,31.6,1.0,2.0,1.7,-1.0,19.0,45.0,14.0,7.0,66.0,654.0,615.0,35.0,1.0,5.0,0.0,44.0,34.0,0.0,0.0,0.0,0.0,399.0,4.0,32.0,43.0,1.93,29.0,1.0,4.0,1.0,4.0,4.0,2.0,0.09,1.0,0.0,0.0,0.0,0.0,1.0,53.0,37.0,16.0,20.0,17.0,23.0,47.0,48.9,24.0,20.0,3.0,17.0,25.0,78.0,21.0,0.0,947.0,27.0,161.0,431.0,373.0,45.0,947.0,68.0,25.0,36.8,38.0,55.9,620.0,4019.0,1631.0,46.0,34.0,14.0,56.0,35.0,541.0,109.0,33,2009.0,61.0,58.7,22.3,25,72.0,7,8,26.0,1,0.76,8.0,42.0,-34.0,-1.52,-0.44,18.4,31.5,-13.1,-0.59,-0.29,3.0,1.0,0.0,29.0,28.0,7.0,44.0,25.0,37.0,0.0,0.0,0.0,150.0,41.0,57.0,41.8
Mathieu Coutadeur,fr FRA,MF,36.0,21.6,0.0,4.0,0.0,0.0,0.18,0.0,0.0,,29.1,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,1006.0,1197.0,84.0,16929.0,4490.0,464.0,526.0,88.2,386.0,449.0,86.0,106.0,150.0,70.7,0.0,1.0,1.4,-1.0,10.0,100.0,7.0,1.0,110.0,1197.0,1133.0,59.0,57.0,6.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,1006.0,5.0,15.0,26.0,1.2,24.0,1.0,1.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,13.0,10.0,0.0,8.0,28.0,28.6,20.0,19.0,3.0,16.0,19.0,42.0,21.0,0.0,1329.0,44.0,260.0,902.0,176.0,4.0,1329.0,14.0,5.0,35.7,6.0,42.9,979.0,4749.0,2011.0,20.0,14.0,2.0,19.0,8.0,889.0,22.0,27,1947.0,72.0,56.9,21.6,22,85.0,14,5,14.0,3,0.78,14.0,36.0,-22.0,-1.02,0.75,22.3,30.0,-7.7,-0.36,0.26,2.0,0.0,0.0,6.0,13.0,0.0,5.0,19.0,13.0,0.0,0.0,0.0,150.0,9.0,13.0,40.9
Clément Vidal,fr FRA,"DF,MF",22.0,21.1,1.0,12.0,2.0,16.7,0.57,0.09,0.08,0.5,10.8,0.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2,604.0,785.0,76.9,12836.0,5788.0,164.0,207.0,79.2,318.0,376.0,84.6,109.0,177.0,61.6,0.0,0.2,0.6,-0.2,1.0,52.0,2.0,1.0,61.0,785.0,749.0,35.0,21.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,604.0,1.0,10.0,6.0,0.28,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,14.0,11.0,0.0,18.0,38.0,47.4,20.0,27.0,16.0,11.0,27.0,52.0,73.0,1.0,970.0,130.0,498.0,450.0,33.0,16.0,970.0,1.0,1.0,100.0,0.0,0.0,624.0,3541.0,1945.0,3.0,3.0,0.0,5.0,5.0,556.0,3.0,26,1901.0,73.0,55.6,21.1,21,88.0,17,5,11.0,8,0.65,11.0,47.0,-36.0,-1.7,-0.82,17.8,32.8,-15.0,-0.71,-0.55,5.0,1.0,0.0,22.0,18.0,1.0,3.0,27.0,15.0,0.0,1.0,0.0,92.0,50.0,26.0,65.8
Cédric Avinel,gp GLP,DF,35.0,19.9,1.0,3.0,1.0,33.3,0.15,0.05,0.33,1.0,4.1,0.0,0.0,0.0,1.0,1.0,0.41,0.0,0.0,607.0,714.0,85.0,12003.0,4107.0,174.0,194.0,89.7,346.0,388.0,89.2,71.0,108.0,65.7,0.0,0.0,0.1,0.0,0.0,13.0,0.0,0.0,31.0,714.0,693.0,21.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,0.0,2.0,3.0,0.15,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,13.0,7.0,8.0,5.0,0.0,8.0,12.0,66.7,4.0,20.0,13.0,7.0,15.0,28.0,91.0,1.0,876.0,119.0,508.0,369.0,5.0,2.0,876.0,1.0,0.0,0.0,0.0,0.0,576.0,3235.0,1495.0,3.0,1.0,0.0,3.0,0.0,508.0,1.0,24,1794.0,75.0,52.5,19.9,19,88.0,18,5,23.0,11,0.63,11.0,40.0,-29.0,-1.45,-0.24,19.0,28.4,-9.4,-0.47,0.0,2.0,1.0,0.0,12.0,2.0,0.0,0.0,15.0,7.0,0.0,2.0,0.0,93.0,38.0,15.0,71.7
Riad Nouri,fr FRA,"MF,FW",37.0,18.8,1.0,16.0,4.0,25.0,0.85,0.21,0.06,0.25,16.4,0.0,0.0,1.0,2.4,1.6,0.1,-1.4,-0.6,425.0,627.0,67.8,6625.0,2227.0,225.0,288.0,78.1,150.0,208.0,72.1,31.0,82.0,37.8,1.0,2.2,2.2,-1.2,25.0,33.0,14.0,12.0,39.0,627.0,577.0,45.0,19.0,0.0,3.0,86.0,11.0,15.0,1.0,12.0,0.0,425.0,5.0,27.0,40.0,2.13,22.0,11.0,0.0,5.0,2.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,7.0,10.0,4.0,12.0,29.0,41.4,17.0,8.0,1.0,7.0,15.0,36.0,11.0,0.0,781.0,17.0,105.0,379.0,305.0,26.0,780.0,38.0,13.0,34.2,22.0,57.9,573.0,3379.0,1223.0,33.0,29.0,6.0,30.0,18.0,525.0,144.0,33,1693.0,51.0,49.5,18.8,16,75.0,2,17,29.0,3,0.76,17.0,38.0,-21.0,-1.12,0.45,19.8,28.8,-9.0,-0.48,-0.02,3.0,0.0,0.0,16.0,15.0,7.0,86.0,15.0,12.0,0.0,0.0,0.0,84.0,13.0,17.0,43.3
Mickaël Barreto,fr FRA,MF,31.0,14.7,1.0,19.0,4.0,21.1,1.29,0.27,0.05,0.25,26.6,3.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,481.0,695.0,69.2,9089.0,3373.0,205.0,247.0,83.0,179.0,239.0,74.9,80.0,173.0,46.2,1.0,1.9,2.1,-0.9,18.0,71.0,16.0,7.0,87.0,695.0,607.0,83.0,46.0,2.0,4.0,76.0,12.0,24.0,9.0,11.0,0.0,481.0,5.0,14.0,30.0,2.04,22.0,7.0,0.0,0.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,12.0,17.0,3.0,8.0,45.0,17.8,37.0,17.0,0.0,17.0,18.0,50.0,11.0,0.0,869.0,18.0,159.0,501.0,227.0,9.0,869.0,49.0,23.0,46.9,24.0,49.0,601.0,3671.0,1576.0,26.0,30.0,0.0,34.0,19.0,533.0,53.0,20,1325.0,66.0,38.7,14.7,15,79.0,8,5,27.0,2,0.6,6.0,34.0,-28.0,-1.9,-0.91,8.3,20.7,-12.4,-0.84,-0.61,1.0,0.0,0.0,20.0,8.0,0.0,76.0,18.0,20.0,0.0,0.0,0.0,100.0,9.0,7.0,56.3
Youcef Belaïli,dz ALG,"MF,FW",30.0,12.8,6.0,27.0,9.0,33.3,2.11,0.7,0.04,0.11,24.8,4.0,5.0,6.0,6.2,1.8,0.07,-0.2,-0.8,328.0,458.0,71.6,5637.0,2159.0,162.0,201.0,80.6,101.0,137.0,73.7,44.0,74.0,59.5,3.0,3.5,3.3,-0.5,21.0,35.0,22.0,6.0,55.0,458.0,397.0,56.0,22.0,5.0,2.0,42.0,12.0,15.0,4.0,6.0,0.0,328.0,5.0,13.0,47.0,3.68,24.0,9.0,4.0,4.0,6.0,0.0,10.0,0.78,5.0,0.0,2.0,1.0,2.0,0.0,18.0,10.0,3.0,9.0,6.0,8.0,20.0,40.0,12.0,10.0,1.0,9.0,5.0,23.0,4.0,0.0,631.0,6.0,66.0,320.0,257.0,51.0,625.0,64.0,29.0,45.3,24.0,37.5,476.0,3115.0,1319.0,32.0,24.0,18.0,42.0,27.0,431.0,68.0,17,1150.0,68.0,33.6,12.8,15,74.0,2,2,21.0,0,0.88,12.0,23.0,-11.0,-0.86,0.73,17.3,17.0,0.3,0.02,0.74,2.0,0.0,0.0,25.0,24.0,4.0,42.0,5.0,10.0,2.0,0.0,0.0,75.0,7.0,9.0,43.8
Mickaël Alphonse,gp GLP,DF,33.0,15.1,0.0,10.0,2.0,20.0,0.66,0.13,0.0,0.0,16.3,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,448.0,686.0,65.3,7834.0,3413.0,197.0,237.0,83.1,190.0,272.0,69.9,45.0,133.0,33.8,0.0,0.7,0.9,-0.7,11.0,43.0,10.0,5.0,51.0,686.0,527.0,157.0,8.0,0.0,0.0,27.0,149.0,0.0,0.0,0.0,0.0,448.0,2.0,21.0,19.0,1.25,15.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,20.0,11.0,4.0,20.0,33.0,60.6,13.0,17.0,5.0,12.0,35.0,70.0,44.0,1.0,879.0,54.0,255.0,457.0,178.0,13.0,879.0,19.0,10.0,52.6,8.0,42.1,473.0,2988.0,1528.0,30.0,25.0,0.0,15.0,14.0,403.0,34.0,26,1361.0,52.0,39.8,15.1,14,81.0,9,12,19.0,6,0.73,7.0,30.0,-23.0,-1.52,-0.3,12.0,20.8,-8.8,-0.58,-0.19,2.0,1.0,0.0,19.0,15.0,0.0,27.0,35.0,23.0,0.0,1.0,1.0,89.0,32.0,27.0,54.2
Thomas Mangani,fr FRA,MF,35.0,14.8,1.0,9.0,0.0,0.0,0.61,0.0,0.0,,27.1,2.0,1.0,2.0,2.0,0.4,0.05,-1.0,-0.4,634.0,910.0,69.7,12908.0,4783.0,224.0,294.0,76.2,271.0,355.0,76.3,120.0,222.0,54.1,1.0,1.9,2.1,-0.9,26.0,78.0,12.0,4.0,92.0,910.0,783.0,122.0,74.0,2.0,9.0,79.0,3.0,45.0,22.0,17.0,0.0,634.0,5.0,19.0,42.0,2.84,16.0,24.0,0.0,1.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,14.0,15.0,3.0,18.0,47.0,38.3,29.0,22.0,3.0,19.0,24.0,56.0,22.0,1.0,1052.0,51.0,232.0,648.0,175.0,3.0,1050.0,6.0,4.0,66.7,1.0,16.7,640.0,3045.0,1283.0,9.0,17.0,1.0,9.0,3.0,585.0,15.0,26,1332.0,51.0,38.9,14.8,14,83.0,6,12,14.0,3,0.77,8.0,36.0,-28.0,-1.89,-0.9,12.1,24.1,-12.1,-0.82,-0.57,4.0,1.0,0.0,24.0,13.0,0.0,79.0,24.0,17.0,0.0,0.0,0.0,94.0,20.0,24.0,45.5
