player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Cédric Hountondji,bj BEN,DF,28.0,34.4,0.0,11.0,4.0,36.4,0.32,0.12,0.0,0.0,8.9,0.0,0.0,0.0,1.1,1.1,0.1,-1.1,-1.1,1251.0,1446.0,86.5,24457.0,8657.0,407.0,444.0,91.7,704.0,768.0,91.7,127.0,202.0,62.9,0.0,0.4,0.7,-0.4,4.0,50.0,3.0,0.0,84.0,1446.0,1400.0,44.0,38.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,1251.0,2.0,6.0,13.0,0.38,12.0,0.0,0.0,1.0,0.0,0.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,50.0,36.0,31.0,17.0,2.0,19.0,29.0,65.5,10.0,44.0,22.0,22.0,59.0,109.0,132.0,1.0,1774.0,235.0,925.0,814.0,39.0,23.0,1774.0,2.0,1.0,50.0,1.0,50.0,1217.0,6039.0,2978.0,5.0,9.0,2.0,8.0,3.0,1075.0,1.0,36,3095.0,86.0,90.5,34.4,35,87.0,32,1,35.0,0,0.5,31.0,73.0,-42.0,-1.22,0.44,39.1,55.9,-16.8,-0.49,0.61,7.0,0.0,0.0,42.0,11.0,0.0,2.0,59.0,36.0,0.0,3.0,2.0,151.0,63.0,31.0,67.0
Batista Mendy,fr FRA,"MF,DF",22.0,31.8,0.0,15.0,2.0,13.3,0.47,0.06,0.0,0.0,24.0,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,1234.0,1432.0,86.2,22322.0,7144.0,471.0,532.0,88.5,608.0,670.0,90.7,112.0,161.0,69.6,0.0,1.2,1.8,-1.2,17.0,159.0,22.0,2.0,195.0,1432.0,1399.0,29.0,27.0,4.0,13.0,9.0,2.0,0.0,0.0,0.0,0.0,1234.0,4.0,18.0,40.0,1.26,36.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,34.0,28.0,8.0,37.0,53.0,69.8,16.0,38.0,6.0,32.0,21.0,91.0,29.0,2.0,1700.0,69.0,414.0,1033.0,277.0,16.0,1700.0,61.0,38.0,62.3,18.0,29.5,1324.0,7161.0,3195.0,27.0,42.0,2.0,24.0,27.0,1201.0,49.0,35,2859.0,82.0,83.6,31.8,35,82.0,22,0,,0,0.51,25.0,71.0,-46.0,-1.45,-1.13,32.9,51.5,-18.6,-0.59,-0.24,8.0,1.0,1.0,67.0,42.0,1.0,9.0,21.0,30.0,0.0,1.0,0.0,193.0,27.0,13.0,67.5
Yan Valery,tn TUN,DF,23.0,27.7,0.0,13.0,2.0,15.4,0.47,0.07,0.0,0.0,21.0,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,950.0,1292.0,73.5,16786.0,6797.0,414.0,503.0,82.3,407.0,511.0,79.6,98.0,211.0,46.4,0.0,1.9,1.6,-1.9,12.0,69.0,17.0,14.0,84.0,1292.0,1066.0,225.0,21.0,0.0,6.0,81.0,204.0,0.0,0.0,0.0,0.0,950.0,1.0,38.0,37.0,1.33,25.0,2.0,5.0,2.0,3.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,54.0,39.0,28.0,20.0,6.0,20.0,37.0,54.1,17.0,35.0,15.0,20.0,34.0,88.0,82.0,0.0,1603.0,112.0,501.0,746.0,379.0,14.0,1603.0,69.0,33.0,47.8,28.0,40.6,1045.0,7052.0,3515.0,72.0,71.0,6.0,35.0,31.0,919.0,74.0,30,2497.0,83.0,73.0,27.7,30,83.0,22,0,,0,0.53,22.0,57.0,-35.0,-1.26,0.01,29.2,45.1,-15.9,-0.57,-0.1,3.0,0.0,0.0,46.0,20.0,1.0,81.0,34.0,39.0,0.0,0.0,0.0,141.0,37.0,22.0,62.7
Nabil Bentaleb,dz ALG,MF,27.0,27.7,4.0,39.0,13.0,33.3,1.41,0.47,0.05,0.15,27.5,8.0,2.0,2.0,3.2,1.6,0.04,0.8,0.4,1512.0,1853.0,81.6,29115.0,9442.0,556.0,641.0,86.7,724.0,825.0,87.8,195.0,315.0,61.9,4.0,2.3,3.6,1.7,33.0,172.0,15.0,0.0,176.0,1853.0,1660.0,185.0,123.0,7.0,20.0,96.0,1.0,61.0,49.0,11.0,0.0,1512.0,8.0,22.0,72.0,2.61,42.0,18.0,6.0,1.0,3.0,2.0,8.0,0.29,6.0,2.0,0.0,0.0,0.0,0.0,74.0,40.0,31.0,35.0,8.0,36.0,61.0,59.0,25.0,33.0,11.0,22.0,44.0,118.0,29.0,3.0,2186.0,70.0,511.0,1366.0,358.0,15.0,2184.0,111.0,63.0,56.8,31.0,27.9,1628.0,9116.0,4191.0,46.0,62.0,6.0,45.0,37.0,1471.0,28.0,30,2489.0,83.0,72.8,27.7,29,85.0,23,1,15.0,0,0.43,24.0,64.0,-40.0,-1.45,-0.67,26.8,47.4,-20.5,-0.74,-0.72,7.0,1.0,1.0,39.0,54.0,0.0,96.0,44.0,40.0,0.0,0.0,0.0,231.0,29.0,18.0,61.7
Adrien Hunou,fr FRA,"MF,FW",28.0,24.8,4.0,45.0,18.0,40.0,1.81,0.73,0.09,0.22,13.2,0.0,0.0,0.0,6.5,6.5,0.14,-2.5,-2.5,572.0,753.0,76.0,8441.0,2005.0,287.0,363.0,79.1,225.0,268.0,84.0,24.0,47.0,51.1,1.0,2.3,0.9,-1.3,18.0,38.0,12.0,1.0,62.0,753.0,712.0,34.0,2.0,2.0,1.0,16.0,13.0,4.0,1.0,1.0,0.0,572.0,7.0,17.0,48.0,1.94,36.0,1.0,1.0,3.0,7.0,0.0,6.0,0.24,3.0,0.0,0.0,1.0,2.0,0.0,39.0,20.0,17.0,16.0,6.0,16.0,45.0,35.6,29.0,35.0,0.0,35.0,7.0,46.0,7.0,0.0,1008.0,10.0,138.0,508.0,374.0,69.0,1008.0,34.0,13.0,38.2,16.0,47.1,769.0,4108.0,1515.0,34.0,36.0,10.0,58.0,23.0,717.0,149.0,34,2234.0,66.0,65.3,24.8,28,75.0,7,6,23.0,4,0.5,22.0,53.0,-31.0,-1.25,0.04,27.3,40.1,-12.8,-0.52,0.09,2.0,0.0,0.0,14.0,45.0,5.0,16.0,7.0,20.0,2.0,1.0,0.0,108.0,19.0,28.0,40.4
Paul Bernardoni,fr FRA,GK,25.0,27.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,438.0,667.0,65.7,12371.0,9125.0,77.0,79.0,97.5,218.0,224.0,97.3,141.0,359.0,39.3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,667.0,416.0,248.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,3.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,1.0,3.0,12.0,1.0,742.0,619.0,739.0,3.0,0.0,0.0,742.0,0.0,0.0,,0.0,,446.0,2140.0,1346.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,27,2430.0,90.0,71.1,27.0,27,90.0,27,0,,11,0.3,21.0,62.0,-41.0,-1.52,-0.88,28.1,46.3,-18.2,-0.67,-0.44,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,6.0,1.0,85.7
Himad Abdelli,fr FRA,"MF,FW",22.0,23.7,2.0,24.0,7.0,29.2,1.01,0.29,0.08,0.29,22.4,2.0,0.0,0.0,1.4,1.4,0.06,0.6,0.6,1043.0,1257.0,83.0,18273.0,4649.0,465.0,536.0,86.8,421.0,494.0,85.2,122.0,169.0,72.2,2.0,2.9,2.5,-0.9,36.0,124.0,26.0,8.0,151.0,1257.0,1193.0,60.0,20.0,8.0,6.0,35.0,16.0,10.0,3.0,1.0,0.0,1043.0,4.0,22.0,69.0,2.91,59.0,4.0,3.0,1.0,0.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,22.0,32.0,10.0,31.0,67.0,46.3,36.0,30.0,1.0,29.0,28.0,92.0,15.0,0.0,1516.0,26.0,237.0,914.0,409.0,23.0,1516.0,76.0,43.0,56.6,28.0,36.8,1184.0,6861.0,3294.0,58.0,60.0,7.0,36.0,20.0,1066.0,111.0,30,2137.0,71.0,62.5,23.7,24,83.0,14,6,23.0,6,0.33,21.0,49.0,-28.0,-1.18,0.22,23.8,40.7,-17.0,-0.72,-0.45,3.0,0.0,0.0,43.0,31.0,1.0,35.0,28.0,38.0,0.0,0.0,0.0,180.0,18.0,23.0,43.9
Miha Blažič,si SVN,DF,29.0,22.0,2.0,8.0,4.0,50.0,0.36,0.18,0.25,0.5,10.0,1.0,0.0,0.0,1.6,1.6,0.2,0.4,0.4,1034.0,1182.0,87.5,21289.0,7678.0,302.0,330.0,91.5,581.0,622.0,93.4,138.0,208.0,66.3,0.0,0.1,0.2,-0.1,1.0,42.0,2.0,0.0,64.0,1182.0,1129.0,52.0,48.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1034.0,1.0,1.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,8.0,0.0,0.0,7.0,15.0,46.7,8.0,25.0,19.0,6.0,22.0,30.0,80.0,1.0,1346.0,187.0,696.0,640.0,12.0,8.0,1346.0,1.0,0.0,0.0,0.0,0.0,976.0,4491.0,2155.0,0.0,0.0,0.0,3.0,0.0,893.0,0.0,24,1979.0,82.0,57.9,22.0,22,87.0,20,2,36.0,9,0.54,15.0,40.0,-25.0,-1.14,0.3,23.3,32.5,-9.3,-0.42,0.3,4.0,0.0,0.0,12.0,16.0,0.0,1.0,22.0,6.0,0.0,1.0,1.0,113.0,44.0,19.0,69.8
Souleyman Doumbia,ci CIV,"DF,FW",25.0,19.9,0.0,7.0,2.0,28.6,0.35,0.1,0.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,0.14,-1.0,-1.0,762.0,952.0,80.0,11455.0,3777.0,417.0,478.0,87.2,284.0,350.0,81.1,36.0,75.0,48.0,0.0,1.6,1.7,-1.6,12.0,46.0,16.0,11.0,58.0,952.0,779.0,173.0,16.0,0.0,0.0,48.0,154.0,3.0,3.0,0.0,0.0,762.0,0.0,26.0,32.0,1.61,25.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,31.0,31.0,13.0,1.0,17.0,31.0,54.8,14.0,20.0,3.0,17.0,27.0,72.0,27.0,1.0,1183.0,52.0,341.0,586.0,276.0,20.0,1183.0,77.0,27.0,35.1,38.0,49.4,786.0,5076.0,2556.0,52.0,43.0,11.0,28.0,10.0,703.0,95.0,24,1790.0,75.0,52.3,19.9,21,82.0,15,3,25.0,0,0.38,14.0,42.0,-28.0,-1.41,-0.3,22.6,29.4,-6.7,-0.34,0.44,2.0,1.0,0.0,27.0,20.0,3.0,48.0,27.0,31.0,0.0,0.0,0.0,118.0,18.0,14.0,56.3
Abdallah Sima,sn SEN,FW,21.0,20.4,5.0,39.0,10.0,25.6,1.91,0.49,0.13,0.5,12.7,0.0,0.0,0.0,4.8,4.8,0.12,0.2,0.2,274.0,374.0,73.3,3603.0,688.0,142.0,182.0,78.0,84.0,116.0,72.4,8.0,17.0,47.1,1.0,2.2,1.3,-1.2,16.0,18.0,6.0,1.0,21.0,374.0,334.0,39.0,0.0,1.0,1.0,16.0,6.0,0.0,0.0,0.0,0.0,274.0,1.0,15.0,34.0,1.67,24.0,0.0,1.0,4.0,5.0,0.0,7.0,0.34,2.0,0.0,1.0,1.0,3.0,0.0,22.0,13.0,4.0,15.0,3.0,7.0,19.0,36.8,12.0,8.0,0.0,8.0,4.0,26.0,19.0,0.0,589.0,23.0,54.0,271.0,281.0,78.0,589.0,50.0,21.0,42.0,25.0,50.0,404.0,2855.0,915.0,38.0,25.0,17.0,60.0,31.0,424.0,140.0,34,1836.0,54.0,53.7,20.4,19,79.0,9,15,23.0,0,0.47,20.0,44.0,-24.0,-1.18,0.19,21.9,32.3,-10.4,-0.51,0.08,0.0,0.0,0.0,32.0,24.0,12.0,16.0,4.0,13.0,1.0,1.0,1.0,52.0,43.0,63.0,40.6
Pierrick Capelle,fr FRA,"MF,DF",35.0,15.9,0.0,16.0,7.0,43.8,1.01,0.44,0.0,0.0,17.6,0.0,0.0,0.0,1.5,1.5,0.1,-1.5,-1.5,590.0,714.0,82.6,10044.0,2766.0,287.0,321.0,89.4,236.0,274.0,86.1,49.0,88.0,55.7,3.0,1.2,1.2,1.8,13.0,58.0,7.0,5.0,66.0,714.0,651.0,63.0,12.0,0.0,4.0,46.0,21.0,29.0,16.0,8.0,0.0,590.0,0.0,10.0,33.0,2.08,22.0,8.0,1.0,2.0,0.0,0.0,5.0,0.32,3.0,1.0,1.0,0.0,0.0,0.0,36.0,21.0,17.0,15.0,4.0,22.0,55.0,40.0,33.0,24.0,3.0,21.0,15.0,51.0,24.0,0.0,898.0,38.0,194.0,485.0,227.0,19.0,898.0,29.0,14.0,48.3,14.0,48.3,608.0,3413.0,1195.0,16.0,24.0,4.0,34.0,20.0,548.0,40.0,26,1428.0,55.0,41.8,15.9,15,79.0,8,11,22.0,3,0.58,8.0,26.0,-18.0,-1.13,0.22,14.6,24.0,-9.4,-0.59,-0.08,8.0,0.0,0.0,32.0,6.0,0.0,46.0,15.0,21.0,0.0,0.0,0.0,107.0,13.0,24.0,35.1
Ibrahima Niane,sn SEN,FW,23.0,12.6,2.0,26.0,11.0,42.3,2.06,0.87,0.08,0.18,13.7,0.0,0.0,0.0,3.4,3.4,0.13,-1.4,-1.4,175.0,232.0,75.4,2553.0,471.0,93.0,119.0,78.2,55.0,72.0,76.4,10.0,13.0,76.9,0.0,0.5,0.6,-0.5,8.0,17.0,4.0,0.0,24.0,232.0,206.0,25.0,1.0,2.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,175.0,1.0,6.0,20.0,1.58,12.0,1.0,1.0,0.0,6.0,0.0,3.0,0.24,2.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,4.0,1.0,1.0,6.0,16.7,5.0,8.0,2.0,6.0,1.0,7.0,9.0,0.0,367.0,14.0,29.0,190.0,151.0,40.0,367.0,29.0,8.0,27.6,18.0,62.1,259.0,1376.0,435.0,11.0,11.0,4.0,36.0,21.0,269.0,57.0,16,1136.0,71.0,33.2,12.6,15,74.0,4,1,27.0,0,0.63,11.0,26.0,-15.0,-1.19,0.11,11.4,22.0,-10.6,-0.84,-0.43,4.0,0.0,0.0,12.0,27.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,35.0,23.0,50.0,31.5
Azzedine Ounahi,ma MAR,"MF,FW",22.0,12.5,0.0,23.0,6.0,26.1,1.83,0.48,0.0,0.0,19.8,1.0,0.0,0.0,1.8,1.8,0.08,-1.8,-1.8,542.0,630.0,86.0,8826.0,2723.0,286.0,314.0,91.1,184.0,210.0,87.6,50.0,70.0,71.4,0.0,1.6,1.8,-1.6,17.0,70.0,12.0,1.0,87.0,630.0,603.0,24.0,13.0,2.0,7.0,17.0,4.0,5.0,4.0,0.0,0.0,542.0,3.0,11.0,43.0,3.42,34.0,1.0,4.0,3.0,1.0,0.0,3.0,0.24,2.0,0.0,0.0,1.0,0.0,0.0,19.0,8.0,5.0,13.0,1.0,10.0,20.0,50.0,10.0,8.0,0.0,8.0,15.0,34.0,4.0,1.0,787.0,7.0,106.0,457.0,240.0,42.0,787.0,74.0,40.0,54.1,28.0,37.8,648.0,4480.0,2149.0,53.0,45.0,17.0,26.0,12.0,615.0,77.0,15,1129.0,75.0,33.0,12.5,13,83.0,6,2,27.0,0,0.53,13.0,29.0,-16.0,-1.28,-0.02,14.2,20.5,-6.3,-0.5,0.07,1.0,0.0,0.0,11.0,24.0,1.0,17.0,15.0,8.0,0.0,0.0,0.0,70.0,5.0,12.0,29.4
