player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Martin Valjent,sk SVK,DF,25.0,35.3,0.0,10.0,1.0,10.0,0.28,0.03,0.0,0.0,28.4,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1113.0,1378.0,80.8,22489.0,9561.0,398.0,438.0,90.9,529.0,590.0,89.7,163.0,306.0,53.3,0.0,0.7,0.4,-0.7,6.0,77.0,2.0,0.0,70.0,1378.0,1289.0,83.0,77.0,0.0,18.0,3.0,6.0,0.0,0.0,0.0,0.0,1113.0,6.0,9.0,25.0,0.71,20.0,2.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,31.0,19.0,18.0,12.0,1.0,13.0,24.0,54.2,11.0,34.0,26.0,8.0,31.0,62.0,173.0,1.0,1697.0,290.0,1042.0,613.0,51.0,10.0,1697.0,6.0,4.0,66.7,2.0,33.3,913.0,5242.0,2914.0,25.0,16.0,0.0,11.0,3.0,958.0,5.0,36,3181.0,88.0,93.0,35.3,36,88.0,34,0,,1,1.08,36.0,59.0,-23.0,-0.65,0.86,36.8,45.3,-8.5,-0.24,0.51,4.0,0.0,0.0,26.0,8.0,1.0,3.0,31.0,19.0,0.0,2.0,0.0,165.0,59.0,34.0,63.4
Pablo Maffeo,es ESP,DF,24.0,32.7,1.0,29.0,7.0,24.1,0.89,0.21,0.03,0.14,20.0,0.0,0.0,0.0,1.7,1.7,0.06,-0.7,-0.7,888.0,1328.0,66.9,14240.0,5931.0,466.0,554.0,84.1,333.0,493.0,67.5,62.0,193.0,32.1,4.0,2.1,3.2,1.9,28.0,30.0,30.0,21.0,53.0,1328.0,1014.0,306.0,11.0,1.0,4.0,109.0,294.0,1.0,1.0,0.0,0.0,888.0,8.0,31.0,66.0,2.02,34.0,4.0,9.0,6.0,10.0,3.0,8.0,0.24,4.0,0.0,1.0,0.0,3.0,0.0,84.0,47.0,48.0,28.0,8.0,38.0,69.0,55.1,31.0,30.0,13.0,17.0,46.0,130.0,74.0,0.0,1735.0,102.0,527.0,746.0,481.0,45.0,1735.0,79.0,49.0,62.0,30.0,38.0,812.0,5030.0,2472.0,72.0,57.0,12.0,50.0,55.0,860.0,108.0,35,2945.0,84.0,86.1,32.7,35,84.0,26,0,,0,1.11,33.0,47.0,-14.0,-0.43,2.04,30.5,41.7,-11.2,-0.34,-0.47,10.0,0.0,0.0,32.0,59.0,3.0,109.0,46.0,47.0,3.0,0.0,0.0,170.0,59.0,57.0,50.9
Dani Rodríguez,es ESP,"MF,FW",33.0,31.5,3.0,42.0,10.0,23.8,1.33,0.32,0.07,0.3,19.8,3.0,0.0,0.0,3.2,3.2,0.08,-0.2,-0.2,716.0,951.0,75.3,10319.0,3155.0,415.0,482.0,86.1,197.0,259.0,76.1,52.0,94.0,55.3,3.0,2.8,2.9,0.2,43.0,59.0,27.0,2.0,94.0,951.0,884.0,65.0,23.0,11.0,8.0,55.0,8.0,26.0,12.0,3.0,0.0,716.0,2.0,31.0,92.0,2.92,58.0,12.0,4.0,7.0,8.0,3.0,6.0,0.19,4.0,1.0,0.0,1.0,0.0,0.0,53.0,31.0,20.0,24.0,9.0,15.0,46.0,32.6,31.0,28.0,3.0,25.0,20.0,73.0,27.0,0.0,1351.0,32.0,192.0,646.0,546.0,86.0,1351.0,100.0,60.0,60.0,40.0,40.0,800.0,4998.0,2043.0,65.0,58.0,15.0,88.0,81.0,877.0,130.0,36,2832.0,79.0,82.8,31.5,33,84.0,20,3,23.0,1,1.08,29.0,43.0,-14.0,-0.44,1.54,30.0,38.2,-8.2,-0.26,0.09,7.0,0.0,0.0,65.0,69.0,3.0,55.0,20.0,31.0,0.0,0.0,0.0,175.0,39.0,59.0,39.8
Brian Oliván,es ESP,DF,27.0,24.3,1.0,19.0,7.0,36.8,0.78,0.29,0.05,0.14,22.1,1.0,0.0,1.0,1.8,1.0,0.05,-0.8,0.0,654.0,1025.0,63.8,11350.0,5327.0,291.0,339.0,85.8,281.0,405.0,69.4,60.0,206.0,29.1,0.0,2.2,2.5,-2.2,19.0,43.0,16.0,9.0,65.0,1025.0,796.0,222.0,23.0,1.0,12.0,73.0,188.0,9.0,3.0,2.0,0.0,654.0,7.0,24.0,45.0,1.85,28.0,14.0,1.0,1.0,1.0,0.0,3.0,0.12,1.0,1.0,0.0,0.0,1.0,0.0,33.0,20.0,22.0,9.0,2.0,12.0,23.0,52.2,11.0,17.0,7.0,10.0,28.0,61.0,63.0,0.0,1228.0,89.0,446.0,477.0,311.0,30.0,1227.0,10.0,7.0,70.0,3.0,30.0,577.0,2991.0,1538.0,31.0,33.0,4.0,16.0,7.0,614.0,91.0,28,2189.0,78.0,64.0,24.3,24,89.0,22,4,13.0,8,1.18,24.0,39.0,-15.0,-0.62,0.26,25.4,30.7,-5.3,-0.22,0.16,7.0,0.0,0.0,31.0,7.0,4.0,73.0,28.0,20.0,1.0,1.0,0.0,113.0,21.0,36.0,36.8
Iddrisu Baba,gh GHA,MF,25.0,21.5,1.0,23.0,8.0,34.8,1.07,0.37,0.04,0.13,24.4,0.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4,617.0,779.0,79.2,11335.0,3758.0,239.0,291.0,82.1,285.0,331.0,86.1,75.0,111.0,67.6,0.0,0.6,0.9,-0.6,10.0,58.0,7.0,1.0,73.0,779.0,760.0,17.0,16.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,617.0,2.0,19.0,26.0,1.21,20.0,0.0,1.0,4.0,0.0,1.0,3.0,0.14,1.0,0.0,0.0,2.0,0.0,0.0,57.0,30.0,31.0,23.0,3.0,25.0,43.0,58.1,18.0,19.0,5.0,14.0,24.0,81.0,34.0,1.0,1028.0,57.0,333.0,603.0,113.0,8.0,1028.0,31.0,22.0,71.0,9.0,29.0,548.0,2604.0,1121.0,14.0,24.0,0.0,29.0,20.0,515.0,6.0,26,1934.0,74.0,56.5,21.5,23,81.0,11,3,23.0,5,0.96,18.0,36.0,-18.0,-0.84,-0.29,18.8,27.5,-8.7,-0.41,-0.3,9.0,0.0,0.0,42.0,38.0,0.0,5.0,24.0,30.0,0.0,0.0,0.0,187.0,41.0,34.0,54.7
Manolo Reina,es ESP,GK,36.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,412.0,646.0,63.8,13217.0,10583.0,94.0,95.0,98.9,147.0,147.0,100.0,166.0,394.0,42.1,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,646.0,362.0,279.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,5.0,0.0,6.0,0.29,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,684.0,576.0,683.0,1.0,0.0,0.0,684.0,0.0,0.0,,0.0,,311.0,2020.0,1298.0,0.0,0.0,0.0,1.0,0.0,216.0,0.0,21,1890.0,90.0,55.3,21.0,21,90.0,21,0,,13,1.3,25.0,31.0,-6.0,-0.29,0.95,17.1,26.2,-9.1,-0.43,-0.35,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,5.0,1.0,83.3
Jaume Costa,es ESP,DF,33.0,20.3,0.0,11.0,2.0,18.2,0.54,0.1,0.0,0.0,19.6,0.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,724.0,1010.0,71.7,11216.0,4394.0,392.0,458.0,85.6,263.0,363.0,72.5,48.0,126.0,38.1,4.0,2.4,2.7,1.6,20.0,39.0,32.0,17.0,68.0,1010.0,796.0,212.0,11.0,2.0,5.0,75.0,201.0,0.0,0.0,0.0,0.0,724.0,2.0,24.0,46.0,2.27,36.0,7.0,0.0,0.0,2.0,1.0,6.0,0.3,5.0,0.0,0.0,0.0,0.0,1.0,35.0,26.0,23.0,7.0,5.0,23.0,31.0,74.2,8.0,22.0,7.0,15.0,23.0,58.0,55.0,0.0,1191.0,71.0,341.0,473.0,385.0,19.0,1191.0,14.0,9.0,64.3,5.0,35.7,550.0,2677.0,1570.0,39.0,33.0,1.0,15.0,6.0,609.0,108.0,25,1828.0,73.0,53.5,20.3,21,85.0,14,4,13.0,6,1.0,17.0,32.0,-15.0,-0.74,-0.06,20.5,26.9,-6.4,-0.32,-0.09,5.0,1.0,0.0,21.0,26.0,2.0,75.0,23.0,26.0,0.0,0.0,0.0,100.0,25.0,31.0,44.6
Antonio Sánchez,es ESP,"MF,FW",24.0,18.0,1.0,18.0,4.0,22.2,1.0,0.22,0.06,0.25,22.0,0.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,519.0,670.0,77.5,8268.0,2444.0,284.0,322.0,88.2,156.0,194.0,80.4,56.0,96.0,58.3,0.0,0.4,0.7,-0.4,9.0,46.0,9.0,1.0,66.0,670.0,644.0,26.0,10.0,1.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,519.0,0.0,15.0,35.0,1.95,31.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,24.0,29.0,17.0,7.0,19.0,49.0,38.8,30.0,32.0,2.0,30.0,32.0,85.0,32.0,1.0,942.0,37.0,251.0,471.0,238.0,23.0,942.0,34.0,18.0,52.9,16.0,47.1,508.0,2805.0,1166.0,24.0,21.0,4.0,45.0,20.0,532.0,50.0,29,1616.0,56.0,47.3,18.0,19,72.0,1,10,25.0,6,0.93,10.0,31.0,-21.0,-1.17,-0.87,16.6,24.5,-8.0,-0.44,-0.32,3.0,1.0,0.0,40.0,27.0,3.0,16.0,32.0,24.0,0.0,0.0,0.0,148.0,11.0,10.0,52.4
Ángel Rodríguez,es ESP,"FW,MF",34.0,17.2,4.0,29.0,11.0,37.9,1.69,0.64,0.14,0.36,13.0,0.0,0.0,0.0,3.9,3.9,0.13,0.1,0.1,187.0,263.0,71.1,2426.0,544.0,106.0,133.0,79.7,43.0,56.0,76.8,13.0,25.0,52.0,2.0,0.9,0.6,1.1,13.0,16.0,10.0,2.0,27.0,263.0,251.0,11.0,0.0,2.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,187.0,1.0,13.0,32.0,1.87,21.0,0.0,2.0,4.0,5.0,0.0,5.0,0.29,3.0,0.0,0.0,0.0,2.0,0.0,15.0,9.0,6.0,7.0,2.0,4.0,21.0,19.0,17.0,15.0,1.0,14.0,3.0,18.0,13.0,0.0,442.0,17.0,57.0,195.0,198.0,62.0,442.0,23.0,13.0,56.5,10.0,43.5,250.0,1361.0,590.0,23.0,15.0,5.0,45.0,21.0,290.0,85.0,29,1544.0,53.0,45.1,17.2,19,68.0,1,10,25.0,4,0.9,18.0,26.0,-8.0,-0.47,0.45,18.5,23.3,-4.8,-0.28,0.0,4.0,0.0,0.0,37.0,23.0,17.0,10.0,3.0,9.0,1.0,0.0,0.0,47.0,19.0,30.0,38.8
Takefusa Kubo,jp JPN,"FW,MF",20.0,17.8,1.0,48.0,8.0,16.7,2.69,0.45,0.02,0.13,20.7,2.0,0.0,0.0,2.8,2.8,0.06,-1.8,-1.8,349.0,504.0,69.2,5067.0,1876.0,197.0,238.0,82.8,106.0,152.0,69.7,25.0,49.0,51.0,0.0,3.0,2.8,-3.0,32.0,33.0,23.0,5.0,68.0,504.0,466.0,34.0,8.0,6.0,2.0,51.0,6.0,17.0,5.0,4.0,1.0,349.0,4.0,22.0,75.0,4.2,47.0,6.0,8.0,3.0,10.0,1.0,4.0,0.22,3.0,0.0,0.0,0.0,1.0,0.0,31.0,19.0,12.0,14.0,5.0,10.0,24.0,41.7,14.0,24.0,3.0,21.0,8.0,39.0,4.0,0.0,758.0,8.0,111.0,298.0,364.0,63.0,758.0,64.0,40.0,62.5,24.0,37.5,486.0,3301.0,1735.0,65.0,31.0,25.0,59.0,30.0,513.0,107.0,28,1605.0,57.0,46.9,17.8,17,78.0,3,11,26.0,1,1.04,20.0,33.0,-13.0,-0.73,-0.03,19.9,22.8,-2.9,-0.16,0.21,4.0,0.0,0.0,17.0,47.0,5.0,51.0,8.0,19.0,0.0,0.0,0.0,101.0,11.0,14.0,44.0
Antonio Raillo,es ESP,DF,29.0,17.0,2.0,9.0,4.0,44.4,0.53,0.24,0.22,0.5,11.6,0.0,0.0,0.0,0.7,0.7,0.08,1.3,1.3,532.0,624.0,85.3,10123.0,3924.0,194.0,210.0,92.4,256.0,277.0,92.4,70.0,115.0,60.9,0.0,0.0,0.1,0.0,0.0,28.0,1.0,0.0,50.0,624.0,591.0,31.0,30.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,532.0,2.0,5.0,7.0,0.41,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,10.0,4.0,2.0,5.0,6.0,83.3,1.0,17.0,14.0,3.0,18.0,34.0,81.0,0.0,790.0,138.0,465.0,295.0,36.0,14.0,790.0,1.0,0.0,0.0,1.0,100.0,413.0,2664.0,1534.0,15.0,7.0,0.0,8.0,1.0,433.0,0.0,17,1530.0,90.0,44.7,17.0,17,90.0,17,0,,0,1.18,20.0,30.0,-10.0,-0.59,0.22,19.3,21.5,-2.1,-0.13,0.27,8.0,0.0,0.0,20.0,14.0,1.0,1.0,18.0,7.0,0.0,0.0,1.0,66.0,27.0,28.0,49.1
Salva Sevilla,es ESP,MF,37.0,16.7,5.0,22.0,4.0,18.2,1.31,0.24,0.05,0.25,27.4,7.0,4.0,4.0,4.8,1.7,0.08,0.2,-0.7,813.0,1008.0,80.7,14082.0,5291.0,372.0,410.0,90.7,298.0,348.0,85.6,99.0,172.0,57.6,3.0,2.8,3.2,0.2,27.0,98.0,21.0,0.0,132.0,1008.0,865.0,139.0,87.0,4.0,10.0,54.0,3.0,49.0,20.0,9.0,3.0,813.0,4.0,14.0,58.0,3.47,33.0,20.0,1.0,3.0,1.0,0.0,6.0,0.36,2.0,3.0,0.0,0.0,1.0,0.0,18.0,12.0,8.0,8.0,2.0,6.0,17.0,35.3,11.0,12.0,6.0,6.0,14.0,32.0,11.0,0.0,1120.0,28.0,232.0,637.0,266.0,8.0,1116.0,7.0,5.0,71.4,2.0,28.6,668.0,3399.0,1793.0,30.0,21.0,1.0,20.0,5.0,713.0,14.0,28,1507.0,54.0,44.1,16.7,17,73.0,1,11,23.0,6,0.96,19.0,28.0,-9.0,-0.54,0.31,20.5,19.8,0.7,0.04,0.57,2.0,0.0,0.0,15.0,9.0,0.0,54.0,14.0,12.0,0.0,0.0,0.0,114.0,2.0,6.0,25.0
Franco Russo,ar ARG,DF,26.0,16.3,1.0,6.0,2.0,33.3,0.37,0.12,0.17,0.5,12.8,0.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8,491.0,644.0,76.2,10027.0,4613.0,157.0,188.0,83.5,245.0,289.0,84.8,82.0,144.0,56.9,0.0,0.2,0.9,-0.2,1.0,23.0,1.0,0.0,41.0,644.0,602.0,41.0,34.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,491.0,1.0,6.0,7.0,0.43,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,10.0,9.0,0.0,13.0,31.0,41.9,18.0,14.0,9.0,5.0,27.0,46.0,73.0,1.0,816.0,120.0,421.0,366.0,37.0,18.0,816.0,6.0,5.0,83.3,1.0,16.7,384.0,2048.0,944.0,4.0,9.0,2.0,8.0,3.0,424.0,3.0,19,1464.0,77.0,42.8,16.3,17,85.0,14,2,6.0,12,1.16,14.0,18.0,-4.0,-0.25,0.81,15.4,18.9,-3.5,-0.22,0.1,7.0,2.0,2.0,26.0,11.0,1.0,1.0,27.0,10.0,0.0,2.0,1.0,82.0,29.0,33.0,46.8
Iñigo Ruiz de Galarreta,es ESP,MF,27.0,15.3,0.0,8.0,3.0,37.5,0.52,0.2,0.0,0.0,22.6,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,616.0,761.0,80.9,10417.0,3377.0,295.0,333.0,88.6,233.0,279.0,83.5,63.0,93.0,67.7,0.0,0.6,1.1,-0.6,11.0,86.0,12.0,1.0,105.0,761.0,716.0,41.0,27.0,5.0,8.0,14.0,2.0,5.0,3.0,0.0,0.0,616.0,4.0,15.0,29.0,1.89,23.0,1.0,2.0,1.0,0.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,40.0,21.0,14.0,21.0,5.0,14.0,30.0,46.7,16.0,16.0,2.0,14.0,20.0,60.0,21.0,0.0,925.0,35.0,176.0,587.0,169.0,5.0,925.0,35.0,26.0,74.3,9.0,25.7,455.0,2042.0,1069.0,14.0,24.0,1.0,20.0,15.0,556.0,16.0,22,1378.0,63.0,40.3,15.3,17,75.0,2,5,20.0,0,1.14,12.0,18.0,-6.0,-0.39,0.53,14.0,16.5,-2.6,-0.17,0.18,4.0,0.0,0.0,25.0,33.0,0.0,14.0,20.0,21.0,0.0,0.0,0.0,109.0,18.0,12.0,60.0
Vedat Muriqi,xk KVX,FW,27.0,16.0,5.0,49.0,16.0,32.7,3.07,1.0,0.06,0.19,15.6,0.0,2.0,2.0,5.3,3.7,0.08,-0.3,-0.7,245.0,458.0,53.5,3142.0,764.0,153.0,241.0,63.5,55.0,125.0,44.0,10.0,22.0,45.5,3.0,1.4,1.0,1.6,14.0,15.0,12.0,1.0,33.0,458.0,447.0,10.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,245.0,1.0,16.0,39.0,2.44,28.0,0.0,4.0,7.0,0.0,0.0,6.0,0.38,4.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,1.0,3.0,2.0,1.0,7.0,14.3,6.0,12.0,0.0,12.0,6.0,12.0,29.0,0.0,665.0,29.0,67.0,297.0,308.0,85.0,663.0,22.0,9.0,40.9,13.0,59.1,306.0,1263.0,555.0,19.0,11.0,6.0,42.0,14.0,497.0,84.0,16,1438.0,90.0,42.0,16.0,16,90.0,15,0,,0,1.19,18.0,28.0,-10.0,-0.63,0.15,18.2,21.3,-3.1,-0.2,0.14,6.0,0.0,0.0,27.0,16.0,7.0,7.0,6.0,3.0,0.0,0.0,0.0,42.0,116.0,98.0,54.2
Lee Kangin,kr KOR,"MF,FW",20.0,15.7,1.0,36.0,15.0,41.7,2.3,0.96,0.03,0.07,25.5,8.0,0.0,0.0,1.5,1.5,0.04,-0.5,-0.5,407.0,587.0,69.3,5836.0,1705.0,248.0,293.0,84.6,94.0,126.0,74.6,38.0,106.0,35.8,2.0,2.1,2.6,-0.1,22.0,27.0,13.0,2.0,48.0,587.0,488.0,91.0,31.0,4.0,9.0,73.0,5.0,49.0,19.0,16.0,1.0,407.0,8.0,21.0,60.0,3.83,31.0,14.0,7.0,4.0,3.0,1.0,4.0,0.26,1.0,1.0,2.0,0.0,0.0,0.0,13.0,6.0,2.0,9.0,2.0,5.0,29.0,17.2,24.0,11.0,1.0,10.0,5.0,18.0,7.0,0.0,775.0,8.0,95.0,358.0,337.0,23.0,775.0,61.0,38.0,62.3,23.0,37.7,453.0,2291.0,950.0,32.0,25.0,5.0,47.0,32.0,532.0,64.0,30,1411.0,47.0,41.3,15.7,15,73.0,2,15,21.0,3,0.8,16.0,27.0,-11.0,-0.7,0.02,16.3,18.5,-2.2,-0.14,0.24,4.0,1.0,1.0,23.0,36.0,1.0,73.0,5.0,6.0,0.0,0.0,1.0,77.0,16.0,39.0,29.1
Sergio Rico,es ESP,GK,27.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,245.0,360.0,68.1,8430.0,7125.0,43.0,43.0,100.0,80.0,83.0,96.4,121.0,233.0,51.9,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,360.0,221.0,139.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,4.0,0.29,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,385.0,327.0,384.0,1.0,0.0,0.0,385.0,0.0,0.0,,0.0,,183.0,945.0,558.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,14,1260.0,90.0,36.8,14.0,14,90.0,14,0,,4,0.86,15.0,29.0,-14.0,-1.0,-0.46,16.7,19.2,-2.5,-0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,66.7
