player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jan Oblak,si SVN,GK,28.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,12.5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,640.0,1094.0,58.5,19827.0,14832.0,92.0,93.0,98.9,256.0,258.0,99.2,286.0,736.0,38.9,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1094.0,700.0,393.0,110.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,10.0,4.0,1159.0,1015.0,1154.0,5.0,1.0,1.0,1159.0,2.0,2.0,100.0,0.0,0.0,553.0,3045.0,1933.0,0.0,0.0,0.0,2.0,0.0,444.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.87,65.0,43.0,22.0,0.58,,54.4,33.4,21.1,0.56,,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,7.0,0.0,100.0
Koke,es ESP,MF,29.0,27.9,1.0,12.0,6.0,50.0,0.43,0.22,0.08,0.17,26.2,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,1505.0,1772.0,84.9,23282.0,7036.0,814.0,869.0,93.7,504.0,576.0,87.5,112.0,196.0,57.1,2.0,1.5,1.9,0.5,26.0,149.0,26.0,3.0,197.0,1772.0,1715.0,51.0,36.0,7.0,13.0,33.0,8.0,7.0,0.0,6.0,0.0,1505.0,6.0,28.0,67.0,2.4,59.0,2.0,1.0,2.0,3.0,0.0,11.0,0.39,11.0,0.0,0.0,0.0,0.0,0.0,55.0,30.0,19.0,29.0,7.0,26.0,63.0,41.3,37.0,21.0,5.0,16.0,24.0,79.0,31.0,1.0,1987.0,47.0,384.0,1189.0,422.0,27.0,1987.0,18.0,13.0,72.2,5.0,27.8,1074.0,4383.0,2328.0,28.0,40.0,1.0,25.0,32.0,1508.0,53.0,31,2508.0,81.0,73.3,27.9,29,85.0,23,2,28.0,1,1.77,50.0,34.0,16.0,0.57,-0.02,40.7,23.0,17.8,0.64,0.31,6.0,0.0,0.0,29.0,27.0,0.0,33.0,24.0,30.0,0.0,0.0,0.0,169.0,12.0,26.0,31.6
Marcos Llorente,es ESP,"MF,DF",26.0,27.2,0.0,16.0,2.0,12.5,0.59,0.07,0.0,0.0,20.9,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1055.0,1327.0,79.5,14552.0,4204.0,612.0,690.0,88.7,289.0,378.0,76.5,66.0,110.0,60.0,2.0,2.6,3.1,-0.6,26.0,54.0,29.0,10.0,81.0,1327.0,1158.0,163.0,0.0,1.0,6.0,71.0,161.0,0.0,0.0,0.0,0.0,1055.0,6.0,34.0,57.0,2.1,51.0,3.0,1.0,0.0,2.0,0.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0,51.0,23.0,25.0,22.0,4.0,28.0,43.0,65.1,15.0,33.0,10.0,23.0,27.0,78.0,44.0,0.0,1588.0,59.0,407.0,683.0,512.0,56.0,1588.0,30.0,19.0,63.3,11.0,36.7,875.0,4515.0,2117.0,63.0,37.0,11.0,40.0,22.0,978.0,181.0,29,2447.0,84.0,71.5,27.2,29,84.0,20,0,,0,1.93,40.0,26.0,14.0,0.51,-0.23,34.0,24.9,9.1,0.34,-0.77,5.0,0.0,0.0,30.0,16.0,7.0,71.0,27.0,23.0,0.0,1.0,0.0,174.0,18.0,23.0,43.9
Yannick Carrasco,be BEL,"FW,MF",27.0,28.7,6.0,48.0,9.0,18.8,1.67,0.31,0.08,0.44,18.2,0.0,2.0,2.0,5.3,3.8,0.08,0.7,0.2,947.0,1253.0,75.6,12875.0,4031.0,589.0,665.0,88.6,232.0,306.0,75.8,61.0,145.0,42.1,6.0,7.0,6.9,-1.0,54.0,38.0,43.0,10.0,84.0,1253.0,1038.0,204.0,60.0,8.0,10.0,133.0,87.0,56.0,27.0,15.0,0.0,947.0,11.0,29.0,122.0,4.25,62.0,26.0,25.0,6.0,3.0,0.0,10.0,0.35,5.0,4.0,1.0,0.0,0.0,0.0,34.0,19.0,16.0,12.0,6.0,19.0,44.0,43.2,25.0,26.0,5.0,21.0,19.0,53.0,12.0,2.0,1567.0,27.0,213.0,570.0,811.0,140.0,1565.0,136.0,88.0,64.7,48.0,35.3,929.0,6652.0,3664.0,141.0,80.0,69.0,77.0,52.0,1041.0,263.0,34,2583.0,76.0,75.5,28.7,28,83.0,14,6,45.0,0,1.91,52.0,34.0,18.0,0.63,0.2,42.2,24.7,17.5,0.61,0.23,5.0,0.0,0.0,30.0,39.0,13.0,133.0,19.0,19.0,0.0,0.0,0.0,159.0,8.0,12.0,40.0
Stefan Savić,me MNE,DF,30.0,27.1,0.0,15.0,5.0,33.3,0.55,0.18,0.0,0.0,8.8,0.0,0.0,0.0,1.9,1.9,0.13,-1.9,-1.9,1139.0,1388.0,82.1,22371.0,7359.0,396.0,449.0,88.2,568.0,623.0,91.2,155.0,268.0,57.8,0.0,0.1,0.2,-0.1,3.0,62.0,1.0,0.0,74.0,1388.0,1333.0,51.0,44.0,0.0,18.0,1.0,7.0,0.0,0.0,0.0,0.0,1139.0,4.0,10.0,21.0,0.77,17.0,1.0,1.0,2.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,46.0,20.0,25.0,20.0,1.0,29.0,43.0,67.4,14.0,19.0,12.0,7.0,37.0,83.0,102.0,1.0,1641.0,154.0,754.0,825.0,71.0,26.0,1641.0,9.0,8.0,88.9,1.0,11.1,949.0,4927.0,3264.0,30.0,17.0,0.0,10.0,3.0,1052.0,6.0,28,2440.0,87.0,71.3,27.1,28,87.0,27,0,,2,2.11,48.0,24.0,24.0,0.89,1.07,38.8,23.4,15.4,0.57,0.04,12.0,0.0,0.0,30.0,22.0,3.0,1.0,37.0,20.0,0.0,0.0,1.0,119.0,71.0,52.0,57.7
Rodrigo De Paul,ar ARG,MF,27.0,23.9,3.0,24.0,9.0,37.5,1.0,0.38,0.13,0.33,22.8,0.0,0.0,0.0,1.6,1.6,0.07,1.4,1.4,1106.0,1407.0,78.6,20406.0,6700.0,495.0,551.0,89.8,379.0,454.0,83.5,177.0,290.0,61.0,1.0,4.6,4.8,-3.6,49.0,132.0,40.0,10.0,162.0,1407.0,1265.0,134.0,68.0,21.0,31.0,92.0,17.0,46.0,9.0,32.0,0.0,1106.0,8.0,24.0,95.0,3.97,68.0,21.0,2.0,1.0,2.0,1.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,55.0,30.0,22.0,25.0,8.0,30.0,60.0,50.0,30.0,24.0,3.0,21.0,21.0,76.0,17.0,2.0,1659.0,29.0,279.0,984.0,415.0,20.0,1659.0,38.0,25.0,65.8,13.0,34.2,973.0,5519.0,2768.0,65.0,59.0,5.0,35.0,31.0,1161.0,53.0,36,2151.0,60.0,62.9,23.9,24,77.0,9,12,26.0,1,1.81,43.0,24.0,19.0,0.79,0.58,37.0,20.0,17.0,0.71,0.42,7.0,0.0,0.0,45.0,59.0,1.0,92.0,21.0,30.0,0.0,0.0,0.0,159.0,17.0,21.0,44.7
José María Giménez,uy URU,DF,26.0,22.7,1.0,20.0,7.0,35.0,0.88,0.31,0.05,0.14,13.5,0.0,0.0,0.0,1.7,1.7,0.09,-0.7,-0.7,820.0,929.0,88.3,16202.0,5701.0,268.0,285.0,94.0,429.0,466.0,92.1,100.0,144.0,69.4,1.0,0.9,0.2,0.1,5.0,36.0,0.0,0.0,44.0,929.0,880.0,46.0,44.0,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,820.0,3.0,3.0,11.0,0.48,7.0,0.0,1.0,2.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,18.0,12.0,12.0,6.0,0.0,8.0,16.0,50.0,8.0,25.0,19.0,6.0,25.0,43.0,96.0,1.0,1140.0,173.0,621.0,486.0,39.0,26.0,1140.0,12.0,8.0,66.7,4.0,33.3,579.0,2388.0,1153.0,5.0,4.0,1.0,9.0,1.0,693.0,2.0,24,2042.0,85.0,59.7,22.7,24,85.0,19,0,,5,2.21,39.0,22.0,17.0,0.75,0.42,33.8,18.7,15.1,0.67,0.28,7.0,0.0,0.0,11.0,21.0,2.0,1.0,25.0,12.0,0.0,0.0,0.0,99.0,41.0,24.0,63.1
Geoffrey Kondogbia,cf CTA,"MF,DF",28.0,20.9,1.0,15.0,1.0,6.7,0.72,0.05,0.07,1.0,25.4,0.0,0.0,0.0,0.4,0.4,0.02,0.6,0.6,854.0,999.0,85.5,14466.0,4061.0,413.0,459.0,90.0,305.0,345.0,88.4,92.0,123.0,74.8,2.0,0.9,0.7,1.1,11.0,65.0,10.0,0.0,76.0,999.0,984.0,10.0,10.0,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,854.0,5.0,11.0,25.0,1.2,20.0,0.0,2.0,0.0,0.0,3.0,4.0,0.19,3.0,0.0,0.0,0.0,0.0,1.0,74.0,44.0,25.0,40.0,9.0,21.0,49.0,42.9,28.0,16.0,5.0,11.0,44.0,118.0,24.0,0.0,1233.0,53.0,312.0,783.0,151.0,6.0,1233.0,33.0,29.0,87.9,4.0,12.1,654.0,3314.0,1479.0,11.0,11.0,0.0,29.0,26.0,754.0,7.0,28,1882.0,67.0,55.0,20.9,21,82.0,13,7,24.0,1,1.71,33.0,24.0,9.0,0.43,-0.33,26.0,20.1,5.9,0.28,-0.61,13.0,2.0,2.0,40.0,37.0,0.0,1.0,44.0,44.0,0.0,0.0,0.0,188.0,38.0,21.0,64.4
Mario Hermoso,es ESP,DF,26.0,20.7,2.0,17.0,4.0,23.5,0.82,0.19,0.12,0.5,16.2,0.0,0.0,0.0,2.2,2.2,0.13,-0.2,-0.2,1115.0,1297.0,86.0,20339.0,7153.0,502.0,542.0,92.6,447.0,491.0,91.0,139.0,209.0,66.5,1.0,0.8,0.7,0.2,9.0,82.0,13.0,5.0,123.0,1297.0,1177.0,115.0,31.0,0.0,43.0,24.0,84.0,0.0,0.0,0.0,0.0,1115.0,5.0,11.0,28.0,1.35,22.0,2.0,0.0,4.0,0.0,0.0,3.0,0.14,2.0,0.0,0.0,1.0,0.0,0.0,30.0,15.0,23.0,4.0,3.0,20.0,38.0,52.6,18.0,18.0,3.0,15.0,29.0,59.0,49.0,2.0,1479.0,84.0,542.0,757.0,189.0,27.0,1479.0,11.0,8.0,72.7,3.0,27.3,831.0,3894.0,2385.0,38.0,30.0,2.0,10.0,5.0,955.0,21.0,26,1865.0,72.0,54.5,20.7,21,82.0,13,5,30.0,6,1.63,34.0,31.0,3.0,0.14,-0.95,30.1,17.1,13.0,0.63,0.16,6.0,1.0,0.0,26.0,11.0,1.0,24.0,29.0,15.0,0.0,0.0,1.0,126.0,49.0,22.0,69.0
Ángel Correa,ar ARG,"FW,MF",26.0,20.6,12.0,50.0,23.0,46.0,2.42,1.12,0.24,0.52,17.0,0.0,0.0,0.0,7.3,7.3,0.15,4.7,4.7,465.0,638.0,72.9,5631.0,1250.0,300.0,353.0,85.0,97.0,146.0,66.4,17.0,42.0,40.5,5.0,3.7,3.7,1.3,25.0,29.0,15.0,1.0,65.0,638.0,608.0,27.0,2.0,6.0,1.0,34.0,2.0,15.0,5.0,5.0,0.0,465.0,3.0,21.0,67.0,3.25,47.0,3.0,8.0,4.0,4.0,1.0,11.0,0.53,8.0,0.0,0.0,2.0,0.0,1.0,16.0,8.0,5.0,10.0,1.0,7.0,29.0,24.1,22.0,25.0,2.0,23.0,10.0,26.0,4.0,0.0,901.0,6.0,87.0,342.0,483.0,130.0,901.0,55.0,32.0,58.2,23.0,41.8,543.0,2392.0,1138.0,38.0,24.0,20.0,73.0,48.0,682.0,149.0,36,1856.0,52.0,54.3,20.6,21,69.0,5,15,27.0,0,1.89,39.0,21.0,18.0,0.87,0.64,31.3,16.2,15.1,0.73,0.39,3.0,1.0,0.0,24.0,27.0,10.0,34.0,10.0,8.0,0.0,0.0,0.0,78.0,5.0,16.0,23.8
Antoine Griezmann,fr FRA,"FW,MF",30.0,18.8,3.0,43.0,14.0,32.6,2.28,0.74,0.07,0.21,16.3,3.0,0.0,0.0,5.1,5.1,0.12,-2.1,-2.1,544.0,704.0,77.3,7532.0,1658.0,315.0,373.0,84.5,143.0,186.0,76.9,35.0,61.0,57.4,4.0,3.1,3.0,0.9,26.0,38.0,12.0,0.0,53.0,704.0,653.0,46.0,12.0,5.0,8.0,34.0,7.0,22.0,14.0,4.0,0.0,544.0,5.0,11.0,49.0,2.6,36.0,8.0,1.0,1.0,2.0,1.0,10.0,0.53,8.0,0.0,1.0,0.0,0.0,1.0,30.0,14.0,11.0,15.0,4.0,12.0,32.0,37.5,20.0,18.0,1.0,17.0,7.0,37.0,18.0,0.0,890.0,16.0,102.0,423.0,377.0,70.0,890.0,29.0,19.0,65.5,10.0,34.5,474.0,2408.0,1114.0,39.0,33.0,10.0,33.0,24.0,657.0,126.0,26,1695.0,65.0,49.6,18.8,21,71.0,5,5,40.0,1,1.96,24.0,16.0,8.0,0.42,-0.31,24.0,14.8,9.2,0.49,-0.14,3.0,0.0,0.0,18.0,27.0,10.0,34.0,7.0,14.0,0.0,0.0,0.0,72.0,31.0,53.0,36.9
Luis Suárez,uy URU,FW,34.0,20.4,11.0,51.0,23.0,45.1,2.5,1.13,0.18,0.39,19.6,2.0,2.0,3.0,10.0,7.7,0.15,1.0,1.3,363.0,502.0,72.3,5049.0,895.0,213.0,276.0,77.2,90.0,112.0,80.4,27.0,41.0,65.9,2.0,1.3,1.2,0.7,15.0,24.0,13.0,1.0,40.0,502.0,459.0,38.0,0.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,363.0,5.0,10.0,38.0,1.86,27.0,0.0,2.0,5.0,2.0,2.0,7.0,0.34,4.0,0.0,1.0,1.0,1.0,0.0,8.0,5.0,2.0,4.0,2.0,2.0,10.0,20.0,8.0,8.0,1.0,7.0,1.0,9.0,14.0,0.0,682.0,16.0,53.0,288.0,342.0,86.0,679.0,23.0,6.0,26.1,17.0,73.9,318.0,1261.0,521.0,16.0,11.0,10.0,47.0,10.0,530.0,105.0,35,1835.0,52.0,53.7,20.4,20,73.0,5,15,25.0,2,1.83,35.0,26.0,9.0,0.44,-0.3,31.2,17.6,13.5,0.66,0.23,7.0,0.0,0.0,20.0,26.0,12.0,6.0,1.0,5.0,2.0,1.0,0.0,42.0,19.0,24.0,44.2
Thomas Lemar,fr FRA,MF,25.0,16.0,4.0,29.0,8.0,27.6,1.81,0.5,0.14,0.5,18.6,1.0,0.0,0.0,3.4,3.4,0.12,0.6,0.6,621.0,791.0,78.5,9420.0,2948.0,330.0,379.0,87.1,189.0,231.0,81.8,58.0,105.0,55.2,5.0,3.3,3.7,1.7,31.0,48.0,39.0,14.0,95.0,791.0,705.0,82.0,22.0,2.0,7.0,90.0,18.0,42.0,16.0,13.0,0.0,621.0,4.0,17.0,66.0,4.12,45.0,9.0,4.0,5.0,3.0,0.0,11.0,0.69,7.0,1.0,1.0,2.0,0.0,0.0,24.0,14.0,9.0,12.0,3.0,8.0,23.0,34.8,15.0,18.0,0.0,18.0,8.0,32.0,11.0,0.0,971.0,19.0,114.0,422.0,441.0,45.0,971.0,56.0,33.0,58.9,23.0,41.1,588.0,3696.0,1836.0,54.0,46.0,9.0,18.0,34.0,694.0,92.0,24,1440.0,60.0,42.1,16.0,17,71.0,5,7,34.0,0,1.88,25.0,25.0,0.0,0.0,-1.0,22.1,15.3,6.8,0.42,-0.23,2.0,0.0,0.0,11.0,21.0,2.0,90.0,8.0,14.0,0.0,2.0,0.0,71.0,12.0,10.0,54.5
