player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Catena,es ESP,DF,26.0,36.0,2.0,23.0,6.0,26.1,0.64,0.17,0.09,0.33,10.8,0.0,0.0,0.0,1.4,1.4,0.06,0.6,0.6,1393.0,1723.0,80.8,32147.0,13809.0,371.0,423.0,87.7,705.0,785.0,89.8,301.0,464.0,64.9,2.0,0.8,0.7,1.2,7.0,89.0,1.0,0.0,84.0,1723.0,1620.0,96.0,94.0,2.0,36.0,2.0,2.0,0.0,0.0,0.0,0.0,1393.0,7.0,18.0,31.0,0.86,22.0,3.0,0.0,3.0,2.0,1.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,39.0,23.0,24.0,15.0,0.0,25.0,42.0,59.5,17.0,26.0,19.0,7.0,30.0,69.0,168.0,3.0,2047.0,296.0,1137.0,862.0,57.0,42.0,2047.0,5.0,5.0,100.0,0.0,0.0,1030.0,4544.0,2716.0,13.0,2.0,0.0,9.0,6.0,1232.0,6.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,1.17,39.0,46.0,-7.0,-0.19,1.81,41.6,45.6,-4.0,-0.11,0.71,8.0,0.0,0.0,26.0,14.0,3.0,2.0,30.0,23.0,0.0,1.0,0.0,190.0,117.0,40.0,74.5
Iván Balliu,al ALB,DF,29.0,35.0,1.0,15.0,3.0,20.0,0.43,0.09,0.07,0.33,19.9,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,1350.0,1796.0,75.2,22969.0,10202.0,663.0,741.0,89.5,521.0,672.0,77.5,135.0,269.0,50.2,2.0,3.5,4.8,-1.5,44.0,97.0,36.0,27.0,134.0,1796.0,1331.0,460.0,33.0,1.0,7.0,111.0,426.0,1.0,1.0,0.0,0.0,1350.0,5.0,48.0,94.0,2.69,68.0,13.0,6.0,2.0,3.0,2.0,5.0,0.14,4.0,0.0,1.0,0.0,0.0,0.0,45.0,22.0,25.0,11.0,9.0,19.0,31.0,61.3,12.0,24.0,5.0,19.0,39.0,84.0,64.0,0.0,2114.0,88.0,538.0,945.0,655.0,37.0,2114.0,54.0,22.0,40.7,32.0,59.3,938.0,5258.0,2727.0,84.0,48.0,8.0,40.0,20.0,1107.0,132.0,35,3147.0,90.0,92.0,35.0,35,90.0,34,0,,0,1.0,35.0,48.0,-13.0,-0.37,-1.03,39.6,46.8,-7.2,-0.21,-0.72,10.0,1.0,0.0,42.0,57.0,4.0,111.0,39.0,22.0,0.0,3.0,0.0,166.0,23.0,33.0,41.1
Francisco Garcia,es ESP,DF,21.0,33.6,1.0,25.0,8.0,32.0,0.74,0.24,0.04,0.13,23.6,0.0,0.0,0.0,0.9,0.9,0.04,0.1,0.1,1310.0,1690.0,77.5,21253.0,7515.0,667.0,734.0,90.9,515.0,647.0,79.6,95.0,213.0,44.6,0.0,1.7,2.0,-1.7,29.0,96.0,35.0,22.0,133.0,1690.0,1327.0,360.0,22.0,1.0,4.0,128.0,338.0,0.0,0.0,0.0,0.0,1310.0,3.0,31.0,67.0,1.99,51.0,9.0,3.0,4.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,60.0,35.0,44.0,12.0,4.0,39.0,73.0,53.4,34.0,34.0,8.0,26.0,45.0,105.0,53.0,0.0,2032.0,94.0,622.0,884.0,556.0,29.0,2032.0,45.0,22.0,48.9,23.0,51.1,996.0,7686.0,4553.0,140.0,96.0,9.0,54.0,15.0,1063.0,141.0,34,3025.0,89.0,88.5,33.6,34,89.0,32,0,,2,1.21,36.0,40.0,-4.0,-0.12,1.48,37.7,42.7,-5.0,-0.15,-0.01,4.0,0.0,0.0,24.0,15.0,2.0,128.0,45.0,35.0,0.0,0.0,0.0,210.0,25.0,37.0,40.3
Álvaro García,es ESP,"FW,MF",28.0,33.3,7.0,68.0,23.0,33.8,2.04,0.69,0.1,0.3,17.0,0.0,0.0,0.0,5.3,5.3,0.08,1.7,1.7,640.0,1046.0,61.2,10222.0,3488.0,325.0,421.0,77.2,225.0,349.0,64.5,57.0,164.0,34.8,4.0,4.7,6.8,-0.7,43.0,35.0,51.0,28.0,86.0,1046.0,1007.0,31.0,5.0,2.0,4.0,194.0,19.0,7.0,1.0,2.0,0.0,640.0,8.0,42.0,91.0,2.73,73.0,4.0,3.0,5.0,4.0,2.0,7.0,0.21,5.0,1.0,0.0,1.0,0.0,0.0,42.0,23.0,15.0,18.0,9.0,8.0,35.0,22.9,27.0,27.0,3.0,24.0,42.0,84.0,24.0,0.0,1393.0,40.0,248.0,419.0,741.0,154.0,1393.0,50.0,22.0,44.0,28.0,56.0,759.0,4974.0,2696.0,124.0,49.0,58.0,70.0,13.0,888.0,293.0,36,2998.0,83.0,87.7,33.3,34,86.0,24,2,31.0,0,1.14,36.0,44.0,-8.0,-0.24,0.4,39.8,42.1,-2.2,-0.07,0.66,6.0,0.0,0.0,23.0,25.0,11.0,194.0,42.0,23.0,0.0,0.0,0.0,187.0,5.0,23.0,17.9
Santi Comesaña,es ESP,MF,24.0,29.8,1.0,32.0,5.0,15.6,1.07,0.17,0.03,0.2,13.3,1.0,0.0,0.0,3.7,3.7,0.11,-2.7,-2.7,1214.0,1481.0,82.0,20966.0,6613.0,562.0,658.0,85.4,473.0,535.0,88.4,134.0,180.0,74.4,2.0,2.0,2.0,0.0,27.0,127.0,19.0,3.0,165.0,1481.0,1422.0,52.0,43.0,3.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,1214.0,7.0,30.0,60.0,2.01,50.0,0.0,3.0,3.0,3.0,1.0,6.0,0.2,3.0,0.0,1.0,2.0,0.0,0.0,87.0,56.0,45.0,33.0,9.0,40.0,104.0,38.5,64.0,46.0,6.0,40.0,33.0,120.0,30.0,0.0,1837.0,68.0,405.0,1138.0,325.0,58.0,1837.0,64.0,48.0,75.0,16.0,25.0,967.0,4828.0,2760.0,46.0,44.0,3.0,45.0,35.0,1179.0,50.0,35,2682.0,77.0,78.4,29.8,32,81.0,13,3,34.0,0,1.09,32.0,34.0,-2.0,-0.07,1.03,34.8,34.7,0.1,0.0,0.69,12.0,1.0,1.0,60.0,56.0,1.0,10.0,33.0,56.0,0.0,0.0,0.0,213.0,56.0,63.0,47.1
Stole Dimitrievski,mk MKD,GK,27.0,30.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,545.0,947.0,57.6,18378.0,15120.0,70.0,71.0,98.6,222.0,227.0,97.8,249.0,639.0,39.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,947.0,618.0,323.0,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,6.0,0.0,7.0,0.23,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,14.0,3.0,1015.0,869.0,1008.0,7.0,0.0,0.0,1015.0,0.0,0.0,,0.0,,489.0,3171.0,2173.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0,31,2772.0,89.0,81.1,30.8,30,90.0,30,1,72.0,6,1.32,35.0,37.0,-2.0,-0.06,1.19,34.2,36.8,-2.5,-0.08,0.35,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,11.0,2.0,84.6
Óscar Valentín,es ESP,MF,26.0,28.5,0.0,11.0,1.0,9.1,0.39,0.04,0.0,0.0,19.9,0.0,0.0,0.0,1.2,1.2,0.11,-1.2,-1.2,1102.0,1320.0,83.5,20083.0,6347.0,472.0,517.0,91.3,468.0,533.0,87.8,135.0,200.0,67.5,0.0,1.0,0.9,-1.0,15.0,132.0,11.0,0.0,140.0,1320.0,1280.0,37.0,37.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,1102.0,3.0,22.0,41.0,1.44,35.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,53.0,46.0,51.0,5.0,44.0,105.0,41.9,61.0,56.0,10.0,46.0,39.0,141.0,43.0,0.0,1663.0,85.0,450.0,1077.0,158.0,9.0,1663.0,20.0,16.0,80.0,4.0,20.0,827.0,4794.0,2525.0,27.0,24.0,0.0,34.0,11.0,928.0,10.0,35,2569.0,73.0,75.1,28.5,29,82.0,13,6,30.0,2,1.11,28.0,38.0,-10.0,-0.35,-0.24,30.3,35.0,-4.7,-0.17,-0.07,8.0,0.0,0.0,50.0,55.0,0.0,3.0,39.0,53.0,0.0,1.0,0.0,218.0,35.0,48.0,42.2
Isaac Palazón Camacho,es ESP,"FW,MF",26.0,25.4,2.0,58.0,12.0,20.7,2.28,0.47,0.03,0.17,21.8,6.0,0.0,0.0,3.1,3.1,0.05,-1.1,-1.1,623.0,895.0,69.6,10490.0,2954.0,321.0,402.0,79.9,202.0,272.0,74.3,76.0,149.0,51.0,4.0,3.1,2.9,0.9,34.0,76.0,22.0,3.0,94.0,895.0,821.0,65.0,22.0,9.0,15.0,70.0,3.0,40.0,10.0,19.0,0.0,623.0,9.0,21.0,79.0,3.11,53.0,11.0,3.0,5.0,7.0,0.0,7.0,0.28,4.0,1.0,2.0,0.0,0.0,0.0,42.0,28.0,20.0,19.0,3.0,18.0,59.0,30.5,41.0,31.0,3.0,28.0,13.0,55.0,22.0,0.0,1266.0,27.0,158.0,572.0,557.0,50.0,1266.0,81.0,36.0,44.4,45.0,55.6,712.0,3678.0,1332.0,41.0,33.0,8.0,85.0,55.0,855.0,148.0,34,2288.0,67.0,66.9,25.4,27,76.0,7,7,35.0,1,1.21,25.0,26.0,-1.0,-0.04,0.76,24.5,28.9,-4.4,-0.17,-0.08,7.0,0.0,0.0,32.0,69.0,5.0,70.0,13.0,28.0,0.0,0.0,0.0,161.0,46.0,72.0,39.0
Óscar Trejo,ar ARG,MF,33.0,22.3,3.0,20.0,6.0,30.0,0.9,0.27,0.0,0.0,25.5,0.0,3.0,3.0,3.3,0.9,0.05,-0.3,-0.9,795.0,1049.0,75.8,12207.0,3897.0,447.0,511.0,87.5,238.0,303.0,78.5,72.0,148.0,48.6,9.0,5.0,4.5,4.0,60.0,88.0,23.0,4.0,135.0,1049.0,881.0,159.0,63.0,5.0,2.0,118.0,6.0,66.0,28.0,29.0,1.0,795.0,9.0,17.0,122.0,5.47,69.0,30.0,6.0,3.0,10.0,4.0,11.0,0.49,9.0,1.0,0.0,0.0,0.0,1.0,42.0,24.0,14.0,18.0,10.0,15.0,50.0,30.0,35.0,26.0,1.0,25.0,13.0,55.0,11.0,0.0,1362.0,17.0,130.0,745.0,519.0,51.0,1359.0,127.0,82.0,64.6,45.0,35.4,739.0,4336.0,1971.0,53.0,51.0,16.0,78.0,66.0,924.0,96.0,32,2007.0,63.0,58.7,22.3,24,72.0,2,8,36.0,1,1.16,23.0,21.0,2.0,0.09,0.92,23.4,24.5,-1.1,-0.05,0.23,13.0,0.0,0.0,59.0,68.0,4.0,118.0,13.0,24.0,0.0,0.0,0.0,151.0,25.0,29.0,46.3
Esteban Saveljich,me MNE,DF,30.0,18.9,0.0,9.0,3.0,33.3,0.48,0.16,0.0,0.0,8.4,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,498.0,605.0,82.3,9979.0,3016.0,145.0,165.0,87.9,290.0,320.0,90.6,55.0,101.0,54.5,0.0,0.0,0.3,0.0,1.0,14.0,2.0,1.0,20.0,605.0,579.0,24.0,21.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,498.0,2.0,5.0,10.0,0.53,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,11.0,7.0,0.0,9.0,15.0,60.0,6.0,20.0,12.0,8.0,16.0,34.0,69.0,0.0,763.0,101.0,433.0,316.0,17.0,12.0,763.0,1.0,0.0,0.0,1.0,100.0,397.0,2076.0,1081.0,2.0,1.0,0.0,3.0,2.0,434.0,1.0,21,1700.0,81.0,49.7,18.9,21,81.0,12,0,,6,1.29,22.0,20.0,2.0,0.11,0.79,22.1,22.2,-0.1,-0.01,0.28,4.0,0.0,0.0,23.0,2.0,3.0,1.0,16.0,11.0,0.0,1.0,0.0,56.0,56.0,36.0,60.9
Sergi Guardiola,es ESP,FW,30.0,19.0,8.0,50.0,16.0,32.0,2.63,0.84,0.14,0.44,14.5,0.0,1.0,1.0,7.1,6.3,0.13,0.9,0.7,270.0,403.0,67.0,3792.0,824.0,168.0,223.0,75.3,67.0,97.0,69.1,16.0,24.0,66.7,2.0,2.0,1.9,0.0,15.0,10.0,12.0,2.0,32.0,403.0,381.0,21.0,2.0,2.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,270.0,1.0,16.0,40.0,2.11,25.0,1.0,4.0,5.0,4.0,1.0,6.0,0.32,3.0,0.0,0.0,1.0,1.0,1.0,10.0,9.0,3.0,5.0,2.0,1.0,21.0,4.8,20.0,14.0,2.0,12.0,4.0,14.0,17.0,0.0,610.0,19.0,51.0,245.0,322.0,85.0,609.0,20.0,13.0,65.0,7.0,35.0,345.0,1626.0,575.0,23.0,17.0,14.0,58.0,32.0,460.0,114.0,32,1710.0,53.0,50.0,19.0,20,74.0,3,12,19.0,3,1.09,21.0,25.0,-4.0,-0.21,0.16,21.5,18.6,3.0,0.16,0.61,3.0,0.0,0.0,29.0,29.0,14.0,16.0,4.0,9.0,1.0,0.0,0.0,47.0,23.0,45.0,33.8
Randy Ntekja,fr FRA,"FW,MF",23.0,16.2,3.0,29.0,8.0,27.6,1.79,0.49,0.1,0.38,13.3,0.0,0.0,0.0,3.4,3.4,0.12,-0.4,-0.4,271.0,413.0,65.6,3523.0,773.0,177.0,234.0,75.6,70.0,108.0,64.8,8.0,23.0,34.8,0.0,1.4,1.2,-1.4,14.0,25.0,5.0,0.0,31.0,413.0,395.0,13.0,2.0,4.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,271.0,5.0,14.0,36.0,2.22,29.0,0.0,1.0,1.0,5.0,0.0,4.0,0.25,1.0,0.0,1.0,0.0,2.0,0.0,24.0,13.0,9.0,11.0,4.0,8.0,19.0,42.1,11.0,21.0,1.0,20.0,8.0,32.0,12.0,0.0,631.0,12.0,56.0,308.0,272.0,63.0,631.0,30.0,16.0,53.3,14.0,46.7,305.0,1560.0,701.0,21.0,21.0,12.0,65.0,33.0,444.0,84.0,34,1462.0,43.0,42.7,16.2,16,68.0,0,18,21.0,1,1.12,18.0,20.0,-2.0,-0.12,0.29,19.4,19.7,-0.3,-0.02,0.22,2.0,0.0,0.0,41.0,24.0,3.0,9.0,8.0,13.0,2.0,0.0,0.0,56.0,61.0,67.0,47.7
Unai López,es ESP,MF,25.0,12.9,0.0,19.0,7.0,36.8,1.47,0.54,0.0,0.0,24.6,4.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1,690.0,841.0,82.0,12902.0,3159.0,308.0,329.0,93.6,241.0,270.0,89.3,110.0,186.0,59.1,0.0,1.4,2.1,-1.4,24.0,58.0,12.0,3.0,68.0,841.0,741.0,94.0,33.0,2.0,17.0,62.0,3.0,48.0,20.0,16.0,3.0,690.0,6.0,7.0,53.0,4.12,36.0,11.0,1.0,1.0,2.0,2.0,2.0,0.16,1.0,1.0,0.0,0.0,0.0,0.0,19.0,9.0,6.0,10.0,3.0,10.0,33.0,30.3,23.0,7.0,0.0,7.0,10.0,29.0,8.0,1.0,961.0,16.0,132.0,576.0,259.0,18.0,961.0,27.0,14.0,51.9,13.0,48.1,505.0,2269.0,1040.0,16.0,19.0,3.0,18.0,20.0,679.0,36.0,27,1160.0,43.0,33.9,12.9,13,67.0,3,14,21.0,0,1.37,14.0,24.0,-10.0,-0.78,-0.74,15.4,17.6,-2.2,-0.17,-0.04,5.0,0.0,0.0,26.0,17.0,5.0,62.0,10.0,9.0,0.0,0.0,0.0,76.0,8.0,22.0,26.7
Pathé Ciss,sn SEN,MF,27.0,12.2,2.0,19.0,5.0,26.3,1.56,0.41,0.11,0.4,26.8,2.0,0.0,0.0,1.7,1.7,0.09,0.3,0.3,435.0,523.0,83.2,8270.0,2398.0,177.0,201.0,88.1,184.0,210.0,87.6,62.0,85.0,72.9,1.0,0.5,0.4,0.5,4.0,52.0,3.0,0.0,55.0,523.0,510.0,12.0,10.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,435.0,1.0,7.0,24.0,1.97,16.0,0.0,0.0,3.0,2.0,3.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,20.0,8.0,3.0,12.0,26.0,46.2,14.0,16.0,6.0,10.0,30.0,61.0,27.0,0.0,696.0,42.0,193.0,436.0,74.0,6.0,696.0,15.0,10.0,66.7,5.0,33.3,349.0,1739.0,780.0,8.0,13.0,0.0,12.0,11.0,372.0,6.0,31,1097.0,35.0,32.1,12.2,11,64.0,1,20,20.0,4,1.23,12.0,15.0,-3.0,-0.25,0.06,14.7,16.1,-1.4,-0.11,0.05,5.0,0.0,0.0,19.0,9.0,1.0,0.0,30.0,15.0,0.0,1.0,1.0,103.0,34.0,22.0,60.7
Nikola Maraš,rs SRB,DF,25.0,11.6,0.0,1.0,0.0,0.0,0.09,0.0,0.0,,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,370.0,457.0,81.0,7260.0,2514.0,119.0,136.0,87.5,208.0,240.0,86.7,39.0,73.0,53.4,0.0,0.1,0.1,-0.1,3.0,11.0,0.0,0.0,22.0,457.0,441.0,15.0,14.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,370.0,1.0,2.0,5.0,0.43,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,12.0,1.0,0.0,9.0,15.0,60.0,6.0,17.0,13.0,4.0,15.0,28.0,51.0,0.0,568.0,77.0,307.0,256.0,12.0,10.0,568.0,1.0,1.0,100.0,0.0,0.0,269.0,1405.0,734.0,5.0,1.0,0.0,5.0,0.0,320.0,0.0,16,1044.0,65.0,30.5,11.6,11,87.0,9,5,18.0,17,1.25,11.0,18.0,-7.0,-0.6,-0.45,10.2,13.2,-3.0,-0.26,-0.16,4.0,0.0,0.0,11.0,4.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,37.0,29.0,27.0,51.8
Radamel Falcao,co COL,FW,35.0,9.3,6.0,33.0,15.0,45.5,3.54,1.61,0.18,0.4,13.4,2.0,0.0,0.0,4.9,4.9,0.15,1.1,1.1,132.0,173.0,76.3,1780.0,245.0,80.0,99.0,80.8,39.0,48.0,81.3,4.0,5.0,80.0,0.0,0.3,0.4,-0.3,5.0,9.0,1.0,1.0,15.0,173.0,158.0,13.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,132.0,2.0,5.0,17.0,1.83,8.0,0.0,2.0,4.0,2.0,1.0,4.0,0.43,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,4.0,1.0,3.0,2.0,4.0,11.0,0.0,282.0,12.0,19.0,138.0,126.0,41.0,282.0,10.0,3.0,30.0,7.0,70.0,153.0,598.0,219.0,8.0,6.0,5.0,31.0,11.0,229.0,38.0,22,838.0,38.0,24.5,9.3,8,75.0,2,14,17.0,4,1.0,10.0,12.0,-2.0,-0.21,0.1,12.1,13.4,-1.4,-0.15,0.0,1.0,0.0,0.0,17.0,18.0,15.0,4.0,2.0,1.0,0.0,0.0,0.0,17.0,27.0,33.0,45.0
Mario Suárez,es ESP,DF,34.0,7.9,0.0,9.0,3.0,33.3,1.14,0.38,0.0,0.0,13.1,0.0,0.0,0.0,1.0,1.0,0.11,-1.0,-1.0,257.0,331.0,77.6,5310.0,2173.0,74.0,93.0,79.6,142.0,161.0,88.2,37.0,68.0,54.4,0.0,0.0,0.1,0.0,1.0,16.0,0.0,0.0,24.0,331.0,318.0,12.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,1.0,1.0,7.0,0.88,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,7.0,2.0,0.0,3.0,9.0,33.3,6.0,6.0,4.0,2.0,7.0,16.0,37.0,1.0,408.0,59.0,211.0,182.0,18.0,10.0,408.0,6.0,4.0,66.7,2.0,33.3,195.0,1024.0,610.0,5.0,2.0,0.0,4.0,2.0,220.0,2.0,14,712.0,51.0,20.8,7.9,8,86.0,7,6,4.0,23,1.07,4.0,15.0,-11.0,-1.39,-1.39,7.3,15.4,-8.0,-1.01,-1.09,2.0,0.0,0.0,17.0,5.0,0.0,0.0,7.0,4.0,0.0,1.0,0.0,55.0,29.0,13.0,69.0
