player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Leonardo Bonucci,it ITA,DF,32.0,34.2,3.0,23.0,8.0,34.8,0.67,0.23,0.13,0.38,14.7,0.0,0.0,0.0,3.4,3.4,0.15,-0.4,-0.4,1844.0,2133.0,86.5,38259.0,17862.0,554.0,585.0,94.7,989.0,1071.0,92.3,277.0,419.0,66.1,0.0,0.6,0.9,-0.6,11.0,168.0,6.0,3.0,144.0,2133.0,2045.0,79.0,75.0,8.0,35.0,6.0,4.0,0.0,0.0,0.0,0.0,1844.0,9.0,8.0,33.0,0.96,31.0,0.0,0.0,2.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,18.0,8.0,2.0,12.0,17.0,70.6,5.0,32.0,29.0,3.0,31.0,59.0,94.0,2.0,2376.0,269.0,1013.0,1297.0,74.0,22.0,2376.0,5.0,4.0,80.0,1.0,20.0,1557.0,6892.0,4072.0,16.0,12.0,2.0,8.0,4.0,1787.0,3.0,35,3082.0,88.0,90.1,34.2,35,88.0,32.0,0,,0,2.22,73.0,38.0,35.0,1.02,1.55,64.4,38.7,25.7,0.75,0.63,10.0,0.0,0.0,26.0,18.0,0.0,6.0,31.0,17.0,0.0,3.0,0.0,133.0,61.0,50.0,55.0
Cristiano Ronaldo,pt POR,FW,34.0,32.4,31.0,195.0,67.0,34.4,6.02,2.07,0.1,0.28,19.5,19.0,12.0,13.0,28.6,18.4,0.09,2.4,0.6,1052.0,1267.0,83.0,13479.0,2486.0,666.0,741.0,89.9,249.0,292.0,85.3,49.0,65.0,75.4,5.0,6.4,4.7,-1.4,51.0,74.0,32.0,2.0,118.0,1267.0,1224.0,39.0,8.0,2.0,9.0,36.0,23.0,3.0,0.0,0.0,0.0,1052.0,4.0,40.0,148.0,4.57,89.0,1.0,15.0,31.0,12.0,0.0,20.0,0.62,10.0,0.0,3.0,4.0,3.0,0.0,14.0,10.0,3.0,3.0,8.0,4.0,20.0,20.0,16.0,10.0,3.0,7.0,6.0,20.0,21.0,1.0,1699.0,26.0,74.0,638.0,1002.0,217.0,1686.0,87.0,53.0,60.9,34.0,39.1,1220.0,7615.0,4216.0,167.0,126.0,53.0,72.0,32.0,1456.0,321.0,33,2917.0,88.0,85.3,32.4,33,88.0,31.0,0,,0,2.21,66.0,36.0,30.0,0.93,0.39,60.1,38.1,22.0,0.68,-0.07,3.0,0.0,0.0,25.0,58.0,31.0,36.0,6.0,10.0,2.0,0.0,0.0,68.0,36.0,33.0,52.2
Wojciech Szczęsny,pl POL,GK,29.0,28.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,656.0,758.0,86.5,16439.0,10323.0,136.0,136.0,100.0,316.0,321.0,98.4,200.0,292.0,68.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,758.0,515.0,240.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,3.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,830.0,726.0,822.0,8.0,0.0,0.0,830.0,0.0,0.0,,0.0,,455.0,2241.0,1359.0,0.0,0.0,0.0,1.0,0.0,319.0,0.0,29,2591.0,89.0,75.8,28.8,29,89.0,28.0,0,,7,2.1,57.0,33.0,24.0,0.83,-0.14,51.4,35.9,15.5,0.54,-0.62,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,44.0,5.0,1.0,83.3
Juan Cuadrado,co COL,"DF,FW",31.0,29.5,2.0,20.0,5.0,25.0,0.68,0.17,0.1,0.4,19.6,0.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8,2032.0,2318.0,87.7,33507.0,11397.0,983.0,1050.0,93.6,818.0,902.0,90.7,164.0,254.0,64.6,5.0,4.3,3.5,0.7,44.0,188.0,49.0,19.0,174.0,2318.0,2063.0,251.0,49.0,4.0,37.0,86.0,202.0,0.0,0.0,0.0,0.0,2032.0,4.0,20.0,111.0,3.76,97.0,2.0,4.0,1.0,5.0,2.0,10.0,0.34,9.0,0.0,0.0,0.0,1.0,0.0,67.0,43.0,32.0,28.0,7.0,35.0,62.0,56.5,27.0,22.0,8.0,14.0,35.0,102.0,47.0,0.0,2622.0,64.0,572.0,1329.0,752.0,45.0,2622.0,71.0,42.0,59.2,29.0,40.8,1815.0,8904.0,5574.0,129.0,117.0,25.0,34.0,28.0,1945.0,189.0,33,2654.0,80.0,77.6,29.5,28,89.0,26.0,5,34.0,3,2.21,60.0,26.0,34.0,1.15,1.27,58.2,31.6,26.7,0.9,0.96,7.0,1.0,0.0,28.0,80.0,3.0,86.0,35.0,43.0,1.0,0.0,0.0,169.0,13.0,23.0,36.1
Miralem Pjanić,ba BIH,MF,29.0,25.3,3.0,21.0,5.0,23.8,0.83,0.2,0.14,0.6,26.5,9.0,0.0,0.0,1.0,1.0,0.05,2.0,2.0,1751.0,1999.0,87.6,27815.0,10180.0,937.0,987.0,94.9,576.0,642.0,89.7,153.0,235.0,65.1,6.0,4.4,3.4,1.6,56.0,228.0,22.0,2.0,199.0,1999.0,1812.0,180.0,104.0,6.0,15.0,82.0,2.0,74.0,21.0,30.0,1.0,1751.0,7.0,18.0,106.0,4.19,74.0,24.0,0.0,1.0,3.0,4.0,9.0,0.36,5.0,2.0,0.0,1.0,1.0,0.0,46.0,21.0,16.0,23.0,7.0,21.0,63.0,33.3,42.0,29.0,12.0,17.0,32.0,78.0,30.0,0.0,2207.0,80.0,388.0,1346.0,488.0,11.0,2207.0,24.0,15.0,62.5,8.0,33.3,1236.0,4608.0,2042.0,14.0,30.0,0.0,28.0,11.0,1595.0,16.0,30,2277.0,76.0,66.6,25.3,28,80.0,18.0,2,24.0,4,2.23,53.0,27.0,26.0,1.03,0.48,47.0,31.6,15.4,0.61,-0.24,10.0,0.0,0.0,39.0,24.0,0.0,82.0,32.0,21.0,1.0,0.0,0.0,168.0,15.0,13.0,53.6
Alex Sandro,br BRA,DF,28.0,26.5,1.0,16.0,4.0,25.0,0.6,0.15,0.06,0.25,17.8,0.0,0.0,0.0,0.8,0.8,0.05,0.2,0.2,1687.0,1983.0,85.1,27574.0,8739.0,820.0,887.0,92.4,697.0,790.0,88.2,126.0,207.0,60.9,3.0,2.1,2.0,0.9,33.0,110.0,40.0,13.0,151.0,1983.0,1726.0,245.0,31.0,2.0,13.0,67.0,214.0,0.0,0.0,0.0,0.0,1687.0,12.0,23.0,78.0,2.94,64.0,4.0,3.0,1.0,6.0,0.0,7.0,0.26,6.0,0.0,0.0,1.0,0.0,0.0,44.0,26.0,23.0,14.0,7.0,12.0,33.0,36.4,21.0,26.0,6.0,20.0,47.0,91.0,46.0,3.0,2244.0,86.0,541.0,1119.0,602.0,30.0,2244.0,56.0,37.0,66.1,19.0,33.9,1462.0,7224.0,3972.0,91.0,88.0,10.0,23.0,16.0,1538.0,83.0,29,2385.0,82.0,69.7,26.5,27,87.0,24.0,2,24.0,3,2.03,48.0,31.0,17.0,0.64,-0.75,52.0,32.8,19.3,0.73,0.13,4.0,0.0,0.0,42.0,45.0,0.0,67.0,47.0,26.0,1.0,1.0,0.0,162.0,31.0,24.0,56.4
Matthijs de Ligt,nl NED,DF,19.0,27.2,4.0,18.0,9.0,50.0,0.66,0.33,0.22,0.44,14.5,0.0,0.0,0.0,2.4,2.4,0.13,1.6,1.6,1408.0,1565.0,90.0,26993.0,9160.0,452.0,492.0,91.9,764.0,822.0,92.9,149.0,186.0,80.1,0.0,0.2,0.5,-0.2,3.0,79.0,0.0,0.0,88.0,1565.0,1518.0,44.0,41.0,1.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,1408.0,3.0,7.0,14.0,0.51,12.0,0.0,0.0,1.0,1.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,25.0,15.0,14.0,10.0,1.0,13.0,23.0,56.5,10.0,30.0,23.0,7.0,25.0,50.0,101.0,2.0,1807.0,196.0,773.0,983.0,56.0,19.0,1807.0,2.0,1.0,50.0,1.0,50.0,1106.0,5243.0,2673.0,10.0,12.0,0.0,8.0,4.0,1233.0,2.0,29,2450.0,84.0,71.6,27.2,26,90.0,25.0,3,41.0,6,2.24,54.0,31.0,23.0,0.84,-0.08,49.9,33.9,15.9,0.59,-0.36,5.0,0.0,0.0,29.0,18.0,0.0,2.0,25.0,15.0,1.0,3.0,0.0,146.0,71.0,39.0,64.5
Rodrigo Bentancur,uy URU,MF,22.0,24.4,0.0,16.0,3.0,18.8,0.66,0.12,0.0,0.0,23.0,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1418.0,1627.0,87.2,22784.0,6479.0,716.0,777.0,92.1,531.0,592.0,89.7,116.0,159.0,73.0,7.0,3.6,2.9,3.4,44.0,169.0,17.0,4.0,112.0,1627.0,1547.0,77.0,32.0,2.0,3.0,52.0,8.0,37.0,11.0,17.0,0.0,1418.0,3.0,26.0,82.0,3.36,60.0,15.0,3.0,0.0,4.0,0.0,11.0,0.45,5.0,3.0,2.0,0.0,1.0,0.0,58.0,32.0,27.0,18.0,13.0,31.0,66.0,47.0,35.0,44.0,9.0,35.0,32.0,90.0,34.0,1.0,1905.0,53.0,339.0,1132.0,457.0,15.0,1905.0,53.0,36.0,67.9,17.0,32.1,1252.0,4726.0,2098.0,26.0,41.0,1.0,25.0,18.0,1364.0,60.0,30,2196.0,73.0,64.2,24.4,25,83.0,17.0,5,26.0,4,2.07,47.0,27.0,20.0,0.82,-0.14,49.7,27.8,21.9,0.9,0.59,9.0,0.0,0.0,53.0,28.0,3.0,52.0,32.0,32.0,1.0,0.0,0.0,159.0,33.0,26.0,55.9
Paulo Dybala,ar ARG,"FW,MF",25.0,23.9,11.0,99.0,35.0,35.4,4.13,1.46,0.1,0.29,19.7,10.0,1.0,1.0,9.4,8.6,0.09,1.6,1.4,1264.0,1524.0,82.9,18830.0,4267.0,712.0,785.0,90.7,342.0,403.0,84.9,120.0,181.0,66.3,6.0,6.7,5.7,-0.7,68.0,97.0,49.0,7.0,135.0,1524.0,1357.0,157.0,27.0,11.0,26.0,109.0,14.0,74.0,28.0,34.0,0.0,1264.0,10.0,24.0,162.0,6.77,104.0,16.0,18.0,9.0,13.0,2.0,24.0,1.0,11.0,2.0,5.0,2.0,3.0,1.0,19.0,10.0,6.0,9.0,4.0,9.0,39.0,23.1,30.0,15.0,0.0,15.0,13.0,32.0,3.0,0.0,1833.0,1.0,89.0,771.0,996.0,113.0,1832.0,107.0,65.0,60.7,42.0,39.3,1314.0,6606.0,2959.0,101.0,100.0,46.0,60.0,41.0,1500.0,204.0,33,2155.0,65.0,63.0,23.9,25,77.0,7.0,8,28.0,2,2.39,51.0,22.0,29.0,1.21,0.93,45.1,24.8,20.4,0.85,0.44,5.0,0.0,0.0,24.0,54.0,6.0,109.0,13.0,10.0,3.0,0.0,0.0,86.0,2.0,9.0,18.2
Blaise Matuidi,fr FRA,MF,32.0,24.9,0.0,14.0,6.0,42.9,0.56,0.24,0.0,0.0,20.0,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,951.0,1100.0,86.5,12793.0,3375.0,573.0,616.0,93.0,284.0,326.0,87.1,37.0,57.0,64.9,2.0,1.6,1.0,0.4,19.0,71.0,18.0,5.0,95.0,1100.0,1062.0,35.0,8.0,2.0,1.0,40.0,26.0,1.0,0.0,0.0,0.0,951.0,3.0,15.0,54.0,2.17,49.0,0.0,0.0,0.0,2.0,3.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,48.0,27.0,13.0,27.0,8.0,13.0,34.0,38.2,21.0,35.0,6.0,29.0,22.0,70.0,16.0,0.0,1366.0,28.0,193.0,770.0,409.0,38.0,1366.0,24.0,9.0,37.5,15.0,62.5,847.0,2880.0,1108.0,22.0,14.0,2.0,40.0,17.0,990.0,118.0,35,2237.0,64.0,65.4,24.9,23,85.0,16.0,12,23.0,3,2.26,47.0,26.0,21.0,0.84,-0.07,42.4,30.4,12.0,0.48,-0.59,2.0,0.0,0.0,40.0,26.0,3.0,40.0,22.0,27.0,0.0,0.0,0.0,106.0,25.0,26.0,49.0
Adrien Rabiot,fr FRA,MF,24.0,21.2,1.0,20.0,6.0,30.0,0.94,0.28,0.05,0.17,19.1,0.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5,996.0,1124.0,88.6,14033.0,2785.0,561.0,610.0,92.0,326.0,352.0,92.6,44.0,57.0,77.2,1.0,1.2,0.8,-0.2,14.0,79.0,7.0,1.0,87.0,1124.0,1108.0,15.0,3.0,2.0,4.0,20.0,12.0,0.0,0.0,0.0,0.0,996.0,1.0,19.0,53.0,2.49,38.0,0.0,5.0,3.0,5.0,2.0,6.0,0.28,2.0,0.0,2.0,1.0,1.0,0.0,47.0,31.0,16.0,19.0,12.0,15.0,41.0,36.6,26.0,36.0,6.0,30.0,32.0,79.0,19.0,0.0,1360.0,40.0,220.0,738.0,422.0,37.0,1360.0,48.0,36.0,75.0,12.0,25.0,955.0,5204.0,2474.0,56.0,40.0,9.0,33.0,24.0,1010.0,80.0,28,1912.0,68.0,55.9,21.2,21,82.0,13.0,7,27.0,6,2.25,45.0,22.0,23.0,1.08,0.49,39.5,21.8,17.7,0.83,0.33,7.0,1.0,1.0,49.0,28.0,0.0,20.0,32.0,31.0,0.0,0.0,0.0,115.0,23.0,13.0,63.9
Gonzalo Higuaín,ar ARG,FW,31.0,20.7,8.0,75.0,33.0,44.0,3.62,1.59,0.11,0.24,15.4,0.0,0.0,0.0,9.7,9.7,0.13,-1.7,-1.7,523.0,645.0,81.1,8624.0,1209.0,248.0,285.0,87.0,172.0,204.0,84.3,61.0,74.0,82.4,4.0,4.3,3.0,-0.3,38.0,41.0,16.0,2.0,55.0,645.0,613.0,30.0,0.0,3.0,8.0,11.0,1.0,0.0,0.0,0.0,0.0,523.0,2.0,15.0,90.0,4.34,68.0,0.0,11.0,8.0,2.0,1.0,5.0,0.24,4.0,0.0,1.0,0.0,0.0,0.0,13.0,7.0,2.0,6.0,5.0,4.0,31.0,12.9,27.0,12.0,0.0,12.0,6.0,19.0,14.0,0.0,840.0,16.0,45.0,362.0,445.0,106.0,840.0,35.0,23.0,65.7,12.0,34.3,536.0,2405.0,1065.0,45.0,28.0,15.0,34.0,20.0,668.0,152.0,32,1866.0,58.0,54.6,20.7,20,79.0,7.0,12,23.0,2,2.13,41.0,25.0,16.0,0.77,-0.21,39.3,25.4,13.9,0.67,-0.04,2.0,0.0,0.0,18.0,16.0,12.0,11.0,6.0,7.0,0.0,0.0,0.0,48.0,7.0,15.0,31.8
Federico Bernardeschi,it ITA,"MF,FW",25.0,17.5,1.0,50.0,9.0,18.0,2.86,0.52,0.02,0.11,20.0,2.0,0.0,0.0,4.4,4.4,0.09,-3.4,-3.4,565.0,692.0,81.6,8628.0,2083.0,301.0,334.0,90.1,174.0,213.0,81.7,49.0,76.0,64.5,1.0,3.4,3.1,-2.4,34.0,40.0,23.0,4.0,56.0,692.0,639.0,51.0,17.0,3.0,11.0,55.0,10.0,23.0,3.0,16.0,0.0,565.0,2.0,18.0,66.0,3.78,45.0,9.0,3.0,3.0,6.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,4.0,5.0,4.0,5.0,25.0,20.0,20.0,11.0,0.0,11.0,13.0,26.0,12.0,1.0,899.0,18.0,82.0,366.0,460.0,49.0,899.0,42.0,22.0,52.4,20.0,47.6,628.0,3509.0,1378.0,45.0,36.0,12.0,42.0,23.0,691.0,126.0,29,1571.0,54.0,45.9,17.5,19,69.0,5.0,10,27.0,6,2.03,27.0,24.0,3.0,0.17,-1.29,33.5,22.6,10.9,0.63,-0.12,6.0,0.0,0.0,31.0,24.0,5.0,55.0,13.0,5.0,0.0,0.0,0.0,61.0,4.0,2.0,66.7
Danilo,br BRA,DF,28.0,16.0,2.0,14.0,4.0,28.6,0.87,0.25,0.14,0.5,24.3,0.0,0.0,0.0,0.9,0.9,0.07,1.1,1.1,1057.0,1231.0,85.9,16439.0,5014.0,563.0,601.0,93.7,387.0,431.0,89.8,73.0,136.0,53.7,0.0,0.7,0.9,-0.7,15.0,88.0,19.0,3.0,97.0,1231.0,1102.0,128.0,20.0,1.0,10.0,29.0,108.0,0.0,0.0,0.0,0.0,1057.0,1.0,15.0,46.0,2.87,37.0,1.0,1.0,4.0,2.0,1.0,5.0,0.31,4.0,0.0,0.0,1.0,0.0,0.0,30.0,20.0,16.0,12.0,2.0,18.0,30.0,60.0,12.0,12.0,3.0,9.0,26.0,56.0,44.0,0.0,1382.0,52.0,353.0,720.0,320.0,15.0,1382.0,19.0,15.0,78.9,4.0,21.1,813.0,3268.0,1960.0,40.0,31.0,6.0,12.0,3.0,980.0,65.0,22,1440.0,65.0,42.1,16.0,16,75.0,10.0,6,41.0,9,2.09,33.0,27.0,6.0,0.37,-0.85,24.8,22.5,2.3,0.15,-0.94,4.0,1.0,1.0,20.0,14.0,2.0,29.0,26.0,20.0,0.0,1.0,0.0,78.0,18.0,14.0,56.3
Aaron Ramsey,wls WAL,MF,28.0,11.7,3.0,28.0,9.0,32.1,2.4,0.77,0.11,0.33,17.5,0.0,0.0,0.0,2.5,2.5,0.09,0.5,0.5,632.0,736.0,85.9,8264.0,1733.0,393.0,434.0,90.6,165.0,187.0,88.2,25.0,43.0,58.1,1.0,1.1,1.2,-0.1,20.0,59.0,8.0,1.0,58.0,736.0,716.0,18.0,8.0,2.0,2.0,18.0,6.0,3.0,2.0,1.0,0.0,632.0,2.0,10.0,49.0,4.19,41.0,0.0,4.0,2.0,2.0,0.0,4.0,0.34,3.0,0.0,0.0,0.0,1.0,0.0,20.0,15.0,6.0,8.0,6.0,6.0,24.0,25.0,18.0,18.0,3.0,15.0,11.0,31.0,12.0,0.0,885.0,15.0,98.0,420.0,372.0,53.0,885.0,23.0,15.0,65.2,8.0,34.8,567.0,2211.0,969.0,22.0,22.0,5.0,29.0,18.0,705.0,81.0,24,1051.0,44.0,30.7,11.7,11,67.0,1.0,13,24.0,8,2.25,27.0,12.0,15.0,1.28,0.6,22.8,11.5,11.3,0.97,0.4,2.0,0.0,0.0,22.0,18.0,2.0,18.0,11.0,15.0,0.0,0.0,0.0,62.0,12.0,7.0,63.2
Gianluigi Buffon,it ITA,GK,41.0,9.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,191.0,208.0,91.8,4081.0,2730.0,51.0,51.0,100.0,99.0,99.0,100.0,35.0,51.0,68.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,208.0,145.0,63.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,1.0,2.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,225.0,198.0,224.0,1.0,0.0,0.0,225.0,0.0,0.0,,0.0,,124.0,538.0,378.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,9,810.0,90.0,23.7,9.0,9,90.0,9.0,0,,29,2.44,19.0,10.0,9.0,1.0,0.17,19.1,8.8,10.3,1.14,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
Sami Khedira,de GER,MF,32.0,7.6,0.0,12.0,3.0,25.0,1.59,0.4,0.0,0.0,15.4,0.0,0.0,0.0,1.2,1.2,0.1,-1.2,-1.2,283.0,338.0,83.7,4084.0,915.0,167.0,176.0,94.9,92.0,109.0,84.4,14.0,25.0,56.0,1.0,0.8,0.8,0.2,8.0,16.0,7.0,2.0,23.0,338.0,323.0,13.0,3.0,2.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,283.0,2.0,12.0,19.0,2.51,16.0,0.0,0.0,2.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,3.0,8.0,3.0,4.0,19.0,21.1,15.0,12.0,1.0,11.0,3.0,17.0,13.0,0.0,411.0,17.0,71.0,201.0,139.0,20.0,411.0,1.0,0.0,0.0,1.0,100.0,238.0,824.0,340.0,6.0,9.0,0.0,10.0,5.0,297.0,42.0,12,681.0,57.0,19.9,7.6,9,68.0,2.0,3,23.0,2,2.67,10.0,5.0,5.0,0.66,-0.26,11.0,8.4,2.7,0.35,-0.42,3.0,0.0,0.0,15.0,4.0,0.0,20.0,3.0,7.0,0.0,1.0,0.0,33.0,4.0,3.0,57.1
Douglas Costa,br BRA,"FW,MF",28.0,8.9,1.0,18.0,8.0,44.4,2.02,0.9,0.06,0.13,22.3,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,384.0,486.0,79.0,6226.0,1719.0,209.0,229.0,91.3,115.0,139.0,82.7,42.0,69.0,60.9,4.0,3.8,2.6,0.2,30.0,40.0,13.0,2.0,60.0,486.0,449.0,35.0,4.0,2.0,10.0,38.0,15.0,15.0,7.0,4.0,0.0,384.0,2.0,12.0,52.0,5.84,38.0,7.0,4.0,0.0,2.0,1.0,5.0,0.56,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,12.0,8.3,11.0,7.0,0.0,7.0,5.0,7.0,5.0,0.0,599.0,8.0,49.0,268.0,299.0,37.0,599.0,62.0,43.0,69.4,19.0,30.6,432.0,3085.0,1616.0,47.0,35.0,17.0,25.0,15.0,485.0,112.0,23,802.0,35.0,23.5,8.9,7,62.0,1.0,16,23.0,2,2.22,28.0,9.0,19.0,2.13,1.65,19.2,8.7,10.5,1.17,0.63,1.0,0.0,0.0,10.0,10.0,3.0,38.0,5.0,1.0,0.0,0.0,0.0,35.0,1.0,5.0,16.7
Daniele Rugani,it ITA,DF,25.0,7.7,0.0,6.0,2.0,33.3,0.78,0.26,0.0,0.0,16.8,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,393.0,452.0,86.9,6744.0,2830.0,160.0,177.0,90.4,205.0,233.0,88.0,22.0,30.0,73.3,0.0,0.0,0.1,0.0,0.0,16.0,0.0,0.0,17.0,452.0,444.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,1.0,1.0,4.0,0.52,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,4.0,0.0,4.0,5.0,80.0,1.0,4.0,4.0,0.0,11.0,19.0,18.0,0.0,509.0,36.0,210.0,286.0,14.0,6.0,509.0,0.0,0.0,,0.0,,314.0,1405.0,681.0,2.0,2.0,0.0,1.0,0.0,350.0,0.0,10,690.0,69.0,20.2,7.7,7,90.0,7.0,3,20.0,27,1.6,11.0,15.0,-4.0,-0.52,-1.74,15.3,9.5,5.8,0.76,0.09,2.0,0.0,0.0,8.0,1.0,0.0,0.0,11.0,6.0,0.0,1.0,0.0,28.0,32.0,18.0,64.0
Mattia De Sciglio,it ITA,DF,26.0,5.2,0.0,1.0,0.0,0.0,0.19,0.0,0.0,,25.9,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,282.0,342.0,82.5,4739.0,1572.0,133.0,148.0,89.9,112.0,128.0,87.5,25.0,40.0,62.5,0.0,0.1,0.2,-0.1,2.0,18.0,5.0,0.0,32.0,342.0,289.0,53.0,9.0,0.0,3.0,8.0,44.0,0.0,0.0,0.0,0.0,282.0,0.0,7.0,11.0,2.11,8.0,0.0,2.0,0.0,1.0,0.0,3.0,0.57,3.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,6.0,4.0,0.0,6.0,14.0,42.9,8.0,5.0,2.0,3.0,8.0,18.0,18.0,1.0,397.0,18.0,128.0,203.0,71.0,4.0,397.0,13.0,10.0,76.9,3.0,23.1,233.0,1245.0,549.0,13.0,10.0,2.0,7.0,5.0,256.0,24.0,9,471.0,52.0,13.8,5.2,6,73.0,4.0,3,11.0,10,2.67,10.0,3.0,7.0,1.34,0.54,7.4,6.4,1.0,0.19,-0.57,1.0,0.0,0.0,0.0,3.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,28.0,7.0,7.0,50.0
Merih Demiral,tr TUR,DF,21.0,4.6,1.0,2.0,1.0,50.0,0.43,0.22,0.5,1.0,9.0,0.0,0.0,0.0,0.3,0.3,0.16,0.7,0.7,292.0,317.0,92.1,4948.0,1656.0,106.0,113.0,93.8,168.0,180.0,93.3,8.0,14.0,57.1,1.0,0.2,0.4,0.8,1.0,2.0,1.0,0.0,9.0,317.0,313.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,292.0,0.0,1.0,2.0,0.43,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,5.0,3.0,0.0,1.0,3.0,33.3,2.0,4.0,3.0,1.0,4.0,12.0,16.0,1.0,353.0,43.0,163.0,180.0,10.0,4.0,353.0,1.0,0.0,0.0,1.0,100.0,209.0,987.0,353.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,6,418.0,70.0,12.2,4.6,5,76.0,4.0,1,40.0,19,2.5,13.0,4.0,9.0,1.94,1.22,8.9,5.7,3.2,0.7,0.01,1.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,7.0,0.0,1.0,0.0,14.0,20.0,5.0,80.0
