player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Edouard Mendy,sn SEN,GK,29.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,811.0,957.0,84.7,17070.0,11353.0,282.0,284.0,99.3,333.0,344.0,96.8,157.0,288.0,54.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,957.0,733.0,223.0,46.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,1017.0,880.0,1012.0,5.0,0.0,0.0,1017.0,0.0,0.0,,0.0,,580.0,2341.0,1233.0,0.0,0.0,0.0,2.0,0.0,527.0,0.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,0,1.97,70.0,31.0,39.0,1.15,0.15,59.0,30.6,28.4,0.84,0.42,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,11.0,1.0,91.7
Antonio Rüdiger,de GER,DF,28.0,33.7,3.0,48.0,13.0,27.1,1.42,0.39,0.06,0.23,19.9,0.0,0.0,0.0,2.3,2.3,0.05,0.7,0.7,2217.0,2534.0,87.5,41765.0,13323.0,865.0,926.0,93.4,1079.0,1167.0,92.5,247.0,369.0,66.9,0.0,0.7,1.5,-0.7,12.0,219.0,24.0,3.0,188.0,2534.0,2462.0,63.0,50.0,7.0,34.0,15.0,13.0,0.0,0.0,0.0,0.0,2217.0,9.0,18.0,45.0,1.33,38.0,0.0,0.0,4.0,2.0,1.0,9.0,0.27,6.0,0.0,0.0,1.0,2.0,0.0,48.0,28.0,29.0,15.0,4.0,36.0,48.0,75.0,12.0,20.0,11.0,9.0,28.0,76.0,91.0,1.0,2820.0,211.0,1014.0,1521.0,298.0,48.0,2820.0,12.0,6.0,50.0,6.0,50.0,1782.0,8886.0,5212.0,54.0,72.0,3.0,20.0,8.0,2185.0,21.0,34,3035.0,89.0,88.7,33.7,34,89.0,33,0,,1,1.91,68.0,27.0,41.0,1.22,0.75,57.1,28.1,29.0,0.86,0.6,9.0,0.0,0.0,35.0,12.0,0.0,15.0,28.0,28.0,2.0,0.0,0.0,183.0,56.0,20.0,73.7
Thiago Silva,br BRA,DF,36.0,29.4,3.0,18.0,5.0,27.8,0.61,0.17,0.17,0.6,12.2,0.0,0.0,0.0,0.9,0.9,0.05,2.1,2.1,2436.0,2634.0,92.5,45456.0,20402.0,911.0,953.0,95.6,1243.0,1292.0,96.2,237.0,319.0,74.3,0.0,0.2,0.9,-0.2,7.0,197.0,18.0,1.0,145.0,2634.0,2565.0,62.0,55.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2436.0,7.0,7.0,33.0,1.12,26.0,0.0,1.0,4.0,1.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,32.0,21.0,19.0,12.0,1.0,11.0,22.0,50.0,11.0,54.0,31.0,23.0,44.0,76.0,100.0,0.0,2902.0,363.0,1255.0,1571.0,84.0,24.0,2902.0,7.0,6.0,85.7,1.0,14.3,1846.0,9914.0,6409.0,14.0,24.0,0.0,7.0,3.0,2168.0,2.0,32,2650.0,83.0,77.5,29.4,28,88.0,26,4,49.0,4,1.81,59.0,28.0,31.0,1.05,-0.35,52.8,26.2,26.6,0.9,0.5,2.0,0.0,0.0,12.0,12.0,1.0,2.0,44.0,21.0,1.0,0.0,0.0,214.0,56.0,31.0,64.4
Mason Mount,eng ENG,MF,22.0,26.3,11.0,75.0,27.0,36.0,2.86,1.03,0.13,0.37,17.9,6.0,1.0,1.0,8.0,7.2,0.1,3.0,2.8,998.0,1278.0,78.1,13767.0,4197.0,609.0,673.0,90.5,266.0,346.0,76.9,56.0,128.0,43.8,10.0,6.7,6.9,3.3,58.0,70.0,61.0,10.0,164.0,1278.0,1159.0,113.0,16.0,10.0,8.0,153.0,4.0,90.0,39.0,43.0,0.0,998.0,6.0,35.0,119.0,4.53,80.0,22.0,2.0,10.0,5.0,0.0,19.0,0.72,12.0,5.0,0.0,1.0,1.0,0.0,41.0,16.0,10.0,17.0,14.0,10.0,34.0,29.4,24.0,18.0,1.0,17.0,13.0,54.0,12.0,0.0,1564.0,17.0,125.0,524.0,928.0,137.0,1563.0,42.0,18.0,42.9,24.0,57.1,920.0,4706.0,2525.0,92.0,79.0,26.0,70.0,34.0,1175.0,276.0,32,2363.0,74.0,69.1,26.3,27,85.0,20,5,16.0,3,1.97,56.0,25.0,31.0,1.18,0.16,45.1,23.2,21.9,0.83,0.14,4.0,0.0,0.0,30.0,23.0,5.0,153.0,13.0,16.0,0.0,0.0,0.0,107.0,6.0,31.0,16.2
Jorginho,it ITA,MF,29.0,25.3,6.0,9.0,2.0,22.2,0.36,0.08,0.0,0.0,32.6,0.0,6.0,7.0,5.8,0.3,0.04,0.2,-0.3,1681.0,1887.0,89.1,26181.0,7227.0,862.0,928.0,92.9,669.0,730.0,91.6,91.0,140.0,65.0,2.0,2.7,1.9,-0.7,27.0,186.0,36.0,0.0,178.0,1887.0,1844.0,42.0,42.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1681.0,1.0,13.0,70.0,2.77,61.0,2.0,1.0,2.0,3.0,1.0,8.0,0.32,8.0,0.0,0.0,0.0,0.0,0.0,64.0,33.0,27.0,31.0,6.0,29.0,83.0,34.9,54.0,27.0,4.0,23.0,36.0,100.0,21.0,1.0,2106.0,51.0,422.0,1299.0,399.0,13.0,2099.0,21.0,16.0,76.2,5.0,23.8,1175.0,4913.0,2414.0,18.0,27.0,1.0,22.0,19.0,1581.0,19.0,29,2273.0,78.0,66.5,25.3,26,84.0,18,3,28.0,7,2.07,53.0,16.0,37.0,1.47,0.99,44.7,17.1,27.6,1.09,0.9,5.0,0.0,0.0,30.0,38.0,0.0,3.0,36.0,33.0,0.0,0.0,0.0,208.0,13.0,26.0,33.3
Marcos Alonso,es ESP,DF,30.0,24.1,4.0,43.0,10.0,23.3,1.79,0.42,0.09,0.4,18.7,9.0,0.0,0.0,2.8,2.8,0.07,1.2,1.2,1142.0,1486.0,76.9,17781.0,5763.0,624.0,709.0,88.0,387.0,478.0,81.0,84.0,194.0,43.3,4.0,4.5,3.4,-0.5,43.0,67.0,34.0,15.0,93.0,1486.0,1190.0,293.0,27.0,2.0,8.0,149.0,199.0,67.0,38.0,23.0,0.0,1142.0,3.0,39.0,93.0,3.86,66.0,16.0,3.0,6.0,2.0,0.0,10.0,0.42,7.0,2.0,0.0,1.0,0.0,0.0,41.0,29.0,20.0,12.0,9.0,17.0,36.0,47.2,19.0,29.0,5.0,24.0,43.0,84.0,53.0,0.0,1791.0,72.0,451.0,626.0,730.0,69.0,1791.0,35.0,15.0,42.9,20.0,57.1,882.0,4325.0,2172.0,51.0,32.0,10.0,43.0,25.0,1037.0,192.0,28,2167.0,77.0,63.4,24.1,25,83.0,16,3,28.0,6,1.64,42.0,22.0,20.0,0.83,-0.82,37.0,21.2,15.9,0.66,-0.36,8.0,0.0,0.0,25.0,28.0,3.0,149.0,43.0,29.0,0.0,1.0,0.0,139.0,40.0,28.0,58.8
César Azpilicueta,es ESP,DF,31.0,23.0,1.0,11.0,4.0,36.4,0.48,0.17,0.09,0.25,14.7,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1,1486.0,1787.0,83.2,22185.0,8377.0,809.0,904.0,89.5,565.0,643.0,87.9,65.0,139.0,46.8,2.0,1.8,2.3,0.2,17.0,104.0,19.0,2.0,138.0,1787.0,1627.0,153.0,25.0,1.0,0.0,47.0,128.0,0.0,0.0,0.0,0.0,1486.0,7.0,31.0,48.0,2.09,43.0,0.0,2.0,3.0,0.0,0.0,8.0,0.35,6.0,0.0,1.0,1.0,0.0,0.0,51.0,28.0,18.0,27.0,6.0,16.0,35.0,45.7,19.0,32.0,9.0,23.0,23.0,74.0,65.0,1.0,2017.0,112.0,616.0,932.0,480.0,53.0,2017.0,19.0,15.0,78.9,4.0,21.1,1098.0,4607.0,2789.0,49.0,33.0,7.0,21.0,10.0,1420.0,132.0,27,2070.0,77.0,60.5,23.0,24,84.0,16,3,20.0,7,1.78,36.0,23.0,13.0,0.57,-1.43,33.6,23.7,9.9,0.43,-0.92,3.0,0.0,0.0,25.0,5.0,2.0,47.0,23.0,28.0,0.0,1.0,0.0,110.0,46.0,29.0,61.3
Reece James,eng ENG,DF,21.0,20.7,5.0,37.0,10.0,27.0,1.79,0.48,0.14,0.5,20.5,6.0,0.0,0.0,3.1,3.1,0.08,1.9,1.9,1450.0,1687.0,86.0,22184.0,5499.0,803.0,856.0,93.8,509.0,593.0,85.8,93.0,133.0,69.9,9.0,5.9,4.8,3.1,48.0,67.0,51.0,15.0,149.0,1687.0,1439.0,244.0,33.0,2.0,8.0,108.0,196.0,15.0,7.0,5.0,0.0,1450.0,4.0,32.0,88.0,4.25,69.0,7.0,4.0,5.0,3.0,0.0,11.0,0.53,9.0,1.0,1.0,0.0,0.0,0.0,33.0,25.0,14.0,18.0,1.0,9.0,22.0,40.9,13.0,20.0,2.0,18.0,17.0,50.0,22.0,0.0,1881.0,35.0,326.0,800.0,773.0,69.0,1881.0,47.0,36.0,76.6,11.0,23.4,1122.0,5150.0,2381.0,52.0,51.0,19.0,26.0,22.0,1343.0,203.0,26,1864.0,72.0,54.5,20.7,22,81.0,17,4,23.0,1,1.73,41.0,21.0,20.0,0.97,-0.36,38.4,16.3,22.1,1.07,0.61,4.0,1.0,0.0,20.0,31.0,4.0,108.0,17.0,25.0,0.0,1.0,1.0,99.0,17.0,21.0,44.7
Kai Havertz,de GER,"FW,MF",22.0,20.1,8.0,56.0,23.0,41.1,2.79,1.14,0.14,0.35,13.0,0.0,0.0,0.0,8.7,8.7,0.16,-0.7,-0.7,537.0,669.0,80.3,6322.0,1194.0,360.0,408.0,88.2,111.0,143.0,77.6,12.0,16.0,75.0,3.0,2.2,1.7,0.8,21.0,34.0,19.0,1.0,62.0,669.0,635.0,30.0,1.0,3.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,537.0,4.0,23.0,61.0,3.03,46.0,0.0,3.0,7.0,5.0,0.0,6.0,0.3,4.0,0.0,0.0,1.0,1.0,0.0,17.0,8.0,5.0,7.0,5.0,4.0,14.0,28.6,10.0,28.0,1.0,27.0,4.0,21.0,32.0,1.0,943.0,34.0,90.0,352.0,506.0,128.0,943.0,42.0,18.0,42.9,24.0,57.1,537.0,3107.0,1419.0,64.0,23.0,34.0,66.0,32.0,739.0,203.0,29,1809.0,62.0,52.9,20.1,22,77.0,11,7,16.0,6,2.0,44.0,18.0,26.0,1.29,0.34,34.0,19.2,14.8,0.74,-0.12,3.0,0.0,0.0,40.0,25.0,12.0,8.0,4.0,8.0,1.0,0.0,0.0,62.0,38.0,52.0,42.2
N'Golo Kanté,fr FRA,MF,30.0,19.7,2.0,17.0,9.0,52.9,0.86,0.46,0.12,0.22,19.6,0.0,0.0,0.0,1.5,1.5,0.09,0.5,0.5,1121.0,1308.0,85.7,16188.0,4538.0,630.0,695.0,90.6,397.0,450.0,88.2,43.0,61.0,70.5,4.0,2.1,2.4,1.9,24.0,105.0,29.0,0.0,159.0,1308.0,1301.0,2.0,2.0,8.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,1121.0,5.0,25.0,69.0,3.5,59.0,0.0,3.0,3.0,0.0,4.0,16.0,0.81,14.0,0.0,1.0,1.0,0.0,0.0,59.0,31.0,20.0,27.0,12.0,25.0,40.0,62.5,15.0,37.0,2.0,35.0,31.0,90.0,8.0,0.0,1545.0,23.0,275.0,772.0,515.0,29.0,1545.0,48.0,35.0,72.9,13.0,27.1,916.0,5063.0,2743.0,72.0,65.0,10.0,35.0,28.0,1156.0,62.0,26,1773.0,68.0,51.8,19.7,21,79.0,11,5,22.0,1,1.92,34.0,19.0,15.0,0.76,-0.77,30.8,15.5,15.3,0.78,-0.03,2.0,0.0,0.0,22.0,11.0,0.0,11.0,31.0,31.0,0.0,0.0,0.0,153.0,14.0,14.0,50.0
Andreas Christensen,dk DEN,DF,25.0,16.6,0.0,5.0,0.0,0.0,0.3,0.0,0.0,,19.7,0.0,0.0,0.0,0.6,0.6,0.12,-0.6,-0.6,1201.0,1336.0,89.9,21164.0,7424.0,495.0,535.0,92.5,586.0,631.0,92.9,100.0,135.0,74.1,0.0,0.2,0.5,-0.2,6.0,88.0,6.0,1.0,81.0,1336.0,1289.0,46.0,33.0,1.0,4.0,1.0,13.0,0.0,0.0,0.0,0.0,1201.0,1.0,5.0,9.0,0.54,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,9.0,4.0,1.0,4.0,7.0,57.1,3.0,14.0,6.0,8.0,29.0,43.0,57.0,1.0,1477.0,147.0,645.0,772.0,68.0,5.0,1477.0,4.0,4.0,100.0,0.0,0.0,823.0,3835.0,2215.0,14.0,15.0,0.0,3.0,1.0,1058.0,5.0,19,1496.0,79.0,43.7,16.6,17,85.0,15,2,28.0,9,2.21,38.0,11.0,27.0,1.62,0.88,25.9,14.8,11.1,0.67,-0.22,2.0,0.0,0.0,11.0,7.0,0.0,1.0,29.0,8.0,0.0,0.0,0.0,110.0,48.0,38.0,55.8
Trevoh Chalobah,eng ENG,DF,22.0,16.1,3.0,9.0,7.0,77.8,0.56,0.43,0.33,0.43,18.8,0.0,0.0,0.0,1.1,1.1,0.13,1.9,1.9,1158.0,1283.0,90.3,18559.0,5304.0,564.0,607.0,92.9,517.0,548.0,94.3,60.0,94.0,63.8,1.0,0.3,0.5,0.7,4.0,106.0,6.0,0.0,88.0,1283.0,1246.0,36.0,27.0,3.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,1158.0,1.0,7.0,14.0,0.87,12.0,0.0,0.0,1.0,1.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,22.0,18.0,0.0,24.0,31.0,77.4,7.0,16.0,6.0,10.0,19.0,59.0,43.0,2.0,1442.0,68.0,478.0,833.0,138.0,10.0,1442.0,12.0,10.0,83.3,2.0,16.7,816.0,3176.0,1703.0,24.0,34.0,0.0,10.0,7.0,1070.0,14.0,20,1449.0,72.0,42.4,16.1,17,82.0,13,3,20.0,13,2.3,38.0,9.0,29.0,1.8,1.16,27.6,12.0,15.7,0.97,0.31,2.0,0.0,0.0,19.0,14.0,0.0,4.0,19.0,27.0,0.0,1.0,0.0,74.0,32.0,28.0,53.3
Romelu Lukaku,be BEL,FW,28.0,17.7,8.0,42.0,14.0,33.3,2.38,0.79,0.17,0.5,13.8,1.0,1.0,1.0,6.6,5.8,0.14,1.4,1.2,231.0,327.0,70.6,2627.0,415.0,157.0,194.0,80.9,43.0,65.0,66.2,6.0,12.0,50.0,0.0,3.0,1.7,-3.0,24.0,10.0,9.0,0.0,19.0,327.0,296.0,28.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,231.0,3.0,14.0,50.0,2.83,35.0,0.0,5.0,3.0,6.0,1.0,5.0,0.28,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,20.0,4.0,11.0,1.0,10.0,0.0,2.0,20.0,0.0,483.0,21.0,29.0,198.0,259.0,90.0,482.0,25.0,13.0,52.0,12.0,48.0,237.0,1184.0,570.0,29.0,15.0,17.0,37.0,25.0,360.0,125.0,26,1589.0,61.0,46.5,17.7,16,86.0,11,10,22.0,3,1.88,33.0,14.0,19.0,1.08,-0.1,26.7,16.7,10.0,0.57,-0.42,1.0,0.0,0.0,8.0,12.0,14.0,7.0,0.0,1.0,3.0,0.0,0.0,33.0,51.0,47.0,52.0
Mateo Kovačić,hr CRO,MF,27.0,17.3,2.0,22.0,6.0,27.3,1.27,0.35,0.09,0.33,20.3,1.0,0.0,0.0,1.6,1.6,0.07,0.4,0.4,1061.0,1203.0,88.2,17022.0,4072.0,537.0,580.0,92.6,405.0,453.0,89.4,77.0,106.0,72.6,5.0,3.2,3.0,1.8,27.0,127.0,23.0,1.0,135.0,1203.0,1183.0,17.0,15.0,12.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,1061.0,3.0,12.0,69.0,3.98,58.0,0.0,4.0,3.0,3.0,1.0,8.0,0.46,7.0,0.0,0.0,0.0,0.0,1.0,51.0,31.0,14.0,26.0,11.0,17.0,35.0,48.6,18.0,19.0,4.0,15.0,7.0,58.0,9.0,1.0,1368.0,22.0,217.0,826.0,343.0,15.0,1368.0,51.0,38.0,74.5,13.0,25.5,875.0,5069.0,2523.0,42.0,63.0,3.0,18.0,22.0,1076.0,37.0,25,1558.0,62.0,45.6,17.3,16,82.0,11,9,28.0,0,2.04,39.0,11.0,28.0,1.62,0.89,28.2,15.2,13.0,0.75,-0.08,4.0,0.0,0.0,24.0,20.0,0.0,6.0,7.0,31.0,0.0,0.0,0.0,111.0,5.0,5.0,50.0
