player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Boubakar Kouyaté,ml MLI,DF,24.0,29.6,1.0,22.0,6.0,27.3,0.74,0.2,0.05,0.17,14.3,0.0,0.0,0.0,1.7,1.7,0.08,-0.7,-0.7,938.0,1156.0,81.1,19115.0,6700.0,255.0,314.0,81.2,556.0,628.0,88.5,115.0,176.0,65.3,0.0,0.1,0.3,-0.1,2.0,32.0,2.0,0.0,47.0,1156.0,1125.0,28.0,24.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,938.0,3.0,14.0,14.0,0.47,8.0,0.0,1.0,3.0,0.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,84.0,50.0,56.0,28.0,0.0,48.0,77.0,62.3,29.0,63.0,33.0,30.0,79.0,163.0,217.0,3.0,1697.0,297.0,1052.0,605.0,51.0,28.0,1697.0,11.0,6.0,54.5,5.0,45.5,878.0,4749.0,1989.0,6.0,5.0,0.0,29.0,5.0,814.0,5.0,30,2665.0,89.0,77.9,29.6,30,89.0,29,0,,0,0.93,30.0,49.0,-19.0,-0.64,1.15,23.0,47.3,-24.3,-0.82,0.26,8.0,1.0,0.0,35.0,28.0,7.0,0.0,79.0,50.0,0.0,1.0,0.0,158.0,92.0,44.0,67.6
Dylan Bronn,tn TUN,DF,26.0,28.3,1.0,15.0,7.0,46.7,0.53,0.25,0.07,0.14,13.6,0.0,0.0,0.0,1.8,1.8,0.12,-0.8,-0.8,955.0,1185.0,80.6,18748.0,7367.0,338.0,385.0,87.8,488.0,546.0,89.4,118.0,218.0,54.1,2.0,1.2,1.0,0.8,4.0,63.0,4.0,1.0,58.0,1185.0,1090.0,92.0,64.0,4.0,11.0,12.0,28.0,0.0,0.0,0.0,0.0,955.0,3.0,12.0,15.0,0.53,14.0,0.0,0.0,1.0,0.0,0.0,4.0,0.14,3.0,0.0,0.0,1.0,0.0,0.0,47.0,29.0,33.0,13.0,1.0,20.0,31.0,64.5,11.0,32.0,19.0,13.0,40.0,87.0,78.0,1.0,1419.0,131.0,725.0,652.0,55.0,14.0,1419.0,8.0,6.0,75.0,2.0,25.0,859.0,4225.0,2558.0,14.0,11.0,0.0,9.0,5.0,856.0,3.0,30,2545.0,85.0,74.4,28.3,28,90.0,27,2,13.0,0,0.8,28.0,55.0,-27.0,-0.95,-0.23,21.8,45.9,-24.1,-0.85,0.09,10.0,1.0,1.0,31.0,11.0,3.0,12.0,40.0,29.0,0.0,0.0,0.0,164.0,28.0,28.0,50.0
Vincent Pajot,fr FRA,MF,30.0,25.7,1.0,14.0,2.0,14.3,0.55,0.08,0.07,0.5,20.0,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,920.0,1079.0,85.3,16557.0,4118.0,381.0,425.0,89.6,407.0,440.0,92.5,95.0,142.0,66.9,0.0,0.4,0.4,-0.4,15.0,79.0,4.0,1.0,96.0,1079.0,1032.0,46.0,27.0,2.0,10.0,10.0,8.0,0.0,0.0,0.0,0.0,920.0,1.0,20.0,37.0,1.44,32.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,56.0,35.0,47.0,4.0,20.0,46.0,43.5,26.0,33.0,6.0,27.0,51.0,137.0,38.0,0.0,1372.0,55.0,343.0,899.0,150.0,10.0,1372.0,19.0,13.0,68.4,6.0,31.6,821.0,3716.0,1442.0,12.0,25.0,2.0,30.0,7.0,839.0,25.0,30,2311.0,77.0,67.6,25.7,27,82.0,17,3,36.0,0,0.8,23.0,45.0,-22.0,-0.86,0.12,18.8,41.9,-23.1,-0.9,-0.07,6.0,1.0,0.0,53.0,40.0,0.0,10.0,51.0,56.0,0.0,1.0,0.0,147.0,22.0,24.0,47.8
Thomas Delaine,fr FRA,DF,29.0,25.7,1.0,18.0,5.0,27.8,0.7,0.19,0.06,0.2,25.5,0.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,849.0,1156.0,73.4,13290.0,5302.0,457.0,523.0,87.4,325.0,429.0,75.8,54.0,147.0,36.7,2.0,2.1,2.3,-0.1,28.0,62.0,24.0,14.0,73.0,1156.0,910.0,243.0,11.0,3.0,3.0,111.0,231.0,1.0,0.0,0.0,0.0,849.0,3.0,35.0,50.0,1.94,41.0,5.0,2.0,1.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,48.0,35.0,34.0,12.0,2.0,22.0,42.0,52.4,20.0,20.0,7.0,13.0,27.0,75.0,31.0,0.0,1434.0,53.0,385.0,645.0,428.0,26.0,1434.0,51.0,23.0,45.1,28.0,54.9,841.0,6117.0,3307.0,110.0,74.0,12.0,58.0,17.0,842.0,154.0,29,2316.0,80.0,67.7,25.7,26,86.0,22,3,26.0,1,0.9,24.0,40.0,-16.0,-0.62,0.85,19.0,39.4,-20.4,-0.79,0.27,4.0,0.0,0.0,22.0,14.0,1.0,111.0,27.0,35.0,0.0,0.0,0.0,137.0,7.0,20.0,25.9
Nicolas de Préville,fr FRA,"FW,MF",30.0,21.9,5.0,41.0,10.0,24.4,1.87,0.46,0.12,0.5,20.9,4.0,0.0,0.0,2.8,2.8,0.07,2.2,2.2,398.0,600.0,66.3,6606.0,1656.0,203.0,272.0,74.6,130.0,184.0,70.7,45.0,86.0,52.3,2.0,2.2,2.6,-0.2,27.0,37.0,11.0,6.0,47.0,600.0,522.0,75.0,18.0,2.0,6.0,76.0,1.0,37.0,10.0,24.0,0.0,398.0,3.0,16.0,68.0,3.11,31.0,14.0,8.0,4.0,10.0,1.0,5.0,0.23,3.0,0.0,1.0,0.0,1.0,0.0,17.0,8.0,7.0,8.0,2.0,3.0,19.0,15.8,16.0,12.0,4.0,8.0,5.0,22.0,11.0,0.0,858.0,14.0,91.0,445.0,348.0,48.0,858.0,80.0,45.0,56.3,35.0,43.8,569.0,4046.0,1750.0,55.0,43.0,11.0,78.0,51.0,606.0,109.0,27,1969.0,73.0,57.6,21.9,24,79.0,7,3,28.0,0,0.85,23.0,37.0,-14.0,-0.64,0.6,17.0,33.7,-16.6,-0.76,0.28,5.0,0.0,0.0,46.0,55.0,8.0,76.0,5.0,8.0,0.0,0.0,0.0,105.0,47.0,59.0,44.3
Pape Matar Sarr,sn SEN,MF,18.0,23.7,1.0,31.0,8.0,25.8,1.31,0.34,0.03,0.13,29.2,1.0,0.0,0.0,2.1,2.1,0.07,-1.1,-1.1,838.0,1013.0,82.7,14714.0,3826.0,384.0,451.0,85.1,335.0,372.0,90.1,90.0,137.0,65.7,3.0,1.5,1.2,1.5,20.0,90.0,10.0,0.0,115.0,1013.0,978.0,31.0,19.0,5.0,15.0,4.0,4.0,7.0,1.0,2.0,0.0,838.0,4.0,12.0,62.0,2.62,49.0,1.0,3.0,6.0,2.0,1.0,8.0,0.34,8.0,0.0,0.0,0.0,0.0,0.0,45.0,26.0,21.0,23.0,1.0,18.0,39.0,46.2,21.0,33.0,3.0,30.0,29.0,74.0,22.0,0.0,1296.0,39.0,280.0,793.0,253.0,14.0,1296.0,55.0,30.0,54.5,25.0,45.5,898.0,5482.0,2163.0,37.0,51.0,0.0,46.0,25.0,854.0,49.0,33,2129.0,65.0,62.3,23.7,22,83.0,15,11,27.0,0,0.79,26.0,49.0,-23.0,-0.97,-0.21,18.5,41.5,-23.0,-0.97,-0.25,7.0,0.0,0.0,32.0,22.0,1.0,4.0,29.0,26.0,0.0,0.0,0.0,171.0,29.0,30.0,49.2
Alexandre Oukidja,dz ALG,GK,33.0,20.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,386.0,600.0,64.3,13291.0,10508.0,41.0,41.0,100.0,147.0,149.0,98.7,196.0,406.0,48.3,0.0,0.0,0.1,0.0,0.0,9.0,1.0,0.0,0.0,600.0,355.0,243.0,76.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,17.0,2.0,657.0,557.0,651.0,7.0,0.0,0.0,657.0,0.0,0.0,,0.0,,328.0,2037.0,1419.0,0.0,0.0,0.0,1.0,1.0,152.0,0.0,21,1875.0,89.0,54.8,20.8,21,89.0,19,0,,13,0.67,19.0,39.0,-20.0,-0.96,-0.14,16.3,31.4,-15.1,-0.73,0.34,2.0,1.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0,13.0,0.0,100.0
Ibrahima Niane,sn SEN,FW,22.0,17.6,3.0,42.0,9.0,21.4,2.39,0.51,0.05,0.22,17.9,1.0,1.0,1.0,3.7,2.9,0.07,-0.7,-0.9,301.0,426.0,70.7,4026.0,783.0,187.0,244.0,76.6,77.0,119.0,64.7,16.0,24.0,66.7,1.0,1.3,1.0,-0.3,11.0,15.0,4.0,1.0,20.0,426.0,380.0,46.0,2.0,2.0,2.0,7.0,8.0,1.0,0.0,1.0,0.0,301.0,0.0,9.0,29.0,1.65,19.0,1.0,1.0,4.0,4.0,0.0,6.0,0.34,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,6.0,1.0,5.0,3.0,4.0,16.0,0.0,606.0,18.0,56.0,297.0,260.0,58.0,605.0,21.0,9.0,42.9,12.0,57.1,337.0,1693.0,432.0,14.0,26.0,8.0,63.0,15.0,453.0,89.0,26,1582.0,61.0,46.3,17.6,20,69.0,6,6,35.0,8,0.85,19.0,28.0,-9.0,-0.51,0.71,12.9,24.5,-11.6,-0.66,0.41,2.0,1.0,0.0,14.0,24.0,11.0,7.0,3.0,1.0,0.0,0.0,0.0,50.0,65.0,79.0,45.1
Fabien Centonze,fr FRA,DF,25.0,17.6,4.0,15.0,7.0,46.7,0.85,0.4,0.27,0.57,20.8,0.0,0.0,0.0,0.7,0.7,0.05,3.3,3.3,591.0,769.0,76.9,8827.0,3879.0,350.0,398.0,87.9,198.0,261.0,75.9,29.0,69.0,42.0,1.0,0.5,0.5,0.5,11.0,41.0,11.0,5.0,55.0,769.0,633.0,135.0,8.0,0.0,4.0,48.0,127.0,0.0,0.0,0.0,0.0,591.0,1.0,17.0,27.0,1.53,19.0,1.0,2.0,1.0,3.0,1.0,4.0,0.23,4.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,22.0,9.0,2.0,13.0,32.0,40.6,19.0,37.0,8.0,29.0,32.0,65.0,51.0,0.0,1038.0,69.0,347.0,458.0,245.0,16.0,1038.0,56.0,29.0,51.8,27.0,48.2,595.0,3724.0,1842.0,46.0,28.0,5.0,36.0,14.0,571.0,67.0,19,1586.0,83.0,46.4,17.6,18,86.0,17,1,45.0,0,0.84,21.0,34.0,-13.0,-0.74,0.29,13.6,25.7,-12.1,-0.68,0.36,3.0,0.0,0.0,16.0,30.0,0.0,48.0,32.0,21.0,0.0,0.0,0.0,101.0,10.0,17.0,37.0
Farid Boulaya,dz ALG,"MF,FW",28.0,17.0,4.0,19.0,6.0,31.6,1.12,0.35,0.21,0.67,24.2,6.0,0.0,0.0,1.5,1.5,0.08,2.5,2.5,505.0,760.0,66.4,9452.0,3071.0,223.0,294.0,75.9,162.0,224.0,72.3,93.0,171.0,54.4,2.0,3.5,3.6,-1.5,32.0,59.0,17.0,2.0,74.0,760.0,659.0,89.0,23.0,5.0,16.0,71.0,21.0,37.0,8.0,24.0,0.0,505.0,12.0,23.0,46.0,2.71,31.0,13.0,0.0,1.0,0.0,1.0,2.0,0.12,0.0,2.0,0.0,0.0,0.0,0.0,18.0,10.0,7.0,9.0,2.0,14.0,38.0,36.8,24.0,8.0,2.0,6.0,12.0,30.0,5.0,0.0,904.0,10.0,119.0,498.0,302.0,18.0,904.0,32.0,19.0,59.4,13.0,40.6,579.0,4042.0,1660.0,50.0,40.0,6.0,25.0,24.0,617.0,73.0,24,1526.0,64.0,44.6,17.0,18,75.0,7,6,31.0,4,0.83,16.0,34.0,-18.0,-1.06,-0.3,13.6,26.9,-13.4,-0.79,0.16,1.0,1.0,0.0,7.0,17.0,1.0,71.0,12.0,10.0,0.0,0.0,0.0,100.0,9.0,19.0,32.1
Boubacar Traoré,ml MLI,MF,19.0,19.2,1.0,22.0,5.0,22.7,1.15,0.26,0.05,0.2,28.3,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,606.0,733.0,82.7,11548.0,3571.0,232.0,272.0,85.3,280.0,313.0,89.5,78.0,107.0,72.9,1.0,1.4,0.9,-0.4,16.0,53.0,5.0,0.0,85.0,733.0,715.0,15.0,15.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,606.0,3.0,12.0,44.0,2.3,35.0,0.0,4.0,0.0,2.0,3.0,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,43.0,26.0,18.0,23.0,2.0,10.0,39.0,25.6,29.0,29.0,5.0,24.0,25.0,68.0,11.0,1.0,948.0,20.0,209.0,629.0,130.0,7.0,948.0,42.0,28.0,66.7,14.0,33.3,606.0,3540.0,1627.0,26.0,22.0,1.0,43.0,25.0,577.0,10.0,27,1726.0,64.0,50.5,19.2,17,86.0,14,10,27.0,6,0.81,14.0,31.0,-17.0,-0.89,0.02,15.7,32.2,-16.6,-0.86,0.03,9.0,1.0,1.0,53.0,15.0,0.0,1.0,25.0,26.0,0.0,0.0,0.0,138.0,17.0,10.0,63.0
Marc-Aurèle Caillard,fr FRA,GK,27.0,17.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,269.0,455.0,59.1,9691.0,8167.0,28.0,28.0,100.0,113.0,117.0,96.6,127.0,308.0,41.2,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,455.0,234.0,220.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,9.0,1.0,508.0,463.0,506.0,2.0,0.0,0.0,508.0,0.0,0.0,,0.0,,232.0,1397.0,845.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,19,1542.0,81.0,45.1,17.1,17,90.0,17,2,6.0,15,0.89,16.0,30.0,-14.0,-0.82,0.14,12.9,31.1,-18.2,-1.06,-0.34,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
Habib Maïga,ci CIV,MF,25.0,14.1,2.0,11.0,5.0,45.5,0.78,0.36,0.18,0.4,20.4,0.0,0.0,0.0,0.9,0.9,0.09,1.1,1.1,458.0,577.0,79.4,7408.0,2251.0,232.0,268.0,86.6,181.0,220.0,82.3,28.0,55.0,50.9,0.0,0.4,0.4,-0.4,10.0,47.0,3.0,1.0,53.0,577.0,550.0,25.0,4.0,0.0,9.0,22.0,21.0,0.0,0.0,0.0,0.0,458.0,2.0,9.0,26.0,1.85,23.0,0.0,0.0,2.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,47.0,28.0,29.0,13.0,5.0,24.0,48.0,50.0,24.0,20.0,7.0,13.0,14.0,61.0,18.0,0.0,734.0,35.0,194.0,409.0,140.0,13.0,734.0,16.0,13.0,81.3,3.0,18.8,390.0,1634.0,733.0,14.0,10.0,0.0,19.0,20.0,439.0,28.0,17,1267.0,75.0,37.0,14.1,16,78.0,8,1,25.0,0,0.82,18.0,26.0,-8.0,-0.57,0.52,11.0,21.2,-10.2,-0.73,0.24,6.0,0.0,0.0,29.0,10.0,0.0,22.0,14.0,28.0,0.0,1.0,0.0,92.0,17.0,11.0,60.7
Kévin N'Doram,fr FRA,MF,25.0,13.7,0.0,7.0,1.0,14.3,0.51,0.07,0.0,0.0,16.6,0.0,0.0,0.0,1.1,1.1,0.15,-1.1,-1.1,437.0,521.0,83.9,8115.0,2626.0,168.0,197.0,85.3,205.0,231.0,88.7,53.0,73.0,72.6,0.0,0.4,0.3,-0.4,11.0,52.0,1.0,0.0,63.0,521.0,498.0,23.0,22.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,437.0,0.0,6.0,23.0,1.68,21.0,0.0,0.0,2.0,0.0,0.0,2.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,10.0,8.0,3.0,5.0,2.0,3.0,20.0,15.0,17.0,24.0,5.0,19.0,19.0,29.0,21.0,0.0,647.0,33.0,161.0,435.0,54.0,7.0,647.0,10.0,5.0,50.0,5.0,50.0,419.0,1887.0,860.0,3.0,1.0,1.0,14.0,7.0,423.0,6.0,19,1235.0,65.0,36.1,13.7,16,72.0,7,3,27.0,0,0.68,13.0,28.0,-15.0,-1.09,-0.31,10.1,22.9,-12.8,-0.94,-0.09,5.0,0.0,0.0,22.0,13.0,0.0,2.0,19.0,8.0,0.0,0.0,0.0,66.0,15.0,11.0,57.7
Jemerson,br BRA,DF,28.0,13.4,0.0,5.0,2.0,40.0,0.37,0.15,0.0,0.0,11.5,0.0,0.0,0.0,0.6,0.6,0.13,-0.6,-0.6,410.0,485.0,84.5,7044.0,2388.0,191.0,209.0,91.4,180.0,202.0,89.1,25.0,46.0,54.3,0.0,0.5,0.1,-0.5,2.0,4.0,1.0,0.0,15.0,485.0,448.0,36.0,33.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,410.0,1.0,8.0,4.0,0.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,30.0,7.0,0.0,18.0,26.0,69.2,8.0,23.0,8.0,15.0,25.0,62.0,33.0,1.0,638.0,67.0,367.0,266.0,12.0,7.0,638.0,4.0,3.0,75.0,1.0,25.0,340.0,1556.0,841.0,5.0,1.0,1.0,10.0,4.0,347.0,2.0,15,1202.0,80.0,35.1,13.4,15,80.0,10,0,,6,0.53,6.0,26.0,-20.0,-1.5,-0.93,10.0,20.3,-10.3,-0.77,0.16,3.0,2.0,0.0,18.0,7.0,0.0,0.0,25.0,25.0,0.0,1.0,0.0,57.0,13.0,19.0,40.6
Matthieu Udol,fr FRA,DF,25.0,11.2,1.0,5.0,2.0,40.0,0.45,0.18,0.2,0.5,18.0,0.0,0.0,0.0,0.5,0.5,0.1,0.5,0.5,387.0,497.0,77.9,6736.0,2666.0,169.0,188.0,89.9,176.0,206.0,85.4,35.0,76.0,46.1,0.0,0.4,0.2,-0.4,6.0,23.0,1.0,1.0,30.0,497.0,440.0,56.0,8.0,1.0,1.0,27.0,36.0,12.0,6.0,3.0,0.0,387.0,1.0,12.0,16.0,1.43,12.0,2.0,1.0,0.0,1.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,1.0,0.0,23.0,14.0,11.0,10.0,2.0,12.0,18.0,66.7,6.0,20.0,7.0,13.0,31.0,54.0,29.0,1.0,622.0,44.0,253.0,294.0,81.0,6.0,622.0,13.0,9.0,69.2,4.0,30.8,365.0,1997.0,1166.0,17.0,10.0,1.0,7.0,3.0,353.0,10.0,12,1007.0,84.0,29.4,11.2,11,90.0,11,1,17.0,0,0.58,12.0,26.0,-14.0,-1.25,-0.51,8.9,17.6,-8.7,-0.78,0.14,0.0,0.0,0.0,2.0,6.0,0.0,27.0,31.0,14.0,0.0,0.0,0.0,64.0,23.0,11.0,67.6
Fali Candé,gw GNB,DF,23.0,10.8,0.0,6.0,2.0,33.3,0.55,0.18,0.0,0.0,27.0,3.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,348.0,488.0,71.3,5944.0,2533.0,168.0,197.0,85.3,146.0,190.0,76.8,34.0,82.0,41.5,2.0,1.5,1.5,0.5,12.0,16.0,4.0,3.0,20.0,488.0,371.0,117.0,9.0,0.0,1.0,45.0,90.0,18.0,11.0,7.0,0.0,348.0,0.0,13.0,17.0,1.57,9.0,6.0,0.0,1.0,0.0,1.0,3.0,0.28,3.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,13.0,15.0,2.0,13.0,31.0,41.9,18.0,11.0,2.0,9.0,6.0,36.0,21.0,0.0,619.0,33.0,208.0,272.0,142.0,4.0,619.0,22.0,7.0,31.8,15.0,68.2,315.0,1548.0,726.0,13.0,10.0,2.0,18.0,9.0,327.0,41.0,11,973.0,88.0,28.5,10.8,11,88.0,9,0,,0,0.64,5.0,18.0,-13.0,-1.2,-0.43,6.7,17.9,-11.3,-1.04,-0.23,2.0,0.0,0.0,11.0,11.0,0.0,45.0,6.0,18.0,0.0,0.0,0.0,60.0,18.0,12.0,60.0
Opa Nguette,sn SEN,"FW,MF",27.0,11.6,2.0,23.0,7.0,30.4,1.98,0.6,0.09,0.29,16.7,0.0,0.0,0.0,2.2,2.2,0.09,-0.2,-0.2,184.0,253.0,72.7,2221.0,487.0,110.0,143.0,76.9,52.0,67.0,77.6,1.0,4.0,25.0,2.0,0.4,0.3,1.6,11.0,12.0,4.0,0.0,25.0,253.0,242.0,11.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,184.0,0.0,8.0,28.0,2.41,18.0,0.0,5.0,1.0,3.0,1.0,6.0,0.52,4.0,0.0,1.0,0.0,1.0,0.0,21.0,14.0,9.0,6.0,6.0,5.0,14.0,35.7,9.0,13.0,3.0,10.0,2.0,23.0,9.0,0.0,446.0,20.0,71.0,194.0,190.0,35.0,446.0,48.0,25.0,52.1,23.0,47.9,305.0,2067.0,1014.0,32.0,21.0,12.0,56.0,39.0,329.0,76.0,26,1048.0,40.0,30.6,11.6,10,70.0,0,16,22.0,5,0.81,14.0,24.0,-10.0,-0.86,0.05,9.4,17.2,-7.7,-0.66,0.31,1.0,0.0,0.0,12.0,24.0,4.0,5.0,2.0,14.0,0.0,0.0,0.0,47.0,21.0,25.0,45.7
Ibrahim Amadou,fr FRA,"DF,MF",28.0,9.0,1.0,3.0,2.0,66.7,0.33,0.22,0.33,0.5,9.4,0.0,0.0,0.0,0.4,0.4,0.13,0.6,0.6,384.0,439.0,87.5,7290.0,2224.0,127.0,138.0,92.0,203.0,224.0,90.6,43.0,60.0,71.7,0.0,0.1,0.0,-0.1,3.0,10.0,0.0,0.0,21.0,439.0,430.0,9.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,2.0,9.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,10.0,6.0,0.0,8.0,15.0,53.3,7.0,4.0,2.0,2.0,14.0,30.0,26.0,0.0,517.0,44.0,251.0,255.0,16.0,4.0,517.0,7.0,6.0,85.7,1.0,14.3,339.0,1743.0,917.0,6.0,4.0,0.0,9.0,5.0,363.0,1.0,10,812.0,81.0,23.7,9.0,10,81.0,7,0,,1,0.4,3.0,13.0,-10.0,-1.11,-0.28,5.4,13.2,-7.8,-0.86,0.02,4.0,0.0,0.0,11.0,4.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,48.0,7.0,8.0,46.7
Jean-Armel Kana-Biyik,cm CMR,DF,32.0,7.4,0.0,1.0,0.0,0.0,0.14,0.0,0.0,,12.2,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,275.0,317.0,86.8,5210.0,1899.0,82.0,91.0,90.1,170.0,183.0,92.9,21.0,38.0,55.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,317.0,306.0,11.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,275.0,0.0,3.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,8.0,2.0,0.0,4.0,9.0,44.4,5.0,11.0,4.0,7.0,16.0,26.0,22.0,1.0,387.0,47.0,248.0,135.0,8.0,2.0,387.0,3.0,1.0,33.3,2.0,66.7,234.0,980.0,376.0,1.0,3.0,1.0,1.0,1.0,234.0,1.0,10,664.0,66.0,19.4,7.4,8,77.0,3,2,25.0,1,1.0,3.0,14.0,-11.0,-1.49,-0.74,4.6,14.7,-10.0,-1.36,-0.6,1.0,0.0,0.0,4.0,8.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,50.0,4.0,2.0,66.7
Sikou Niakaté,fr FRA,DF,22.0,7.3,0.0,4.0,1.0,25.0,0.54,0.14,0.0,0.0,17.1,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,176.0,226.0,77.9,3243.0,1334.0,67.0,79.0,84.8,89.0,104.0,85.6,15.0,30.0,50.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,7.0,226.0,220.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,6.0,6.0,0.82,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,0.0,0.0,4.0,11.0,36.4,7.0,5.0,3.0,2.0,27.0,35.0,34.0,0.0,319.0,43.0,191.0,125.0,7.0,4.0,319.0,6.0,4.0,66.7,2.0,33.3,174.0,772.0,281.0,3.0,7.0,0.0,2.0,4.0,151.0,0.0,12,661.0,55.0,19.3,7.3,8,68.0,4,4,29.0,14,1.25,11.0,11.0,0.0,0.0,1.11,6.7,11.7,-5.0,-0.68,0.25,2.0,0.0,0.0,10.0,5.0,0.0,1.0,27.0,7.0,0.0,0.0,1.0,50.0,11.0,5.0,68.8
