player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Akim Zedadka,dz ALG,DF,26.0,37.1,0.0,31.0,6.0,19.4,0.84,0.16,0.0,0.0,21.7,0.0,0.0,0.0,1.6,1.6,0.05,-1.6,-1.6,1688.0,2101.0,80.3,25232.0,8942.0,967.0,1091.0,88.6,556.0,687.0,80.9,104.0,176.0,59.1,3.0,3.6,5.0,-0.6,45.0,91.0,55.0,37.0,142.0,2101.0,1642.0,453.0,35.0,1.0,3.0,124.0,417.0,1.0,0.0,0.0,0.0,1688.0,6.0,52.0,97.0,2.62,81.0,5.0,3.0,4.0,3.0,1.0,6.0,0.16,5.0,1.0,0.0,0.0,0.0,0.0,72.0,44.0,34.0,29.0,9.0,37.0,71.0,52.1,34.0,32.0,8.0,24.0,58.0,130.0,48.0,0.0,2523.0,109.0,689.0,1116.0,746.0,37.0,2523.0,71.0,32.0,45.1,39.0,54.9,1436.0,8280.0,4062.0,114.0,71.0,13.0,67.0,52.0,1439.0,184.0,38,3337.0,88.0,97.6,37.1,37,90.0,35,1,19.0,0,0.95,38.0,69.0,-31.0,-0.84,-0.84,44.3,51.5,-7.1,-0.19,0.75,5.0,0.0,0.0,28.0,89.0,5.0,124.0,58.0,44.0,0.0,1.0,0.0,232.0,28.0,26.0,51.9
Johan Gastien,fr FRA,MF,33.0,30.5,0.0,24.0,7.0,29.2,0.79,0.23,0.0,0.0,23.5,1.0,0.0,0.0,0.8,0.8,0.03,-0.8,-0.8,2160.0,2635.0,82.0,44870.0,16624.0,780.0,895.0,87.2,919.0,1032.0,89.1,413.0,598.0,69.1,1.0,1.8,2.6,-0.8,25.0,233.0,22.0,5.0,227.0,2635.0,2440.0,187.0,132.0,5.0,56.0,61.0,12.0,39.0,15.0,18.0,1.0,2160.0,8.0,32.0,74.0,2.43,54.0,10.0,1.0,5.0,3.0,1.0,8.0,0.26,6.0,1.0,0.0,0.0,1.0,0.0,56.0,34.0,26.0,25.0,5.0,27.0,74.0,36.5,47.0,45.0,11.0,34.0,53.0,109.0,49.0,1.0,2929.0,199.0,1025.0,1614.0,314.0,21.0,2929.0,21.0,13.0,61.9,8.0,38.1,1970.0,8552.0,4087.0,17.0,23.0,2.0,24.0,20.0,2094.0,32.0,32,2746.0,86.0,80.3,30.5,32,86.0,26,0,,0,1.03,31.0,48.0,-17.0,-0.56,1.31,39.6,39.6,0.1,0.0,1.08,8.0,2.0,0.0,29.0,33.0,0.0,61.0,53.0,34.0,0.0,1.0,1.0,260.0,21.0,27.0,43.8
Vital N'Simba,cd COD,DF,28.0,31.0,1.0,19.0,5.0,26.3,0.61,0.16,0.05,0.2,26.3,0.0,0.0,0.0,0.7,0.7,0.03,0.3,0.3,1415.0,1836.0,77.1,22439.0,10344.0,775.0,875.0,88.6,513.0,662.0,77.5,93.0,199.0,46.7,3.0,4.6,4.0,-1.6,33.0,100.0,49.0,23.0,142.0,1836.0,1510.0,320.0,26.0,7.0,14.0,111.0,291.0,3.0,0.0,2.0,0.0,1415.0,6.0,33.0,64.0,2.07,53.0,7.0,2.0,0.0,2.0,0.0,8.0,0.26,7.0,0.0,0.0,0.0,1.0,0.0,66.0,45.0,38.0,23.0,5.0,36.0,63.0,57.1,27.0,28.0,7.0,21.0,29.0,95.0,30.0,0.0,2130.0,62.0,626.0,1016.0,525.0,20.0,2130.0,62.0,43.0,69.4,19.0,30.6,1309.0,7274.0,3983.0,74.0,56.0,4.0,49.0,40.0,1341.0,138.0,34,2789.0,82.0,81.5,31.0,31,87.0,27,3,30.0,0,0.94,31.0,50.0,-19.0,-0.61,1.1,35.7,38.6,-3.0,-0.1,0.62,4.0,0.0,0.0,28.0,49.0,0.0,111.0,29.0,45.0,0.0,0.0,0.0,241.0,14.0,21.0,40.0
Salis Abdul Samed,gh GHA,MF,21.0,27.4,1.0,18.0,5.0,27.8,0.66,0.18,0.06,0.2,21.5,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,1535.0,1701.0,90.2,25518.0,5456.0,748.0,805.0,92.9,655.0,699.0,93.7,108.0,129.0,83.7,0.0,0.9,0.8,-0.9,17.0,87.0,13.0,1.0,108.0,1701.0,1678.0,21.0,17.0,1.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,1535.0,2.0,29.0,50.0,1.83,41.0,0.0,0.0,4.0,4.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,43.0,23.0,25.0,16.0,2.0,20.0,57.0,35.1,37.0,18.0,1.0,17.0,42.0,85.0,15.0,0.0,1948.0,39.0,557.0,1146.0,261.0,16.0,1948.0,41.0,26.0,63.4,15.0,36.6,1386.0,6570.0,2687.0,24.0,23.0,3.0,42.0,30.0,1481.0,47.0,31,2462.0,79.0,72.0,27.4,29,82.0,19,2,38.0,1,1.1,26.0,44.0,-18.0,-0.66,0.56,28.9,36.2,-7.3,-0.27,-0.2,12.0,3.0,2.0,43.0,37.0,0.0,14.0,42.0,23.0,0.0,0.0,0.0,186.0,17.0,20.0,45.9
Florent Ogier,fr FRA,DF,32.0,27.0,1.0,7.0,3.0,42.9,0.26,0.11,0.14,0.33,11.6,0.0,0.0,0.0,0.7,0.7,0.1,0.3,0.3,1264.0,1516.0,83.4,24045.0,11081.0,487.0,543.0,89.7,589.0,674.0,87.4,166.0,264.0,62.9,0.0,0.2,0.4,-0.2,2.0,72.0,2.0,0.0,80.0,1516.0,1474.0,37.0,35.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1264.0,5.0,5.0,9.0,0.33,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,18.0,12.0,1.0,17.0,31.0,54.8,14.0,41.0,27.0,14.0,37.0,68.0,89.0,0.0,1764.0,207.0,1057.0,681.0,36.0,17.0,1764.0,4.0,3.0,75.0,1.0,25.0,1088.0,5281.0,2881.0,2.0,4.0,1.0,9.0,0.0,1172.0,2.0,30,2429.0,81.0,71.0,27.0,29,84.0,23,1,1.0,5,0.9,30.0,45.0,-15.0,-0.56,0.9,32.9,35.4,-2.5,-0.09,0.41,6.0,0.0,0.0,18.0,13.0,0.0,2.0,37.0,17.0,0.0,1.0,0.0,134.0,67.0,51.0,56.8
Mohamed Lamine Bayo,gn GUI,FW,23.0,26.8,14.0,63.0,26.0,41.3,2.35,0.97,0.19,0.46,13.1,0.0,2.0,3.0,14.4,11.9,0.19,-0.4,0.1,388.0,542.0,71.6,5427.0,1020.0,219.0,291.0,75.3,124.0,159.0,78.0,17.0,24.0,70.8,5.0,4.1,2.5,0.9,31.0,31.0,14.0,1.0,55.0,542.0,470.0,68.0,0.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,388.0,4.0,21.0,63.0,2.35,44.0,0.0,10.0,7.0,1.0,1.0,8.0,0.3,5.0,0.0,1.0,2.0,0.0,0.0,12.0,5.0,4.0,3.0,5.0,3.0,24.0,12.5,21.0,7.0,1.0,6.0,7.0,19.0,14.0,0.0,782.0,17.0,46.0,388.0,359.0,109.0,779.0,55.0,29.0,52.7,26.0,47.3,439.0,2224.0,856.0,28.0,14.0,14.0,59.0,37.0,546.0,147.0,32,2413.0,75.0,70.6,26.8,27,84.0,11,5,29.0,0,1.0,33.0,44.0,-11.0,-0.41,1.38,33.5,33.3,0.2,0.01,0.75,1.0,0.0,0.0,19.0,5.0,14.0,14.0,7.0,5.0,0.0,0.0,0.0,50.0,44.0,51.0,46.3
Ouparine Djoco,sn SEN,GK,23.0,23.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,498.0,738.0,67.5,13010.0,9504.0,113.0,113.0,100.0,216.0,225.0,96.0,148.0,378.0,39.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,738.0,513.0,225.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,14.0,2.0,788.0,650.0,785.0,3.0,0.0,0.0,788.0,0.0,0.0,,0.0,,476.0,2740.0,1588.0,0.0,0.0,0.0,1.0,0.0,310.0,0.0,24,2116.0,88.0,61.9,23.5,23,90.0,23,1,46.0,14,0.96,20.0,36.0,-16.0,-0.68,0.35,27.0,30.2,-3.2,-0.14,0.19,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,2.0,2.0,50.0
Cédric Hountondji,bj BEN,DF,27.0,22.6,1.0,8.0,3.0,37.5,0.35,0.13,0.13,0.33,9.7,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,836.0,988.0,84.6,13868.0,5156.0,414.0,459.0,90.2,347.0,393.0,88.3,55.0,100.0,55.0,0.0,0.0,0.1,0.0,1.0,24.0,1.0,0.0,43.0,988.0,956.0,31.0,30.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,836.0,1.0,4.0,6.0,0.27,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,20.0,12.0,1.0,16.0,24.0,66.7,8.0,23.0,12.0,11.0,34.0,67.0,76.0,0.0,1181.0,131.0,678.0,485.0,23.0,17.0,1181.0,0.0,0.0,,0.0,,686.0,2971.0,1617.0,5.0,3.0,1.0,2.0,1.0,742.0,1.0,23,2034.0,88.0,59.5,22.6,23,88.0,22,0,,0,1.0,22.0,42.0,-20.0,-0.88,-0.17,24.5,32.2,-7.7,-0.34,-0.33,2.0,0.0,0.0,12.0,7.0,0.0,1.0,34.0,17.0,0.0,0.0,1.0,101.0,46.0,20.0,69.7
Jodel Dossou,bj BEN,FW,29.0,22.3,3.0,52.0,17.0,32.7,2.33,0.76,0.06,0.18,17.1,0.0,0.0,0.0,5.0,5.0,0.1,-2.0,-2.0,401.0,576.0,69.6,5416.0,1594.0,252.0,301.0,83.7,101.0,158.0,63.9,19.0,34.0,55.9,1.0,2.2,2.8,-1.2,22.0,45.0,25.0,10.0,75.0,576.0,561.0,12.0,2.0,0.0,0.0,60.0,9.0,1.0,0.0,0.0,0.0,401.0,3.0,39.0,66.0,2.96,42.0,0.0,14.0,5.0,5.0,0.0,6.0,0.27,2.0,0.0,3.0,1.0,0.0,0.0,36.0,17.0,15.0,14.0,7.0,15.0,43.0,34.9,28.0,14.0,0.0,14.0,5.0,41.0,7.0,0.0,857.0,13.0,111.0,325.0,436.0,89.0,857.0,74.0,39.0,52.7,35.0,47.3,626.0,4494.0,2338.0,104.0,49.0,36.0,70.0,41.0,634.0,191.0,35,2008.0,57.0,58.7,22.3,23,75.0,2,12,24.0,2,0.91,23.0,44.0,-21.0,-0.94,-0.3,27.7,30.9,-3.3,-0.15,0.15,4.0,0.0,0.0,25.0,38.0,15.0,60.0,5.0,17.0,1.0,0.0,0.0,97.0,7.0,15.0,31.8
Elba Rashani,xk KVX,"FW,MF",28.0,19.5,8.0,30.0,12.0,40.0,1.53,0.61,0.27,0.67,13.7,0.0,0.0,0.0,5.2,5.2,0.17,2.8,2.8,428.0,583.0,73.4,5640.0,1266.0,255.0,317.0,80.4,136.0,177.0,76.8,12.0,25.0,48.0,3.0,2.2,2.5,0.8,15.0,25.0,10.0,5.0,46.0,583.0,568.0,14.0,2.0,0.0,3.0,38.0,7.0,4.0,0.0,2.0,0.0,428.0,1.0,26.0,34.0,1.74,27.0,0.0,3.0,2.0,2.0,0.0,5.0,0.26,4.0,0.0,1.0,0.0,0.0,0.0,40.0,21.0,15.0,21.0,4.0,17.0,55.0,30.9,38.0,34.0,3.0,31.0,11.0,51.0,20.0,0.0,824.0,32.0,152.0,363.0,320.0,63.0,824.0,35.0,19.0,54.3,16.0,45.7,519.0,2778.0,1214.0,43.0,26.0,10.0,53.0,30.0,542.0,110.0,29,1759.0,61.0,51.4,19.5,22,73.0,4,7,21.0,0,0.97,22.0,31.0,-9.0,-0.46,0.73,20.6,26.7,-6.1,-0.31,-0.21,3.0,0.0,0.0,39.0,30.0,5.0,38.0,11.0,21.0,0.0,0.0,0.0,117.0,20.0,44.0,31.3
Jason Berthomier,fr FRA,MF,31.0,19.2,1.0,23.0,4.0,17.4,1.2,0.21,0.04,0.25,20.8,6.0,0.0,0.0,1.7,1.7,0.08,-0.7,-0.7,1158.0,1427.0,81.1,18350.0,4969.0,642.0,700.0,91.7,368.0,436.0,84.4,104.0,214.0,48.6,5.0,3.9,4.7,1.1,46.0,103.0,20.0,6.0,134.0,1427.0,1268.0,158.0,77.0,3.0,17.0,133.0,4.0,77.0,36.0,27.0,0.0,1158.0,1.0,16.0,89.0,4.63,45.0,33.0,5.0,5.0,1.0,0.0,9.0,0.47,3.0,5.0,0.0,1.0,0.0,0.0,29.0,14.0,5.0,17.0,7.0,12.0,34.0,35.3,22.0,14.0,2.0,12.0,8.0,37.0,4.0,1.0,1558.0,22.0,260.0,863.0,450.0,34.0,1558.0,31.0,22.0,71.0,9.0,29.0,951.0,3487.0,1618.0,26.0,25.0,7.0,38.0,18.0,1186.0,91.0,29,1732.0,60.0,50.6,19.2,22,72.0,2,7,20.0,1,0.83,19.0,30.0,-11.0,-0.57,0.49,22.0,24.1,-2.1,-0.11,0.2,0.0,0.0,0.0,14.0,15.0,2.0,133.0,8.0,14.0,0.0,0.0,0.0,98.0,11.0,16.0,40.7
Yohann Magnin,fr FRA,"MF,DF",24.0,19.1,1.0,19.0,3.0,15.8,1.0,0.16,0.05,0.33,14.7,0.0,0.0,0.0,1.1,1.1,0.06,-0.1,-0.1,727.0,904.0,80.4,11703.0,3387.0,374.0,429.0,87.2,265.0,305.0,86.9,59.0,104.0,56.7,0.0,0.6,0.9,-0.6,8.0,65.0,15.0,2.0,79.0,904.0,889.0,10.0,10.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,727.0,5.0,17.0,27.0,1.42,22.0,0.0,0.0,2.0,2.0,1.0,2.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,53.0,31.0,22.0,26.0,5.0,24.0,42.0,57.1,18.0,17.0,7.0,10.0,20.0,73.0,36.0,0.0,1125.0,57.0,347.0,605.0,180.0,31.0,1125.0,15.0,8.0,53.3,7.0,46.7,721.0,3248.0,1224.0,8.0,9.0,1.0,27.0,14.0,756.0,35.0,24,1717.0,72.0,50.2,19.1,19,84.0,15,5,24.0,0,0.96,20.0,34.0,-14.0,-0.73,0.16,23.6,28.3,-4.6,-0.24,-0.07,2.0,0.0,0.0,21.0,25.0,5.0,12.0,20.0,31.0,1.0,0.0,0.0,99.0,36.0,39.0,48.0
Alidu Seidu,gh GHA,DF,21.0,15.7,0.0,9.0,1.0,11.1,0.57,0.06,0.0,0.0,22.5,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,560.0,648.0,86.4,9565.0,2717.0,259.0,286.0,90.6,233.0,258.0,90.3,47.0,72.0,65.3,0.0,0.2,0.2,-0.2,6.0,20.0,1.0,0.0,30.0,648.0,633.0,14.0,3.0,0.0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,560.0,1.0,4.0,17.0,1.08,13.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,20.0,13.0,1.0,16.0,27.0,59.3,11.0,25.0,11.0,14.0,34.0,68.0,49.0,1.0,837.0,82.0,420.0,375.0,56.0,9.0,837.0,15.0,9.0,60.0,6.0,40.0,553.0,2895.0,1397.0,10.0,6.0,3.0,9.0,12.0,478.0,12.0,21,1410.0,67.0,41.2,15.7,16,83.0,12,5,16.0,13,1.14,14.0,25.0,-11.0,-0.7,0.19,19.0,22.9,-3.9,-0.25,-0.06,7.0,2.0,1.0,18.0,28.0,1.0,3.0,34.0,20.0,0.0,0.0,0.0,131.0,16.0,14.0,53.3
Arthur Desmas,fr FRA,GK,27.0,14.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,299.0,414.0,72.2,6524.0,4557.0,109.0,109.0,100.0,122.0,128.0,95.3,63.0,172.0,36.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,414.0,268.0,146.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,440.0,382.0,439.0,1.0,0.0,0.0,440.0,0.0,0.0,,0.0,,229.0,1084.0,644.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,15,1304.0,87.0,38.1,14.5,15,87.0,14,0,,16,0.93,18.0,33.0,-15.0,-1.04,-0.35,17.4,22.2,-4.8,-0.33,-0.19,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,
Jim Allevinah,ga GAB,FW,26.0,16.5,1.0,43.0,15.0,34.9,2.6,0.91,0.02,0.07,19.2,1.0,0.0,0.0,2.8,2.8,0.07,-1.8,-1.8,416.0,545.0,76.3,6103.0,1306.0,245.0,287.0,85.4,123.0,164.0,75.0,29.0,44.0,65.9,2.0,1.9,1.4,0.1,15.0,44.0,10.0,2.0,56.0,545.0,524.0,16.0,3.0,1.0,5.0,34.0,4.0,9.0,5.0,1.0,0.0,416.0,5.0,18.0,53.0,3.21,32.0,4.0,9.0,6.0,1.0,1.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,18.0,13.0,8.0,8.0,2.0,5.0,18.0,27.8,13.0,11.0,0.0,11.0,6.0,24.0,4.0,0.0,747.0,8.0,105.0,339.0,319.0,64.0,747.0,68.0,32.0,47.1,36.0,52.9,565.0,4604.0,2177.0,77.0,48.0,17.0,42.0,40.0,595.0,118.0,30,1488.0,50.0,43.5,16.5,13,77.0,3,17,29.0,1,0.93,15.0,32.0,-17.0,-1.03,-0.38,18.8,23.4,-4.5,-0.27,-0.11,1.0,0.0,0.0,16.0,34.0,2.0,34.0,6.0,13.0,0.0,1.0,0.0,65.0,16.0,23.0,41.0
Lucas Da Cunha,fr FRA,"FW,MF",20.0,9.3,2.0,18.0,6.0,33.3,1.94,0.65,0.11,0.33,19.8,0.0,0.0,0.0,1.7,1.7,0.09,0.3,0.3,267.0,330.0,80.9,4200.0,1132.0,142.0,166.0,85.5,76.0,92.0,82.6,27.0,42.0,64.3,0.0,0.8,1.4,-0.8,13.0,26.0,7.0,3.0,30.0,330.0,307.0,23.0,5.0,1.0,9.0,20.0,4.0,14.0,5.0,4.0,0.0,267.0,0.0,4.0,22.0,2.37,19.0,2.0,0.0,0.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,5.0,8.0,4.0,9.0,18.0,50.0,9.0,13.0,0.0,13.0,1.0,18.0,3.0,0.0,436.0,6.0,61.0,203.0,177.0,26.0,436.0,40.0,19.0,47.5,21.0,52.5,305.0,1975.0,772.0,25.0,17.0,9.0,17.0,24.0,309.0,58.0,15,836.0,56.0,24.4,9.3,11,68.0,0,4,23.0,0,1.0,10.0,16.0,-6.0,-0.65,0.22,12.8,12.6,0.1,0.02,0.3,0.0,0.0,0.0,6.0,4.0,1.0,20.0,1.0,11.0,0.0,0.0,0.0,43.0,7.0,14.0,33.3
Jean-Claude Billong,cm CMR,DF,27.0,10.9,0.0,5.0,1.0,20.0,0.46,0.09,0.0,0.0,10.8,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,417.0,490.0,85.1,8059.0,2765.0,131.0,146.0,89.7,233.0,251.0,92.8,42.0,70.0,60.0,0.0,0.1,0.1,-0.1,1.0,12.0,1.0,1.0,21.0,490.0,478.0,11.0,10.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,417.0,1.0,4.0,4.0,0.37,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,14.0,1.0,2.0,8.0,11.0,72.7,3.0,9.0,1.0,8.0,10.0,27.0,35.0,0.0,579.0,61.0,319.0,241.0,19.0,10.0,579.0,3.0,2.0,66.7,1.0,33.3,380.0,1825.0,865.0,4.0,1.0,1.0,4.0,1.0,379.0,2.0,15,980.0,65.0,28.7,10.9,10,90.0,9,5,16.0,10,0.4,10.0,28.0,-18.0,-1.65,-1.17,11.9,14.5,-2.6,-0.24,-0.04,2.0,0.0,0.0,7.0,9.0,0.0,1.0,10.0,8.0,0.0,0.0,0.0,57.0,29.0,9.0,76.3
