player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jonas Martin,fr FRA,MF,27.0,33.6,4.0,24.0,8.0,33.3,0.71,0.24,0.04,0.13,23.6,1.0,3.0,3.0,3.8,1.4,0.06,0.2,-0.4,1480.0,1771.0,83.6,24025.0,6164.0,744.0,835.0,89.1,521.0,599.0,87.0,141.0,202.0,69.8,2.0,2.9,3.0,-0.9,42.0,126.0,24.0,2.0,163.0,1771.0,1650.0,116.0,53.0,10.0,19.0,50.0,30.0,20.0,8.0,11.0,0.0,1480.0,5.0,34.0,85.0,2.53,66.0,13.0,1.0,2.0,3.0,0.0,6.0,0.18,4.0,0.0,0.0,1.0,1.0,0.0,73.0,50.0,41.0,28.0,4.0,17.0,54.0,31.5,37.0,30.0,3.0,27.0,33.0,106.0,36.0,0.0,2048.0,58.0,343.0,1299.0,422.0,38.0,2045.0,41.0,27.0,65.9,14.0,34.1,1287.0,5939.0,2615.0,41.0,34.0,3.0,38.0,51.0,1432.0,98.0,36,3025.0,84.0,88.5,33.6,36,84.0,17,0,,0,0.97,32.0,60.0,-28.0,-0.83,-1.97,38.3,53.0,-14.7,-0.44,-0.84,6.0,0.0,0.0,55.0,40.0,3.0,50.0,33.0,50.0,1.0,0.0,0.0,216.0,46.0,64.0,41.8
Jean-Eudes Aholou,ci CIV,MF,23.0,33.4,5.0,39.0,7.0,17.9,1.17,0.21,0.13,0.71,23.8,0.0,0.0,0.0,2.2,2.2,0.06,2.8,2.8,1162.0,1359.0,85.5,20915.0,5421.0,495.0,555.0,89.2,473.0,526.0,89.9,146.0,196.0,74.5,0.0,1.0,0.8,-1.0,13.0,101.0,5.0,0.0,131.0,1359.0,1332.0,22.0,19.0,4.0,18.0,5.0,3.0,0.0,0.0,0.0,0.0,1162.0,5.0,14.0,42.0,1.26,31.0,0.0,1.0,6.0,3.0,1.0,6.0,0.18,3.0,0.0,0.0,1.0,2.0,0.0,70.0,34.0,32.0,37.0,1.0,17.0,55.0,30.9,38.0,29.0,7.0,22.0,75.0,145.0,58.0,1.0,1694.0,70.0,472.0,1062.0,191.0,26.0,1694.0,50.0,39.0,78.0,11.0,22.0,860.0,4336.0,2037.0,32.0,29.0,2.0,38.0,27.0,991.0,22.0,35,3006.0,86.0,87.9,33.4,35,86.0,30,0,,0,1.09,41.0,58.0,-17.0,-0.51,0.8,41.1,52.3,-11.3,-0.34,0.01,4.0,0.0,0.0,46.0,49.0,1.0,5.0,75.0,34.0,0.0,0.0,0.0,261.0,48.0,47.0,50.5
Kenny Lala,fr FRA,DF,25.0,30.3,3.0,12.0,2.0,16.7,0.4,0.07,0.0,0.0,30.4,2.0,3.0,3.0,2.8,0.5,0.04,0.2,-0.5,1341.0,1765.0,76.0,27997.0,10083.0,526.0,586.0,89.8,499.0,650.0,76.8,295.0,454.0,65.0,4.0,2.0,2.5,2.0,24.0,120.0,38.0,12.0,168.0,1765.0,1363.0,391.0,47.0,4.0,40.0,69.0,344.0,0.0,0.0,0.0,0.0,1341.0,11.0,43.0,71.0,2.35,46.0,13.0,8.0,1.0,3.0,0.0,9.0,0.3,6.0,0.0,2.0,1.0,0.0,0.0,87.0,47.0,53.0,28.0,6.0,21.0,47.0,44.7,26.0,18.0,10.0,8.0,42.0,129.0,70.0,2.0,2110.0,116.0,652.0,1059.0,440.0,12.0,2107.0,107.0,62.0,57.9,45.0,42.1,1174.0,8534.0,4983.0,111.0,96.0,7.0,38.0,35.0,1166.0,71.0,31,2723.0,88.0,79.6,30.3,30,89.0,28,1,45.0,0,1.1,37.0,53.0,-16.0,-0.53,0.38,35.2,47.5,-12.3,-0.41,-0.33,5.0,1.0,1.0,26.0,29.0,0.0,69.0,42.0,47.0,0.0,0.0,0.0,211.0,17.0,17.0,50.0
Dimitri Liénard,fr FRA,"MF,FW",29.0,28.9,5.0,51.0,17.0,33.3,1.76,0.59,0.08,0.24,25.9,14.0,1.0,1.0,3.4,2.6,0.05,1.6,1.4,1196.0,1678.0,71.3,23905.0,6520.0,505.0,566.0,89.2,419.0,535.0,78.3,233.0,488.0,47.7,5.0,7.2,5.8,-2.2,61.0,101.0,26.0,18.0,142.0,1678.0,1404.0,260.0,107.0,5.0,45.0,266.0,23.0,129.0,63.0,59.0,1.0,1196.0,14.0,36.0,110.0,3.8,52.0,47.0,4.0,1.0,4.0,2.0,9.0,0.31,4.0,5.0,0.0,0.0,0.0,0.0,77.0,51.0,37.0,32.0,8.0,30.0,84.0,35.7,54.0,35.0,2.0,33.0,52.0,129.0,41.0,1.0,2004.0,43.0,366.0,1025.0,649.0,24.0,2003.0,52.0,34.0,65.4,18.0,34.6,1135.0,6443.0,3196.0,75.0,75.0,7.0,55.0,45.0,1241.0,118.0,33,2602.0,79.0,76.1,28.9,29,86.0,22,4,28.0,0,1.15,42.0,49.0,-7.0,-0.24,1.52,39.1,43.3,-4.2,-0.14,0.81,6.0,0.0,0.0,28.0,37.0,0.0,266.0,52.0,51.0,0.0,0.0,0.0,244.0,9.0,21.0,30.0
Bakary Koné,bf BFA,DF,29.0,27.4,1.0,10.0,1.0,10.0,0.37,0.04,0.1,1.0,11.2,0.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,877.0,1030.0,85.1,18998.0,6959.0,236.0,264.0,89.4,471.0,512.0,92.0,158.0,226.0,69.9,0.0,0.0,0.3,0.0,1.0,40.0,5.0,1.0,51.0,1030.0,995.0,31.0,29.0,1.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,877.0,4.0,5.0,17.0,0.62,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,26.0,17.0,23.0,3.0,0.0,12.0,31.0,38.7,19.0,20.0,10.0,10.0,33.0,59.0,122.0,2.0,1266.0,160.0,744.0,503.0,29.0,15.0,1266.0,7.0,6.0,85.7,1.0,14.3,771.0,3213.0,1796.0,4.0,5.0,1.0,7.0,2.0,788.0,1.0,28,2462.0,88.0,72.0,27.4,27,88.0,26,1,82.0,5,1.0,32.0,50.0,-18.0,-0.66,-0.19,33.2,47.1,-13.9,-0.51,-0.6,3.0,0.0,0.0,23.0,17.0,2.0,1.0,33.0,17.0,1.0,2.0,0.0,106.0,49.0,32.0,60.5
Ernest Seka,gn GUI,DF,30.0,24.2,1.0,15.0,3.0,20.0,0.62,0.12,0.07,0.33,18.1,0.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2,1029.0,1344.0,76.6,17245.0,7368.0,508.0,592.0,85.8,416.0,523.0,79.5,88.0,175.0,50.3,0.0,1.0,0.7,-1.0,18.0,85.0,12.0,5.0,126.0,1344.0,1106.0,237.0,11.0,3.0,3.0,30.0,226.0,0.0,0.0,0.0,0.0,1029.0,1.0,27.0,49.0,2.02,35.0,6.0,1.0,3.0,2.0,2.0,5.0,0.21,3.0,0.0,0.0,1.0,0.0,1.0,60.0,47.0,41.0,14.0,5.0,40.0,61.0,65.6,21.0,25.0,8.0,17.0,51.0,111.0,98.0,1.0,1637.0,95.0,551.0,807.0,295.0,25.0,1637.0,42.0,22.0,52.4,20.0,47.6,767.0,4294.0,2590.0,58.0,44.0,6.0,28.0,16.0,880.0,53.0,27,2178.0,81.0,63.7,24.2,25,86.0,22,2,19.0,10,1.15,35.0,44.0,-9.0,-0.37,0.64,32.3,37.8,-5.6,-0.23,0.3,4.0,1.0,0.0,29.0,12.0,2.0,30.0,51.0,47.0,0.0,1.0,0.0,132.0,66.0,31.0,68.0
Pablo Martinez,fr FRA,DF,28.0,23.5,0.0,15.0,5.0,33.3,0.64,0.21,0.0,0.0,14.9,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,815.0,1004.0,81.2,15842.0,6486.0,299.0,337.0,88.7,382.0,430.0,88.8,116.0,205.0,56.6,1.0,0.5,0.6,0.5,5.0,56.0,6.0,3.0,63.0,1004.0,916.0,86.0,30.0,1.0,11.0,13.0,56.0,0.0,0.0,0.0,0.0,815.0,2.0,6.0,21.0,0.89,15.0,2.0,0.0,1.0,1.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,41.0,34.0,28.0,12.0,1.0,22.0,49.0,44.9,27.0,25.0,12.0,13.0,51.0,92.0,112.0,3.0,1261.0,115.0,582.0,602.0,84.0,23.0,1261.0,10.0,5.0,50.0,5.0,50.0,663.0,3227.0,1908.0,18.0,11.0,0.0,11.0,7.0,711.0,24.0,24,2115.0,88.0,61.8,23.5,24,88.0,23,0,,2,0.75,23.0,43.0,-20.0,-0.85,-0.64,26.5,34.8,-8.2,-0.35,-0.03,4.0,0.0,0.0,23.0,28.0,1.0,13.0,51.0,34.0,0.0,2.0,0.0,104.0,54.0,37.0,59.3
Nuno da Costa,cv CPV,"FW,MF",26.0,19.2,5.0,31.0,9.0,29.0,1.62,0.47,0.16,0.56,14.3,0.0,0.0,0.0,4.2,4.2,0.13,0.8,0.8,231.0,377.0,61.3,3248.0,925.0,128.0,184.0,69.6,58.0,99.0,58.6,19.0,40.0,47.5,2.0,0.6,1.6,1.4,13.0,26.0,10.0,4.0,30.0,377.0,367.0,8.0,0.0,8.0,4.0,21.0,2.0,0.0,0.0,0.0,0.0,231.0,2.0,20.0,49.0,2.56,23.0,1.0,7.0,4.0,11.0,3.0,11.0,0.57,4.0,0.0,2.0,0.0,4.0,1.0,50.0,32.0,12.0,29.0,9.0,7.0,35.0,20.0,28.0,21.0,0.0,21.0,19.0,69.0,9.0,0.0,666.0,6.0,78.0,308.0,296.0,78.0,666.0,86.0,50.0,58.1,36.0,41.9,409.0,2549.0,1195.0,47.0,29.0,18.0,82.0,37.0,431.0,134.0,26,1727.0,66.0,50.5,19.2,22,76.0,4,4,13.0,2,1.15,23.0,31.0,-8.0,-0.42,0.38,21.2,28.4,-7.2,-0.38,-0.08,4.0,1.0,0.0,31.0,35.0,8.0,21.0,19.0,32.0,2.0,1.0,0.0,91.0,42.0,55.0,43.3
Kader Mangane,sn SEN,DF,34.0,19.1,1.0,14.0,3.0,21.4,0.73,0.16,0.07,0.33,10.7,0.0,0.0,0.0,1.9,1.9,0.14,-0.9,-0.9,507.0,672.0,75.4,11645.0,5347.0,124.0,149.0,83.2,265.0,312.0,84.9,112.0,194.0,57.7,1.0,0.6,0.5,0.4,3.0,33.0,8.0,1.0,41.0,672.0,647.0,23.0,23.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,507.0,2.0,4.0,13.0,0.68,9.0,1.0,0.0,2.0,1.0,0.0,2.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,37.0,24.0,29.0,8.0,0.0,11.0,21.0,52.4,10.0,28.0,18.0,10.0,24.0,61.0,120.0,4.0,905.0,117.0,532.0,339.0,46.0,29.0,905.0,8.0,8.0,100.0,0.0,0.0,458.0,2698.0,1577.0,8.0,4.0,0.0,5.0,3.0,482.0,5.0,20,1718.0,86.0,50.2,19.1,20,86.0,19,0,,5,1.2,20.0,30.0,-10.0,-0.52,0.16,21.4,26.2,-4.8,-0.25,0.17,4.0,0.0,0.0,26.0,7.0,2.0,1.0,24.0,24.0,1.0,0.0,0.0,89.0,46.0,35.0,56.8
Bingourou Kamara,sn SEN,GK,20.0,18.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,389.0,619.0,62.8,13453.0,10666.0,30.0,32.0,93.8,162.0,165.0,98.2,197.0,421.0,46.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,619.0,403.0,215.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,1.0,0.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,659.0,569.0,659.0,0.0,0.0,0.0,659.0,0.0,0.0,,0.0,,341.0,2299.0,1556.0,0.0,1.0,0.0,1.0,0.0,244.0,0.0,19,1691.0,89.0,49.4,18.8,19,89.0,18,0,,14,0.95,20.0,32.0,-12.0,-0.64,-0.07,20.2,27.9,-7.8,-0.41,-0.15,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,50.0
Martin Terrier,fr FRA,"FW,MF",20.0,18.6,3.0,50.0,17.0,34.0,2.69,0.92,0.06,0.18,18.8,0.0,0.0,0.0,4.9,4.9,0.1,-1.9,-1.9,367.0,500.0,73.4,5330.0,1170.0,206.0,252.0,81.7,109.0,149.0,73.2,23.0,39.0,59.0,3.0,3.4,2.1,-0.4,28.0,18.0,13.0,2.0,36.0,500.0,480.0,16.0,1.0,5.0,8.0,21.0,4.0,3.0,3.0,0.0,0.0,367.0,4.0,14.0,58.0,3.12,39.0,1.0,6.0,5.0,7.0,0.0,6.0,0.32,3.0,0.0,1.0,1.0,1.0,0.0,42.0,30.0,16.0,23.0,3.0,9.0,28.0,32.1,19.0,11.0,1.0,10.0,14.0,56.0,6.0,0.0,715.0,11.0,81.0,320.0,326.0,70.0,715.0,38.0,19.0,50.0,19.0,50.0,423.0,2742.0,1329.0,46.0,35.0,19.0,49.0,22.0,517.0,107.0,25,1672.0,67.0,48.9,18.6,19,82.0,12,6,19.0,0,0.92,23.0,34.0,-11.0,-0.59,0.03,23.3,31.2,-7.9,-0.43,-0.17,3.0,0.0,0.0,30.0,28.0,8.0,21.0,14.0,30.0,1.0,0.0,0.0,59.0,48.0,52.0,48.0
Stéphane Bahoken,cm CMR,FW,25.0,18.5,7.0,37.0,15.0,40.5,2.0,0.81,0.19,0.47,15.4,0.0,0.0,0.0,6.7,6.7,0.18,0.3,0.3,234.0,340.0,68.8,3132.0,700.0,143.0,173.0,82.7,64.0,90.0,71.1,10.0,21.0,47.6,1.0,1.7,1.7,-0.7,13.0,7.0,17.0,8.0,22.0,340.0,313.0,27.0,2.0,0.0,0.0,42.0,4.0,1.0,0.0,0.0,0.0,234.0,0.0,24.0,32.0,1.73,21.0,0.0,2.0,7.0,2.0,0.0,2.0,0.11,1.0,0.0,1.0,0.0,0.0,0.0,16.0,11.0,3.0,8.0,5.0,4.0,22.0,18.2,18.0,18.0,1.0,17.0,9.0,25.0,1.0,0.0,519.0,2.0,39.0,221.0,264.0,59.0,519.0,19.0,7.0,36.8,12.0,63.2,340.0,1880.0,771.0,31.0,13.0,11.0,54.0,33.0,375.0,124.0,26,1662.0,64.0,48.6,18.5,19,81.0,8,7,18.0,5,1.0,21.0,28.0,-7.0,-0.38,0.44,22.4,27.6,-5.2,-0.28,0.11,5.0,0.0,0.0,46.0,20.0,21.0,42.0,9.0,11.0,0.0,1.0,0.0,48.0,28.0,54.0,34.1
Anthony Gonçalves,fr FRA,"MF,FW",31.0,19.5,0.0,21.0,5.0,23.8,1.08,0.26,0.0,0.0,23.1,3.0,0.0,0.0,1.4,1.4,0.07,-1.4,-1.4,543.0,825.0,65.8,8858.0,3218.0,285.0,336.0,84.8,193.0,269.0,71.7,47.0,147.0,32.0,1.0,2.1,2.2,-1.1,28.0,45.0,25.0,11.0,80.0,825.0,752.0,66.0,10.0,0.0,2.0,144.0,36.0,19.0,2.0,15.0,0.0,543.0,7.0,42.0,53.0,2.71,42.0,7.0,1.0,0.0,2.0,1.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,50.0,31.0,14.0,32.0,4.0,15.0,50.0,30.0,35.0,27.0,0.0,27.0,25.0,75.0,27.0,0.0,1038.0,24.0,191.0,453.0,411.0,18.0,1038.0,23.0,9.0,39.1,14.0,60.9,563.0,2961.0,1649.0,59.0,46.0,1.0,35.0,22.0,635.0,139.0,29,1757.0,61.0,51.4,19.5,18,84.0,12,11,23.0,3,1.0,27.0,33.0,-6.0,-0.31,0.61,23.3,29.0,-5.7,-0.29,0.1,5.0,0.0,0.0,49.0,17.0,2.0,144.0,25.0,31.0,0.0,0.0,0.0,115.0,24.0,32.0,42.9
Alexandre Oukidja,dz ALG,GK,29.0,16.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,278.0,491.0,56.6,11127.0,9619.0,26.0,26.0,100.0,80.0,82.0,97.6,171.0,378.0,45.2,0.0,0.0,0.1,0.0,0.0,16.0,1.0,0.0,0.0,491.0,277.0,211.0,81.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,3.0,1.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,9.0,1.0,528.0,423.0,521.0,7.0,0.0,0.0,528.0,0.0,0.0,,0.0,,233.0,1666.0,1148.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,17,1457.0,86.0,42.6,16.2,16,90.0,15,1,19.0,16,1.0,19.0,29.0,-10.0,-0.62,-0.02,19.3,25.9,-6.6,-0.41,-0.12,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,100.0
Benjamin Corgnet,fr FRA,"MF,FW",30.0,15.3,0.0,27.0,7.0,25.9,1.77,0.46,0.0,0.0,17.5,0.0,0.0,0.0,1.8,1.8,0.07,-1.8,-1.8,378.0,582.0,64.9,5600.0,1496.0,216.0,283.0,76.3,102.0,163.0,62.6,34.0,72.0,47.2,2.0,1.8,2.1,0.2,18.0,36.0,14.0,3.0,52.0,582.0,541.0,35.0,6.0,14.0,4.0,34.0,5.0,10.0,2.0,8.0,0.0,378.0,6.0,17.0,61.0,3.99,35.0,3.0,4.0,5.0,11.0,3.0,4.0,0.26,3.0,0.0,0.0,1.0,0.0,0.0,28.0,19.0,5.0,16.0,7.0,6.0,28.0,21.4,22.0,18.0,1.0,17.0,11.0,39.0,11.0,0.0,743.0,13.0,88.0,400.0,267.0,36.0,743.0,36.0,25.0,69.4,11.0,30.6,449.0,2124.0,999.0,30.0,26.0,4.0,31.0,25.0,527.0,80.0,18,1376.0,76.0,40.2,15.3,15,85.0,8,3,35.0,0,0.67,14.0,24.0,-10.0,-0.65,-0.08,19.4,17.4,2.1,0.13,0.79,2.0,0.0,0.0,25.0,34.0,1.0,34.0,11.0,19.0,0.0,0.0,0.0,69.0,57.0,54.0,51.4
Dimitri Foulquier,fr FRA,DF,24.0,13.8,0.0,2.0,0.0,0.0,0.15,0.0,0.0,,17.9,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,532.0,678.0,78.5,8216.0,3079.0,295.0,335.0,88.1,181.0,216.0,83.8,35.0,82.0,42.7,2.0,1.6,0.9,0.4,8.0,36.0,10.0,3.0,52.0,678.0,526.0,151.0,8.0,0.0,3.0,25.0,143.0,0.0,0.0,0.0,0.0,532.0,1.0,24.0,27.0,1.96,19.0,2.0,4.0,2.0,0.0,0.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,15.0,8.0,2.0,7.0,17.0,41.2,10.0,15.0,4.0,11.0,14.0,39.0,33.0,0.0,828.0,33.0,232.0,435.0,177.0,9.0,828.0,54.0,33.0,61.1,21.0,38.9,414.0,3201.0,1767.0,44.0,25.0,4.0,19.0,14.0,447.0,30.0,16,1239.0,77.0,36.2,13.8,13,89.0,12,3,27.0,2,0.75,12.0,24.0,-12.0,-0.87,-0.42,12.6,19.5,-6.9,-0.5,-0.25,2.0,0.0,0.0,20.0,7.0,1.0,25.0,14.0,12.0,0.0,0.0,0.0,75.0,5.0,8.0,38.5
Yoann Salmier,gf GUF,DF,24.0,12.3,0.0,4.0,0.0,0.0,0.33,0.0,0.0,,9.3,0.0,0.0,0.0,0.4,0.4,0.11,-0.4,-0.4,457.0,540.0,84.6,9722.0,3300.0,122.0,130.0,93.8,254.0,283.0,89.8,74.0,115.0,64.3,1.0,0.1,0.2,0.9,2.0,13.0,3.0,0.0,29.0,540.0,523.0,15.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,2.0,1.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,10.0,5.0,0.0,5.0,12.0,41.7,7.0,11.0,6.0,5.0,26.0,41.0,62.0,1.0,659.0,67.0,402.0,247.0,15.0,7.0,659.0,8.0,7.0,87.5,1.0,12.5,383.0,1863.0,1160.0,6.0,3.0,1.0,3.0,1.0,435.0,2.0,14,1107.0,79.0,32.4,12.3,12,87.0,10,2,32.0,19,1.21,14.0,23.0,-9.0,-0.73,-0.19,14.4,19.4,-5.0,-0.41,-0.1,2.0,0.0,0.0,13.0,7.0,0.0,0.0,26.0,13.0,0.0,0.0,0.0,45.0,11.0,10.0,52.4
